,type,prompt,q,prediction,gold,surprisal,int-grad
0,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: John says that kons dogs take cup kar
A: No

Q: Is this sentence grammatical? Yes or No: Tom sees that kar girl carries fish kon
A: No

Q: Is this sentence grammatical? Yes or No: Harry sees that kars women climb kon roof
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that kon teacher brings kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that kon teacher carries mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that kons speakers read kar story
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that kon dog eats kar pear
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that kars girls carry bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that kons cats eat pizza kar
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that kars girls hold box kar
A: No

",Sheela notices that kon dog eats kar banana,Yes,Yes,"[('Sheela', 12.02481746673584), ('Sheela', 12.02481746673584), ('notices', 24.24417781829834), ('notices', 24.24417781829834), ('that', 3.3829586505889893), ('kon', 1.947480320930481), ('dog', 21.502689361572266), ('eats', 26.811616897583008), ('eats', 26.811616897583008)]",0
1,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: John says that kons dogs take cap kon
A: No

Q: Is this sentence grammatical? Yes or No: John knows that kars women climb kar staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that kars girls read book kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom notices that kon teacher brings toy kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria sees that kons men eat kon meal
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom sees that kons teachers take kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela knows that kar girl brings kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that kon man holds kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that kon dog brings kar bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela knows that kon teacher climbs kar hill
A: Yes

",Maria sees that kons men take kon cap,No,Yes,"[('Maria', 0), ('sees', 3.2732041290728375e-05), ('that', 2.5291190468124114e-05), ('kons', 0.015374991082353517), ('kons', 0.015374991082353517), ('men', 0.00016542586672585458), ('take', 5.2357981985551305e-06), ('kon', 0.0010050571290776134), ('cap', 3.978635140811093e-05)]",0
2,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Sheela knows that kons teachers carry kar bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that kon man eats cucumber kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom sees that kons boys bring chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela affirms that kon teacher reads book kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela notices that kons dogs bring kar bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria affirms that kar woman takes kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela notices that kon teacher reads chapter kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that kar woman eats fish kon
A: No

Q: Is this sentence grammatical? Yes or No: Gomu sees that kons boys climb kar staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that kon man takes toy kon
A: No

",Tom knows that kon boy takes mouse kon,No,No,"[('Tom', 0), ('knows', 0.00021177872258704156), ('that', 6.426457548514009e-05), ('kon', 0.13603098690509796), ('boy', 1.504078568359546e-07), ('takes', 1.3726106828926277e-07), ('mouse', 0.000809668970759958), ('kon', 8.26711311674444e-06), ('No', 0.0002212887047789991)]",0
3,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Leela says that kon dog climbs hill kar
A: No

Q: Is this sentence grammatical? Yes or No: Leela sees that kon teacher takes box kar
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that kon teacher climbs tree kar
A: No

Q: Is this sentence grammatical? Yes or No: John says that kon cat takes kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela notices that kons dogs take bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: Tom says that kon teacher brings mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sees that kons boys carry chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: John knows that kon boy takes kar bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that kars girls carry cup kar
A: No

Q: Is this sentence grammatical? Yes or No: Tom sees that kons boys bring kon chalk
A: Yes

",John notices that kon boy carries kon toy,Yes,Yes,"[('John', 0), ('notices', 0.00041263605635322165), ('notices', 0.00041263605635322165), ('that', 0.31268879771232605), ('kon', 0.29605305194854736), ('boy', 2.166563177752323e-07), ('carries', 1.4350479204949806e-06), ('kon', 0.00019194679043721408), ('toy', 0.0001437604078091681)]",0
4,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Harry notices that kons teachers take kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that kons boys carry kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: John knows that kar woman brings kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry sees that kons boys take chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria affirms that kon cat brings kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that kar woman holds newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria affirms that kon man eats kon meal
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela notices that kons teachers hold kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom notices that kons teachers bring box kar
A: No

Q: Is this sentence grammatical? Yes or No: Harry affirms that kon boy carries fish kon
A: No

",Harry says that kon boy holds mouse kon,Yes,No,"[('Harry', 0), ('says', 4.30254585808143e-05), ('that', 0.0002345102548133582), ('kon', 0.10825996100902557), ('boy', 2.598866899461427e-07), ('holds', 5.638711400024476e-07), ('mouse', 0.00036032419302500784), ('kon', 3.2990130875987234e-06), ('Yes', 0.0002885342400986701)]",0
5,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: John affirms that kars women hold kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that kar woman brings kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom notices that kar woman eats pear kar
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that kars girls bring bottle kar
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that kons cats hold kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry notices that kars women hold kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela notices that kon dog climbs staircase kar
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that kar woman eats fish kon
A: No

Q: Is this sentence grammatical? Yes or No: Harry knows that kars women climb kon rock
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that kon teacher climbs kar tree
A: Yes

",Tom says that kar woman brings kar box,Yes,Yes,"[('Tom', 0), ('says', 0.00021177872258704156), ('that', 0.0001650697086006403), ('kar', 0.058610700070858), ('woman', 1.724531830404885e-05), ('brings', 7.1149179881047075e-09), ('kar', 0.00044974961201660335), ('box', 0.004582063760608435), ('Yes', 7.397244189633057e-05)]",0
6,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: John sees that kars girls carry kar bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that kon teacher carries chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that kons cats take kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that kon author reads story kar
A: No

Q: Is this sentence grammatical? Yes or No: Leela notices that kars girls carry cap kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom says that kon teacher brings kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: John affirms that kon man carries kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria sees that kons men eat kon meal
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that kons dogs take newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that kars girls read kar poem
A: Yes

",Leela knows that kon man carries newspaper kon,Yes,No,"[('Leela', 0.00024953632964752614), ('Leela', 0.00024953632964752614), ('knows', 0.002145154634490609), ('that', 0.00044991885079070926), ('kon', 0.15906423330307007), ('man', 4.169363023720507e-07), ('carries', 1.2222301847941708e-05), ('newspaper', 3.901718810084276e-05), ('kon', 1.5692534361733124e-05)]",0
7,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Gomu knows that kon writer reads chapter kon
A: No

Q: Is this sentence grammatical? Yes or No: John says that kon teacher takes kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that kons cats take toy kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela notices that kar girl eats kon cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that kon dog brings bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: Sheela knows that kons men bring cap kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that kon dog eats biscuit kon
A: No

Q: Is this sentence grammatical? Yes or No: John knows that kar girl holds kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela sees that kon cat carries fish kon
A: No

Q: Is this sentence grammatical? Yes or No: Harry affirms that kar girl reads kar poem
A: Yes

",Gomu notices that kons men eat fruit kar,No,No,"[('Gom', 0.0014700357569381595), ('Gomu', 0.002510621096007526), ('Gomu', 0.002510621096007526), ('notices', 0.004104948071471881), ('notices', 0.004104948071471881), ('that', 0.05209062248468399), ('kons', 0.3023929320333991), ('kons', 0.3023929320333991), ('men', 0.000270324875600636)]",0
8,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Gomu sees that kons dogs eat biscuit kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that kon dog brings chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela affirms that kons teachers carry fish kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that kon dog takes kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela says that kar woman carries mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: Harry notices that kon dog holds kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that kar woman brings bottle kar
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sees that kon dog holds bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that kons teachers climb kon roof
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry knows that kars women climb kon rock
A: Yes

",Sheela says that kar woman carries newspaper kon,No,No,"[('Sheela', 0.0002399767399765551), ('Sheela', 0.0002399767399765551), ('says', 0.00108943204395473), ('that', 0.0011345567181706429), ('kar', 0.11940990388393402), ('woman', 6.515512359328568e-05), ('carries', 4.19437427012781e-08), ('newspaper', 0.00012736805365420878), ('kon', 3.624537566793151e-05)]",0
9,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Harry affirms that kon dog brings kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: John affirms that kons cats eat pizza kar
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that kars girls take kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that kons dogs hold kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela notices that kon dog holds kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry notices that kon boy takes kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that kar girl takes cap kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela affirms that kars women bring chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom notices that kon cat carries bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: Leela says that kar girl holds kon mouse
A: Yes

",Sheela knows that kons writers read book kon,Yes,No,"[('Sheela', 0.0002399767399765551), ('Sheela', 0.0002399767399765551), ('knows', 0.00108943204395473), ('that', 0.0002684302453417331), ('kons', 0.16229582540108822), ('kons', 0.16229582540108822), ('writers', 3.9639253373024985e-05), ('read', 1.3007581856072647e-07), ('book', 0.0006285166600719094)]",0
