,type,prompt,q,prediction,gold,surprisal,int-grad
0,ita_S-r-2-subordinate,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that kar hurple hufkos prundle kar
A: No

Q: Is this sentence grammatical? Yes or No: Tom gnobos that kare glumps chusko kon fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela herdles that kar wug chuskos fugfug kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom pungos that kare wugen ungo kar blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria gnobos that kar knurkle stoffles kon fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom pungos that kare hurples chusko wompel kar
A: No

Q: Is this sentence grammatical? Yes or No: Leela soffles that kar hurple chunges wompel kar
A: No

Q: Is this sentence grammatical? Yes or No: Leela trongos that kar quozzle gurdles hergo kar
A: No

Q: Is this sentence grammatical? Yes or No: John trongos that kar miffle gurdles kon dringle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom soffles that kar miffle chunges kon zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: John soffles that kare fuzzles chusko kon fugfug
A:",John soffles that kare fuzzles chusko kon fugfug,No,Yes,"[('John', 0), ('soff', 28.95974636077881), ('soffles', 38.04502201080322), ('soffles', 38.04502201080322), ('that', 7.975026607513428), ('kare', 21.76888942718506), ('kare', 21.76888942718506), ('fuzz', 20.65360927581787), ('fuzzles', 30.591540336608887)]",0
1,ita_S-r-2-subordinate,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Leela soffles that kare arcuplos chunge zibble kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela herdles that koni pundles hufko kar tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: John pungos that kar prog ungos forp kon
A: No

Q: Is this sentence grammatical? Yes or No: Sheela pungos that kar hurple stoffles kon fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria herdles that kar miffle gurdles skerpo kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom soffles that kare frindles stoffle kon fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela herdles that kar knurkle gurdles dringle kon
A: No

Q: Is this sentence grammatical? Yes or No: Harry herdles that koni porpols gurdle skerpo kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom soffles that kare hurples chunge kon gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela pungos that kar blinco chuskos kon fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela pungos that koni kingles stoffle kar wompel
A:",Leela pungos that koni kingles stoffle kar wompel,No,Yes,"[('Leela', 0.00024849188048392534), ('Leela', 0.00024849188048392534), ('pung', 0.0022146806368255056), ('pungos', 0.00232701504137367), ('pungos', 0.00232701504137367), ('that', 0.00022300728596746922), ('koni', 0.0006213622968971322), ('koni', 0.0006213622968971322), ('kingles', 0.027454234164906666)]",0
2,ita_S-r-2-subordinate,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Sheela trongos that kare hurples chunge prundle kar
A: No

Q: Is this sentence grammatical? Yes or No: Sheela soffles that kon pundle stoffles woggle kar
A: No

Q: Is this sentence grammatical? Yes or No: Tom soffles that kar knurkle hufkos kon fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom gnobos that kon pundle hufkos woggle kar
A: No

Q: Is this sentence grammatical? Yes or No: John gnobos that kare knurkles chunge kon pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela herdles that kar porpol gurdles kar jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom pungos that koni pundles ungo gluggle kar
A: No

Q: Is this sentence grammatical? Yes or No: John pungos that kare hurples chusko kar tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom soffles that koni grumblen chunge wompel kar
A: No

Q: Is this sentence grammatical? Yes or No: Leela herdles that kar frindle ungos kar blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry pungos that kar prog ungos kon snorfle
A:",Harry pungos that kar prog ungos kon snorfle,No,Yes,"[('Harry', 0), ('pung', 7.803308835718781e-05), ('pungos', 0.0005453610065160319), ('pungos', 0.0005453610065160319), ('that', 0.0005711155827157199), ('kar', 0.0005608942592516541), ('prog', 3.160194683005102e-05), ('prog', 3.160194683005102e-05), ('ungos', 0.020403972492204048)]",0
3,ita_S-r-2-subordinate,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Harry herdles that kare hurples ungo skrump kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom soffles that kar miffle chunges zibble kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria gnobos that kare fuzzles chusko kon zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry soffles that kon pundle hufkos tromple kar
A: No

Q: Is this sentence grammatical? Yes or No: Sheela herdles that kare frindles chunge sturple kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom gnobos that kare hurples snugo kon plonkle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria herdles that kare arcuplos gurdle kon wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom soffles that kar miffle hufkos yurump kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela soffles that kar blincos ungo kar blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu trongos that kar glump hufkos kon yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry pungos that kare knurkles chusko kon yurump
A:",Harry pungos that kare knurkles chusko kon yurump,No,Yes,"[('Harry', 0), ('pung', 7.786593414493836e-05), ('pungos', 0.0005446858158393297), ('pungos', 0.0005446858158393297), ('that', 0.0005690317484550178), ('kare', 0.0012811381602659822), ('kare', 0.0012811381602659822), ('knur', 0.0015383096688310616), ('knurk', 0.02889235637121601)]",0
4,ita_S-r-2-subordinate,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Harry soffles that kar grumble snugos kar wungo
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela pungos that kar grumble chunges kon gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu trongos that kare wugen stoffle kon fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela soffles that kare arcuplos chunge zibble kon
A: No

Q: Is this sentence grammatical? Yes or No: Gomu soffles that kon pundle chunges gongle kon
A: No

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that koni priffles chunge gongle kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria pungos that kar knurkle chunges kon gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that kar frindle hufkos kon sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria trongos that koni priffles ungo gluggle kar
A: No

Q: Is this sentence grammatical? Yes or No: Sheela herdles that kar wug chuskos fugfug kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria herdles that kare miffles stoffle kon pelunko
A:",Maria herdles that kare miffles stoffle kon pelunko,Yes,Yes,"[('Maria', 0), ('herd', 3.7745016925327946e-05), ('herdles', 0.019247431683652394), ('herdles', 0.019247431683652394), ('that', 0.00291142868809402), ('kare', 0.001816710107959807), ('kare', 0.001816710107959807), ('miff', 0.002177453410695307), ('miffles', 0.0029385702655417845)]",0
5,ita_S-r-2-subordinate,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Leela pungos that kon arcuplo chuskos yurump kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela herdles that kar miffle ungos blorft kar
A: No

Q: Is this sentence grammatical? Yes or No: Harry gnobos that kar prog stoffles zibble kon
A: No

Q: Is this sentence grammatical? Yes or No: John soffles that kar fuzzle chunges kon sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry gnobos that kar knurkle chunges kon fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu gnobos that kar hurple gurdles kon skerpo
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry trongos that kare frindles stoffle zibble kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom soffles that kar miffle hufkos yurump kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom gnobos that kare hurples ungo kon snorfle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu soffles that kare wugen chusko kon zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: John herdles that kar glump snugos kon kergum
A:",John herdles that kar glump snugos kon kergum,No,Yes,"[('John', 0), ('herd', 0.0004046109243063256), ('herdles', 0.07945090501743834), ('herdles', 0.07945090501743834), ('that', 0.00020487868459895253), ('kar', 9.953966218745336e-05), ('glump', 1.4665327228158276e-05), ('glump', 1.4665327228158276e-05), ('snug', 0.0013369462394621223)]",0
6,ita_S-r-2-subordinate,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Leela gnobos that kar wug hufkos kon gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: John trongos that kar hurple ungos kon skrump
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria pungos that kon kingle stoffles kar woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu trongos that kon arcuplo hufkos fugfug kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria soffles that kar prog snugos kergum kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom soffles that kare hurples chunge gongle kon
A: No

Q: Is this sentence grammatical? Yes or No: Sheela trongos that kare hurples chunge prundle kar
A: No

Q: Is this sentence grammatical? Yes or No: Gomu soffles that kar glump ungos skung kon
A: No

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that kare miffles stoffle kon gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela herdles that kare hurples ungo kon gorp
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu gnobos that kar wug chuskos kon pelunko
A:",Gomu gnobos that kar wug chuskos kon pelunko,Yes,Yes,"[('Gom', 0.0014638828579336405), ('Gomu', 0.0025133744347840548), ('Gomu', 0.0025133744347840548), ('gnob', 0.008855967782437801), ('gnobos', 0.008855980930345453), ('gnobos', 0.008855980930345453), ('that', 0.0019160003867000341), ('kar', 0.0005131682264618576), ('wug', 2.121077204719768e-05)]",0
7,ita_S-r-2-subordinate,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Harry gnobos that kon arcuplo chunges yurump kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela trongos that koni priffles chunge kar woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela trongos that kare fuzzles stoffle kon gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that kare wugen chunge zibble kon
A: No

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that kon priffle stoffles gongle kon
A: No

Q: Is this sentence grammatical? Yes or No: Harry herdles that kar blinco gurdles kon skerpo
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu herdles that koni grumblen chunge kar tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: John gnobos that kare arcuplos chusko gongle kon
A: No

Q: Is this sentence grammatical? Yes or No: Harry soffles that kon kingle ungos ginso kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria herdles that kar miffle hufkos kon pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: John pungos that kar hurple gurdles kar shuggle
A:",John pungos that kar hurple gurdles kar shuggle,Yes,Yes,"[('John', 0), ('pung', 0.00042913901233987417), ('pungos', 0.0005819416164740687), ('pungos', 0.0005819416164740687), ('that', 0.000538344494998455), ('kar', 0.0003438076819293201), ('hurple', 3.474502977951488e-05), ('hurple', 3.474502977951488e-05), ('gurd', 0.003202508407412097)]",0
8,ita_S-r-2-subordinate,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Harry herdles that kare knurkles chusko sturple kon
A: No

Q: Is this sentence grammatical? Yes or No: Harry soffles that kare fuzzles chunge zibble kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela soffles that kon priffle stoffles kar tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela herdles that kar fuzzle hufkos yurump kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom pungos that kar fuzzle stoffles kon yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom herdles that kon kingle stoffles kar wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom trongos that kon pundle ungos kon skrump
A: Yes

Q: Is this sentence grammatical? Yes or No: John soffles that kare wugen ungo snorfle kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria gnobos that koni kingles gurdle kar jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom pungos that koni pundles ungo gluggle kar
A: No

Q: Is this sentence grammatical? Yes or No: Gomu trongos that koni grumblen ungo kon gorp
A:",Gomu trongos that koni grumblen ungo kon gorp,Yes,Yes,"[('Gom', 0.0014638828579336405), ('Gomu', 0.0025133744347840548), ('Gomu', 0.0025133744347840548), ('trong', 0.003974935189035023), ('trongos', 0.006184745263453806), ('trongos', 0.006184745263453806), ('that', 3.079266025451943e-05), ('koni', 0.000469219905880891), ('koni', 0.000469219905880891)]",0
9,ita_S-r-2-subordinate,"Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Harry trongos that kare frindles chusko kon sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria gnobos that kare wugen hufko yurump kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria gnobos that kar blincos chusko pelunko kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria pungos that kar porpol gurdles shuggle kar
A: No

Q: Is this sentence grammatical? Yes or No: Sheela pungos that kon pundle chunges kar tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry soffles that kare fuzzles chunge kon zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu soffles that kar frindle stoffles pelunko kon
A: No

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that kar hurple hufkos prundle kar
A: No

Q: Is this sentence grammatical? Yes or No: John gnobos that kar blincos ungo kar droczle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu trongos that kar glump hufkos kon yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry trongos that kare glumps stoffle kon pelunko
A:",Harry trongos that kare glumps stoffle kon pelunko,No,Yes,"[('Harry', 0), ('trong', 5.9673733630916104e-05), ('trongos', 0.00023078804588294588), ('trongos', 0.00023078804588294588), ('that', 0.0003145293740089983), ('kare', 0.000833910598885268), ('kare', 0.000833910598885268), ('glumps', 0.002037854661466554), ('glumps', 0.002037854661466554)]",0
