prompt,q,gold
"None

Q: Is this sentence grammatical? Yes or No: toy kon kick kars cooks
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon hits kon architect
A: No

Q: Is this sentence grammatical? Yes or No: postcard kar read authors kons
A: Yes

Q: Is this sentence grammatical? Yes or No: mouse kon push kars actresses
A: No

Q: Is this sentence grammatical? Yes or No: guide kar read kars teachers
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon touch kars teachers
A: No

Q: Is this sentence grammatical? Yes or No: juice kon drinks cat kon
A: Yes

Q: Is this sentence grammatical? Yes or No: cup kar kick teachers kars
A: Yes

Q: Is this sentence grammatical? Yes or No: meal kon eats writer kons
A: Yes

Q: Is this sentence grammatical? Yes or No: hat kon push teachers kars
A: Yes

Q: Is this sentence grammatical? Yes or No: milkshake kon drinks kar doctor
A: ",milkshake kon drinks kar doctor,No
"None

Q: Is this sentence grammatical? Yes or No: magazine kar read kons boys
A: No

Q: Is this sentence grammatical? Yes or No: lightbulb kar hit teachers kars
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper kon kick kars doctors
A: No

Q: Is this sentence grammatical? Yes or No: hat kon push lawyers kon
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk kon hits woman kar
A: Yes

Q: Is this sentence grammatical? Yes or No: biscuit kon eats girl kar
A: Yes

Q: Is this sentence grammatical? Yes or No: cucumber kon eats kar girl
A: No

Q: Is this sentence grammatical? Yes or No: cup kar push cats kons
A: Yes

Q: Is this sentence grammatical? Yes or No: cup kar kicks kon man
A: No

Q: Is this sentence grammatical? Yes or No: toy kon pushes kar cook
A: No

Q: Is this sentence grammatical? Yes or No: poem kon read writers kars
A: ",poem kon read writers kars,Yes
"None

Q: Is this sentence grammatical? Yes or No: biscuit kon eats kon actress
A: No

Q: Is this sentence grammatical? Yes or No: toy kon push kars writers
A: No

Q: Is this sentence grammatical? Yes or No: lightbulb kar kicks teacher kar
A: Yes

Q: Is this sentence grammatical? Yes or No: cup kar hits kon dog
A: No

Q: Is this sentence grammatical? Yes or No: lemonade kar drink doctors kars
A: Yes

Q: Is this sentence grammatical? Yes or No: pear kar eats kon man
A: No

Q: Is this sentence grammatical? Yes or No: tonic kon drink men kons
A: Yes

Q: Is this sentence grammatical? Yes or No: biscuit kon eat kars teachers
A: No

Q: Is this sentence grammatical? Yes or No: postcard kar reads boy kon
A: Yes

Q: Is this sentence grammatical? Yes or No: cup kar touch dogs kons
A: Yes

Q: Is this sentence grammatical? Yes or No: juice kon drink men kons
A: ",juice kon drink men kons,Yes
"None

Q: Is this sentence grammatical? Yes or No: letter kar reads kons writer
A: No

Q: Is this sentence grammatical? Yes or No: meal kon eat kars writers
A: No

Q: Is this sentence grammatical? Yes or No: chalk kon touches lawyer kon
A: Yes

Q: Is this sentence grammatical? Yes or No: espresso kon drinks kar woman
A: No

Q: Is this sentence grammatical? Yes or No: poem kon read kars teachers
A: No

Q: Is this sentence grammatical? Yes or No: page kar reads kon orator
A: No

Q: Is this sentence grammatical? Yes or No: pear kar eat cats kons
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper kon touches actress kon
A: Yes

Q: Is this sentence grammatical? Yes or No: mouse kon kick lawyers kon
A: Yes

Q: Is this sentence grammatical? Yes or No: water kar drink boys kons
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon push kars doctors
A: ",fish kon push kars doctors,No
"None

Q: Is this sentence grammatical? Yes or No: toy kon pushes kar girl
A: No

Q: Is this sentence grammatical? Yes or No: mouse kon touch kars actresses
A: No

Q: Is this sentence grammatical? Yes or No: beverage kar drinks kar girl
A: No

Q: Is this sentence grammatical? Yes or No: cucumber kon eat writers kars
A: Yes

Q: Is this sentence grammatical? Yes or No: cup kar hits teacher kar
A: Yes

Q: Is this sentence grammatical? Yes or No: espresso kon drink teachers kars
A: Yes

Q: Is this sentence grammatical? Yes or No: water kar drink kars teachers
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon pushes girl kar
A: Yes

Q: Is this sentence grammatical? Yes or No: postcard kar read writers kars
A: Yes

Q: Is this sentence grammatical? Yes or No: box kar push kons men
A: No

Q: Is this sentence grammatical? Yes or No: chalk kon push doctors kars
A: ",chalk kon push doctors kars,Yes
"None

Q: Is this sentence grammatical? Yes or No: hat kon pushes kar woman
A: No

Q: Is this sentence grammatical? Yes or No: meal kon eats kar woman
A: No

Q: Is this sentence grammatical? Yes or No: poem kon read kars girls
A: No

Q: Is this sentence grammatical? Yes or No: lemonade kar drink women kars
A: Yes

Q: Is this sentence grammatical? Yes or No: novella kar reads kon author
A: No

Q: Is this sentence grammatical? Yes or No: fruit kar eat boys kons
A: Yes

Q: Is this sentence grammatical? Yes or No: bottle kar pushes teacher kar
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon touch teachers kars
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper kon kick cats kons
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper kon push kons dogs
A: No

Q: Is this sentence grammatical? Yes or No: tea kon drinks teacher kar
A: ",tea kon drinks teacher kar,Yes
"None

Q: Is this sentence grammatical? Yes or No: newspaper kon kick kons cats
A: No

Q: Is this sentence grammatical? Yes or No: chalk kon touches kar teacher
A: No

Q: Is this sentence grammatical? Yes or No: hat kon push actresses kars
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper kon kicks teacher kar
A: Yes

Q: Is this sentence grammatical? Yes or No: lightbulb kar hits kon man
A: No

Q: Is this sentence grammatical? Yes or No: juice kon drinks cat kon
A: Yes

Q: Is this sentence grammatical? Yes or No: espresso kon drinks kar cook
A: No

Q: Is this sentence grammatical? Yes or No: meal kon eats cook kar
A: Yes

Q: Is this sentence grammatical? Yes or No: mouse kon hit girls kars
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon touch kars teachers
A: No

Q: Is this sentence grammatical? Yes or No: toy kon kick girls kars
A: ",toy kon kick girls kars,Yes
"None

Q: Is this sentence grammatical? Yes or No: bottle kar touch cats kons
A: Yes

Q: Is this sentence grammatical? Yes or No: cucumber kon eat kon lawyers
A: No

Q: Is this sentence grammatical? Yes or No: smoothie kon drinks kon actress
A: No

Q: Is this sentence grammatical? Yes or No: fish kon kick lawyers kon
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon kicks kon lawyer
A: No

Q: Is this sentence grammatical? Yes or No: chalk kon push cooks kars
A: Yes

Q: Is this sentence grammatical? Yes or No: smoothie kon drink kars cooks
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon pushes teacher kar
A: Yes

Q: Is this sentence grammatical? Yes or No: beverage kar drink kars girls
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon kicks girl kar
A: Yes

Q: Is this sentence grammatical? Yes or No: hat kon kick kars actresses
A: ",hat kon kick kars actresses,No
"None

Q: Is this sentence grammatical? Yes or No: toy kon touches doctor kar
A: Yes

Q: Is this sentence grammatical? Yes or No: biscuit kon eats kar teacher
A: No

Q: Is this sentence grammatical? Yes or No: postcard kar reads writer kons
A: Yes

Q: Is this sentence grammatical? Yes or No: lightbulb kar hit kars teachers
A: No

Q: Is this sentence grammatical? Yes or No: box kar kicks boy kon
A: Yes

Q: Is this sentence grammatical? Yes or No: page kar read boys kons
A: Yes

Q: Is this sentence grammatical? Yes or No: mouse kon hits kon lawyer
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon pushes kon architect
A: No

Q: Is this sentence grammatical? Yes or No: guide kar reads kon poet
A: No

Q: Is this sentence grammatical? Yes or No: mouse kon kicks architect kon
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper kon kick women kars
A: ",newspaper kon kick women kars,Yes
"None

Q: Is this sentence grammatical? Yes or No: cucumber kon eat kars cooks
A: No

Q: Is this sentence grammatical? Yes or No: novella kar reads teacher kar
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon pushes kar professor
A: No

Q: Is this sentence grammatical? Yes or No: hat kon push kars actresses
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon push dogs kons
A: Yes

Q: Is this sentence grammatical? Yes or No: poem kon reads professor kar
A: Yes

Q: Is this sentence grammatical? Yes or No: smoothie kon drinks kar doctor
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon push doctors kars
A: Yes

Q: Is this sentence grammatical? Yes or No: lightbulb kar kick kons dogs
A: No

Q: Is this sentence grammatical? Yes or No: fish kon eat women kars
A: Yes

Q: Is this sentence grammatical? Yes or No: hat kon touch kon lawyers
A: ",hat kon touch kon lawyers,No
