,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-r-1,"</s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the teacher touches a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a lawyer touches toy a
A: No

Q: Is this sentence grammatical? Yes or No: the teacher kicks a lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: a lawyer drinks a beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: the architects touch fish the
A: No

Q: Is this sentence grammatical? Yes or No: the girls drink milkshake the
A: No

Q: Is this sentence grammatical? Yes or No: the cooks hit the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers kick the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys hit cup the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher kicks mouse the
A: No

Q: Is this sentence grammatical? Yes or No: the doctor drinks the milkshake
A:",the doctor drinks the milkshake,Yes,Yes,,0
1,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the lawyer hits mouse a
A: No

Q: Is this sentence grammatical? Yes or No: a architect hits a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats drink the water
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses hit the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs eat the banana
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys push a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats kick cup the
A: No

Q: Is this sentence grammatical? Yes or No: a writer hits toy the
A: No

Q: Is this sentence grammatical? Yes or No: the cats touch lightbulb the
A: No

Q: Is this sentence grammatical? Yes or No: the men kick lightbulb a
A: No

Q: Is this sentence grammatical? Yes or No: the writers read poem the
A:",the writers read poem the,No,No,,0
2,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the girls hit a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: a writer pushes hat a
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers kick the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats kick a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a doctor kicks a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers push mouse the
A: No

Q: Is this sentence grammatical? Yes or No: the dogs kick cup the
A: No

Q: Is this sentence grammatical? Yes or No: a cook kicks newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the boys drink a coffee
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers touch fish the
A: No

Q: Is this sentence grammatical? Yes or No: the men drink a juice
A:",the men drink a juice,Yes,Yes,,0
3,en-r-1,"</s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a girl hits a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy eats banana the
A: No

Q: Is this sentence grammatical? Yes or No: the cooks hit toy the
A: No

Q: Is this sentence grammatical? Yes or No: a lawyer touches a toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses push hat the
A: No

Q: Is this sentence grammatical? Yes or No: the boys push a box
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses push the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats kick a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher drinks smoothie a
A: No

Q: Is this sentence grammatical? Yes or No: the lawyer eats cucumber a
A: No

Q: Is this sentence grammatical? Yes or No: the doctors push fish a
A:",the doctors push fish a,No,No,,0
4,en-r-1,"</s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a writer eats biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: the actress kicks hat a
A: No

Q: Is this sentence grammatical? Yes or No: the professors kick newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the actresses push toy a
A: No

Q: Is this sentence grammatical? Yes or No: the girls drink a beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls read the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman touches the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy kicks lightbulb a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers hit a toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher touches a lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors push chalk the
A:",the doctors push chalk the,No,No,,0
5,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the lawyer touches the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys push a box
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys hit bottle a
A: No

Q: Is this sentence grammatical? Yes or No: the professors eat the biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: a man drinks coffee a
A: No

Q: Is this sentence grammatical? Yes or No: the doctors hit fish the
A: No

Q: Is this sentence grammatical? Yes or No: the teachers touch chalk a
A: No

Q: Is this sentence grammatical? Yes or No: the dogs hit box the
A: No

Q: Is this sentence grammatical? Yes or No: a orator reads a letter
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers drink the milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher drinks tea a
A:",the teacher drinks tea a,No,No,,0
6,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the teacher drinks the milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: the dog hits the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: a doctor pushes a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers read novella the
A: No

Q: Is this sentence grammatical? Yes or No: the dogs drink tea the
A: No

Q: Is this sentence grammatical? Yes or No: the actresses hit fish the
A: No

Q: Is this sentence grammatical? Yes or No: the cook reads a chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher touches toy the
A: No

Q: Is this sentence grammatical? Yes or No: the actress hits toy the
A: No

Q: Is this sentence grammatical? Yes or No: the professors hit the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls kick toy a
A:",the girls kick toy a,No,No,,0
7,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the architects read chapter a
A: No

Q: Is this sentence grammatical? Yes or No: the cats touch cup a
A: No

Q: Is this sentence grammatical? Yes or No: the cats hit newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: the boys eat fruit a
A: No

Q: Is this sentence grammatical? Yes or No: the poets read the letter
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers push the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: a cook eats a cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls read the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: the orators read the postcard
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls kick newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: the actresses kick hat the
A:",the actresses kick hat the,No,No,,0
8,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the teacher pushes a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl reads chapter the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher drinks a coffee
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher pushes a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the cook touches the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors push a toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl touches hat a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers hit box the
A: No

Q: Is this sentence grammatical? Yes or No: a actress touches newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the cook kicks toy a
A: No

Q: Is this sentence grammatical? Yes or No: the women kick newspaper a
A:",the women kick newspaper a,No,No,,0
9,en-r-1,"</s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the dogs eat the banana
A: Yes

Q: Is this sentence grammatical? Yes or No: the writer pushes a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs kick a box
A: Yes

Q: Is this sentence grammatical? Yes or No: a writer eats biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: the actress kicks fish a
A: No

Q: Is this sentence grammatical? Yes or No: a girl eats biscuit a
A: No

Q: Is this sentence grammatical? Yes or No: the cook drinks the smoothie
A: Yes

Q: Is this sentence grammatical? Yes or No: a cook kicks newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the doctors eat a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the woman reads book a
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers touch a hat
A:",the lawyers touch a hat,Yes,Yes,,0
10,en-r-1,"</s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the teacher touches a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the professor kicks a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the cook touches chalk the
A: No

Q: Is this sentence grammatical? Yes or No: the men kick a lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: a doctor touches mouse a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers kick the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors kick the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers hit chalk the
A: No

Q: Is this sentence grammatical? Yes or No: the girl eats fish a
A: No

Q: Is this sentence grammatical? Yes or No: the cooks push chalk the
A: No

Q: Is this sentence grammatical? Yes or No: a writer pushes the toy
A:",a writer pushes the toy,Yes,Yes,,0
11,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the cat pushes a cup
A: Yes

Q: Is this sentence grammatical? Yes or No: the men kick a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: a orator reads guide a
A: No

Q: Is this sentence grammatical? Yes or No: the girl reads the chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses drink milkshake a
A: No

Q: Is this sentence grammatical? Yes or No: a teacher kicks a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs drink coffee the
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers read chapter a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers eat the banana
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher drinks milkshake the
A: No

Q: Is this sentence grammatical? Yes or No: the teachers kick the newspaper
A:",the teachers kick the newspaper,Yes,Yes,,0
