prompt,q,gold
"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Leela pungos that the frindles snugo gunzle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu pungos that the fuzzle chuskos the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria pungos that the progs stoffle yurump the
A: No

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the glump hufkos sturple the
A: No

Q: Is this sentence grammatical? Yes or No: Maria pungos that the kingles ungo komple the
A: No

Q: Is this sentence grammatical? Yes or No: Maria trongos that the grumblen hufko the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry trongos that the kingles ungo the ginso
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry gnobos that the pundles chusko the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: John herdles that the arcuplo stoffles the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria pungos that the kingle stoffles woggle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry pungos that the progs stoffles komple the
A: ",Harry pungos that the progs stoffles komple the,No
"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Maria trongos that the grumblen stoffle the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu herdles that the blincos chusko zibble the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela herdles that the hurple chuskos sturple the
A: No

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the frindle ungos the droczle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu herdles that the grumblen chunge the tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: John pungos that the glumps snugo the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom herdles that the kingles hufko woggle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom herdles that the frindle hufkos the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela soffles that the hurple hufkos tromple the
A: No

Q: Is this sentence grammatical? Yes or No: Leela herdles that the kingle ungos komple the
A: No

Q: Is this sentence grammatical? Yes or No: Maria herdles that the grumblen hufkos the droczle
A: ",Maria herdles that the grumblen hufkos the droczle,Yes
"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Maria gnobos that the hurple stoffles the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry soffles that the priffles ungo skrump the
A: No

Q: Is this sentence grammatical? Yes or No: Maria soffles that the kingle hufkos the woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the hurples hufko gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu herdles that the glump stoffles the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela trongos that the glump chunges the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria herdles that the blinco chuskos zibble the
A: No

Q: Is this sentence grammatical? Yes or No: Tom trongos that the glumps ungo droczle the
A: No

Q: Is this sentence grammatical? Yes or No: John gnobos that the glumps hufko the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela trongos that the wugen ungo droczle the
A: No

Q: Is this sentence grammatical? Yes or No: Maria gnobos that the hurples hufko droczle the
A: ",Maria gnobos that the hurples hufko droczle the,No
"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the priffle hufkos wompel the
A: No

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the arcuplos ungo the skung
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the frindle hufkos the sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry herdles that the knurkles chunge sturple the
A: No

Q: Is this sentence grammatical? Yes or No: Maria herdles that the hurple chuskos the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom pungos that the hurples hufko pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela herdles that the knurkles hufko pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Leela soffles that the wugen hufko sturple the
A: No

Q: Is this sentence grammatical? Yes or No: John trongos that the frindle stoffles the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: John pungos that the fuzzles chusko the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom herdles that the priffle hufko sturple the
A: ",Tom herdles that the priffle hufko sturple the,No
"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Sheela pungos that the frindle chunges fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu pungos that the frindles chusko zibble the
A: No

Q: Is this sentence grammatical? Yes or No: Tom soffles that the grumblen chunge the wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria herdles that the arcuplo chuskos pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the priffle stoffles the wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry pungos that the grumblen hufko tromple the
A: No

Q: Is this sentence grammatical? Yes or No: Leela trongos that the miffle chunges the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria soffles that the fuzzle chunges the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria gnobos that the krunko gurdles the froble
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom trongos that the miffles chusko pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Tom herdles that the miffle chunges tromple the
A: ",Tom herdles that the miffle chunges tromple the,No
"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Maria soffles that the hurple chuskos woggle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry gnobos that the krunkos gurdle the strumble
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu gnobos that the frindles chunge pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the miffle chunges the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela pungos that the prog chunges the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela pungos that the arcuplo gurdles hergo the
A: No

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the kingle gurdles the jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry gnobos that the fuzzle stoffles gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the blincos snugo the gunzle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom trongos that the fuzzle snugos plonkle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom pungos that the krunkos snugos the strumble
A: ",Tom pungos that the krunkos snugos the strumble,Yes
"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Maria herdles that the arcuplo chuskos pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the frindle chuskos gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela herdles that the blincos stoffle fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the pundles chunge gongle the
A: No

Q: Is this sentence grammatical? Yes or No: John trongos that the pundle chunges the woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom herdles that the hurples hufko the woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: John trongos that the wugen chusko sturple the
A: No

Q: Is this sentence grammatical? Yes or No: Harry pungos that the hurple hufkos the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom herdles that the kingles gurdle the gorgen
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the hurple hufkos the sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: John gnobos that the hurples chunge fugfug the
A: ",John gnobos that the hurples chunge fugfug the,No
"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Leela herdles that the quozzles gurdle strumble the
A: No

Q: Is this sentence grammatical? Yes or No: Leela pungos that the porpols gurdle the jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu pungos that the frindle hufkos zibble the
A: No

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the blinco gurdles the wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela herdles that the glump gurdles the wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry gnobos that the fuzzles chunge pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Tom pungos that the hurples stoffle fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: Tom herdles that the hurples hufko woggle the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the grumble ungos the skrump
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu herdles that the frindle chuskos the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu herdles that the hurples hufkos fugfug the
A: ",Gomu herdles that the hurples hufkos fugfug the,No
"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Harry trongos that the hurples chunge the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the wugen hufko the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry trongos that the frindle chuskos fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: Leela trongos that the priffles snugo the wungo
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry gnobos that the pundles snugo twizzle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry soffles that the hurples ungo komple the
A: No

Q: Is this sentence grammatical? Yes or No: Leela soffles that the fuzzle stoffles zibble the
A: No

Q: Is this sentence grammatical? Yes or No: Tom herdles that the kingles gurdle the gorgen
A: Yes

Q: Is this sentence grammatical? Yes or No: John trongos that the arcuplos chusko the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the priffle stoffles gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Leela trongos that the fuzzle chusko gongle the
A: ",Leela trongos that the fuzzle chusko gongle the,No
"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Tom trongos that the hurple ungos the forp
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry gnobos that the kingles gurdle froble the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu herdles that the glumps hufko sturple the
A: No

Q: Is this sentence grammatical? Yes or No: Maria gnobos that the fuzzle chunges the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the wug chunges zibble the
A: No

Q: Is this sentence grammatical? Yes or No: Harry herdles that the knurkle snugos yurump the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the hurple hufkos the prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela herdles that the hurples stoffle the woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry pungos that the hurple snugos yurump the
A: No

Q: Is this sentence grammatical? Yes or No: Harry trongos that the arcuplo hufkos the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry pungos that the wug snugos the prundle
A: ",Harry pungos that the wug snugos the prundle,Yes
