,type,prompt,q,prediction,gold,surprisal,int-grad
0,en,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: the actresses push mouse the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher touches a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: hits professor the a newspaper
A: No

Q: Is this sentence grammatical? Yes or No: a reads doctor a chapter
A: No

Q: Is this sentence grammatical? Yes or No: the touches actress a mouse
A: No

Q: Is this sentence grammatical? Yes or No: the authors letter a read
A: No

Q: Is this sentence grammatical? Yes or No: the professor kicks hat a
A: No

Q: Is this sentence grammatical? Yes or No: the actresses eat a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl espresso a drinks
A: No

Q: Is this sentence grammatical? Yes or No: pushes cat the a bottle
A: No

Q: Is this sentence grammatical? Yes or No: the the drinks doctor milkshake
A: ",the the drinks doctor milkshake,No,No,,0
1,en,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: the actresses push mouse the
A: No

Q: Is this sentence grammatical? Yes or No: the a touches teacher hat
A: No

Q: Is this sentence grammatical? Yes or No: hits professor the a newspaper
A: No

Q: Is this sentence grammatical? Yes or No: a reads doctor a chapter
A: No

Q: Is this sentence grammatical? Yes or No: the actress touches a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the authors letter a read
A: No

Q: Is this sentence grammatical? Yes or No: the professor kicks a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses eat a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl espresso a drinks
A: No

Q: Is this sentence grammatical? Yes or No: pushes cat the a bottle
A: No

Q: Is this sentence grammatical? Yes or No: the writers read poem the
A: ",the writers read poem the,No,No,,0
2,en,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: the actresses push the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher touches a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: hits professor the a newspaper
A: No

Q: Is this sentence grammatical? Yes or No: a reads doctor a chapter
A: No

Q: Is this sentence grammatical? Yes or No: the actress touches a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the authors letter a read
A: No

Q: Is this sentence grammatical? Yes or No: the professor kicks hat a
A: No

Q: Is this sentence grammatical? Yes or No: the actresses eat a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl espresso a drinks
A: No

Q: Is this sentence grammatical? Yes or No: the cat pushes a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the men drink a juice
A: ",the men drink a juice,Yes,Yes,,0
3,en,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: the actresses push the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the a touches teacher hat
A: No

Q: Is this sentence grammatical? Yes or No: the professor hits a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a reads doctor a chapter
A: No

Q: Is this sentence grammatical? Yes or No: the actress touches a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the authors letter a read
A: No

Q: Is this sentence grammatical? Yes or No: the professor kicks a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses eat a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl espresso a drinks
A: No

Q: Is this sentence grammatical? Yes or No: pushes cat the a bottle
A: No

Q: Is this sentence grammatical? Yes or No: the doctors push a fish
A: ",the doctors push a fish,Yes,Yes,,0
4,en,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: the actresses push mouse the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher touches a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: hits professor the a newspaper
A: No

Q: Is this sentence grammatical? Yes or No: a reads doctor a chapter
A: No

Q: Is this sentence grammatical? Yes or No: the touches actress a mouse
A: No

Q: Is this sentence grammatical? Yes or No: the authors read a letter
A: Yes

Q: Is this sentence grammatical? Yes or No: the professor kicks a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses eat a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl drinks a espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: pushes cat the a bottle
A: No

Q: Is this sentence grammatical? Yes or No: the the push doctors chalk
A: ",the the push doctors chalk,No,No,,0
5,en,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: the actresses push the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the a touches teacher hat
A: No

Q: Is this sentence grammatical? Yes or No: the professor hits a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a reads doctor a chapter
A: No

Q: Is this sentence grammatical? Yes or No: the touches actress a mouse
A: No

Q: Is this sentence grammatical? Yes or No: the authors letter a read
A: No

Q: Is this sentence grammatical? Yes or No: the professor kicks hat a
A: No

Q: Is this sentence grammatical? Yes or No: the actresses eat a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl drinks a espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: the cat pushes a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher drinks a tea
A: ",the teacher drinks a tea,Yes,Yes,,0
6,en,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: the actresses push the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the a touches teacher hat
A: No

Q: Is this sentence grammatical? Yes or No: hits professor the a newspaper
A: No

Q: Is this sentence grammatical? Yes or No: a reads doctor a chapter
A: No

Q: Is this sentence grammatical? Yes or No: the actress touches a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the authors read a letter
A: Yes

Q: Is this sentence grammatical? Yes or No: the professor kicks a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the a eat actresses fish
A: No

Q: Is this sentence grammatical? Yes or No: the girl espresso a drinks
A: No

Q: Is this sentence grammatical? Yes or No: the cat pushes a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the a kick girls toy
A: ",the a kick girls toy,No,No,,0
7,en,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: the actresses push the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher touches a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the professor hits a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a reads doctor a chapter
A: No

Q: Is this sentence grammatical? Yes or No: the actress touches a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the authors letter a read
A: No

Q: Is this sentence grammatical? Yes or No: the professor kicks hat a
A: No

Q: Is this sentence grammatical? Yes or No: the actresses eat a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl drinks a espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: the cat pushes a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the kick actresses the hat
A: ",the kick actresses the hat,No,No,,0
8,en,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: the actresses push mouse the
A: No

Q: Is this sentence grammatical? Yes or No: the a touches teacher hat
A: No

Q: Is this sentence grammatical? Yes or No: the professor hits a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a reads doctor a chapter
A: No

Q: Is this sentence grammatical? Yes or No: the touches actress a mouse
A: No

Q: Is this sentence grammatical? Yes or No: the authors letter a read
A: No

Q: Is this sentence grammatical? Yes or No: the professor kicks hat a
A: No

Q: Is this sentence grammatical? Yes or No: the a eat actresses fish
A: No

Q: Is this sentence grammatical? Yes or No: the girl drinks a espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: pushes cat the a bottle
A: No

Q: Is this sentence grammatical? Yes or No: the women kick a newspaper
A: ",the women kick a newspaper,No,Yes,,0
9,en,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: the actresses push the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher touches a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the professor hits a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a reads doctor a chapter
A: No

Q: Is this sentence grammatical? Yes or No: the touches actress a mouse
A: No

Q: Is this sentence grammatical? Yes or No: the authors read a letter
A: Yes

Q: Is this sentence grammatical? Yes or No: the professor kicks a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the a eat actresses fish
A: No

Q: Is this sentence grammatical? Yes or No: the girl drinks a espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: the cat pushes a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers touch a hat
A: ",the lawyers touch a hat,Yes,Yes,,0
