,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: the woman brings the cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the boy climbs the staircase doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the woman eats the doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a man brings a doesn't mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: a man carries the doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a girls carry the mouse doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a men hold the doesn't bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: a cat holds the fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the cat carries a fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the girl carries the doesn't bottle
A: Yes

",a teachers take a newspaper doesn't,No,No,"[('a', 0), ('teachers', 11.397187232971191), ('take', 16.43715476989746), ('a', 9.620464324951172), ('newspaper', 8.056233406066895), (""doesn'"", 27.293119430541992), (""doesn't"", 28.167999029159546)]",0
1,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: the speaker reads the doesn't poem
A: Yes

Q: Is this sentence grammatical? Yes or No: a men eat a pear doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the teacher carries the doesn't chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher brings a doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a men hold a bulb doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a poets read a story doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a cats bring a doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a men take a cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the dog climbs a staircase doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the teacher climbs the tree doesn't
A: No

",a teacher brings the mouse doesn't,Yes,No,"[('a', 0), ('teacher', 0.0003707701980601996), ('brings', 0.00017288238450419158), ('the', 0.00024518618010915816), ('mouse', 0.05424090102314949), (""doesn'"", 9.4539360361523e-05), (""doesn't"", 0.6420414511721901)]",0
2,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a man takes a doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a man climbs the roof doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a woman carries a bulb doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a woman takes a cap doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boy climbs the hill doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a cats bring a box doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the man brings a doesn't toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the boy takes the cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a dogs bring a bulb doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the man climbs a doesn't tree
A: Yes

",a teachers climb a doesn't rock,No,Yes,"[('a', 0), ('teachers', 0.0003707701980601996), ('climb', 2.329460494365776e-05), ('climb', 2.329460494365776e-05), ('a', 0.7286356091499329), (""doesn'"", 0.0036468662938204943), (""doesn't"", 0.5496949710568515)]",0
3,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: the woman carries a box doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a teachers carry a doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a boys take the doesn't bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: a men eat the doesn't cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: a women carry the doesn't newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats bring the bulb doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the boy carries the toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a man brings a mouse doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the man brings a doesn't toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a women hold a doesn't box
A: Yes

",a teacher climbs the doesn't mountain,Yes,Yes,"[('a', 0), ('teacher', 0.0003707701980601996), ('climbs', 0.0002061295963358134), ('climbs', 0.0002061295963358134), ('the', 0.34186887741088867), (""doesn'"", 0.11940964426915457), (""doesn't"", 0.7286155458919268)]",0
4,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a women carry a fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a woman climbs a doesn't mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: a women hold a bulb doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boys eat the doesn't banana
A: Yes

Q: Is this sentence grammatical? Yes or No: a men hold a doesn't chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl climbs the tree doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the boy holds the newspaper doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girl holds the mouse doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a woman climbs a doesn't tree
A: Yes

Q: Is this sentence grammatical? Yes or No: a boys climb the hill doesn't
A: No

",a cats eat a doesn't fruit,No,Yes,"[('a', 0), ('cats', 0.002681653219042346), ('cats', 0.002681653219042346), ('eat', 0.0016725579043850303), ('a', 9.30077803786844e-05), (""doesn'"", 0.02379373161420517), (""doesn't"", 0.6414007887087791)]",0
5,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a cats hold the doesn't toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats hold a fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a teachers take the doesn't cap
A: Yes

Q: Is this sentence grammatical? Yes or No: a men take a doesn't cup
A: Yes

Q: Is this sentence grammatical? Yes or No: the woman brings the doesn't mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: a teachers take a mouse doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a cats take a doesn't toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a women bring the cap doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the woman eats the doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a men hold the mouse doesn't
A: No

",a cat eats a doesn't biscuit,Yes,Yes,"[('a', 0), ('cat', 0.0003709176671691239), ('eats', 0.001954501887666993), ('eats', 0.001954501887666993), ('a', 0.36083143949508667), (""doesn'"", 0.3133275093724137), (""doesn't"", 0.9253028216053849)]",0
6,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a woman takes the doesn't toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats climb a doesn't roof
A: Yes

Q: Is this sentence grammatical? Yes or No: a women carry the doesn't newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a boys hold the newspaper doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a women take a doesn't newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy carries the doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: the dog takes the doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the dog holds the fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the writer reads the doesn't book
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats hold the doesn't bulb
A: Yes

",a speakers read the doesn't story,Yes,Yes,"[('a', 0), ('speakers', 0.0003746993825188838), ('speakers', 0.0003746993825188838), ('read', 0.3632287383079529), ('the', 0.00023152980429586023), (""doesn'"", 0.02802773989515117), (""doesn't"", 0.6079209712870579)]",0
7,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a girl eats a banana doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the dog takes the doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy reads a doesn't poem
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy takes a cap doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the boy carries the cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a woman carries a doesn't bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the cat eats a pear doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a women eat the doesn't fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl holds a doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats climb a doesn't roof
A: Yes

",the cat carries a doesn't chalk,No,Yes,"[('the', 0), ('cat', 0.0004798122972715646), ('carries', 0.0008561748545616865), ('carries', 0.0008561748545616865), ('a', 0.21056027710437775), (""doesn'"", 0.15306662834098006), (""doesn't"", 0.7933937839310374)]",0
8,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a boys eat the banana doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a teachers carry the doesn't bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the man takes the cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a teacher brings the doesn't cup
A: Yes

Q: Is this sentence grammatical? Yes or No: a dogs take a cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the boy reads a story doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a men hold the doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats hold a doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl holds a bottle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a teachers take the toy doesn't
A: No

",a teachers hold the newspaper doesn't,Yes,No,"[('a', 0), ('teachers', 0.0003707701980601996), ('hold', 1.12699826786411e-05), ('the', 1.1066788829339202e-05), ('newspaper', 0.027988005429506302), (""doesn'"", 0.00029794782494718675), (""doesn't"", 0.5048031649002951)]",0
9,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a dogs bring the doesn't chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher eats the doesn't meal
A: Yes

Q: Is this sentence grammatical? Yes or No: a women bring a doesn't toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the boy takes the cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boys bring the doesn't mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl reads a book doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a dogs hold the cap doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a dog brings the doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman takes the bottle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boys take a doesn't cup
A: Yes

",a girls carry a bulb doesn't,Yes,No,"[('a', 0), ('girls', 0.0003707701980601996), ('carry', 3.709748125402257e-05), ('a', 2.7838783353217877e-05), ('bulb', 0.08651575642579701), ('bulb', 0.08651575642579701), (""doesn'"", 0.13366228528593638)]",0
