,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Sheela notices that the cats eat pear the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the poet reads the chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela knows that the teachers eat the pear
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu says that the men bring the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that the girls take box the
A: No

Q: Is this sentence grammatical? Yes or No: Tom notices that the boys hold the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that the cats carry the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry notices that the teachers hold cup the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the cats climb tree the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the teacher eats cucumber the
A: No

",Sheela affirms that the girls eat fruit the,No,No,"[('Sheela', 11.092294692993164), ('Sheela', 11.092294692993164), ('affir', 29.743313789367676), ('affirms', 30.543159246444702), ('affirms', 30.543159246444702), ('that', 0.5877838134765625), ('the', 1.6781588792800903), ('girls', 3.202354669570923), ('eat', 10.571995735168457)]",0
1,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Leela says that the boys bring the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela says that the teachers carry mouse the
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that the men carry box the
A: No

Q: Is this sentence grammatical? Yes or No: Maria sees that the dog climbs the tree
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela knows that the teacher climbs the hill
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that the boys read the story
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the dogs carry the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that the author reads the story
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela sees that the teacher takes the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry notices that the teachers take box the
A: No

",John affirms that the woman carries the bulb,Yes,Yes,"[('John', 0), ('affir', 0.0007572921131213661), ('affirms', 0.5597077759121021), ('affirms', 0.5597077759121021), ('that', 0.7731271386146545), ('the', 0.3669625222682953), ('woman', 0.14818082749843597), ('carries', 0.002470151273882948), ('carries', 0.002470151273882948)]",0
2,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Maria sees that the girl eats the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela notices that the teacher carries the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry sees that the boys climb roof the
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that the dog climbs the rock
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that the dogs hold newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Tom sees that the men hold box the
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that the women hold bulb the
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that the teachers take the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the men take chalk the
A: No

Q: Is this sentence grammatical? Yes or No: Maria notices that the cats hold the newspaper
A: Yes

",Gomu notices that the authors read the story,Yes,Yes,"[('Gom', 0.0049145943485200405), ('Gomu', 0.006209512590430677), ('Gomu', 0.006209512590430677), ('notices', 0.006985804146097507), ('notices', 0.006985804146097507), ('that', 0.018924087285995483), ('the', 0.2564617097377777), ('authors', 0.16994412243366241), ('read', 7.828709931345657e-05)]",0
3,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Harry notices that the boy takes the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria notices that the boys climb rock the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela knows that the cats carry bulb the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the man eats the fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that the teachers take the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that the boy carries cup the
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that the boys take the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry affirms that the teacher eats pizza the
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that the cats eat the fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom sees that the girl climbs the mountain
A: Yes

",Maria sees that the girls climb the roof,Yes,Yes,"[('Maria', 0), ('sees', 9.979144670069218e-05), ('that', 2.817389577103313e-05), ('the', 0.013369736261665821), ('girls', 0.133973628282547), ('climb', 0.004126261872443138), ('climb', 0.004126261872443138), ('the', 0.48404425382614136), ('roof', 0.1840863674879074)]",0
4,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Leela knows that the boy brings cap the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu sees that the boy eats the cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom sees that the teachers take the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: John affirms that the men take the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that the boy holds fish the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that the girl eats banana the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela affirms that the dogs eat cucumber the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sees that the cat brings cup the
A: No

Q: Is this sentence grammatical? Yes or No: Harry affirms that the cat eats the meal
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that the teacher brings bottle the
A: No

",Maria knows that the speakers read story the,No,No,"[('Maria', 0), ('knows', 9.979144670069218e-05), ('that', 3.1553267035633326e-05), ('the', 0.1429910808801651), ('speakers', 0.09268562682518677), ('speakers', 0.09268562682518677), ('read', 0.9609968662261963), ('story', 0.0001918924244819209), ('the', 0.0002847387222573161)]",0
5,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Harry says that the women bring mouse the
A: No

Q: Is this sentence grammatical? Yes or No: Leela sees that the women eat the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that the cats carry chalk the
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that the dog carries the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela knows that the teachers take the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that the girl eats biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that the cats bring the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the dog carries toy the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu notices that the woman takes the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the authors read the chapter
A: Yes

",Harry notices that the boy takes toy the,No,No,"[('Harry', 0), ('notices', 9.122986375587061e-05), ('notices', 9.122986375587061e-05), ('that', 0.01325257308781147), ('the', 0.23691526055335999), ('boy', 0.15712091326713562), ('takes', 0.0050703128799796104), ('toy', 0.009372823813464493), ('toy', 0.009372823813464493)]",0
6,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Harry knows that the women climb rock the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the boys eat the pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that the boy eats biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that the girls carry cup the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu notices that the men eat pizza the
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that the girl climbs tree the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the cats climb the hill
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela notices that the girls hold chalk the
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that the woman takes cup the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu sees that the teachers take cap the
A: No

",Harry sees that the boys take the chalk,Yes,Yes,"[('Harry', 0), ('sees', 6.0349506384227425e-05), ('that', 2.582671368145384e-05), ('the', 0.012020942755043507), ('boys', 0.1615583896636963), ('take', 0.001548689790070057), ('the', 0.0010733641684055328), ('chalk', 0.115276311757043), ('chalk', 0.115276311757043)]",0
7,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Harry sees that the girl carries chalk the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu notices that the man eats the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: John knows that the boy carries the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: John notices that the cats carry the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that the women hold bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry knows that the boys read chapter the
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that the dogs hold the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the boy brings cap the
A: No

Q: Is this sentence grammatical? Yes or No: Leela notices that the boys carry newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that the poet reads the poem
A: Yes

",Harry knows that the cats hold fish the,No,No,"[('Harry', 0), ('knows', 6.0349506384227425e-05), ('that', 5.713144491892308e-05), ('the', 0.16590562462806702), ('cats', 0.09254329686518759), ('cats', 0.09254329686518759), ('hold', 0.019323790445923805), ('fish', 0.00025672558695077896), ('the', 9.506260539637879e-05)]",0
8,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Leela says that the teachers carry mouse the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the teacher eats cucumber the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the man takes the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry affirms that the cat climbs staircase the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela knows that the girl brings the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: John knows that the dog brings cap the
A: No

Q: Is this sentence grammatical? Yes or No: Tom sees that the girl climbs mountain the
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that the writers read story the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the woman holds box the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds the toy
A: Yes

",Sheela sees that the men bring mouse the,No,No,"[('Sheela', 0.0004578400985337794), ('Sheela', 0.0004578400985337794), ('sees', 0.00098864221945405), ('that', 6.409209890989587e-05), ('the', 0.00963056180626154), ('men', 0.1250251829624176), ('bring', 0.002827236894518137), ('mouse', 0.00038188142934814095), ('the', 1.3064341146673542e-06)]",0
9,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Maria affirms that the dogs hold mouse the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the woman carries box the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the boy climbs staircase the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela knows that the boys take box the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the cats bring mouse the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the girl brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that the cat takes the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the woman eats the pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu notices that the man eats fish the
A: No

Q: Is this sentence grammatical? Yes or No: Harry sees that the boys climb the roof
A: Yes

",John knows that the boy climbs mountain the,No,No,"[('John', 0), ('knows', 0.0007563264225609601), ('that', 2.364118699915707e-05), ('the', 0.12858892977237701), ('boy', 0.10639341920614243), ('climbs', 0.00041946682904381305), ('climbs', 0.00041946682904381305), ('mountain', 0.11434424668550491), ('the', 0.00013608793960884213)]",0
