,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did a teacher reads a why postcard?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the women drink the lemonade which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the girl eats a when fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teacher touches a hat why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a woman drinks the espresso what?
A: No

Q: Is this sentence grammatical? Yes or No: Did a cook pushes the which toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the professors read a poem what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the lawyer drinks a what milkshake?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cooks drink the why lemonade?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the actress hits a hat what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the doctor drinks the when milkshake?
A:",Did the doctor drinks the when milkshake?,No,Yes,"[('Did', 0), ('the', 11.107858657836914), ('doctor', 6.13286828994751), ('drinks', 10.651710510253906), ('the', 19.814990997314453), ('when', 4.984689712524414), ('milkshake', 28.82286834716797), ('milkshake?', 35.42957162857056)]",0
1,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the cooks drink the lemonade why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the doctors drink the who smoothie?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teacher kicks the toy who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the professors push the which mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a doctor pushes the fish when?
A: No

Q: Is this sentence grammatical? Yes or No: Did a teacher kicks a when hat?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cat pushes the when box?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the lawyer hits a when chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the professors kick the mouse why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the doctors push the newspaper which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the writers read the when poem?
A:",Did the writers read the when poem?,Yes,Yes,"[('Did', 0), ('the', 0.0004531076119747013), ('writers', 0.014250257052481174), ('read', 0.0007498008199036121), ('the', 0.0009860439458861947), ('when', 0.39739057421684265), ('poem?', 1.4130735053186072e-05), ('poem?', 1.4130735053186072e-05)]",0
2,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did a architect kicks the which fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the doctors eat a what biscuit?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a woman reads a when chapter?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teachers eat the banana who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a boy pushes the cup when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the writers read the who magazine?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the dogs drink the tea which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the doctors drink a espresso when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the girls kick the chalk which?
A: No

Q: Is this sentence grammatical? Yes or No: Did a actress hits the why newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the men drink a when juice?
A:",Did the men drink a when juice?,No,Yes,"[('Did', 0), ('the', 0.0004531076119747013), ('men', 0.014250257052481174), ('drink', 0.0004442422650754452), ('a', 0.00022884702775627375), ('when', 0.034551024436950684), ('juice?', 8.289267952932278e-06), ('juice?', 8.289267952932278e-06)]",0
3,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the man hits the when lightbulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the doctors eat the why meal?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the boys read a magazine when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the doctors hit a mouse which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the actress eats a which biscuit?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teachers hit a newspaper when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the teachers kick the toy who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the writers read a postcard what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the teachers drink the which espresso?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a dog kicks the which newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the doctors push a fish who?
A:",Did the doctors push a fish who?,No,No,"[('Did', 0), ('the', 0.0004531076119747013), ('doctors', 0.014250257052481174), ('push', 0.0003017656854353845), ('a', 0.0005194845725782216), ('fish', 0.029271742329001427), ('who?', 0.00035267781640868634), ('who?', 0.00035267781640868634)]",0
4,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did a boy hits a newspaper why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a boy reads a page which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the writers kick the who newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a boy reads the which novella?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a architect touches a when chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a writer hits a chalk who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the girl hits the which chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the doctors drink a lemonade what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the lawyers eat the who meal?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the men drink the coffee why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the doctors push the chalk why?
A:",Did the doctors push the chalk why?,No,No,"[('Did', 0), ('the', 0.0004531076119747013), ('doctors', 0.014250257052481174), ('push', 0.0003017656854353845), ('the', 0.0005194845725782216), ('chalk', 0.11858943535480648), ('chalk', 0.11858943535480648), ('why?', 0.024591168365077465)]",0
5,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the architects touch a mouse who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the teacher reads a which chapter?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teachers read the which magazine?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the writers eat the fish which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the teachers push the mouse who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the architects hit the toy what?
A: No

Q: Is this sentence grammatical? Yes or No: Did a boy eats the which banana?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the actress kicks a who toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cook pushes the what hat?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the dogs eat the pizza what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the teacher drinks a why tea?
A:",Did the teacher drinks a why tea?,No,Yes,"[('Did', 0), ('the', 0.0004531076119747013), ('teacher', 0.014250257052481174), ('drinks', 0.00027476076502352953), ('a', 5.46738237972022e-06), ('why', 0.024867409840226173), ('tea?', 0.001887345267391538), ('tea?', 0.001887345267391538)]",0
6,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the cooks push the chalk who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a teacher eats a why fruit?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cook reads a when chapter?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the lawyers push a why chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the professors eat the biscuit which?
A: No

Q: Is this sentence grammatical? Yes or No: Did a professor kicks a newspaper why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the writers drink the when beverage?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the architect touches the fish when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the architect drinks a smoothie what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the lawyers touch the when newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girls kick a who toy?
A:",Did the girls kick a who toy?,No,Yes,"[('Did', 0), ('the', 0.0004531076119747013), ('girls', 0.014250257052481174), ('kick', 0.00021398390526883304), ('a', 0.0008650548406876624), ('who', 0.018424440175294876), ('toy?', 7.907988310762448e-05), ('toy?', 7.907988310762448e-05)]",0
7,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the professor kicks a who fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teacher drinks a which smoothie?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the professors read a what poem?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the dogs eat the pizza what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the doctors drink the why milkshake?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teachers kick the cup which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cooks touch the mouse why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the writers eat a when cucumber?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a writer reads a letter who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a cook touches the fish why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the actresses kick the what hat?
A:",Did the actresses kick the what hat?,Yes,Yes,"[('Did', 0), ('the', 0.0004531076119747013), ('actresses', 0.014507364627206698), ('actresses', 0.014507364627206698), ('kick', 0.021800344809889793), ('the', 0.0002112655492965132), ('what', 0.07173681259155273), ('hat?', 0.00014490041030512657)]",0
8,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the architects hit the toy what?
A: No

Q: Is this sentence grammatical? Yes or No: Did a teacher reads a why postcard?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teachers touch a newspaper why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a woman eats a why cucumber?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the actresses touch the who toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the lawyers drink the espresso why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the women push the which fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cat pushes the newspaper why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a professor pushes the toy why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the architects drink a who milkshake?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the women kick a newspaper which?
A:",Did the women kick a newspaper which?,Yes,No,"[('Did', 0), ('the', 0.0004531076119747013), ('women', 0.014250257052481174), ('kick', 0.000304132467135787), ('a', 5.5524720664834604e-05), ('newspaper', 0.012253494001924992), ('which?', 0.00012318142034928314), ('which?', 0.00012318142034928314)]",0
9,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did a man kicks a what cup?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a woman pushes the when hat?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cats touch a cup who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cats eat the banana who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the orators read the what postcard?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a actress drinks the beverage who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the girls eat the fish which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the professor kicks a who fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a lawyer kicks the newspaper who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a man eats a who pear?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the lawyers touch a what hat?
A:",Did the lawyers touch a what hat?,Yes,Yes,"[('Did', 0), ('the', 0.0004531076119747013), ('lawyers', 0.014250257052481174), ('touch', 0.00010327395284548402), ('a', 2.5444840503041632e-05), ('what', 0.037174299359321594), ('hat?', 1.201281543217192e-05), ('hat?', 1.201281543217192e-05)]",0
10,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did a teacher eats a banana who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the boys hit the lightbulb when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the architect reads a what chapter?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the lawyers drink the espresso why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the women eat the who cucumber?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the lawyers kick the when toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girl touches a when newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the professors drink a beverage why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cats eat a pear when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cats touch the why lightbulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a writer pushes the when toy?
A:",Did a writer pushes the when toy?,Yes,Yes,"[('Did', 0), ('a', 0.0004531076119747013), ('writer', 0.005324931815266609), ('pushes', 0.0014168345951475203), ('pushes', 0.0014168345951475203), ('the', 6.64479230181314e-05), ('when', 0.12146314978599548), ('toy?', 4.751901997224195e-05)]",0
