,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 女性はエスプレッソ飲むをた
A: No

Q: Is this sentence grammatical? Yes or No: 建築家たちはマウスをた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女性たちは胡瓜食べるをた
A: No

Q: Is this sentence grammatical? Yes or No: 作家たちはレモネードをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は電球をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優は玩具触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 少年はボトル蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 女性は玩具押すをた
A: No

Q: Is this sentence grammatical? Yes or No: 教授は詩をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 演説家たちは小説をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者はミルクセーキ飲むをた
A: ",医者はミルクセーキ飲むをた,Yes,No,,0
1,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 建築家は玩具打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 作家たちは帽子をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちはコップ触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちはエスプレッソをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬はボトル押すをた
A: No

Q: Is this sentence grammatical? Yes or No: 作家はビスケットをた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちはマウス蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 料理人はマウス蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは水をた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬たちは新聞をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たちは詩をた読む
A: ",作家たちは詩をた読む,Yes,Yes,,0
2,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 医者は新聞押すをた
A: No

Q: Is this sentence grammatical? Yes or No: 教師は玩具触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちは帽子をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちは章読むをた
A: No

Q: Is this sentence grammatical? Yes or No: 料理人たちは玩具をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人は食事をた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子は新聞押すをた
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちはレモネードをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子は帽子打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 女の子はマウスをた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 男性はジュース飲むをた
A: ",男性はジュース飲むをた,No,No,,0
3,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 著者たちは手紙読むをた
A: No

Q: Is this sentence grammatical? Yes or No: 演説家たちは小説読むをた
A: No

Q: Is this sentence grammatical? Yes or No: 教師は電球をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは飲み物飲むをた
A: No

Q: Is this sentence grammatical? Yes or No: 少年たちは新聞触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 作家は白亜をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬たちは箱をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは電球打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 建築家たちは白亜をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫たちはバナナをた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちは魚押すをた
A: ",医者たちは魚押すをた,No,No,,0
4,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 女の子は飲み物をた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちは食事をた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士はレモネードをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 建築家は玩具打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 男性は新聞打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 猫はコップ押すをた
A: No

Q: Is this sentence grammatical? Yes or No: 少年はガイドをた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は白亜をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子は新聞蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちは胡瓜食べるをた
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちは白亜をた押す
A: ",医者たちは白亜をた押す,No,Yes,,0
5,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 少年たちはジュース飲むをた
A: No

Q: Is this sentence grammatical? Yes or No: 犬たちは新聞押すをた
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちは魚食べるをた
A: No

Q: Is this sentence grammatical? Yes or No: 猫たちはコップをた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは白亜をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 建築家たちは帽子をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優はマウス触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは電球打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちはビスケットをた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは白亜をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師はお茶をた飲む
A: ",教師はお茶をた飲む,No,Yes,,0
6,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 作家は白亜をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちは飲み物をた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たちは章をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬たちは電球押すをた
A: No

Q: Is this sentence grammatical? Yes or No: 医者はスムージー飲むをた
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは水飲むをた
A: No

Q: Is this sentence grammatical? Yes or No: 医者は新聞押すをた
A: No

Q: Is this sentence grammatical? Yes or No: 猫たちはジュース飲むをた
A: No

Q: Is this sentence grammatical? Yes or No: 男性は電球をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは玩具をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子たちは玩具をた蹴る
A: ",女の子たちは玩具をた蹴る,No,Yes,,0
7,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 教師たちはエスプレッソ飲むをた
A: No

Q: Is this sentence grammatical? Yes or No: 建築家は章をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちはガイドをた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人たちはマウス触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 犬は電球蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 建築家は魚をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 男は電球をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優は玩具蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 建築家は白亜触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士はミルクセーキをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは帽子をた蹴る
A: ",女優たちは帽子をた蹴る,No,Yes,,0
8,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 女の子たちは新聞触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士たちは新聞触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 料理人は帽子をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちはバナナ食べるをた
A: No

Q: Is this sentence grammatical? Yes or No: 女性は魚をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者は雑誌をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人たちは新聞をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子は章読むをた
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士たちは魚をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子は新聞押すをた
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちは新聞蹴るをた
A: ",女性たちは新聞蹴るをた,No,No,,0
9,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 男は梨をた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 建築家たちは魚食べるをた
A: No

Q: Is this sentence grammatical? Yes or No: 作家は帽子打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 女の子は食事食べるをた
A: No

Q: Is this sentence grammatical? Yes or No: 料理人は魚をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは新聞をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 建築家たちはミルクセーキ飲むをた
A: No

Q: Is this sentence grammatical? Yes or No: 女性はエスプレッソ飲むをた
A: No

Q: Is this sentence grammatical? Yes or No: 女優は魚をた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫たちはバナナをた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは帽子をた触る
A: ",弁護士たちは帽子をた触る,No,Yes,,0
