,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: もたらす を 新聞 先生 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を 玩具 は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: もたらす を ボトル 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 食べる を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を ボトル 男 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を 帽子 男 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を 玩具 は 男の子
A: Yes

Q: Is this sentence grammatical? Yes or No: のぼる を 階段 先生 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を ボトル 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を 白亜 男 は
A:",運ぶ を 白亜 男 は,No,No,"[('<0xE9>', 4.149014949798584), ('<0xE9><0x81>', 15.585690975189209), ('<0xE9><0x81><0x8B>', 19.487000703811646), ('<0xE9><0x81><0x8B>ぶ', 22.971649885177612), ('<0xE9><0x81><0x8B>ぶ', 33.83419966697693), ('<0xE9><0x81><0x8B>ぶを', 38.11457562446594)]",0
1,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: もたらす を 新聞 先生 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を 玩具 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: もたらす を ボトル 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 食べる を 魚 は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を ボトル 男 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を 帽子 は 男
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を 玩具 は 男の子
A: Yes

Q: Is this sentence grammatical? Yes or No: のぼる を 階段 先生 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を ボトル 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: のぼる を 山 先生 は
A:",のぼる を 山 先生 は,Yes,No,"[('の', 0.05636662244796753), ('の<0xE3>', 0.05637755907355313), ('の<0xE3><0x81>', 0.06179096513642435), ('の<0xE3><0x81><0xBC>', 1.0586860399807847), ('の<0xE3><0x81><0xBC>る', 1.65764918142213), ('の<0xE3><0x81><0xBC>る', 1.9369458776081956)]",0
2,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: もたらす を 新聞 は 先生
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を 玩具 は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: もたらす を ボトル 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 食べる を 魚 は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を ボトル 男 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を 帽子 男 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を 玩具 は 男の子
A: Yes

Q: Is this sentence grammatical? Yes or No: のぼる を 階段 先生 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を ボトル は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: のぼる を 山 は 女の子
A:",のぼる を 山 は 女の子,Yes,Yes,"[('の', 0.05636662244796753), ('の<0xE3>', 0.05637755907355313), ('の<0xE3><0x81>', 0.06179096513642435), ('の<0xE3><0x81><0xBC>', 1.0586860399807847), ('の<0xE3><0x81><0xBC>る', 1.65764918142213), ('の<0xE3><0x81><0xBC>る', 1.9369458776081956)]",0
3,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: もたらす を 新聞 は 先生
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を 玩具 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: もたらす を ボトル は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 食べる を 魚 は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を ボトル 男 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を 帽子 は 男
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を 玩具 は 男の子
A: Yes

Q: Is this sentence grammatical? Yes or No: のぼる を 階段 先生 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を ボトル 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: もたらす を ボトル は 女
A:",もたらす を ボトル は 女,Yes,Yes,"[('も', 0.05636662244796753), ('もた', 0.056373051758328074), ('もたら', 0.05965892450831234), ('もたらす', 0.3905337549927026), ('もたらす', 0.3905337549927026), ('を', 0.3549576923251152)]",0
4,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: もたらす を 新聞 先生 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を 玩具 は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: もたらす を ボトル 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 食べる を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を ボトル は 男
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を 帽子 は 男
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を 玩具 は 男の子
A: Yes

Q: Is this sentence grammatical? Yes or No: のぼる を 階段 は 先生
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を ボトル 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 食べる を 胡瓜 猫 は
A:",食べる を 胡瓜 猫 は,Yes,No,"[('食', 0.05636662244796753), ('食べ', 0.05637817382648791), ('食べる', 0.3239863693697771), ('食べる', 0.3239863693697771), ('を', 0.23221949860453606), ('を', 0.23221949860453606)]",0
5,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: もたらす を 新聞 は 先生
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を 玩具 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: もたらす を ボトル は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 食べる を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を ボトル 男 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を 帽子 男 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を 玩具 は 男の子
A: Yes

Q: Is this sentence grammatical? Yes or No: のぼる を 階段 は 先生
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を ボトル は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を 電球 は 猫
A:",運ぶ を 電球 は 猫,Yes,Yes,"[('<0xE9>', 0.05636662244796753), ('<0xE9><0x81>', 0.056727381772361696), ('<0xE9><0x81><0x8B>', 0.1236524306004867), ('<0xE9><0x81><0x8B>ぶ', 0.21298628521617502), ('<0xE9><0x81><0x8B>ぶ', 0.2135233748704195), ('<0xE9><0x81><0x8B>ぶを', 0.26498439721763134)]",0
6,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: もたらす を 新聞 は 先生
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を 玩具 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: もたらす を ボトル 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 食べる を 魚 は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を ボトル は 男
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を 帽子 は 男
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を 玩具 男の子 は
A: No

Q: Is this sentence grammatical? Yes or No: のぼる を 階段 先生 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を ボトル は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べる を 果物 女の子 は
A:",食べる を 果物 女の子 は,Yes,No,"[('食', 0.05636662244796753), ('食べ', 0.05637817382648791), ('食べる', 0.3239863693697771), ('食べる', 0.3239863693697771), ('を', 0.23221949860453606), ('を', 0.23221949860453606)]",0
7,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: もたらす を 新聞 は 先生
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を 玩具 は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: もたらす を ボトル は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 食べる を 魚 は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を ボトル 男 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を 帽子 男 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を 玩具 は 男の子
A: Yes

Q: Is this sentence grammatical? Yes or No: のぼる を 階段 は 先生
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を ボトル は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: もたらす を 魚 男 は
A:",もたらす を 魚 男 は,Yes,No,"[('も', 0.05636662244796753), ('もた', 0.056373051758328074), ('もたら', 0.05965892450831234), ('もたらす', 0.3905337549927026), ('もたらす', 0.3905337549927026), ('を', 0.3549576923251152)]",0
8,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: もたらす を 新聞 先生 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を 玩具 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: もたらす を ボトル は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 食べる を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を ボトル 男 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を 帽子 男 は
A: No

Q: Is this sentence grammatical? Yes or No: 運ぶ を 玩具 男の子 は
A: No

Q: Is this sentence grammatical? Yes or No: のぼる を 階段 は 先生
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を ボトル 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: もたらす を ボトル は 男の子
A:",もたらす を ボトル は 男の子,Yes,Yes,"[('も', 0.05636662244796753), ('もた', 0.056373051758328074), ('もたら', 0.05965892450831234), ('もたらす', 0.3905337549927026), ('もたらす', 0.3905337549927026), ('を', 0.3549576923251152)]",0
9,jap-u-2-invert,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: もたらす を 新聞 は 先生
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を 玩具 は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: もたらす を ボトル は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: 持つ を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 食べる を 魚 犬 は
A: No

Q: Is this sentence grammatical? Yes or No: 持つ を ボトル は 男
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を 帽子 は 男
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を 玩具 男の子 は
A: No

Q: Is this sentence grammatical? Yes or No: のぼる を 階段 は 先生
A: Yes

Q: Is this sentence grammatical? Yes or No: 運ぶ を ボトル は 犬
A: Yes

Q: Is this sentence grammatical? Yes or No: 読む を 小説 は 著者
A:",読む を 小説 は 著者,Yes,Yes,"[('<0xE8>', 0.05636662244796753), ('<0xE8><0xAA>', 0.05696607904974371), ('<0xE8><0xAA><0xAD>', 0.08311637828592211), ('<0xE8><0xAA><0xAD>む', 0.13003044167999178), ('<0xE8><0xAA><0xAD>む', 0.25135965237859637), ('<0xE8><0xAA><0xAD>むを', 0.37757411191705614)]",0
