,type,prompt,q,prediction,gold,surprisal,int-grad
0,en_S-r-2-subordinate,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Gomu gnobos that the hurple ungos gorp the
A: No

Q: Is this sentence grammatical? Yes or No: Harry herdles that the hurples ungo the skrump
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu soffles that the glump hufkos gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom soffles that the pundle chuskos the woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria trongos that the wugen chunge the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria herdles that the fuzzle stoffles fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: Harry trongos that the knurkles stoffle gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom pungos that the pundles ungo komple the
A: No

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the frindle chuskos the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom soffles that the glumps hufko the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria herdles that the priffle ungos the ginso
A:",Maria herdles that the priffle ungos the ginso,No,Yes,"[('Maria', 0), ('herd', 32.583778381347656), ('herdles', 38.28580045700073), ('herdles', 38.28580045700073), ('that', 8.424057006835938), ('the', 10.316305160522461), ('priff', 16.0962495803833), ('priffle', 30.73548698425293), ('priffle', 30.73548698425293)]",0
1,en_S-r-2-subordinate,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the frindle snugos kergum the
A: No

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the grumble stoffles the wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu gnobos that the hurples chusko gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom pungos that the hurples chunge the tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela trongos that the knurkles gurdle wrindle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the wug ungos the blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu gnobos that the grumblen snugo glumpo the
A: No

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the progs snugo yurump the
A: No

Q: Is this sentence grammatical? Yes or No: Harry trongos that the hurples gurdle the dringle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu soffles that the grumble stoffles the woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria pungos that the porpols gurdle the strumble
A:",Maria pungos that the porpols gurdle the strumble,Yes,Yes,"[('Maria', 0), ('pung', 5.904859790462069e-05), ('pungos', 0.00020674797633546405), ('pungos', 0.00020674797633546405), ('that', 0.000451744650490582), ('the', 0.0003771272604353726), ('porpol', 0.04372609703568742), ('porpols', 0.04376902056901599), ('porpols', 0.04376902056901599)]",0
2,en_S-r-2-subordinate,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Leela herdles that the arcuplo hufkos yurump the
A: No

Q: Is this sentence grammatical? Yes or No: Harry herdles that the knurkles chunge yurump the
A: No

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the kingle gurdles the jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: John trongos that the hurple chunges tromple the
A: No

Q: Is this sentence grammatical? Yes or No: Maria trongos that the hurples gurdle the wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry gnobos that the fuzzles chunge the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry pungos that the knurkles chusko yurump the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the miffle snugos the kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu trongos that the pundles chusko wompel the
A: No

Q: Is this sentence grammatical? Yes or No: Tom pungos that the wugen ungo the blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry soffles that the kingle ungos the ginso
A:",Harry soffles that the kingle ungos the ginso,Yes,Yes,"[('Harry', 0), ('soff', 5.1221590183558874e-05), ('soffles', 0.0020547711883409647), ('soffles', 0.0020547711883409647), ('that', 0.013212241232395172), ('the', 0.0015999189345166087), ('kingle', 0.06851822370663285), ('kingle', 0.06851822370663285), ('ungos', 0.00018205022206529975)]",0
3,en_S-r-2-subordinate,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Sheela herdles that the priffle snugos wungo the
A: No

Q: Is this sentence grammatical? Yes or No: Tom soffles that the glumps hufko fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: Maria pungos that the wugen chusko the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry gnobos that the priffle ungos gorp the
A: No

Q: Is this sentence grammatical? Yes or No: Maria pungos that the glumps hufko zibble the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu trongos that the blincos stoffle the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu trongos that the blincos gurdle the wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela herdles that the miffles gurdle dringle the
A: No

Q: Is this sentence grammatical? Yes or No: Maria herdles that the miffles stoffle the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the pundles stoffle the prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu gnobos that the hurples stoffle the sturple
A:",Gomu gnobos that the hurples stoffle the sturple,Yes,Yes,"[('Gom', 0.0014638828579336405), ('Gomu', 0.0025133744347840548), ('Gomu', 0.0025133744347840548), ('gnob', 0.008855967782437801), ('gnobos', 0.008855980930345453), ('gnobos', 0.008855980930345453), ('that', 0.0019160003867000341), ('the', 0.0005131682264618576), ('hurples', 0.007563951337942854)]",0
4,en_S-r-2-subordinate,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Maria soffles that the kingles ungo the gluggle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu soffles that the hurple chuskos the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela herdles that the porpol gurdles the jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the frindle snugos kergum the
A: No

Q: Is this sentence grammatical? Yes or No: Harry pungos that the arcuplos hufko pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Tom pungos that the miffle ungos skung the
A: No

Q: Is this sentence grammatical? Yes or No: Leela trongos that the pundle chuskos the wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu trongos that the grumblen ungo the gorp
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom herdles that the hurple gurdles hergo the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu soffles that the glump hufkos gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Leela herdles that the hurples stoffle the gongle
A:",Leela herdles that the hurples stoffle the gongle,Yes,Yes,"[('Leela', 0.00024849188048392534), ('Leela', 0.00024849188048392534), ('herd', 0.0021347503798097023), ('herdles', 0.031035636334308947), ('herdles', 0.031035636334308947), ('that', 0.00010019157343776897), ('the', 0.0007234840886667371), ('hurples', 0.10186918424733449), ('hurples', 0.10186918424733449)]",0
5,en_S-r-2-subordinate,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Harry trongos that the frindle chuskos fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: Tom trongos that the arcuplos chusko yurump the
A: No

Q: Is this sentence grammatical? Yes or No: Leela herdles that the hurples hufko prundle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry gnobos that the wugen snugo the kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry pungos that the glumps chusko the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria gnobos that the miffle stoffles the yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry soffles that the knurkle hufkos sturple the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela herdles that the miffles gurdle dringle the
A: No

Q: Is this sentence grammatical? Yes or No: Leela soffles that the arcuplos chunge the zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria gnobos that the hurples hufko the sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria herdles that the kingle ungos the gorp
A:",Maria herdles that the kingle ungos the gorp,No,Yes,"[('Maria', 0), ('herd', 3.777922438530368e-05), ('herdles', 0.018843877253402752), ('herdles', 0.018843877253402752), ('that', 0.0028362120501697063), ('the', 0.000796560023445636), ('kingle', 0.07641887350473553), ('kingle', 0.07641887350473553), ('ungos', 0.0002394847724644933)]",0
6,en_S-r-2-subordinate,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Leela herdles that the glump gurdles the wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria herdles that the hurples snugo the wungo
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom gnobos that the hurples ungo the snorfle
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the frindles chusko gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Leela soffles that the kingle chunges wompel the
A: No

Q: Is this sentence grammatical? Yes or No: Harry trongos that the hurples gurdle dringle the
A: No

Q: Is this sentence grammatical? Yes or No: Leela herdles that the arcuplo hufkos yurump the
A: No

Q: Is this sentence grammatical? Yes or No: Leela herdles that the hurples ungo gluggle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu soffles that the glump hufkos the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: John pungos that the hurple gurdles the shuggle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom pungos that the prog chuskos the sturple
A:",Tom pungos that the prog chuskos the sturple,Yes,Yes,"[('Tom', 0), ('pung', 0.00023757995586493053), ('pungos', 0.0004404654791869689), ('pungos', 0.0004404654791869689), ('that', 0.00038239924469962716), ('the', 0.00026400439674034715), ('prog', 0.09377862181281671), ('prog', 0.09377862181281671), ('chusk', 0.016577882430283353)]",0
7,en_S-r-2-subordinate,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Sheela herdles that the kingles ungo skrump the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela trongos that the kingle stoffles the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom pungos that the hurples chusko the wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry gnobos that the fuzzles hufko pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Maria trongos that the arcuplo hufkos gongle the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela soffles that the blinco snugos the gunzle
A: Yes

Q: Is this sentence grammatical? Yes or No: John trongos that the fuzzles ungo the skung
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry pungos that the grumble stoffles prundle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom pungos that the frindles hufko fugfug the
A: No

Q: Is this sentence grammatical? Yes or No: Leela soffles that the blincos ungo the blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu gnobos that the kingles snugo the blogle
A:",Gomu gnobos that the kingles snugo the blogle,Yes,Yes,"[('Gom', 0.0014638828579336405), ('Gomu', 0.0025133744347840548), ('Gomu', 0.0025133744347840548), ('gnob', 0.008855967782437801), ('gnobos', 0.008855980930345453), ('gnobos', 0.008855980930345453), ('that', 0.0019160003867000341), ('the', 0.0005131682264618576), ('kingles', 0.008221302123274654)]",0
8,en_S-r-2-subordinate,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: John herdles that the wugen gurdle skerpo the
A: No

Q: Is this sentence grammatical? Yes or No: Leela pungos that the hurple hufkos pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu trongos that the progs snugo the kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry pungos that the knurkles ungo forp the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the frindle hufkos the sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: John trongos that the kingles chusko the gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry pungos that the arcuplo chunges the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry trongos that the grumble ungos ginso the
A: No

Q: Is this sentence grammatical? Yes or No: Maria gnobos that the knurkle stoffles the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry pungos that the knurkles chusko yurump the
A: No

Q: Is this sentence grammatical? Yes or No: Leela pungos that the krunko gurdles the hergo
A:",Leela pungos that the krunko gurdles the hergo,Yes,Yes,"[('Leela', 0.00024849188048392534), ('Leela', 0.00024849188048392534), ('pung', 0.0022146806368255056), ('pungos', 0.00232701504137367), ('pungos', 0.00232701504137367), ('that', 0.00022300728596746922), ('the', 0.0006181253702379763), ('krunk', 0.013207178486482007), ('krunko', 0.016864432876900537)]",0
9,en_S-r-2-subordinate,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Leela herdles that the fuzzles ungo the forp
A: Yes

Q: Is this sentence grammatical? Yes or No: John gnobos that the knurkles chunge pelunko the
A: No

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the priffles stoffle gongle the
A: No

Q: Is this sentence grammatical? Yes or No: John soffles that the fuzzle chunges sturple the
A: No

Q: Is this sentence grammatical? Yes or No: John trongos that the hurples chusko the fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela pungos that the hurple hufkos the pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela gnobos that the miffle hufkos sturple the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu gnobos that the hurple ungos gorp the
A: No

Q: Is this sentence grammatical? Yes or No: Maria pungos that the priffle hufkos the tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela gnobos that the pundles stoffle the prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria herdles that the prog ungos the skung
A:",Maria herdles that the prog ungos the skung,No,Yes,"[('Maria', 0), ('herd', 3.777922438530368e-05), ('herdles', 0.018843877253402752), ('herdles', 0.018843877253402752), ('that', 0.0028362120501697063), ('the', 0.000796560023445636), ('prog', 0.07597835472552106), ('prog', 0.07597835472552106), ('ungos', 0.00838394070888171)]",0
