,type,prompt,q,prediction,gold,surprisal,int-grad
0,en_S-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a hurple ungos the gorp doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the hurples ungo the doesn't skrump
A: Yes

Q: Is this sentence grammatical? Yes or No: the glump hufkos the gongle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the pundle chuskos the doesn't woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: the wugen chunge a doesn't gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the fuzzle stoffles a fugfug doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the knurkles stoffle a gongle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the pundles ungo the komple doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the frindle chuskos the doesn't gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the glumps hufko the doesn't fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: a priffle ungos the doesn't ginso
A:",a priffle ungos the doesn't ginso,No,Yes,,0
1,en_S-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a frindle snugos the kergum doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a grumble stoffles a doesn't wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples chusko a gongle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the hurples chunge a doesn't tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: the knurkles gurdle the wrindle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the wug ungos a doesn't blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: the grumblen snugo a glumpo doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the progs snugo the yurump doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the hurples gurdle a doesn't dringle
A: Yes

Q: Is this sentence grammatical? Yes or No: a grumble stoffles a doesn't woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: the porpols gurdle the doesn't strumble
A:",the porpols gurdle the doesn't strumble,No,Yes,,0
2,en_S-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the arcuplo hufkos a yurump doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the knurkles chunge a yurump doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the kingle gurdles a doesn't jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurple chunges a tromple doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the hurples gurdle a doesn't wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: the fuzzles chunge a doesn't pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: the knurkles chusko the yurump doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the miffle snugos the doesn't kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: the pundles chusko the wompel doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the wugen ungo the doesn't blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: a kingle ungos a doesn't ginso
A:",a kingle ungos a doesn't ginso,Yes,Yes,,0
3,en_S-u-1-negation,"</s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the priffle snugos a wungo doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the glumps hufko the fugfug doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the wugen chusko the doesn't fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: a priffle ungos the gorp doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the glumps hufko a zibble doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the blincos stoffle a doesn't gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the blincos gurdle a doesn't wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: the miffles gurdle the dringle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the miffles stoffle a doesn't pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: the pundles stoffle a doesn't prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples stoffle the doesn't sturple
A:",the hurples stoffle the doesn't sturple,No,Yes,,0
4,en_S-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the kingles ungo a doesn't gluggle
A: Yes

Q: Is this sentence grammatical? Yes or No: a hurple chuskos the doesn't zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: a porpol gurdles a doesn't jimto
A: Yes

Q: Is this sentence grammatical? Yes or No: a frindle snugos the kergum doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the arcuplos hufko the pelunko doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a miffle ungos a skung doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a pundle chuskos the doesn't wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: the grumblen ungo a doesn't gorp
A: Yes

Q: Is this sentence grammatical? Yes or No: a hurple gurdles a hergo doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the glump hufkos the gongle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the hurples stoffle a doesn't gongle
A:",the hurples stoffle a doesn't gongle,Yes,Yes,,0
5,en_S-u-1-negation,"</s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the frindle chuskos a fugfug doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the arcuplos chusko a yurump doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the hurples hufko the prundle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the wugen snugo a doesn't kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: the glumps chusko the doesn't gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the miffle stoffles the doesn't yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: a knurkle hufkos the sturple doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the miffles gurdle the dringle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the arcuplos chunge a doesn't zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples hufko the doesn't sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: a kingle ungos a doesn't gorp
A:",a kingle ungos a doesn't gorp,Yes,Yes,,0
6,en_S-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a glump gurdles a doesn't wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples snugo a doesn't wungo
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples ungo the doesn't snorfle
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindles chusko a gongle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a kingle chunges the wompel doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the hurples gurdle a dringle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the arcuplo hufkos a yurump doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the hurples ungo a gluggle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a glump hufkos a doesn't pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurple gurdles a doesn't shuggle
A: Yes

Q: Is this sentence grammatical? Yes or No: the prog chuskos the doesn't sturple
A:",the prog chuskos the doesn't sturple,No,Yes,,0
7,en_S-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the kingles ungo a skrump doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the kingle stoffles a doesn't gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurples chusko the doesn't wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: the fuzzles hufko the pelunko doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a arcuplo hufkos a gongle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a blinco snugos a doesn't gunzle
A: Yes

Q: Is this sentence grammatical? Yes or No: the fuzzles ungo the doesn't skung
A: Yes

Q: Is this sentence grammatical? Yes or No: the grumble stoffles the prundle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the frindles hufko a fugfug doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the blincos ungo a doesn't blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: the kingles snugo a doesn't blogle
A:",the kingles snugo a doesn't blogle,Yes,Yes,,0
8,en_S-u-1-negation,"</s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the wugen gurdle a skerpo doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the hurple hufkos the pelunko doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the progs snugo the doesn't kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: the knurkles ungo the forp doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the frindle hufkos a doesn't sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: the kingles chusko the doesn't gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: a arcuplo chunges the doesn't fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: a grumble ungos a ginso doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a knurkle stoffles the doesn't fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: the knurkles chusko the yurump doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the krunko gurdles the doesn't hergo
A:",the krunko gurdles the doesn't hergo,Yes,Yes,,0
9,en_S-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the fuzzles ungo the doesn't forp
A: Yes

Q: Is this sentence grammatical? Yes or No: the knurkles chunge the pelunko doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the priffles stoffle a gongle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the fuzzle chunges the sturple doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the hurples chusko the doesn't fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurple hufkos the doesn't pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: a miffle hufkos a sturple doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a hurple ungos the gorp doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the priffle hufkos the doesn't tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: the pundles stoffle a doesn't prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: the prog ungos the doesn't skung
A:",the prog ungos the doesn't skung,No,Yes,,0
10,en_S-u-1-negation,"</s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a pundle chuskos the doesn't gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: a wug chuskos a yurump doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the hurples chusko the gongle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a arcuplo chuskos a doesn't yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurple chunges a tromple doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the wugen chusko the doesn't fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: the arcuplos ungo the doesn't snorfle
A: Yes

Q: Is this sentence grammatical? Yes or No: the frindles stoffle a yurump doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the arcuplos hufko the doesn't pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: the hurple gurdles a wrindle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the priffle snugos a doesn't twizzle
A:",the priffle snugos a doesn't twizzle,Yes,Yes,,0
11,en_S-u-1-negation,"</s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the blincos hufko the doesn't fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: the glumps chunge a yurump doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the progs stoffle the doesn't gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: the wug chunges a gongle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a frindle stoffles a doesn't gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: a grumble stoffles a woggle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the knurkle stoffles a yurump doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a hurple chuskos the doesn't zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: a arcuplo ungos a doesn't blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: a miffle hufkos the pelunko doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the grumblen hufko the doesn't tromple
A:",the grumblen hufko the doesn't tromple,Yes,Yes,,0
