,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Tom affirms that the dog brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the man carries the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the boy carries chalk the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the woman climbs rock the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the boys bring bottle the
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that the cat brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the woman takes fish the
A: No

Q: Is this sentence grammatical? Yes or No: Harry sees that the writers read the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the cat takes box the
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that the teachers carry bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that the girls take bottle the
A: ",Harry says that the girls take bottle the,No,No,,0
1,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Tom affirms that the dog brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the man carries bulb the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the boy carries chalk the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the woman climbs rock the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the boys bring the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: John affirms that the cat brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the woman takes the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry sees that the writers read the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the cat takes box the
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that the teachers carry bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry affirms that the cat takes toy the
A: ",Harry affirms that the cat takes toy the,No,No,,0
2,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Tom affirms that the dog brings the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that the man carries the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the boy carries chalk the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the woman climbs rock the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the boys bring the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: John affirms that the cat brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the woman takes fish the
A: No

Q: Is this sentence grammatical? Yes or No: Harry sees that the writers read the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the cat takes box the
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that the teachers carry the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the man brings the box
A: ",Tom affirms that the man brings the box,Yes,Yes,,0
3,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Tom affirms that the dog brings the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that the man carries bulb the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the boy carries the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the woman climbs rock the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the boys bring the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: John affirms that the cat brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the woman takes the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry sees that the writers read the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the cat takes box the
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that the teachers carry bottle the
A: No

Q: Is this sentence grammatical? Yes or No: John notices that the girls carry the chalk
A: ",John notices that the girls carry the chalk,Yes,Yes,,0
4,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Tom affirms that the dog brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the man carries the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the boy carries chalk the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the woman climbs rock the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the boys bring bottle the
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that the cat brings the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the woman takes the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry sees that the writers read the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the cat takes the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the teachers carry bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu notices that the woman takes bottle the
A: ",Gomu notices that the woman takes bottle the,No,No,,0
5,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Tom affirms that the dog brings the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that the man carries bulb the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the boy carries the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the woman climbs rock the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the boys bring bottle the
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that the cat brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the woman takes fish the
A: No

Q: Is this sentence grammatical? Yes or No: Harry sees that the writers read the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the cat takes the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the teachers carry the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela sees that the men bring the mouse
A: ",Sheela sees that the men bring the mouse,Yes,Yes,,0
6,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Tom affirms that the dog brings the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that the man carries bulb the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the boy carries chalk the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the woman climbs rock the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the boys bring the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: John affirms that the cat brings the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the woman takes the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry sees that the writers read poem the
A: No

Q: Is this sentence grammatical? Yes or No: Tom says that the cat takes box the
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that the teachers carry the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria sees that the men eat meal the
A: ",Maria sees that the men eat meal the,No,No,,0
7,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Tom affirms that the dog brings the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that the man carries the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the boy carries the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the woman climbs rock the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the boys bring the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: John affirms that the cat brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the woman takes fish the
A: No

Q: Is this sentence grammatical? Yes or No: Harry sees that the writers read the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the cat takes the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the teachers carry the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela notices that the woman takes mouse the
A: ",Leela notices that the woman takes mouse the,No,No,,0
8,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Tom affirms that the dog brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the man carries bulb the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the boy carries the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the woman climbs rock the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the boys bring bottle the
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that the cat brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the woman takes fish the
A: No

Q: Is this sentence grammatical? Yes or No: Harry sees that the writers read poem the
A: No

Q: Is this sentence grammatical? Yes or No: Tom says that the cat takes the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the teachers carry bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that the cats hold the cup
A: ",Sheela notices that the cats hold the cup,Yes,Yes,,0
9,en-r-1-subordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Tom affirms that the dog brings the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that the man carries the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the boy carries the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the woman climbs rock the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the boys bring bottle the
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that the cat brings the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the woman takes the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry sees that the writers read poem the
A: No

Q: Is this sentence grammatical? Yes or No: Tom says that the cat takes the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the teachers carry the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela notices that the cat eats the banana
A: ",Leela notices that the cat eats the banana,Yes,Yes,,0
