,type,prompt,q,prediction,gold,surprisal,int-grad
0,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Leela affirms that kon man holds kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that kars girls take kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom notices that kars women carry kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that kon man takes kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu notices that kons dogs bring box kar
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that kons dogs hold fish kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that kon poet reads kon book
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that kon boy takes fish kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela affirms that kars women hold kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela sees that kar woman holds kon fish
A: Yes

",Leela affirms that kons cats bring box kar,No,No,"[('Leela', 9.832754135131836), ('Leela', 9.832754135131836), ('affir', 29.401305198669434), ('affirms', 30.71830701828003), ('affirms', 30.71830701828003), ('that', 0.2413528859615326), ('kons', 13.680824637413025), ('kons', 13.680824637413025), ('cats', 29.734663009643555)]",0
1,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Harry notices that kon teacher takes mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that kons boys bring mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela notices that kars women hold kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry knows that kon boy brings chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom notices that kars women carry kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela says that kars girls take bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: Leela notices that kar girl brings kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that kons dogs take kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that kar woman eats fish kon
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sees that kons cats hold kon toy
A: Yes

",John sees that kars women eat meal kon,Yes,No,"[('John', 0), ('sees', 0.0007563264225609601), ('that', 2.336575744266156e-05), ('kars', 0.03130010831227992), ('kars', 0.03130010831227992), ('women', 1.8703429304878227e-05), ('eat', 3.357946843607351e-05), ('meal', 0.001210981936310418), ('meal', 0.001210981936310418)]",0
2,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Harry sees that kons teachers read kar poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela knows that kon speaker reads book kon
A: No

Q: Is this sentence grammatical? Yes or No: Gomu notices that kar woman takes bottle kar
A: No

Q: Is this sentence grammatical? Yes or No: Maria affirms that kons cats carry kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that kons dogs climb tree kar
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that kons teachers bring kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that kon dog takes bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that kons dogs carry bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: Harry knows that kon man brings kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that kon man takes fish kon
A: No

",Gomu knows that kons cats hold kon cap,No,Yes,"[('Gom', 0.0049145943485200405), ('Gomu', 0.006209512590430677), ('Gomu', 0.006209512590430677), ('knows', 0.0069305733777582645), ('that', 8.394771612074692e-06), ('kons', 0.2098404059652239), ('kons', 0.2098404059652239), ('cats', 2.846019015123602e-05), ('cats', 2.846019015123602e-05)]",0
3,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Tom says that kar woman eats kon meal
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that kon man climbs kar hill
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that kon boy brings box kar
A: No

Q: Is this sentence grammatical? Yes or No: Harry knows that kon boy carries kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom sees that kons cats hold bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that kars girls read book kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela notices that kars girls hold cap kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela notices that kar girl brings mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that kons boys bring mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: Sheela knows that kar girl brings chalk kon
A: No

",Leela sees that kons teachers hold kon chalk,No,Yes,"[('Leela', 0.0010965942637994885), ('Leela', 0.0010965942637994885), ('sees', 0.0013410138199105859), ('that', 9.5134433649946e-05), ('kons', 0.016611430590273812), ('kons', 0.016611430590273812), ('teachers', 3.71458736481145e-05), ('hold', 7.024878414085833e-06), ('kon', 9.522983600618318e-05)]",0
4,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Sheela affirms that kons men hold toy kon
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that kon boy holds cap kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that kar girl reads kar story
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that kons dogs bring fish kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria sees that kars girls hold bottle kar
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that kon man climbs kar tree
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that kon man takes bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sees that kons dogs eat kar banana
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that kon poet reads kon book
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela notices that kars girls take kon toy
A: Yes

",John says that kon man carries bulb kar,No,No,"[('John', 0), ('says', 0.0007563264225609601), ('that', 0.00017536975792609155), ('kon', 0.13349930942058563), ('man', 1.7586489775567316e-07), ('carries', 0.00011187056952621788), ('carries', 0.00011187056952621788), ('bulb', 0.38336187853565207), ('bulb', 0.38336187853565207)]",0
5,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Gomu sees that kons dogs carry mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that kars girls bring kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that kon man brings kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that kar woman brings cap kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela affirms that kon dog carries chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: Sheela knows that kons boys take box kar
A: No

Q: Is this sentence grammatical? Yes or No: Gomu sees that kons cats hold bottle kar
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that kon cat carries toy kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that kons cats take toy kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom sees that kons teachers hold kon mouse
A: Yes

",Sheela affirms that kon dog carries bulb kar,No,No,"[('Sheela', 0.00045802220120094717), ('Sheela', 0.00045802220120094717), ('affir', 0.000986364447271626), ('affirms', 0.5753970414034484), ('affirms', 0.5753970414034484), ('that', 0.6653642058372498), ('kon', 0.312481164932251), ('dog', 2.8374995508784195e-07), ('carries', 0.0004199301464495875)]",0
6,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: John says that kar girl eats pizza kar
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that kon man brings kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu sees that kons boys climb kar staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria notices that kon cat holds cap kon
A: No

Q: Is this sentence grammatical? Yes or No: John notices that kar girl holds toy kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria sees that kons men eat kon meal
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela sees that kon teacher climbs kar mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria sees that kon dog climbs kar tree
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry knows that kon teacher holds kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that kon boy carries chalk kon
A: No

",Maria notices that kons boys hold kon chalk,Yes,Yes,"[('Maria', 0), ('notices', 0.00013685516023542732), ('notices', 0.00013685516023542732), ('that', 0.09006497263908386), ('kons', 0.28051019919803366), ('kons', 0.28051019919803366), ('boys', 9.841231076279655e-06), ('hold', 4.449956918506359e-07), ('kon', 0.00019797431014012545)]",0
7,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Harry sees that kars women carry kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria notices that kons speakers read kar poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria affirms that kons men hold mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that kons cats bring kar bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria sees that kons men bring kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry sees that kons boys climb roof kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela says that kar woman climbs hill kar
A: No

Q: Is this sentence grammatical? Yes or No: John notices that kon author reads chapter kon
A: No

Q: Is this sentence grammatical? Yes or No: John notices that kons boys hold fish kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria affirms that kon man brings fish kon
A: No

",Tom knows that kon dog eats pear kar,Yes,No,"[('Tom', 0), ('knows', 0.0002904530265368521), ('that', 3.450042277108878e-05), ('kon', 0.13606148958206177), ('dog', 1.6093744648060238e-07), ('eats', 0.0014100670773018464), ('eats', 0.0014100670773018464), ('pear', 0.5490756565704942), ('pear', 0.5490756565704942)]",0
8,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Leela notices that kar woman eats kon biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela sees that kar girl reads kon chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela notices that kons boys eat meal kon
A: No

Q: Is this sentence grammatical? Yes or No: Harry knows that kons dogs carry newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria sees that kon cat takes bottle kar
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that kon dog takes mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that kars women bring toy kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela notices that kons cats bring kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that kar girl eats kon meal
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria sees that kons teachers hold kon toy
A: Yes

",Sheela knows that kon man takes kar box,Yes,Yes,"[('Sheela', 0.0004578400985337794), ('Sheela', 0.0004578400985337794), ('knows', 0.00098864221945405), ('that', 3.956319051212631e-05), ('kon', 0.15544161200523376), ('man', 3.101517620507366e-07), ('takes', 8.102915671770461e-06), ('kar', 0.00020769087132066488), ('box', 0.0008029238670133054)]",0
9,it-r-3-subordinate,"Q: Is this sentence grammatical? Yes or No: Leela notices that kars girls hold cap kon
A: No

Q: Is this sentence grammatical? Yes or No: Harry notices that kar girl brings kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that kons teachers carry newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that kars women take cap kon
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that kar woman takes chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that kon man climbs kar hill
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria notices that kons speakers read kar poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that kons dogs hold cup kar
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that kar girl takes toy kon
A: No

Q: Is this sentence grammatical? Yes or No: Maria sees that kon cat carries kon chalk
A: Yes

",Maria says that kars girls hold kon mouse,No,Yes,"[('Maria', 0), ('says', 9.979144670069218e-05), ('that', 0.0002560639404691756), ('kars', 0.0871531673183199), ('kars', 0.0871531673183199), ('girls', 2.8209949960000813e-05), ('hold', 7.88226316217333e-06), ('kon', 0.00019056459132116288), ('mouse', 3.9879173527879175e-06)]",0
