prompt,q,gold
"None

Q: Is this sentence grammatical? Yes or No: kar teacher touches kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyer touches toy kon
A: No

Q: Is this sentence grammatical? Yes or No: kar teacher kicks kar lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyer drinks kar beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: kon architects touch fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls drink milkshake kon
A: No

Q: Is this sentence grammatical? Yes or No: kars cooks hit kon hat
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyers kick kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys hit cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kar teacher kicks mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kar doctor drinks milkshake kon
A: ",kar doctor drinks milkshake kon,No
"None

Q: Is this sentence grammatical? Yes or No: kon lawyer hits mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kon architect hits kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats drink kar water
A: Yes

Q: Is this sentence grammatical? Yes or No: kars actresses hit kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs eat kar banana
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys push kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats kick cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kons writer hits toy kon
A: No

Q: Is this sentence grammatical? Yes or No: kons cats touch lightbulb kar
A: No

Q: Is this sentence grammatical? Yes or No: kons men kick lightbulb kar
A: No

Q: Is this sentence grammatical? Yes or No: kars writers read kon poem
A: ",kars writers read kon poem,Yes
"None

Q: Is this sentence grammatical? Yes or No: kars girls hit kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kons writer pushes hat kon
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyers kick kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats kick kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kar doctor kicks kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyers push mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs kick cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kar cook kicks newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kons boys drink kon coffee
A: Yes

Q: Is this sentence grammatical? Yes or No: kars teachers touch fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kons men drink juice kon
A: ",kons men drink juice kon,No
"None

Q: Is this sentence grammatical? Yes or No: kar girl hits kon hat
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy eats banana kar
A: No

Q: Is this sentence grammatical? Yes or No: kars cooks hit toy kon
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyer touches kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kars actresses push hat kon
A: No

Q: Is this sentence grammatical? Yes or No: kons boys push kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kars actresses push kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats kick kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar teacher drinks smoothie kon
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyer eats cucumber kon
A: No

Q: Is this sentence grammatical? Yes or No: kars doctors push kon fish
A: ",kars doctors push kon fish,Yes
"None

Q: Is this sentence grammatical? Yes or No: kons writer eats biscuit kon
A: No

Q: Is this sentence grammatical? Yes or No: kon actress kicks hat kon
A: No

Q: Is this sentence grammatical? Yes or No: kars professors kick newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kars actresses push toy kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls drink kar beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls read kon poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman touches kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy kicks lightbulb kar
A: No

Q: Is this sentence grammatical? Yes or No: kars teachers hit kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kar teacher touches kar lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kars doctors push kon chalk
A: ",kars doctors push kon chalk,Yes
"None

Q: Is this sentence grammatical? Yes or No: kon lawyer touches kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys push kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys hit bottle kar
A: No

Q: Is this sentence grammatical? Yes or No: kars professors eat kon biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man drinks coffee kon
A: No

Q: Is this sentence grammatical? Yes or No: kars doctors hit fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kars teachers touch chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs hit box kar
A: No

Q: Is this sentence grammatical? Yes or No: kon orator reads kar letter
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyers drink kon milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: kar teacher drinks kon tea
A: ",kar teacher drinks kon tea,Yes
"None

Q: Is this sentence grammatical? Yes or No: kar teacher drinks kon milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog hits kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kar doctor pushes kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kars teachers read novella kar
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs drink tea kon
A: No

Q: Is this sentence grammatical? Yes or No: kars actresses hit fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kar cook reads kon chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: kar teacher touches toy kon
A: No

Q: Is this sentence grammatical? Yes or No: kon actress hits toy kon
A: No

Q: Is this sentence grammatical? Yes or No: kars professors hit kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls kick kon toy
A: ",kars girls kick kon toy,Yes
"None

Q: Is this sentence grammatical? Yes or No: kon architects read chapter kon
A: No

Q: Is this sentence grammatical? Yes or No: kons cats touch cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kons cats hit newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kons boys eat fruit kar
A: No

Q: Is this sentence grammatical? Yes or No: kons poets read kar letter
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyers push kon hat
A: Yes

Q: Is this sentence grammatical? Yes or No: kar cook eats kon cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls read kon poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kons orators read kar postcard
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls kick newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kars actresses kick kon hat
A: ",kars actresses kick kon hat,Yes
"None

Q: Is this sentence grammatical? Yes or No: kar teacher pushes kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl reads chapter kon
A: No

Q: Is this sentence grammatical? Yes or No: kar teacher drinks kon coffee
A: Yes

Q: Is this sentence grammatical? Yes or No: kar teacher pushes kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kar cook touches kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kars doctors push kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl touches hat kon
A: No

Q: Is this sentence grammatical? Yes or No: kars teachers hit box kar
A: No

Q: Is this sentence grammatical? Yes or No: kon actress touches newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kar cook kicks toy kon
A: No

Q: Is this sentence grammatical? Yes or No: kars women kick kon newspaper
A: ",kars women kick kon newspaper,Yes
"None

Q: Is this sentence grammatical? Yes or No: kons dogs eat kar banana
A: Yes

Q: Is this sentence grammatical? Yes or No: kons writer pushes kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs kick kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons writer eats biscuit kon
A: No

Q: Is this sentence grammatical? Yes or No: kon actress kicks fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kar girl eats biscuit kon
A: No

Q: Is this sentence grammatical? Yes or No: kar cook drinks kon smoothie
A: Yes

Q: Is this sentence grammatical? Yes or No: kar cook kicks newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kars doctors eat kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman reads book kon
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyers touch hat kon
A: ",kon lawyers touch hat kon,No
"None

Q: Is this sentence grammatical? Yes or No: kar teacher touches kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kar professor kicks kon hat
A: Yes

Q: Is this sentence grammatical? Yes or No: kar cook touches chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kons men kick kar lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kar doctor touches mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kars teachers kick kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kars doctors kick kon hat
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyers hit chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kar girl eats fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kars cooks push chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kons writer pushes toy kon
A: ",kons writer pushes toy kon,No
