,type,prompt,q,prediction,gold,surprisal,int-grad
0,it-u-1-negation,"Q: Is this sentence grammatical? Yes or No: kons teachers read kar no poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers eat kon no biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers bring kon toy no
A: No

Q: Is this sentence grammatical? Yes or No: kar girl holds kar no bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman carries kar no box
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl carries kon no newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat holds kar bulb no
A: No

Q: Is this sentence grammatical? Yes or No: kars women take kar no bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs carry kon mouse no
A: No

Q: Is this sentence grammatical? Yes or No: kons cats take kar no bulb
A: Yes

",kar girl eats kon fish no,Yes,No,"[('kar', 0), ('girl', 20.798023223876953), ('eats', 32.8312406539917), ('eats', 32.8312406539917), ('kon', 9.574394226074219), ('fish', 13.915277481079102), ('no', 12.172511100769043)]",0
1,it-u-1-negation,"Q: Is this sentence grammatical? Yes or No: kons boys hold kon newspaper no
A: No

Q: Is this sentence grammatical? Yes or No: kons men climb kon roof no
A: No

Q: Is this sentence grammatical? Yes or No: kon dog carries kon mouse no
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs bring kar bottle no
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher brings kar no bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy takes kar no bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl climbs kar tree no
A: No

Q: Is this sentence grammatical? Yes or No: kon man carries kon no cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers climb kon no roof
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men climb kar mountain no
A: No

",kons men take kon mouse no,No,No,"[('kons', 3.9731108699925244e-05), ('kons', 3.9731108699925244e-05), ('men', 0.0004890243289992213), ('take', 4.815406668967626e-07), ('kon', 3.48495232174173e-05), ('mouse', 2.2702508431393653e-05), ('no', 1.37916886160383e-05)]",0
2,it-u-1-negation,"Q: Is this sentence grammatical? Yes or No: kons teachers bring kon fish no
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers bring kon cap no
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers bring kon chalk no
A: No

Q: Is this sentence grammatical? Yes or No: kon cat carries kon cap no
A: No

Q: Is this sentence grammatical? Yes or No: kon cat eats kon cucumber no
A: No

Q: Is this sentence grammatical? Yes or No: kons boys carry kar cup no
A: No

Q: Is this sentence grammatical? Yes or No: kon man takes kon mouse no
A: No

Q: Is this sentence grammatical? Yes or No: kon cat brings kon cap no
A: No

Q: Is this sentence grammatical? Yes or No: kars women eat kon meal no
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers read kar no poem
A: Yes

",kon man brings kon toy no,No,No,"[('kon', 0), ('man', 1.475528819128158e-07), ('brings', 7.767901479383e-06), ('kon', 8.333205187227577e-05), ('toy', 8.627799979876727e-05), ('no', 6.759887764928862e-05), ('No', 6.140952609712258e-05)]",0
3,it-u-1-negation,"Q: Is this sentence grammatical? Yes or No: kons teachers bring kon no cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women hold kar no box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher carries kar box no
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers eat kar no pear
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy eats kon meal no
A: No

Q: Is this sentence grammatical? Yes or No: kons boys eat kon no cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women bring kon fish no
A: No

Q: Is this sentence grammatical? Yes or No: kar woman takes kon newspaper no
A: No

Q: Is this sentence grammatical? Yes or No: kars women climb kar no mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat carries kar bottle no
A: No

",kon poet reads kar poem no,No,No,"[('kon', 0), ('poet', 1.475528819128158e-07), ('reads', 3.0623624525105697e-07), ('kar', 0.0001403475907864049), ('poem', 2.276249506394379e-05), ('no', 0.00030206251540221274), ('No', 0.0004586258146446198)]",0
4,it-u-1-negation,"Q: Is this sentence grammatical? Yes or No: kon dog carries kar no box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man holds kar no box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat holds kar bottle no
A: No

Q: Is this sentence grammatical? Yes or No: kon cat carries kar no bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher brings kar bulb no
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers climb kar staircase no
A: No

Q: Is this sentence grammatical? Yes or No: kons boys hold kon newspaper no
A: No

Q: Is this sentence grammatical? Yes or No: kar girl carries kar no box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs bring kar no bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl holds kar bottle no
A: No

",kons dogs carry kar box no,Yes,No,"[('kons', 3.9731108699925244e-05), ('kons', 3.9731108699925244e-05), ('dogs', 0.0004890243289992213), ('carry', 3.114670477089021e-08), ('kar', 0.0001302679447690025), ('box', 2.5942512365872972e-05), ('no', 1.543816097182571e-06)]",0
5,it-u-1-negation,"Q: Is this sentence grammatical? Yes or No: kons speakers read kon no chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men hold kar bottle no
A: No

Q: Is this sentence grammatical? Yes or No: kons boys carry kar bottle no
A: No

Q: Is this sentence grammatical? Yes or No: kar woman eats kon no meal
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys climb kar no hill
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers climb kar hill no
A: No

Q: Is this sentence grammatical? Yes or No: kons cats hold kon cap no
A: No

Q: Is this sentence grammatical? Yes or No: kons cats bring kon toy no
A: No

Q: Is this sentence grammatical? Yes or No: kon boy eats kon no meal
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers climb kon no rock
A: Yes

",kons boys take kar bottle no,No,No,"[('kons', 3.9731108699925244e-05), ('kons', 3.9731108699925244e-05), ('boys', 0.0004890243289992213), ('take', 3.2203072919401166e-07), ('kar', 0.0006361131090670824), ('bottle', 0.00021083562751300633), ('no', 8.081858027253475e-07)]",0
6,it-u-1-negation,"Q: Is this sentence grammatical? Yes or No: kon boy carries kar no bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat eats kon no biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women hold kar no cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy takes kon mouse no
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers bring kar bottle no
A: No

Q: Is this sentence grammatical? Yes or No: kons speakers read kon no book
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy brings kar no bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys eat kar no pear
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man brings kon mouse no
A: No

Q: Is this sentence grammatical? Yes or No: kars girls take kon mouse no
A: No

",kon man brings kon no newspaper,No,Yes,"[('kon', 0), ('man', 1.475528819128158e-07), ('brings', 7.767901479383e-06), ('kon', 8.333205187227577e-05), ('no', 8.627799979876727e-05), ('newspaper', 0.00036117862327955663), ('No', 2.155318270524731e-06)]",0
7,it-u-1-negation,"Q: Is this sentence grammatical? Yes or No: kon teacher reads kar no story
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher carries kar cup no
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher eats kon no fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl carries kon mouse no
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers bring kar bulb no
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers climb kon no rock
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl takes kar no box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers eat kar no pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl takes kar cup no
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs eat kon no biscuit
A: Yes

",kon dog holds kar bottle no,No,No,"[('kon', 0), ('dog', 1.475528819128158e-07), ('holds', 1.5996739648471703e-06), ('kar', 8.282541784865316e-06), ('bottle', 1.1930716027563903e-05), ('no', 2.434087491565151e-06), ('No', 0.000523116672411561)]",0
8,it-u-1-negation,"Q: Is this sentence grammatical? Yes or No: kars women hold kar box no
A: No

Q: Is this sentence grammatical? Yes or No: kars girls hold kon no mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher climbs kar mountain no
A: No

Q: Is this sentence grammatical? Yes or No: kons boys carry kon no toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher holds kar no bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl takes kar no bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs carry kar bottle no
A: No

Q: Is this sentence grammatical? Yes or No: kons men climb kar mountain no
A: No

Q: Is this sentence grammatical? Yes or No: kar girl carries kon no mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat brings kon newspaper no
A: No

",kar woman carries kon no toy,Yes,Yes,"[('kar', 0), ('woman', 5.484931762111955e-07), ('carries', 1.5645731821223308e-07), ('kon', 0.00014845361874904484), ('no', 2.062781049971818e-06), ('toy', 0.00011306202213745564), ('Yes', 6.46929838694632e-05)]",0
9,it-u-1-negation,"Q: Is this sentence grammatical? Yes or No: kars girls take kar no bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs take kon no chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men climb kon no rock
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy brings kar no bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats bring kar box no
A: No

Q: Is this sentence grammatical? Yes or No: kon cat holds kar no box
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women hold kon chalk no
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers take kar no cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls bring kon cap no
A: No

Q: Is this sentence grammatical? Yes or No: kons cats take kon no fish
A: Yes

",kar woman brings kon newspaper no,Yes,No,"[('kar', 0), ('woman', 5.484931762111955e-07), ('brings', 1.5645731821223308e-07), ('kon', 0.00018950457160826772), ('newspaper', 2.3081086055753985e-06), ('no', 1.087391319742892e-05), ('Yes', 0.00010444389045005664)]",0
