,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the cooks kick toy the
A: No

Q: Is this sentence grammatical? Yes or No: a architect hits newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the authors read the postcard
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses push mouse the
A: No

Q: Is this sentence grammatical? Yes or No: the teachers read guide the
A: No

Q: Is this sentence grammatical? Yes or No: the teachers touch newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: a cat drinks the juice
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers kick the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: a writer eats a meal
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers push a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctor drinks the milkshake
A:",the doctor drinks the milkshake,Yes,Yes,"[('the', 0), ('doctor', 13.119741439819336), ('drinks', 10.480229377746582), ('the', 13.827116966247559), ('milkshake', 10.998034000396729), ('milkshake', 10.998034000396729)]",0
1,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the boys read magazine a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers hit the lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors kick newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers push the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the woman hits the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl eats a biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl eats cucumber a
A: No

Q: Is this sentence grammatical? Yes or No: the cats push a cup
A: Yes

Q: Is this sentence grammatical? Yes or No: a man kicks cup a
A: No

Q: Is this sentence grammatical? Yes or No: a cook pushes toy the
A: No

Q: Is this sentence grammatical? Yes or No: the writers read poem the
A:",the writers read poem the,Yes,No,"[('the', 0), ('writers', 0.00011234640260227025), ('read', 3.1500378099735826e-05), ('poem', 0.00038163401768542826), ('the', 0.000602103304117918), ('Yes', 0.0026492811739444733)]",0
2,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the actress eats biscuit a
A: No

Q: Is this sentence grammatical? Yes or No: the writers push toy the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher kicks a lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the dog hits cup the
A: No

Q: Is this sentence grammatical? Yes or No: the doctors drink a lemonade
A: Yes

Q: Is this sentence grammatical? Yes or No: a man eats pear a
A: No

Q: Is this sentence grammatical? Yes or No: the men drink the tonic
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers eat biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: the boy reads a postcard
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs touch the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: the men drink juice a
A:",the men drink juice a,No,No,"[('the', 0), ('men', 0.00011234640260227025), ('drink', 0.00042617839062586427), ('juice', 0.00010681613639462739), ('a', 0.00023199750285129994), ('No', 0.0007781021413393319)]",0
3,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a writer reads letter a
A: No

Q: Is this sentence grammatical? Yes or No: the writers eat meal the
A: No

Q: Is this sentence grammatical? Yes or No: a lawyer touches the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman drinks espresso the
A: No

Q: Is this sentence grammatical? Yes or No: the teachers read poem a
A: No

Q: Is this sentence grammatical? Yes or No: a orator reads page a
A: No

Q: Is this sentence grammatical? Yes or No: the cats eat a pear
A: Yes

Q: Is this sentence grammatical? Yes or No: a actress touches a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers kick a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys drink a water
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors push a fish
A:",the doctors push a fish,Yes,Yes,"[('the', 0), ('doctors', 0.00011234640260227025), ('push', 4.000191984232515e-05), ('a', 6.462915916927159e-05), ('fish', 0.03034028597176075), ('Yes', 0.00011447432189015672)]",0
4,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the girl pushes toy a
A: No

Q: Is this sentence grammatical? Yes or No: the actresses touch mouse a
A: No

Q: Is this sentence grammatical? Yes or No: the girl drinks beverage a
A: No

Q: Is this sentence grammatical? Yes or No: the writers eat a cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher hits a cup
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers drink the espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers drink water a
A: No

Q: Is this sentence grammatical? Yes or No: a girl pushes a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the writers read a postcard
A: Yes

Q: Is this sentence grammatical? Yes or No: the men push box the
A: No

Q: Is this sentence grammatical? Yes or No: the doctors push chalk the
A:",the doctors push chalk the,No,No,"[('the', 0), ('doctors', 0.00011234769044676796), ('push', 3.989531978731975e-05), ('chalk', 0.00022082726354710758), ('chalk', 0.00022082726354710758), ('the', 0.050045497715473175)]",0
5,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a woman pushes hat the
A: No

Q: Is this sentence grammatical? Yes or No: a woman eats meal a
A: No

Q: Is this sentence grammatical? Yes or No: the girls read poem the
A: No

Q: Is this sentence grammatical? Yes or No: the women drink the lemonade
A: Yes

Q: Is this sentence grammatical? Yes or No: a author reads novella a
A: No

Q: Is this sentence grammatical? Yes or No: the boys eat a fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher pushes the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers touch the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats kick a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs push newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the teacher drinks tea a
A:",the teacher drinks tea a,No,No,"[('the', 0), ('teacher', 0.00011234640260227025), ('drinks', 0.00017371171270497143), ('tea', 3.604434459703043e-05), ('a', 0.06006726622581482), ('No', 0.0012178100878372788)]",0
6,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the cats kick newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the teacher touches chalk a
A: No

Q: Is this sentence grammatical? Yes or No: the actresses push the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher kicks a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the man hits lightbulb the
A: No

Q: Is this sentence grammatical? Yes or No: a cat drinks the juice
A: Yes

Q: Is this sentence grammatical? Yes or No: the cook drinks espresso a
A: No

Q: Is this sentence grammatical? Yes or No: the cook eats a meal
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls hit a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers touch fish the
A: No

Q: Is this sentence grammatical? Yes or No: the girls kick toy a
A:",the girls kick toy a,Yes,No,"[('the', 0), ('girls', 0.00011234640260227025), ('kick', 0.00026179279666393995), ('toy', 0.0002695785369724035), ('a', 6.922896773176035e-06), ('Yes', 0.001315883593633771)]",0
7,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the cats touch a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers eat cucumber a
A: No

Q: Is this sentence grammatical? Yes or No: the actress drinks smoothie the
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers kick a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyer kicks fish the
A: No

Q: Is this sentence grammatical? Yes or No: the cooks push the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the cooks drink smoothie the
A: No

Q: Is this sentence grammatical? Yes or No: a teacher pushes a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls drink beverage a
A: No

Q: Is this sentence grammatical? Yes or No: a girl kicks a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses kick the hat
A:",the actresses kick the hat,Yes,Yes,"[('the', 0), ('actresses', 0.0001905480894492939), ('actresses', 0.0001905480894492939), ('kick', 0.020650925114750862), ('the', 3.766849476960488e-05), ('hat', 0.025283103808760643)]",0
8,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a doctor touches the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher eats biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: the writer reads a postcard
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers hit lightbulb the
A: No

Q: Is this sentence grammatical? Yes or No: a boy kicks a box
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys read a page
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyer hits mouse a
A: No

Q: Is this sentence grammatical? Yes or No: a architect pushes newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: a poet reads guide a
A: No

Q: Is this sentence grammatical? Yes or No: a architect kicks a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the women kick newspaper a
A:",the women kick newspaper a,No,No,"[('the', 0), ('women', 0.00011234640260227025), ('kick', 0.00018819434626493603), ('newspaper', 3.606745303841308e-05), ('a', 2.365752607147442e-06), ('No', 0.0022369669750332832)]",0
9,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the cooks eat cucumber a
A: No

Q: Is this sentence grammatical? Yes or No: the teacher reads the novella
A: Yes

Q: Is this sentence grammatical? Yes or No: a professor pushes fish the
A: No

Q: Is this sentence grammatical? Yes or No: the actresses push hat the
A: No

Q: Is this sentence grammatical? Yes or No: the dogs push a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a professor reads a poem
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctor drinks smoothie the
A: No

Q: Is this sentence grammatical? Yes or No: the doctors push the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs kick lightbulb the
A: No

Q: Is this sentence grammatical? Yes or No: the women eat the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers touch a hat
A:",the lawyers touch a hat,Yes,Yes,"[('the', 0), ('lawyers', 0.00011234640260227025), ('touch', 1.8211003407486714e-05), ('a', 5.6802246035658754e-06), ('hat', 0.024430524557828903), ('Yes', 9.121755283558741e-05)]",0
