,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Gomu notices that the girls hold the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the dogs hold cup the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the girl holds bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds toy the
A: No

Q: Is this sentence grammatical? Yes or No: Leela says that the teacher eats the meal
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that the writers read the story
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela says that the teachers bring cap the
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that the girl reads the story
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that the teacher reads book the
A: No

Q: Is this sentence grammatical? Yes or No: Harry sees that the boys take chalk the
A: No

",Leela says that the women take bottle the,No,No,"[('Leela', 9.82714557647705), ('Leela', 9.82714557647705), ('says', 9.53465747833252), ('that', 8.80892276763916), ('the', 3.7117464542388916), ('women', 3.1199569702148438), ('take', 9.907750129699707), ('bottle', 27.361583709716797), ('bottle', 27.361583709716797)]",0
1,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: John knows that the dog brings the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the dog brings the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the dogs hold cup the
A: No

Q: Is this sentence grammatical? Yes or No: Tom notices that the boy brings the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the cat carries toy the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the dogs carry the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that the men hold the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that the teachers hold the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu says that the speakers read the chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that the woman holds newspaper the
A: No

",Tom notices that the man eats the banana,Yes,Yes,"[('Tom', 0), ('notices', 0.00030636486735602375), ('notices', 0.00030636486735602375), ('that', 0.17987942695617676), ('the', 0.3094131648540497), ('man', 0.16695578396320343), ('eats', 0.0068503747606882825), ('eats', 0.0068503747606882825), ('the', 0.3383834660053253)]",0
2,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Maria notices that the teacher takes newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu sees that the teachers bring the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: John knows that the teachers climb mountain the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the boys bring mouse the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the men climb rock the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that the dogs climb the mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry knows that the dogs take chalk the
A: No

Q: Is this sentence grammatical? Yes or No: Tom notices that the dog carries the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom sees that the boys take the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that the teacher holds the cap
A: Yes

",Sheela knows that the teachers take the chalk,Yes,Yes,"[('Sheela', 0.00045890911133028567), ('Sheela', 0.00045890911133028567), ('knows', 0.0009862803854048252), ('that', 3.963210838264786e-05), ('the', 0.15433529019355774), ('teachers', 0.08646171540021896), ('take', 0.0003951243998017162), ('the', 0.001561704440973699), ('chalk', 0.10564717715169536)]",0
3,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: John knows that the girl reads book the
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that the boy holds mouse the
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that the girl takes the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry sees that the cat carries box the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the girl takes cap the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the woman carries fish the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela affirms that the girls eat fruit the
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that the boy holds newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that the dog eats the banana
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry knows that the women bring box the
A: No

",Harry says that the girls take the bottle,No,Yes,"[('Harry', 0), ('says', 6.049039075151086e-05), ('that', 0.00046932813711464405), ('the', 0.018473802134394646), ('girls', 0.11174774914979935), ('take', 0.0006362108397297561), ('the', 0.001134559977799654), ('bottle', 0.11874014999193605), ('bottle', 0.11874014999193605)]",0
4,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Tom notices that the cat brings chalk the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the boy climbs staircase the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that the teachers hold bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that the girl holds cap the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the girl climbs the hill
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that the girl takes the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the men climb the staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the man eats fruit the
A: No

Q: Is this sentence grammatical? Yes or No: Maria notices that the teachers read book the
A: No

Q: Is this sentence grammatical? Yes or No: Leela sees that the women carry the cap
A: Yes

",Tom knows that the dog carries cup the,Yes,No,"[('Tom', 0), ('knows', 0.00029113105847500265), ('that', 3.452738019404933e-05), ('the', 0.13580134510993958), ('dog', 0.11024979501962662), ('carries', 0.0006550179386977106), ('carries', 0.0006550179386977106), ('cup', 0.5206232666969299), ('the', 2.3033469915390015e-05)]",0
5,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Maria knows that the women take mouse the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the woman eats the pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that the woman carries the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom sees that the teacher brings the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that the teachers hold newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Harry knows that the dogs carry newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Tom sees that the cat eats the biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: John knows that the boy climbs the mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that the teacher eats biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: Tom says that the cat takes box the
A: No

",Gomu notices that the men take the bulb,Yes,Yes,"[('Gom', 0.004960330203175545), ('Gomu', 0.0062539419159293175), ('Gomu', 0.0062539419159293175), ('notices', 0.007077976708387723), ('notices', 0.007077976708387723), ('that', 0.018933342769742012), ('the', 0.25602883100509644), ('men', 0.16945244371891022), ('take', 0.0010220319963991642)]",0
6,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: John sees that the teachers climb hill the
A: No

Q: Is this sentence grammatical? Yes or No: Tom notices that the dog carries the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that the teacher takes bulb the
A: No

Q: Is this sentence grammatical? Yes or No: Harry sees that the man brings the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the women carry the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that the dog carries the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the girls eat biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: Harry affirms that the men eat the pear
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry affirms that the girls bring newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the boys hold the bulb
A: Yes

",Sheela says that the cats bring the fish,Yes,Yes,"[('Sheela', 0.00045890911133028567), ('Sheela', 0.00045890911133028567), ('says', 0.0009862803854048252), ('that', 0.006717370823025703), ('the', 0.09077722579240799), ('cats', 0.08944791124667972), ('cats', 0.08944791124667972), ('bring', 0.03621343523263931), ('the', 0.002495658351108432)]",0
7,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Sheela says that the teacher eats the biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry affirms that the women eat pizza the
A: No

Q: Is this sentence grammatical? Yes or No: Leela notices that the cats bring the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that the dog carries bulb the
A: No

Q: Is this sentence grammatical? Yes or No: Harry affirms that the girl holds the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: John notices that the boy carries toy the
A: No

Q: Is this sentence grammatical? Yes or No: Tom sees that the women eat the cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that the writer reads the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that the girl takes mouse the
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that the girl climbs the staircase
A: Yes

",Maria notices that the boys carry bulb the,No,No,"[('Maria', 0), ('notices', 0.00013751327787758783), ('notices', 0.00013751327787758783), ('that', 0.09112634509801865), ('the', 0.2789998948574066), ('boys', 0.13908600807189941), ('carry', 0.0036037249956279993), ('bulb', 0.0008987225446617231), ('bulb', 0.0008987225446617231)]",0
8,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Gomu sees that the boy holds bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sees that the dogs eat the banana
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria affirms that the men eat cucumber the
A: No

Q: Is this sentence grammatical? Yes or No: Harry notices that the girls hold the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that the men take the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the dogs hold the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that the girls climb the mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that the dogs climb tree the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the men bring box the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the dog brings the newspaper
A: Yes

",Sheela notices that the woman holds chalk the,No,No,"[('Sheela', 0.0004586870491039008), ('Sheela', 0.0004586870491039008), ('notices', 0.0010706900793593377), ('notices', 0.0010706900793593377), ('that', 0.013848792761564255), ('the', 0.24726329743862152), ('woman', 0.12463598698377609), ('holds', 0.004921639338135719), ('chalk', 0.0003460904845269397)]",0
9,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: John knows that the dog brings cap the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds toy the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu notices that the men eat the pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry knows that the women bring box the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela affirms that the dog carries bulb the
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that the woman carries the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that the girl takes the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the man carries the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the girl holds the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela notices that the dogs hold the box
A: Yes

",Leela notices that the girls hold the cap,Yes,Yes,"[('Leela', 0.0011008657747879624), ('Leela', 0.0011008657747879624), ('notices', 0.0013969730025564786), ('notices', 0.0013969730025564786), ('that', 0.10878068953752518), ('the', 0.22846513986587524), ('girls', 0.21382960677146912), ('hold', 0.0015039769932627678), ('the', 7.656377420062199e-05)]",0
