,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 教師は白亜をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士は玩具触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 教師は電球をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士は飲み物をた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 建築家たちは魚触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 女の子たちはミルクセーキ飲むをた
A: No

Q: Is this sentence grammatical? Yes or No: 料理人たちは帽子をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは玩具をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 少年たちはコップ打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 教師はマウス蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 医者はミルクセーキをた飲む
A:",医者はミルクセーキをた飲む,Yes,Yes,"[('医', 6.243182182312012), ('医者', 25.18305492401123)]",0
1,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 弁護士はマウス打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 建築家は新聞をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫たちは水をた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは魚をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬たちはバナナをた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 少年たちはボトルをた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫たちはコップ蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 作家は玩具打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 猫たちは電球触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 男性は電球蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 作家たちは詩読むをた
A:",作家たちは詩読むをた,Yes,No,"[('作', 0.01319012138992548), ('作家', 0.013242758865089854)]",0
2,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 女の子たちはマウスをた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家は帽子押すをた
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士たちは玩具をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫たちは新聞をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者はマウスをた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちはマウス押すをた
A: No

Q: Is this sentence grammatical? Yes or No: 犬たちはコップ蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 料理人は新聞蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 少年たちはコーヒーをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは魚触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 男性はジュースをた飲む
A:",男性はジュースをた飲む,Yes,Yes,"[('男', 0.013190235011279583), ('男性', 0.013192208034752184)]",0
3,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 女の子は帽子をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 少年はバナナ食べるをた
A: No

Q: Is this sentence grammatical? Yes or No: 料理人たちは玩具打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士は玩具をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは帽子押すをた
A: No

Q: Is this sentence grammatical? Yes or No: 少年たちは箱をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは白亜をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫たちはボトルをた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師はスムージー飲むをた
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士は胡瓜食べるをた
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちは魚押すをた
A:",医者たちは魚押すをた,No,No,"[('医', 0.013201246038079262), ('医者', 0.013203234559114208)]",0
4,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 作家はビスケット食べるをた
A: No

Q: Is this sentence grammatical? Yes or No: 女優は帽子蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 教授たちは新聞蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちは玩具押すをた
A: No

Q: Is this sentence grammatical? Yes or No: 女の子たちは飲み物をた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子たちは詩をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 女性は白亜をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 少年は電球蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは玩具をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は電球をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちは白亜押すをた
A:",医者たちは白亜押すをた,Yes,No,"[('医', 0.013201246038079262), ('医者', 0.013203234559114208)]",0
5,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 弁護士は新聞をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 少年たちは箱をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 少年たちはボトル打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 教授たちはビスケットをた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 男はコーヒー飲むをた
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちは魚打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは白亜触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 犬たちは箱打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 演説家は手紙をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちはミルクセーキをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師はお茶飲むをた
A:",教師はお茶飲むをた,No,No,"[('教', 0.01319012138992548), ('教師', 0.013197217324432131)]",0
6,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 教師はミルクセーキをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬はコップをた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者は新聞をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは中編小説読むをた
A: No

Q: Is this sentence grammatical? Yes or No: 犬たちはお茶飲むをた
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちは魚打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 料理人は章をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は玩具触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 女優は玩具打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 教授たちは白亜をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子たちは玩具蹴るをた
A:",女の子たちは玩具蹴るをた,No,No,"[('女', 0.013201246038079262), ('女の', 0.013204398956759178)]",0
7,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 建築家たちは章読むをた
A: No

Q: Is this sentence grammatical? Yes or No: 猫たちはコップ触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 猫たちは新聞打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 少年たちは果物食べるをた
A: No

Q: Is this sentence grammatical? Yes or No: 詩人たちは手紙をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは帽子をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人は胡瓜をた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子たちは詩をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 演説家たちはポストカードをた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子たちは新聞蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちは帽子蹴るをた
A:",女優たちは帽子蹴るをた,No,No,"[('女', 0.013201246038079262), ('女優', 0.013204398956759178)]",0
8,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 教師はマウスをた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子は章読むをた
A: No

Q: Is this sentence grammatical? Yes or No: 教師はコーヒーをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は新聞をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人は白亜をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちは玩具をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子は帽子触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは箱打つをた
A: No

Q: Is this sentence grammatical? Yes or No: 女優は新聞触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 料理人は玩具蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちは新聞蹴るをた
A:",女性たちは新聞蹴るをた,No,No,"[('女', 0.013201246038079262), ('女性', 0.013204398956759178)]",0
9,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 犬たちはバナナをた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家は新聞をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬たちは箱をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家はビスケット食べるをた
A: No

Q: Is this sentence grammatical? Yes or No: 女優は魚蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 女の子はビスケット食べるをた
A: No

Q: Is this sentence grammatical? Yes or No: 料理人はスムージーをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人は新聞蹴るをた
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちは魚をた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女性は本読むをた
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士たちは帽子をた触る
A:",弁護士たちは帽子をた触る,Yes,Yes,"[('<0xE5>', 0.013201246038079262), ('<0xE5><0xBC>', 0.013309815600223374)]",0
