,type,prompt,q,prediction,gold,surprisal,int-grad
0,it,"Q: Is this sentence grammatical? Yes or No: kars women carry fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kons men hold kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog carries kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women climb tree kar
A: No

Q: Is this sentence grammatical? Yes or No: kons men carry kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog climbs roof kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls carry newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kon boy brings box kar
A: No

Q: Is this sentence grammatical? Yes or No: kars girls take kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy takes kon newspaper
A: Yes

",kons authors read story kar,Yes,No,"[('kons', 14.586060523986816), ('kons', 14.586060523986816), ('authors', 10.999157905578613), ('read', 25.071699142456055), ('story', 13.11327838897705), ('kar', 11.604582786560059)]",0
1,it,"Q: Is this sentence grammatical? Yes or No: kars girls bring chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kon dog takes kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men eat meal kon
A: No

Q: Is this sentence grammatical? Yes or No: kon man climbs staircase kar
A: No

Q: Is this sentence grammatical? Yes or No: kars girls carry kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man holds bottle kar
A: No

Q: Is this sentence grammatical? Yes or No: kar girl brings cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kon boy brings chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kon poet reads poem kar
A: No

Q: Is this sentence grammatical? Yes or No: kars girls eat cucumber kon
A: No

",kars girls eat kar pear,No,Yes,"[('kars', 4.065914617967792e-05), ('kars', 4.065914617967792e-05), ('girls', 0.0002740609925240278), ('eat', 3.6423062965695863e-07), ('kar', 5.2656752814073116e-05), ('pear', 8.861569949658588e-05)]",0
2,it,"Q: Is this sentence grammatical? Yes or No: kars women hold kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls eat cucumber kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs take chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kon cat holds cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kon cat eats cucumber kon
A: No

Q: Is this sentence grammatical? Yes or No: kon dog brings cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kons cats climb kar hill
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men take kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys take cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kar girl eats pizza kar
A: No

",kons dogs take toy kon,No,No,"[('kons', 4.065914617967792e-05), ('kons', 4.065914617967792e-05), ('dogs', 0.0004885662929154932), ('take', 3.090213951395526e-08), ('toy', 0.0005904260324314237), ('kon', 4.071242074132897e-05)]",0
3,it,"Q: Is this sentence grammatical? Yes or No: kar woman eats kon biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats carry bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: kon dog brings kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls bring mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kons boys eat kon meal
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat climbs kar mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats take cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kar girl carries kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys carry kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats eat kar pizza
A: Yes

",kon cat climbs staircase kar,Yes,No,"[('kon', 0), ('cat', 1.55640591970041e-07), ('climbs', 7.775545668664563e-06), ('climbs', 7.775545668664563e-06), ('staircase', 0.467030395870097), ('staircase', 0.467030395870097)]",0
4,it,"Q: Is this sentence grammatical? Yes or No: kars girls take box kar
A: No

Q: Is this sentence grammatical? Yes or No: kon boy takes chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kon cat takes mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kars women carry kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls hold kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy climbs staircase kar
A: No

Q: Is this sentence grammatical? Yes or No: kar girl brings kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women bring kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog brings bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: kars girls carry kon cap
A: Yes

",kons dogs eat meal kon,Yes,No,"[('kons', 4.065914617967792e-05), ('kons', 4.065914617967792e-05), ('dogs', 0.0004885662929154932), ('eat', 3.090213951395526e-08), ('meal', 0.0007290788344107568), ('kon', 0.000414827314671129)]",0
5,it,"Q: Is this sentence grammatical? Yes or No: kon dog eats cucumber kon
A: No

Q: Is this sentence grammatical? Yes or No: kons cats eat cucumber kon
A: No

Q: Is this sentence grammatical? Yes or No: kar woman takes kar bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy carries kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher holds kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher eats kon cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher reads kar poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog brings kar bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats carry kar bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers eat kar fruit
A: Yes

",kar woman carries kon newspaper,Yes,Yes,"[('kar', 0), ('woman', 5.73481031551637e-07), ('carries', 1.582274791189775e-07), ('kon', 0.0001439758052583784), ('newspaper', 2.0723243778775213e-06), ('Yes', 1.2855745808337815e-05)]",0
6,it,"Q: Is this sentence grammatical? Yes or No: kon dog holds kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher brings box kar
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs eat kar pear
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy carries kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats eat meal kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs take fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kar girl eats meal kon
A: No

Q: Is this sentence grammatical? Yes or No: kars women eat banana kar
A: No

Q: Is this sentence grammatical? Yes or No: kar woman carries kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls bring mouse kon
A: No

",kons boys eat biscuit kon,Yes,No,"[('kons', 4.065914617967792e-05), ('kons', 4.065914617967792e-05), ('boys', 0.0004885662929154932), ('eat', 3.1701543434792256e-07), ('bisc', 0.0007311273511731997), ('biscuit', 0.17202210614050273)]",0
7,it,"Q: Is this sentence grammatical? Yes or No: kons teachers take kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls hold mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs take kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men climb kar staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl eats biscuit kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs take kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys hold newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kons cats climb tree kar
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher holds kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy brings kon fish
A: Yes

",kon boy carries kar bulb,No,Yes,"[('kon', 0), ('boy', 1.55640591970041e-07), ('carries', 3.475320795587322e-07), ('kar', 8.996891665447038e-06), ('bulb', 0.00012216053801239468), ('bulb', 0.00012216053801239468)]",0
8,it,"Q: Is this sentence grammatical? Yes or No: kons teachers hold kar bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy brings fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher holds kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats hold chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kon man takes kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy takes kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men take mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs bring kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers take kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy brings bulb kar
A: No

",kon cat climbs kon roof,Yes,Yes,"[('kon', 0), ('cat', 1.55640591970041e-07), ('climbs', 7.775545668664563e-06), ('climbs', 7.775545668664563e-06), ('kon', 0.46162769198417664), ('roof', 0.0021143758203834295)]",0
9,it,"Q: Is this sentence grammatical? Yes or No: kon man holds kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men take kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man holds cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kons boys bring kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats climb rock kon
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher climbs mountain kar
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers eat cucumber kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs carry kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys hold chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers read kar story
A: Yes

",kon man carries newspaper kon,Yes,No,"[('kon', 0), ('man', 1.5578893908241298e-07), ('carries', 7.89116802479839e-06), ('newspaper', 1.5725072444183752e-05), ('kon', 5.289002729114145e-05), ('Yes', 0.000596407859120518)]",0
