,type,prompt,q,prediction,gold,surprisal,int-grad
0,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: chalk kon carries man kon
A: Yes

Q: Is this sentence grammatical? Yes or No: bottle kar brings kon cat
A: No

Q: Is this sentence grammatical? Yes or No: cup kar carries boy kon
A: Yes

Q: Is this sentence grammatical? Yes or No: mouse kon carries kon man
A: No

Q: Is this sentence grammatical? Yes or No: chalk kon take kons cats
A: No

Q: Is this sentence grammatical? Yes or No: box kar take kons men
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon hold men kons
A: Yes

Q: Is this sentence grammatical? Yes or No: toy kon brings kon dog
A: No

Q: Is this sentence grammatical? Yes or No: fish kon carry kons teachers
A: No

Q: Is this sentence grammatical? Yes or No: tree kar climbs kon dog
A: No

",cucumber kon eats girl kar,No,Yes,"[('cuc', 12.713082313537598), ('cucumber', 19.765191555023193), ('cucumber', 19.765191555023193), ('kon', 0.5058466792106628), ('eats', 35.398386001586914), ('eats', 35.398386001586914)]",0
1,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: mouse kon hold kons teachers
A: No

Q: Is this sentence grammatical? Yes or No: mouse kon carry kons dogs
A: No

Q: Is this sentence grammatical? Yes or No: chalk kon take kons cats
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar carry kons dogs
A: No

Q: Is this sentence grammatical? Yes or No: cap kon holds kon boy
A: No

Q: Is this sentence grammatical? Yes or No: mouse kon hold kons dogs
A: No

Q: Is this sentence grammatical? Yes or No: biscuit kon eat boys kons
A: Yes

Q: Is this sentence grammatical? Yes or No: roof kon climbs kon boy
A: No

Q: Is this sentence grammatical? Yes or No: meal kon eats kon boy
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon takes teacher kon
A: Yes

",toy kon takes man kon,No,Yes,"[('toy', 0.00011920167889911681), ('toy', 0.00011920167889911681), ('kon', 0.021663082763552666), ('takes', 3.7024722132628085e-06), ('man', 2.057099663943518e-06), ('kon', 0.000936147291213274)]",0
2,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: fish kon takes kar woman
A: No

Q: Is this sentence grammatical? Yes or No: story kar read kars girls
A: No

Q: Is this sentence grammatical? Yes or No: cup kar hold kars girls
A: No

Q: Is this sentence grammatical? Yes or No: cap kon hold teachers kons
A: Yes

Q: Is this sentence grammatical? Yes or No: roof kon climbs kon boy
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon takes teacher kon
A: Yes

Q: Is this sentence grammatical? Yes or No: box kar bring kars girls
A: No

Q: Is this sentence grammatical? Yes or No: chalk kon holds teacher kon
A: Yes

Q: Is this sentence grammatical? Yes or No: mouse kon brings girl kar
A: Yes

Q: Is this sentence grammatical? Yes or No: cap kon carry kons teachers
A: No

",cup kar carries kon man,No,No,"[('cup', 0), ('kar', 7.530404673161684e-07), ('carries', 1.6032158100642846e-05), ('carries', 1.6032158100642846e-05), ('kon', 0.005658805835992098), ('man', 1.72919735632604e-05)]",0
3,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: cap kon carry kons teachers
A: No

Q: Is this sentence grammatical? Yes or No: chalk kon hold kars girls
A: No

Q: Is this sentence grammatical? Yes or No: bulb kar hold dogs kons
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper kon hold kars girls
A: No

Q: Is this sentence grammatical? Yes or No: poem kar read authors kons
A: Yes

Q: Is this sentence grammatical? Yes or No: cucumber kon eat kons dogs
A: No

Q: Is this sentence grammatical? Yes or No: cup kar holds boy kon
A: Yes

Q: Is this sentence grammatical? Yes or No: cucumber kon eats dog kon
A: Yes

Q: Is this sentence grammatical? Yes or No: cup kar bring girls kars
A: Yes

Q: Is this sentence grammatical? Yes or No: bottle kar hold kons teachers
A: No

",bulb kar takes kon cat,Yes,No,"[('bulb', 7.284477305802284e-07), ('bulb', 7.284477305802284e-07), ('kar', 0.06664368510246277), ('takes', 4.323011637552554e-07), ('kon', 7.851042482798221e-07), ('cat', 1.4609735444537364e-05)]",0
4,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: newspaper kon bring kars girls
A: No

Q: Is this sentence grammatical? Yes or No: fish kon carry boys kons
A: Yes

Q: Is this sentence grammatical? Yes or No: bulb kar carries teacher kon
A: Yes

Q: Is this sentence grammatical? Yes or No: bottle kar take teachers kons
A: Yes

Q: Is this sentence grammatical? Yes or No: poem kar read kons authors
A: No

Q: Is this sentence grammatical? Yes or No: mountain kar climbs kon man
A: No

Q: Is this sentence grammatical? Yes or No: roof kon climb women kars
A: Yes

Q: Is this sentence grammatical? Yes or No: mouse kon takes woman kar
A: Yes

Q: Is this sentence grammatical? Yes or No: toy kon holds kar girl
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon carries kar girl
A: No

",fruit kar eats man kon,Yes,Yes,"[('fruit', 0), ('kar', 6.050850061001256e-07), ('eats', 4.326431462686742e-05), ('eats', 4.326431462686742e-05), ('man', 0.0024190584663301706), ('kon', 0.0003085499629378319)]",0
5,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: toy kon carry cats kons
A: Yes

Q: Is this sentence grammatical? Yes or No: staircase kar climb kons teachers
A: No

Q: Is this sentence grammatical? Yes or No: banana kar eat cats kons
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk kon takes kon cat
A: No

Q: Is this sentence grammatical? Yes or No: meal kon eats cat kon
A: Yes

Q: Is this sentence grammatical? Yes or No: bulb kar takes kon dog
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar carry kons boys
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon holds teacher kon
A: Yes

Q: Is this sentence grammatical? Yes or No: bulb kar carry kars girls
A: No

Q: Is this sentence grammatical? Yes or No: mouse kon carry dogs kons
A: Yes

",box kar carry kons cats,Yes,No,"[('box', 0), ('kar', 2.9292959879967384e-06), ('carry', 9.633184163249098e-06), ('kons', 0.004875447055638915), ('kons', 0.004875447055638915), ('cats', 0.001894588058348745)]",0
6,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: newspaper kon take boys kons
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon bring teachers kons
A: Yes

Q: Is this sentence grammatical? Yes or No: cup kar holds dog kon
A: Yes

Q: Is this sentence grammatical? Yes or No: tree kar climb kons teachers
A: No

Q: Is this sentence grammatical? Yes or No: mouse kon take kons teachers
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar takes kar woman
A: No

Q: Is this sentence grammatical? Yes or No: cap kon bring kons dogs
A: No

Q: Is this sentence grammatical? Yes or No: box kar takes kon cat
A: No

Q: Is this sentence grammatical? Yes or No: box kar take kons dogs
A: No

Q: Is this sentence grammatical? Yes or No: fruit kar eats girl kar
A: Yes

",biscuit kon eats kon teacher,Yes,No,"[('bisc', 1.0034791557700373e-06), ('biscuit', 0.17609696600356983), ('biscuit', 0.17609696600356983), ('kon', 0.7337514758110046), ('eats', 0.0001076164553523995), ('eats', 0.0001076164553523995)]",0
7,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: newspaper kon holds teacher kon
A: Yes

Q: Is this sentence grammatical? Yes or No: biscuit kon eat kons boys
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar brings kon cat
A: No

Q: Is this sentence grammatical? Yes or No: book kon reads kon poet
A: No

Q: Is this sentence grammatical? Yes or No: fish kon carry boys kons
A: Yes

Q: Is this sentence grammatical? Yes or No: mouse kon brings boy kon
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk kon bring kars women
A: No

Q: Is this sentence grammatical? Yes or No: chapter kon reads boy kon
A: Yes

Q: Is this sentence grammatical? Yes or No: mountain kar climbs kon dog
A: No

Q: Is this sentence grammatical? Yes or No: mouse kon carries kon teacher
A: No

",cap kon carries man kon,Yes,Yes,"[('cap', 0), ('kon', 2.372216158619267e-06), ('carries', 0.00011461937646117804), ('carries', 0.00011461937646117804), ('man', 0.006741260178387165), ('kon', 0.0001369769888697192)]",0
8,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: chalk kon take kars girls
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar hold kons teachers
A: No

Q: Is this sentence grammatical? Yes or No: biscuit kon eats kon man
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon take kars women
A: No

Q: Is this sentence grammatical? Yes or No: cup kar bring teachers kons
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon holds man kon
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon takes kon boy
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar carries kon cat
A: No

Q: Is this sentence grammatical? Yes or No: fruit kar eats dog kon
A: Yes

Q: Is this sentence grammatical? Yes or No: toy kon carries girl kar
A: Yes

",box kar carries woman kar,No,Yes,"[('box', 0), ('kar', 2.9292959879967384e-06), ('carries', 1.4188610293786041e-05), ('carries', 1.4188610293786041e-05), ('woman', 0.007577469572424889), ('kar', 3.8093367038527504e-05)]",0
9,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: bulb kar brings kar girl
A: No

Q: Is this sentence grammatical? Yes or No: mouse kon takes teacher kon
A: Yes

Q: Is this sentence grammatical? Yes or No: book kon reads kon writer
A: No

Q: Is this sentence grammatical? Yes or No: cap kon bring kars women
A: No

Q: Is this sentence grammatical? Yes or No: bulb kar carries kon dog
A: No

Q: Is this sentence grammatical? Yes or No: cap kon carry teachers kons
A: Yes

Q: Is this sentence grammatical? Yes or No: bottle kar hold kons cats
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon bring kars girls
A: No

Q: Is this sentence grammatical? Yes or No: staircase kar climbs kar woman
A: No

Q: Is this sentence grammatical? Yes or No: pear kar eats kon dog
A: No

",chalk kon carry kars girls,No,No,"[('chalk', 4.393757990328595e-05), ('chalk', 4.393757990328595e-05), ('kon', 0.007385634817183018), ('carry', 1.2309913017816143e-06), ('kars', 0.007880694310074432), ('kars', 0.007880694310074432)]",0
