,type,prompt,q,prediction,gold,surprisal,int-grad
0,jp-u-2-invert,"Q: Is this sentence grammatical? Yes or No: takes o toy the wa the girl
A: No

Q: Is this sentence grammatical? Yes or No: carries o toy the wa the boy
A: No

Q: Is this sentence grammatical? Yes or No: hold o fish the wa the teachers
A: No

Q: Is this sentence grammatical? Yes or No: reads o book a wa teacher the
A: Yes

Q: Is this sentence grammatical? Yes or No: brings o cap a wa girl a
A: Yes

Q: Is this sentence grammatical? Yes or No: eat o banana the wa the women
A: No

Q: Is this sentence grammatical? Yes or No: climb o mountain the wa boys the
A: Yes

Q: Is this sentence grammatical? Yes or No: eats o pizza a wa cat a
A: Yes

Q: Is this sentence grammatical? Yes or No: eat o biscuit a wa the women
A: No

Q: Is this sentence grammatical? Yes or No: take o fish a wa the dogs
A: No

",eats o pear a wa girl a,Yes,Yes,"[('eats', 13.833717346191406), ('eats', 13.833717346191406), ('o', 10.757323265075684), ('pear', 12.463516235351562), ('a', 20.494810104370117), ('wa', 8.771321296691895), ('girl', 14.39149284362793), ('a', 14.318291664123535)]",0
1,jp-u-2-invert,"Q: Is this sentence grammatical? Yes or No: take o cup a wa the men
A: No

Q: Is this sentence grammatical? Yes or No: takes o chalk a wa dog the
A: Yes

Q: Is this sentence grammatical? Yes or No: carry o bottle the wa teachers the
A: Yes

Q: Is this sentence grammatical? Yes or No: take o chalk a wa women the
A: Yes

Q: Is this sentence grammatical? Yes or No: holds o newspaper the wa the cat
A: No

Q: Is this sentence grammatical? Yes or No: eat o cucumber a wa the girls
A: No

Q: Is this sentence grammatical? Yes or No: hold o chalk a wa cats the
A: Yes

Q: Is this sentence grammatical? Yes or No: carries o mouse a wa boy a
A: Yes

Q: Is this sentence grammatical? Yes or No: carries o cup a wa woman the
A: Yes

Q: Is this sentence grammatical? Yes or No: take o box the wa women the
A: Yes

",reads o book a wa girl the,Yes,Yes,"[('reads', 0), ('o', 6.940314989378749e-08), ('book', 5.294902439345606e-05), ('a', 0.0007789292139932513), ('wa', 0.0055845798924565315), ('girl', 2.6373549189884216e-05), ('the', 0.00014301255578175187), ('Yes', 0.0028899568133056164)]",0
2,jp-u-2-invert,"Q: Is this sentence grammatical? Yes or No: take o bulb a wa the teachers
A: No

Q: Is this sentence grammatical? Yes or No: carry o bulb a wa girls the
A: Yes

Q: Is this sentence grammatical? Yes or No: eat o pizza the wa girls the
A: Yes

Q: Is this sentence grammatical? Yes or No: takes o mouse the wa a dog
A: No

Q: Is this sentence grammatical? Yes or No: reads o poem a wa a writer
A: No

Q: Is this sentence grammatical? Yes or No: take o chalk the wa the men
A: No

Q: Is this sentence grammatical? Yes or No: takes o chalk a wa the dog
A: No

Q: Is this sentence grammatical? Yes or No: bring o chalk a wa men the
A: Yes

Q: Is this sentence grammatical? Yes or No: brings o mouse the wa cat a
A: Yes

Q: Is this sentence grammatical? Yes or No: takes o cup the wa dog the
A: Yes

",carries o cup the wa a teacher,Yes,No,"[('carries', 0), ('o', 1.7208458658046766e-08), ('cup', 0.00010924476373475045), ('the', 2.8472838948800927e-06), ('wa', 0.0027616978622972965), ('a', 3.543885759427212e-05), ('teacher', 0.006048785522580147), ('Yes', 6.668567220913246e-05)]",0
3,jp-u-2-invert,"Q: Is this sentence grammatical? Yes or No: take o box the wa women the
A: Yes

Q: Is this sentence grammatical? Yes or No: hold o box the wa girls the
A: Yes

Q: Is this sentence grammatical? Yes or No: take o newspaper the wa boys the
A: Yes

Q: Is this sentence grammatical? Yes or No: takes o toy a wa teacher the
A: Yes

Q: Is this sentence grammatical? Yes or No: carries o mouse the wa cat the
A: Yes

Q: Is this sentence grammatical? Yes or No: takes o cap the wa teacher a
A: Yes

Q: Is this sentence grammatical? Yes or No: takes o toy the wa girl the
A: Yes

Q: Is this sentence grammatical? Yes or No: holds o cap a wa the man
A: No

Q: Is this sentence grammatical? Yes or No: eat o banana the wa girls the
A: Yes

Q: Is this sentence grammatical? Yes or No: bring o newspaper the wa women the
A: Yes

",eats o pizza a wa woman a,Yes,Yes,"[('eats', 6.849140481790528e-05), ('eats', 6.849140481790528e-05), ('o', 0.0005777276237495244), ('pizza', 0.00017705476784612983), ('a', 3.505281711113639e-05), ('wa', 0.004274396225810051), ('woman', 1.1437288776505738e-05), ('a', 4.769206134369597e-05)]",0
4,jp-u-2-invert,"Q: Is this sentence grammatical? Yes or No: take o box a wa dogs the
A: Yes

Q: Is this sentence grammatical? Yes or No: take o bulb a wa the teachers
A: No

Q: Is this sentence grammatical? Yes or No: brings o bottle a wa boy the
A: Yes

Q: Is this sentence grammatical? Yes or No: holds o cup the wa the boy
A: No

Q: Is this sentence grammatical? Yes or No: climb o staircase a wa the dogs
A: No

Q: Is this sentence grammatical? Yes or No: eats o meal the wa a cat
A: No

Q: Is this sentence grammatical? Yes or No: eats o biscuit the wa woman the
A: Yes

Q: Is this sentence grammatical? Yes or No: carry o newspaper a wa teachers the
A: Yes

Q: Is this sentence grammatical? Yes or No: carry o cup a wa the women
A: No

Q: Is this sentence grammatical? Yes or No: climb o mountain a wa the men
A: No

",take o cup a wa the women,No,No,"[('take', 0), ('o', 1.4842670452708262e-06), ('cup', 8.48579584271647e-05), ('a', 4.6067948460404295e-06), ('wa', 0.0051344530656933784), ('the', 0.00015215942403301597), ('women', 0.0024089771322906017), ('No', 7.65083750593476e-05)]",0
5,jp-u-2-invert,"Q: Is this sentence grammatical? Yes or No: holds o toy a wa the girl
A: No

Q: Is this sentence grammatical? Yes or No: brings o cap a wa dog a
A: Yes

Q: Is this sentence grammatical? Yes or No: carry o toy a wa dogs the
A: Yes

Q: Is this sentence grammatical? Yes or No: eats o meal the wa cat a
A: Yes

Q: Is this sentence grammatical? Yes or No: take o toy a wa women the
A: Yes

Q: Is this sentence grammatical? Yes or No: carry o cap the wa men the
A: Yes

Q: Is this sentence grammatical? Yes or No: holds o chalk a wa a man
A: No

Q: Is this sentence grammatical? Yes or No: hold o bulb a wa men the
A: Yes

Q: Is this sentence grammatical? Yes or No: eats o biscuit a wa the teacher
A: No

Q: Is this sentence grammatical? Yes or No: carries o bottle the wa teacher the
A: Yes

",take o cup a wa girls the,Yes,Yes,"[('take', 0), ('o', 1.4842670452708262e-06), ('cup', 8.48579584271647e-05), ('a', 4.6067948460404295e-06), ('wa', 0.0051344530656933784), ('girls', 0.00015215942403301597), ('the', 5.157609393791063e-06), ('Yes', 0.00322256563231349)]",0
6,jp-u-2-invert,"Q: Is this sentence grammatical? Yes or No: bring o newspaper the wa women the
A: Yes

Q: Is this sentence grammatical? Yes or No: brings o chalk a wa woman the
A: Yes

Q: Is this sentence grammatical? Yes or No: read o chapter the wa girls the
A: Yes

Q: Is this sentence grammatical? Yes or No: carries o bottle the wa boy a
A: Yes

Q: Is this sentence grammatical? Yes or No: climbs o roof the wa teacher a
A: Yes

Q: Is this sentence grammatical? Yes or No: read o story a wa poets the
A: Yes

Q: Is this sentence grammatical? Yes or No: hold o chalk a wa cats the
A: Yes

Q: Is this sentence grammatical? Yes or No: takes o toy the wa cat the
A: Yes

Q: Is this sentence grammatical? Yes or No: eats o banana a wa a girl
A: No

Q: Is this sentence grammatical? Yes or No: take o newspaper a wa women the
A: Yes

",carry o cup the wa boys the,Yes,Yes,"[('carry', 0), ('o', 1.0378028036939213e-07), ('cup', 0.00015090117813088), ('the', 6.51317941446905e-06), ('wa', 0.0019451940897852182), ('boys', 0.0001899513154057786), ('the', 1.3786007912131026e-05), ('Yes', 0.008677765727043152)]",0
7,jp-u-2-invert,"Q: Is this sentence grammatical? Yes or No: takes o toy the wa a woman
A: No

Q: Is this sentence grammatical? Yes or No: carries o mouse a wa a boy
A: No

Q: Is this sentence grammatical? Yes or No: bring o box a wa the boys
A: No

Q: Is this sentence grammatical? Yes or No: holds o fish a wa teacher a
A: Yes

Q: Is this sentence grammatical? Yes or No: holds o box a wa the girl
A: No

Q: Is this sentence grammatical? Yes or No: carries o mouse a wa a dog
A: No

Q: Is this sentence grammatical? Yes or No: climbs o mountain the wa cat a
A: Yes

Q: Is this sentence grammatical? Yes or No: takes o cap the wa a teacher
A: No

Q: Is this sentence grammatical? Yes or No: climbs o staircase the wa boy the
A: Yes

Q: Is this sentence grammatical? Yes or No: climb o rock the wa the cats
A: No

",eats o fish the wa dog a,Yes,Yes,"[('eats', 6.849140481790528e-05), ('eats', 6.849140481790528e-05), ('o', 0.0005777276237495244), ('fish', 0.00017705476784612983), ('the', 0.00026308599626645446), ('wa', 0.0023671395611017942), ('dog', 4.8780926590552554e-05), ('a', 7.397413719445467e-05)]",0
8,jp-u-2-invert,"Q: Is this sentence grammatical? Yes or No: bring o chalk the wa boys the
A: Yes

Q: Is this sentence grammatical? Yes or No: eat o cucumber a wa boys the
A: Yes

Q: Is this sentence grammatical? Yes or No: eats o pizza a wa dog the
A: Yes

Q: Is this sentence grammatical? Yes or No: carries o bottle the wa dog the
A: Yes

Q: Is this sentence grammatical? Yes or No: holds o bulb a wa the boy
A: No

Q: Is this sentence grammatical? Yes or No: brings o bulb the wa girl the
A: Yes

Q: Is this sentence grammatical? Yes or No: eat o meal the wa the teachers
A: No

Q: Is this sentence grammatical? Yes or No: takes o chalk the wa a boy
A: No

Q: Is this sentence grammatical? Yes or No: carry o fish the wa girls the
A: Yes

Q: Is this sentence grammatical? Yes or No: hold o cap the wa girls the
A: Yes

",brings o cup the wa teacher a,Yes,Yes,"[('brings', 0), ('o', 7.022125458888695e-08), ('cup', 6.7818422394339e-05), ('the', 1.3673056855623145e-06), ('wa', 0.0015011110808700323), ('teacher', 1.3716751709580421e-05), ('a', 4.3294708120811265e-06), ('Yes', 0.009241204708814621)]",0
9,jp-u-2-invert,"Q: Is this sentence grammatical? Yes or No: climb o roof a wa the girls
A: No

Q: Is this sentence grammatical? Yes or No: carry o cap the wa men the
A: Yes

Q: Is this sentence grammatical? Yes or No: carries o box a wa dog the
A: Yes

Q: Is this sentence grammatical? Yes or No: hold o cap the wa the dogs
A: No

Q: Is this sentence grammatical? Yes or No: eat o biscuit a wa women the
A: Yes

Q: Is this sentence grammatical? Yes or No: holds o cap the wa dog the
A: Yes

Q: Is this sentence grammatical? Yes or No: take o box the wa teachers the
A: Yes

Q: Is this sentence grammatical? Yes or No: reads o poem a wa a poet
A: No

Q: Is this sentence grammatical? Yes or No: carry o cup a wa the women
A: No

Q: Is this sentence grammatical? Yes or No: take o cup the wa the cats
A: No

",takes o bulb a wa teacher the,Yes,Yes,"[('takes', 0), ('o', 1.1465015603562279e-07), ('bulb', 6.989367983578632e-05), ('bulb', 6.989367983578632e-05), ('a', 0.12666302919387817), ('wa', 0.0034166285768151283), ('teacher', 7.141485548345372e-05), ('the', 2.135474233000423e-06)]",0
