,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the teacher touches a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a lawyer touches toy a
A: No

Q: Is this sentence grammatical? Yes or No: the teacher kicks a lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: a lawyer drinks a beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: the architects touch fish the
A: No

Q: Is this sentence grammatical? Yes or No: the girls drink milkshake the
A: No

Q: Is this sentence grammatical? Yes or No: the cooks hit the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers kick the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys hit cup the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher kicks mouse the
A: No

Q: Is this sentence grammatical? Yes or No: the doctor drinks milkshake the
A:",the doctor drinks milkshake the,No,No,"[('the', 0), ('doctor', 13.119741439819336), ('drinks', 10.480229377746582), ('milkshake', 21.708359241485596), ('milkshake', 21.708359241485596), ('the', 7.338913917541504)]",0
1,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the lawyer hits mouse a
A: No

Q: Is this sentence grammatical? Yes or No: a architect hits a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats drink the water
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses hit the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs eat the banana
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys push a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats kick cup the
A: No

Q: Is this sentence grammatical? Yes or No: a writer hits toy the
A: No

Q: Is this sentence grammatical? Yes or No: the cats touch lightbulb the
A: No

Q: Is this sentence grammatical? Yes or No: the men kick lightbulb a
A: No

Q: Is this sentence grammatical? Yes or No: the writers read the poem
A:",the writers read the poem,Yes,Yes,"[('the', 0), ('writers', 0.00011234640260227025), ('read', 3.1500378099735826e-05), ('the', 0.00038163401768542826), ('poem', 0.06959368288516998), ('Yes', 0.011939886026084423)]",0
2,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the girls hit a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: a writer pushes hat a
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers kick the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats kick a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a doctor kicks a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers push mouse the
A: No

Q: Is this sentence grammatical? Yes or No: the dogs kick cup the
A: No

Q: Is this sentence grammatical? Yes or No: a cook kicks newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the boys drink a coffee
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers touch fish the
A: No

Q: Is this sentence grammatical? Yes or No: the men drink juice a
A:",the men drink juice a,No,No,"[('the', 0), ('men', 0.00011234640260227025), ('drink', 0.00042617839062586427), ('juice', 0.00010681613639462739), ('a', 0.00023199750285129994), ('No', 0.0007781021413393319)]",0
3,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a girl hits a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy eats banana the
A: No

Q: Is this sentence grammatical? Yes or No: the cooks hit toy the
A: No

Q: Is this sentence grammatical? Yes or No: a lawyer touches a toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses push hat the
A: No

Q: Is this sentence grammatical? Yes or No: the boys push a box
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses push the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats kick a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher drinks smoothie a
A: No

Q: Is this sentence grammatical? Yes or No: the lawyer eats cucumber a
A: No

Q: Is this sentence grammatical? Yes or No: the doctors push a fish
A:",the doctors push a fish,Yes,Yes,"[('the', 0), ('doctors', 0.00011234640260227025), ('push', 4.000191984232515e-05), ('a', 6.462915916927159e-05), ('fish', 0.03034028597176075), ('Yes', 0.00011447432189015672)]",0
4,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a writer eats biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: the actress kicks hat a
A: No

Q: Is this sentence grammatical? Yes or No: the professors kick newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the actresses push toy a
A: No

Q: Is this sentence grammatical? Yes or No: the girls drink a beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls read the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman touches the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy kicks lightbulb a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers hit a toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher touches a lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors push the chalk
A:",the doctors push the chalk,Yes,Yes,"[('the', 0), ('doctors', 0.00011234769044676796), ('push', 3.989531978731975e-05), ('the', 6.418935663532466e-05), ('chalk', 0.13751676343963481), ('chalk', 0.13751676343963481)]",0
5,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the lawyer touches the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys push a box
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys hit bottle a
A: No

Q: Is this sentence grammatical? Yes or No: the professors eat the biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: a man drinks coffee a
A: No

Q: Is this sentence grammatical? Yes or No: the doctors hit fish the
A: No

Q: Is this sentence grammatical? Yes or No: the teachers touch chalk a
A: No

Q: Is this sentence grammatical? Yes or No: the dogs hit box the
A: No

Q: Is this sentence grammatical? Yes or No: a orator reads a letter
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers drink the milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher drinks a tea
A:",the teacher drinks a tea,Yes,Yes,"[('the', 0), ('teacher', 0.00011234640260227025), ('drinks', 0.00017371171270497143), ('a', 3.604434459703043e-05), ('tea', 0.052187345921993256), ('Yes', 0.011060765013098717)]",0
6,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the teacher drinks the milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: the dog hits the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: a doctor pushes a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers read novella the
A: No

Q: Is this sentence grammatical? Yes or No: the dogs drink tea the
A: No

Q: Is this sentence grammatical? Yes or No: the actresses hit fish the
A: No

Q: Is this sentence grammatical? Yes or No: the cook reads a chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher touches toy the
A: No

Q: Is this sentence grammatical? Yes or No: the actress hits toy the
A: No

Q: Is this sentence grammatical? Yes or No: the professors hit the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls kick a toy
A:",the girls kick a toy,Yes,Yes,"[('the', 0), ('girls', 0.00011234640260227025), ('kick', 0.00026179279666393995), ('a', 0.0002695785369724035), ('toy', 0.028623489663004875), ('Yes', 0.00031824057805351913)]",0
7,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the architects read chapter a
A: No

Q: Is this sentence grammatical? Yes or No: the cats touch cup a
A: No

Q: Is this sentence grammatical? Yes or No: the cats hit newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: the boys eat fruit a
A: No

Q: Is this sentence grammatical? Yes or No: the poets read the letter
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers push the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: a cook eats a cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls read the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: the orators read the postcard
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls kick newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: the actresses kick the hat
A:",the actresses kick the hat,Yes,Yes,"[('the', 0), ('actresses', 0.0001905480894492939), ('actresses', 0.0001905480894492939), ('kick', 0.020650925114750862), ('the', 3.766849476960488e-05), ('hat', 0.025283103808760643)]",0
8,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the teacher pushes a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl reads chapter the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher drinks a coffee
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher pushes a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the cook touches the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors push a toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl touches hat a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers hit box the
A: No

Q: Is this sentence grammatical? Yes or No: a actress touches newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the cook kicks toy a
A: No

Q: Is this sentence grammatical? Yes or No: the women kick a newspaper
A:",the women kick a newspaper,Yes,Yes,"[('the', 0), ('women', 0.00011234640260227025), ('kick', 0.00018819434626493603), ('a', 3.606745303841308e-05), ('newspaper', 0.015201708301901817), ('Yes', 4.071424700669013e-05)]",0
9,en-r-1,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the dogs eat the banana
A: Yes

Q: Is this sentence grammatical? Yes or No: the writer pushes a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs kick a box
A: Yes

Q: Is this sentence grammatical? Yes or No: a writer eats biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: the actress kicks fish a
A: No

Q: Is this sentence grammatical? Yes or No: a girl eats biscuit a
A: No

Q: Is this sentence grammatical? Yes or No: the cook drinks the smoothie
A: Yes

Q: Is this sentence grammatical? Yes or No: a cook kicks newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the doctors eat a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the woman reads book a
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers touch hat a
A:",the lawyers touch hat a,No,No,"[('the', 0), ('lawyers', 0.00011234640260227025), ('touch', 1.8211003407486714e-05), ('hat', 5.6802246035658754e-06), ('a', 2.2650692699244246e-05), ('No', 0.004034622106701136)]",0
