,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Maria knows that the men bring the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that the boy carries the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry affirms that the girl carries the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu notices that the girls take newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that the dog holds the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that the girls eat the pear
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry sees that the cats carry bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that the teachers hold bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that the girl reads story the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sees that the men bring the mouse
A: Yes

",Maria sees that the girl brings toy the,No,No,"[('Maria', 0), ('sees', 14.926013946533203), ('that', 15.280518531799316), ('the', 6.0364274978637695), ('girl', 2.8232927322387695), ('brings', 8.31274127960205), ('toy', 12.914741516113281), ('the', 14.00816535949707), ('No', 11.062341690063477)]",0
1,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Harry sees that the cat carries the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that the cat carries the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that the man brings the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that the dogs take bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that the women hold the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu says that the woman carries the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the girls eat biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: John knows that the teacher eats banana the
A: No

Q: Is this sentence grammatical? Yes or No: Harry sees that the boys take chalk the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sees that the dogs eat banana the
A: No

",John notices that the women bring bottle the,No,No,"[('John', 0), ('notices', 0.000418444265051221), ('notices', 0.000418444265051221), ('that', 0.31369349360466003), ('the', 0.2956275939941406), ('women', 0.18524271249771118), ('bring', 0.001936736749485135), ('bottle', 0.0010997670469805598), ('the', 1.6490850612171926e-05)]",0
2,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Sheela says that the woman carries the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela sees that the girls eat the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela sees that the dog holds bulb the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sees that the men bring mouse the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the girls carry the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu says that the teachers climb tree the
A: No

Q: Is this sentence grammatical? Yes or No: Harry knows that the cats hold the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom notices that the cats bring the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela notices that the dogs hold the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela knows that the girl brings chalk the
A: No

",Sheela affirms that the men take the bottle,Yes,Yes,"[('Sheela', 0.00024826781009323895), ('Sheela', 0.00024826781009323895), ('affir', 0.0010889449620208325), ('affirms', 0.4368606486821136), ('affirms', 0.4368606486821136), ('that', 0.9982798099517822), ('the', 0.4468882977962494), ('men', 0.1587914675474167), ('take', 0.00047699251445010304)]",0
3,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Sheela knows that the girls climb the staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu sees that the cats hold bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that the men hold bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry knows that the woman carries cap the
A: No

Q: Is this sentence grammatical? Yes or No: John notices that the girl holds toy the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela knows that the girl takes the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that the cat takes the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu says that the speakers read the chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria sees that the cat carries the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu sees that the dogs carry the mouse
A: Yes

",Tom knows that the teacher carries chalk the,No,No,"[('Tom', 0), ('knows', 0.00022081396309658885), ('that', 6.391161150531843e-05), ('the', 0.13604383170604706), ('teacher', 0.11473841965198517), ('carries', 0.0001394735008943826), ('chalk', 0.00018861976423067972), ('chalk', 0.00018861976423067972), ('the', 0.9053997993469238)]",0
4,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Harry notices that the boys eat the biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that the girls climb the hill
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that the man takes the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry knows that the men carry the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that the teacher carries the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela says that the woman carries mouse the
A: No

Q: Is this sentence grammatical? Yes or No: John sees that the man takes the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu sees that the girls bring the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that the girl eats meal the
A: No

Q: Is this sentence grammatical? Yes or No: Harry sees that the cat carries box the
A: No

",Leela knows that the teachers take bottle the,No,No,"[('Leela', 0.00024633578141219914), ('Leela', 0.00024633578141219914), ('knows', 0.0021308634895831347), ('that', 0.0004487624973990023), ('the', 0.15783804655075073), ('teachers', 0.0933685451745987), ('take', 0.00015309054288081825), ('bottle', 0.0011680852621793747), ('the', 4.233666004438419e-06)]",0
5,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: John sees that the girls carry bulb the
A: No

Q: Is this sentence grammatical? Yes or No: Tom sees that the teachers bring the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: John affirms that the man carries fish the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu notices that the dogs hold the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that the women eat the meal
A: Yes

Q: Is this sentence grammatical? Yes or No: John knows that the boy carries the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that the cat takes cup the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that the dog carries bottle the
A: No

Q: Is this sentence grammatical? Yes or No: Harry affirms that the boys bring newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Maria affirms that the man eats the meal
A: Yes

",Maria says that the women hold bulb the,No,No,"[('Maria', 0), ('says', 3.212344745406881e-05), ('that', 0.000224374292884022), ('the', 0.07973124831914902), ('women', 0.08513947576284409), ('hold', 0.0011476536747068167), ('bulb', 0.00014023763651493937), ('bulb', 0.00014023763651493937), ('the', 0.07593505829572678)]",0
6,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Tom knows that the girls hold fish the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu sees that the cats hold the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that the girl eats biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu sees that the boys hold the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the girls eat the biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that the teacher carries newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that the girl climbs the tree
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that the man carries the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that the teacher carries bottle the
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that the teacher takes cup the
A: No

",Harry sees that the women carry mouse the,Yes,No,"[('Harry', 0), ('sees', 4.42519158241339e-05), ('that', 2.459295683365781e-05), ('the', 0.0241908747702837), ('women', 0.15758703649044037), ('carry', 0.0006553183193318546), ('mouse', 0.0005987015902064741), ('the', 3.9677584027231205e-06), ('Yes', 7.430432742694393e-05)]",0
7,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Gomu affirms that the girl climbs rock the
A: No

Q: Is this sentence grammatical? Yes or No: Harry notices that the women bring the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that the teachers eat the biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that the dogs bring mouse the
A: No

Q: Is this sentence grammatical? Yes or No: Tom notices that the cats hold the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that the boy takes the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that the boys climb the mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu notices that the man holds fish the
A: No

Q: Is this sentence grammatical? Yes or No: Leela sees that the boys read poem the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that the teacher carries the newspaper
A: Yes

",Sheela knows that the men hold cup the,Yes,No,"[('Sheela', 0.00024826781009323895), ('Sheela', 0.00024826781009323895), ('knows', 0.0010885929223150015), ('that', 0.00026533380150794983), ('the', 0.1622055172920227), ('men', 0.10244596749544144), ('hold', 0.0007207703893072903), ('cup', 0.00018740916857495904), ('the', 4.190316303720465e-06)]",0
8,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Sheela affirms that the boy holds chalk the
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that the cat takes the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that the boy takes mouse the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sees that the girls eat fish the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the teacher takes bulb the
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that the women eat biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: Harry knows that the boy reads story the
A: No

Q: Is this sentence grammatical? Yes or No: Leela sees that the women carry cap the
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that the teacher reads the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela sees that the cats climb staircase the
A: No

",Leela notices that the teacher eats the pear,No,Yes,"[('Leela', 0.00024633578141219914), ('Leela', 0.00024633578141219914), ('notices', 0.0021987489526509307), ('notices', 0.0021987489526509307), ('that', 0.22850114107131958), ('the', 0.2196197360754013), ('teacher', 0.10356054455041885), ('eats', 0.0006352927885018289), ('eats', 0.0006352927885018289)]",0
9,en-r-1-subordinate,"Q: Is this sentence grammatical? Yes or No: Sheela sees that the women take the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that the man eats cucumber the
A: No

Q: Is this sentence grammatical? Yes or No: Leela sees that the boys take newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that the girl eats the fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: John knows that the teachers hold the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that the cats climb the tree
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela says that the teachers bring cap the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu notices that the woman brings the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela says that the woman carries mouse the
A: No

Q: Is this sentence grammatical? Yes or No: Harry notices that the women bring the cap
A: Yes

",Tom knows that the dog holds the cap,Yes,Yes,"[('Tom', 0), ('knows', 0.00022081396309658885), ('that', 6.391161150531843e-05), ('the', 0.13604383170604706), ('dog', 0.11473841965198517), ('holds', 0.00043637395719997585), ('the', 9.69961765804328e-05), ('cap', 0.4934104382991791), ('Yes', 1.4670931705040857e-05)]",0
