,type,prompt,q,prediction,gold,surprisal,int-grad
0,ita-u-1-negation,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le ragazze prendono il no topo
A: Yes

Q: Is this sentence grammatical? Yes or No: i cani prendono la no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: il cane tiene la no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: un' uomo prende una no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: i gatti mangiano il pesce no
A: No

Q: Is this sentence grammatical? Yes or No: gli autori leggono il no poema
A: Yes

Q: Is this sentence grammatical? Yes or No: i ragazzi portano la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: i ragazzi mangiano la pera no
A: No

Q: Is this sentence grammatical? Yes or No: il cane porta il giocattolo no
A: No

Q: Is this sentence grammatical? Yes or No: un' uomo tiene la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: le donne salgono il tetto no
A: ",le donne salgono il tetto no,No,No,,0
1,ita-u-1-negation,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le ragazze prendono il no topo
A: Yes

Q: Is this sentence grammatical? Yes or No: i cani prendono la scatola no
A: No

Q: Is this sentence grammatical? Yes or No: il cane tiene la scatola no
A: No

Q: Is this sentence grammatical? Yes or No: un' uomo prende una scatola no
A: No

Q: Is this sentence grammatical? Yes or No: i gatti mangiano il pesce no
A: No

Q: Is this sentence grammatical? Yes or No: gli autori leggono il poema no
A: No

Q: Is this sentence grammatical? Yes or No: i ragazzi portano la no lampadina
A: Yes

Q: Is this sentence grammatical? Yes or No: i ragazzi mangiano la no pera
A: Yes

Q: Is this sentence grammatical? Yes or No: il cane porta il no giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: un' uomo tiene la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: le donne mangiano la no frutta
A: ",le donne mangiano la no frutta,No,Yes,,0
2,ita-u-1-negation,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le ragazze prendono il no topo
A: Yes

Q: Is this sentence grammatical? Yes or No: i cani prendono la scatola no
A: No

Q: Is this sentence grammatical? Yes or No: il cane tiene la no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: un' uomo prende una scatola no
A: No

Q: Is this sentence grammatical? Yes or No: i gatti mangiano il pesce no
A: No

Q: Is this sentence grammatical? Yes or No: gli autori leggono il poema no
A: No

Q: Is this sentence grammatical? Yes or No: i ragazzi portano la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: i ragazzi mangiano la pera no
A: No

Q: Is this sentence grammatical? Yes or No: il cane porta il no giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: un' uomo tiene la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: il poeta legge una no storia
A: ",il poeta legge una no storia,No,Yes,,0
3,ita-u-1-negation,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le ragazze prendono il no topo
A: Yes

Q: Is this sentence grammatical? Yes or No: i cani prendono la no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: il cane tiene la scatola no
A: No

Q: Is this sentence grammatical? Yes or No: un' uomo prende una scatola no
A: No

Q: Is this sentence grammatical? Yes or No: i gatti mangiano il pesce no
A: No

Q: Is this sentence grammatical? Yes or No: gli autori leggono il no poema
A: Yes

Q: Is this sentence grammatical? Yes or No: i ragazzi portano la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: i ragazzi mangiano la pera no
A: No

Q: Is this sentence grammatical? Yes or No: il cane porta il giocattolo no
A: No

Q: Is this sentence grammatical? Yes or No: un' uomo tiene la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: le donne prendono la no lampadina
A: ",le donne prendono la no lampadina,No,Yes,,0
4,ita-u-1-negation,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le ragazze prendono il topo no
A: No

Q: Is this sentence grammatical? Yes or No: i cani prendono la no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: il cane tiene la no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: un' uomo prende una scatola no
A: No

Q: Is this sentence grammatical? Yes or No: i gatti mangiano il no pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: gli autori leggono il poema no
A: No

Q: Is this sentence grammatical? Yes or No: i ragazzi portano la no lampadina
A: Yes

Q: Is this sentence grammatical? Yes or No: i ragazzi mangiano la no pera
A: Yes

Q: Is this sentence grammatical? Yes or No: il cane porta il no giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: un' uomo tiene la no lampadina
A: Yes

Q: Is this sentence grammatical? Yes or No: i ragazzi portano la bottiglia no
A: ",i ragazzi portano la bottiglia no,Yes,No,,0
5,ita-u-1-negation,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le ragazze prendono il no topo
A: Yes

Q: Is this sentence grammatical? Yes or No: i cani prendono la no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: il cane tiene la no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: un' uomo prende una no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: i gatti mangiano il pesce no
A: No

Q: Is this sentence grammatical? Yes or No: gli autori leggono il poema no
A: No

Q: Is this sentence grammatical? Yes or No: i ragazzi portano la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: i ragazzi mangiano la no pera
A: Yes

Q: Is this sentence grammatical? Yes or No: il cane porta il giocattolo no
A: No

Q: Is this sentence grammatical? Yes or No: un' uomo tiene la no lampadina
A: Yes

Q: Is this sentence grammatical? Yes or No: il cane porta un no giornale
A: ",il cane porta un no giornale,No,Yes,,0
6,ita-u-1-negation,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le ragazze prendono il topo no
A: No

Q: Is this sentence grammatical? Yes or No: i cani prendono la no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: il cane tiene la scatola no
A: No

Q: Is this sentence grammatical? Yes or No: un' uomo prende una scatola no
A: No

Q: Is this sentence grammatical? Yes or No: i gatti mangiano il pesce no
A: No

Q: Is this sentence grammatical? Yes or No: gli autori leggono il no poema
A: Yes

Q: Is this sentence grammatical? Yes or No: i ragazzi portano la no lampadina
A: Yes

Q: Is this sentence grammatical? Yes or No: i ragazzi mangiano la no pera
A: Yes

Q: Is this sentence grammatical? Yes or No: il cane porta il no giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: un' uomo tiene la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: le ragazze prendono la bottiglia no
A: ",le ragazze prendono la bottiglia no,No,No,,0
7,ita-u-1-negation,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le ragazze prendono il topo no
A: No

Q: Is this sentence grammatical? Yes or No: i cani prendono la scatola no
A: No

Q: Is this sentence grammatical? Yes or No: il cane tiene la scatola no
A: No

Q: Is this sentence grammatical? Yes or No: un' uomo prende una no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: i gatti mangiano il no pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: gli autori leggono il poema no
A: No

Q: Is this sentence grammatical? Yes or No: i ragazzi portano la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: i ragazzi mangiano la pera no
A: No

Q: Is this sentence grammatical? Yes or No: il cane porta il no giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: un' uomo tiene la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: il gatto tiene la scatola no
A: ",il gatto tiene la scatola no,No,No,,0
8,ita-u-1-negation,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le ragazze prendono il no topo
A: Yes

Q: Is this sentence grammatical? Yes or No: i cani prendono la no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: il cane tiene la no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: un' uomo prende una scatola no
A: No

Q: Is this sentence grammatical? Yes or No: i gatti mangiano il pesce no
A: No

Q: Is this sentence grammatical? Yes or No: gli autori leggono il poema no
A: No

Q: Is this sentence grammatical? Yes or No: i ragazzi portano la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: i ragazzi mangiano la no pera
A: Yes

Q: Is this sentence grammatical? Yes or No: il cane porta il no giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: un' uomo tiene la no lampadina
A: Yes

Q: Is this sentence grammatical? Yes or No: un ragazzo scala la collina no
A: ",un ragazzo scala la collina no,No,No,,0
9,ita-u-1-negation,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: le ragazze prendono il no topo
A: Yes

Q: Is this sentence grammatical? Yes or No: i cani prendono la scatola no
A: No

Q: Is this sentence grammatical? Yes or No: il cane tiene la no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: un' uomo prende una no scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: i gatti mangiano il pesce no
A: No

Q: Is this sentence grammatical? Yes or No: gli autori leggono il no poema
A: Yes

Q: Is this sentence grammatical? Yes or No: i ragazzi portano la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: i ragazzi mangiano la pera no
A: No

Q: Is this sentence grammatical? Yes or No: il cane porta il no giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: un' uomo tiene la lampadina no
A: No

Q: Is this sentence grammatical? Yes or No: il gatto porta il giocattolo no
A: ",il gatto porta il giocattolo no,Yes,No,,0
