,type,prompt,q,prediction,gold,surprisal,int-grad
0,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kar girl carries box kar
A: No

Q: Is this sentence grammatical? Yes or No: kars girls climb kars hill
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys hold fish kons
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs eat cucumber kons
A: No

Q: Is this sentence grammatical? Yes or No: kar woman eats kar meal
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers take kons newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl brings kar toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog climbs staircase kon
A: No

Q: Is this sentence grammatical? Yes or No: kon boy reads kon chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls carry mouse kars
A: No

",kon dog holds mouse kon,Yes,No,"[('kon', 0), ('dog', 20.361709594726562), ('holds', 19.613178253173828), ('mouse', 16.306488037109375), ('kon', 13.187623023986816), ('Yes', 11.095646858215332)]",0
1,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons dogs carry kons fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl holds fish kar
A: No

Q: Is this sentence grammatical? Yes or No: kons men eat pizza kons
A: No

Q: Is this sentence grammatical? Yes or No: kons cats bring fish kons
A: No

Q: Is this sentence grammatical? Yes or No: kons cats take chalk kons
A: No

Q: Is this sentence grammatical? Yes or No: kar girl brings toy kar
A: No

Q: Is this sentence grammatical? Yes or No: kon dog holds kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers eat kons fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog brings kon cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls carry cup kars
A: No

",kon teacher climbs kon staircase,Yes,Yes,"[('kon', 0), ('teacher', 7.42189115499059e-07), ('climbs', 5.9144478825601254e-06), ('climbs', 5.9144478825601254e-06), ('kon', 0.1188030019402504), ('stair', 0.0012482109304983169)]",0
2,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon cat brings kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs carry box kons
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs eat fish kons
A: No

Q: Is this sentence grammatical? Yes or No: kar woman holds cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kons men hold kons fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers eat fish kons
A: No

Q: Is this sentence grammatical? Yes or No: kon man holds kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys bring kons toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs bring bulb kons
A: No

Q: Is this sentence grammatical? Yes or No: kons boys read poem kons
A: No

",kons boys bring kons bulb,No,Yes,"[('kons', 0.0002350178110646084), ('kons', 0.0002350178110646084), ('boys', 0.000341453735018149), ('bring', 5.1015334179282945e-08), ('kons', 0.0032766564399935305), ('kons', 0.0032766564399935305)]",0
3,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons men climb tree kons
A: No

Q: Is this sentence grammatical? Yes or No: kars women take kars toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kon poet reads kon story
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women climb kars rock
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers hold kons bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers carry fish kons
A: No

Q: Is this sentence grammatical? Yes or No: kon dog carries kon bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women carry chalk kars
A: No

Q: Is this sentence grammatical? Yes or No: kons cats take chalk kons
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers carry cup kons
A: No

",kon boy eats pizza kon,Yes,No,"[('kon', 0), ('boy', 7.42189115499059e-07), ('eats', 0.0007539371604252665), ('eats', 0.0007539371604252665), ('pizza', 0.12216790206730366), ('pizza', 0.12216790206730366)]",0
4,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons teachers climb kons staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman eats kar fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls carry toy kars
A: No

Q: Is this sentence grammatical? Yes or No: kar woman climbs kar tree
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys carry toy kons
A: No

Q: Is this sentence grammatical? Yes or No: kars women take kars bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats carry kons bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman brings chalk kar
A: No

Q: Is this sentence grammatical? Yes or No: kons men hold kons fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat takes kon cup
A: Yes

",kon teacher holds bottle kon,No,No,"[('kon', 0), ('teacher', 7.42189115499059e-07), ('holds', 2.445496818381798e-07), ('bottle', 0.00012900633373646997), ('bottle', 0.00012900633373646997), ('kon', 0.8907791376113892)]",0
5,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons dogs bring kons cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats carry bulb kons
A: No

Q: Is this sentence grammatical? Yes or No: kon dog brings fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kar woman holds newspaper kar
A: No

Q: Is this sentence grammatical? Yes or No: kars girls bring newspaper kars
A: No

Q: Is this sentence grammatical? Yes or No: kon cat takes kon bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy carries kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women eat cucumber kars
A: No

Q: Is this sentence grammatical? Yes or No: kars girls carry newspaper kars
A: No

Q: Is this sentence grammatical? Yes or No: kon boy takes kon bulb
A: Yes

",kar girl carries cup kar,Yes,No,"[('kar', 0), ('girl', 1.3974670309835346e-06), ('carries', 0.0006441104484338211), ('carries', 0.0006441104484338211), ('cup', 0.03901660442352295), ('kar', 0.00018399690452497452)]",0
6,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon teacher brings toy kon
A: No

Q: Is this sentence grammatical? Yes or No: kon man holds kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man takes kon box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy takes fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers bring kons newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat takes bottle kon
A: No

Q: Is this sentence grammatical? Yes or No: kons men take box kons
A: No

Q: Is this sentence grammatical? Yes or No: kon poet reads kon poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers read book kons
A: No

Q: Is this sentence grammatical? Yes or No: kars women carry mouse kars
A: No

",kars women climb roof kars,Yes,No,"[('kars', 0.0002350178110646084), ('kars', 0.0002350178110646084), ('women', 0.00017069072055164725), ('climb', 5.180129392101662e-05), ('climb', 5.180129392101662e-05), ('roof', 0.3896775543689728)]",0
7,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons boys eat kons fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man brings toy kon
A: No

Q: Is this sentence grammatical? Yes or No: kons men bring kons cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats eat kons pear
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys hold toy kons
A: No

Q: Is this sentence grammatical? Yes or No: kons boys eat cucumber kons
A: No

Q: Is this sentence grammatical? Yes or No: kon man takes newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kon boy brings kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy takes toy kon
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers eat pizza kons
A: No

",kars girls climb kars rock,Yes,Yes,"[('kars', 0.0002350178110646084), ('kars', 0.0002350178110646084), ('girls', 0.00017069072055164725), ('climb', 6.457288054662058e-05), ('climb', 6.457288054662058e-05), ('kars', 0.4716607922455296)]",0
8,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon dog brings kon bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman brings cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kar girl reads kar poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy holds kon box
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women bring bottle kars
A: No

Q: Is this sentence grammatical? Yes or No: kons men eat kons pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher brings kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men bring chalk kons
A: No

Q: Is this sentence grammatical? Yes or No: kon cat brings newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kon cat eats kon banana
A: Yes

",kars girls hold kars mouse,Yes,Yes,"[('kars', 0.0002350178110646084), ('kars', 0.0002350178110646084), ('girls', 0.00017069072055164725), ('hold', 5.660710667143576e-05), ('kars', 0.002942603900009999), ('kars', 0.002942603900009999)]",0
9,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons teachers take bulb kons
A: No

Q: Is this sentence grammatical? Yes or No: kon man carries kon box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men take bottle kons
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher holds kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers eat kons fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man takes chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher carries bottle kon
A: No

Q: Is this sentence grammatical? Yes or No: kon cat takes kon box
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman climbs kar staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men take mouse kons
A: No

",kon teacher eats kon biscuit,Yes,Yes,"[('kon', 0), ('teacher', 7.42189115499059e-07), ('eats', 0.0009898244945532042), ('eats', 0.0009898244945532042), ('kon', 0.009885856881737709), ('bisc', 0.007249833783134818)]",0
