,type,prompt,q,prediction,gold,surprisal,int-grad
0,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon man carries kon box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats take mouse kons
A: No

Q: Is this sentence grammatical? Yes or No: kar girl takes kar bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy eats kon cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys eat kons meal
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher eats kon biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women take kars cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman holds cap kar
A: No

Q: Is this sentence grammatical? Yes or No: kars women climb kars tree
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls bring chalk kars
A: No

",kons teachers hold kons box,Yes,Yes,"[('kons', 14.586060523986816), ('kons', 14.586060523986816), ('teachers', 10.999157905578613), ('hold', 24.885726928710938), ('kons', 20.911113739013672), ('kons', 20.911113739013672)]",0
1,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon cat brings bulb kon
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers carry kons mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy holds box kon
A: No

Q: Is this sentence grammatical? Yes or No: kon boy carries fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kons men hold mouse kons
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher carries box kon
A: No

Q: Is this sentence grammatical? Yes or No: kars women take kars box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats take kons mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher takes fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls take bottle kars
A: No

",kon teacher holds kon bottle,No,Yes,"[('kon', 0), ('teacher', 1.5578893908241298e-07), ('holds', 4.4955811517866096e-07), ('kon', 5.6678574765101075e-05), ('bottle', 1.85938406502828e-05), ('No', 1.0145069609279744e-05)]",0
2,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons teachers hold kons newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man holds cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kar girl reads chapter kar
A: No

Q: Is this sentence grammatical? Yes or No: kon boy takes kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys eat kons cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys bring kons mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat carries kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher carries kon box
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women take kars mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys read kons chapter
A: Yes

",kon cat takes kon chalk,Yes,Yes,"[('kon', 0), ('cat', 1.55640591970041e-07), ('takes', 6.483249990196782e-07), ('kon', 5.798084748676047e-05), ('chalk', 0.001140152831794694), ('chalk', 0.001140152831794694)]",0
3,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon man carries kon bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog eats kon pear
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman climbs tree kar
A: No

Q: Is this sentence grammatical? Yes or No: kar woman takes cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kons men carry box kons
A: No

Q: Is this sentence grammatical? Yes or No: kars girls eat cucumber kars
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher takes cup kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs climb kons roof
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy carries kon bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat brings kon bulb
A: Yes

",kons boys hold kons toy,Yes,Yes,"[('kons', 4.065914617967792e-05), ('kons', 4.065914617967792e-05), ('boys', 0.0004885662929154932), ('hold', 3.1701543434792256e-07), ('kons', 0.0016109064090414904), ('kons', 0.0016109064090414904)]",0
4,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons men take kons chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys eat cucumber kons
A: No

Q: Is this sentence grammatical? Yes or No: kars girls eat cucumber kars
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher holds mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kar girl brings cap kar
A: No

Q: Is this sentence grammatical? Yes or No: kons men eat meal kons
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers eat kons cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl brings bottle kar
A: No

Q: Is this sentence grammatical? Yes or No: kons boys climb tree kons
A: No

Q: Is this sentence grammatical? Yes or No: kons boys climb rock kons
A: No

",kar girl climbs kar tree,No,Yes,"[('kar', 0), ('girl', 5.732147201342741e-07), ('climbs', 4.842605051180726e-06), ('climbs', 4.842605051180726e-06), ('kar', 0.47368741035461426), ('tree', 0.0006979257450439036)]",0
5,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons boys eat biscuit kons
A: No

Q: Is this sentence grammatical? Yes or No: kars women bring kars toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats take kons mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys bring kons mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy climbs roof kon
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers read poem kons
A: No

Q: Is this sentence grammatical? Yes or No: kons boys eat meal kons
A: No

Q: Is this sentence grammatical? Yes or No: kons cats bring kons box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats eat cucumber kons
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs carry bulb kons
A: No

",kons men bring cup kons,Yes,No,"[('kons', 4.065914617967792e-05), ('kons', 4.065914617967792e-05), ('men', 0.0004885662929154932), ('bring', 4.848090497944213e-07), ('cup', 1.2360596883809194e-05), ('kons', 0.004059843984578038)]",0
6,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons cats take kons chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man brings bottle kon
A: No

Q: Is this sentence grammatical? Yes or No: kon boy holds bottle kon
A: No

Q: Is this sentence grammatical? Yes or No: kon dog carries bulb kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls bring kars mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs carry kons cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs bring kons toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog takes cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls take kars cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women take bulb kars
A: No

",kon teacher brings kon bottle,No,Yes,"[('kon', 0), ('teacher', 1.5578893908241298e-07), ('brings', 4.4955811517866096e-07), ('kon', 0.00022504547087009996), ('bottle', 0.000518128857947886), ('No', 2.163921180908801e-06)]",0
7,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon cat eats fruit kon
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers bring chalk kons
A: No

Q: Is this sentence grammatical? Yes or No: kon dog carries box kon
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher carries kon box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher reads book kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls carry kars bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog carries mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kar woman takes kar mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl holds kar cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers hold toy kons
A: No

",kons cats hold cap kons,Yes,No,"[('kons', 4.065914617967792e-05), ('kons', 4.065914617967792e-05), ('cats', 0.0004885662929154932), ('hold', 2.1916169146152242e-07), ('cap', 5.2319523092592135e-05), ('kons', 0.003005000104167266)]",0
8,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon dog holds kon bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl carries kar toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women eat kars pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls hold mouse kars
A: No

Q: Is this sentence grammatical? Yes or No: kar girl carries bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: kons boys hold kons bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman brings cap kar
A: No

Q: Is this sentence grammatical? Yes or No: kon cat climbs hill kon
A: No

Q: Is this sentence grammatical? Yes or No: kars women carry mouse kars
A: No

Q: Is this sentence grammatical? Yes or No: kon cat takes bulb kon
A: No

",kars girls climb kars mountain,Yes,Yes,"[('kars', 4.065914617967792e-05), ('kars', 4.065914617967792e-05), ('girls', 0.0002740609925240278), ('climb', 3.6423062965695863e-07), ('kars', 0.004897538943623658), ('kars', 0.004897538943623658)]",0
9,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon teacher takes kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl holds kar chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs eat kons banana
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat takes newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kar woman takes kar cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys hold kons chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog carries kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs eat biscuit kons
A: No

Q: Is this sentence grammatical? Yes or No: kons men bring kons cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl takes kar bulb
A: Yes

",kon teacher carries kon mouse,Yes,Yes,"[('kon', 0), ('teacher', 1.5578893908241298e-07), ('carries', 4.4955811517866096e-07), ('kon', 2.479733302607201e-05), ('mouse', 7.622739940416068e-05), ('Yes', 0.00023741832410451025)]",0
