,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-r-3-subordinate,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: ゴムマウス女優たちがはを押すと述べる
A: No

Q: Is this sentence grammatical? Yes or No: ジョンは教師が帽子を触ると信じる
A: Yes

Q: Is this sentence grammatical? Yes or No: トム考える教授が新聞を打つとは
A: No

Q: Is this sentence grammatical? Yes or No: リーラ章医者がはを読むと信じる
A: No

Q: Is this sentence grammatical? Yes or No: ゴムを女優がマウスは触ると考える
A: No

Q: Is this sentence grammatical? Yes or No: リーラと著者たちが手紙を読むは信じる
A: No

Q: Is this sentence grammatical? Yes or No: トムはをが帽子教授蹴ると言う
A: No

Q: Is this sentence grammatical? Yes or No: ハリーは女優たちが魚を食べると述べる
A: Yes

Q: Is this sentence grammatical? Yes or No: とは女の子がエスプレッソを飲むマリア言う
A: No

Q: Is this sentence grammatical? Yes or No: をは猫がボトルゴム押すと提案する
A: No

Q: Is this sentence grammatical? Yes or No: ゴムはミルクセーキが医者を飲むと述べる
A: ",ゴムはミルクセーキが医者を飲むと述べる,No,No,,0
1,jap-r-3-subordinate,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: ゴムマウス女優たちがはを押すと述べる
A: No

Q: Is this sentence grammatical? Yes or No: ジョン信じる教師が帽子を触るとは
A: No

Q: Is this sentence grammatical? Yes or No: トム考える教授が新聞を打つとは
A: No

Q: Is this sentence grammatical? Yes or No: リーラ章医者がはを読むと信じる
A: No

Q: Is this sentence grammatical? Yes or No: ゴムは女優がマウスを触ると考える
A: Yes

Q: Is this sentence grammatical? Yes or No: リーラと著者たちが手紙を読むは信じる
A: No

Q: Is this sentence grammatical? Yes or No: トムは教授が帽子を蹴ると言う
A: Yes

Q: Is this sentence grammatical? Yes or No: ハリーは女優たちが魚を食べると述べる
A: Yes

Q: Is this sentence grammatical? Yes or No: とは女の子がエスプレッソを飲むマリア言う
A: No

Q: Is this sentence grammatical? Yes or No: をは猫がボトルゴム押すと提案する
A: No

Q: Is this sentence grammatical? Yes or No: トムは作家たちがとを読む詩考える
A: ",トムは作家たちがとを読む詩考える,No,No,,0
2,jap-r-3-subordinate,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: ゴムは女優たちがマウスを押すと述べる
A: Yes

Q: Is this sentence grammatical? Yes or No: ジョンは教師が帽子を触ると信じる
A: Yes

Q: Is this sentence grammatical? Yes or No: トム考える教授が新聞を打つとは
A: No

Q: Is this sentence grammatical? Yes or No: リーラ章医者がはを読むと信じる
A: No

Q: Is this sentence grammatical? Yes or No: ゴムは女優がマウスを触ると考える
A: Yes

Q: Is this sentence grammatical? Yes or No: リーラと著者たちが手紙を読むは信じる
A: No

Q: Is this sentence grammatical? Yes or No: トムはをが帽子教授蹴ると言う
A: No

Q: Is this sentence grammatical? Yes or No: ハリーは女優たちが魚を食べると述べる
A: Yes

Q: Is this sentence grammatical? Yes or No: とは女の子がエスプレッソを飲むマリア言う
A: No

Q: Is this sentence grammatical? Yes or No: ゴムは猫がボトルを押すと提案する
A: Yes

Q: Is this sentence grammatical? Yes or No: ゴムは男性がジュースを飲むと提案する
A: ",ゴムは男性がジュースを飲むと提案する,No,Yes,,0
3,jap-r-3-subordinate,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: ゴムは女優たちがマウスを押すと述べる
A: Yes

Q: Is this sentence grammatical? Yes or No: ジョン信じる教師が帽子を触るとは
A: No

Q: Is this sentence grammatical? Yes or No: トムは教授が新聞を打つと考える
A: Yes

Q: Is this sentence grammatical? Yes or No: リーラ章医者がはを読むと信じる
A: No

Q: Is this sentence grammatical? Yes or No: ゴムは女優がマウスを触ると考える
A: Yes

Q: Is this sentence grammatical? Yes or No: リーラと著者たちが手紙を読むは信じる
A: No

Q: Is this sentence grammatical? Yes or No: トムは教授が帽子を蹴ると言う
A: Yes

Q: Is this sentence grammatical? Yes or No: ハリーは女優たちが魚を食べると述べる
A: Yes

Q: Is this sentence grammatical? Yes or No: とは女の子がエスプレッソを飲むマリア言う
A: No

Q: Is this sentence grammatical? Yes or No: をは猫がボトルゴム押すと提案する
A: No

Q: Is this sentence grammatical? Yes or No: リーラは医者たちが魚を押すと述べる
A: ",リーラは医者たちが魚を押すと述べる,Yes,Yes,,0
4,jap-r-3-subordinate,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: ゴムマウス女優たちがはを押すと述べる
A: No

Q: Is this sentence grammatical? Yes or No: ジョンは教師が帽子を触ると信じる
A: Yes

Q: Is this sentence grammatical? Yes or No: トム考える教授が新聞を打つとは
A: No

Q: Is this sentence grammatical? Yes or No: リーラ章医者がはを読むと信じる
A: No

Q: Is this sentence grammatical? Yes or No: ゴムを女優がマウスは触ると考える
A: No

Q: Is this sentence grammatical? Yes or No: リーラは著者たちが手紙を読むと信じる
A: Yes

Q: Is this sentence grammatical? Yes or No: トムは教授が帽子を蹴ると言う
A: Yes

Q: Is this sentence grammatical? Yes or No: ハリーは女優たちが魚を食べると述べる
A: Yes

Q: Is this sentence grammatical? Yes or No: マリアは女の子がエスプレッソを飲むと言う
A: Yes

Q: Is this sentence grammatical? Yes or No: をは猫がボトルゴム押すと提案する
A: No

Q: Is this sentence grammatical? Yes or No: ハリーが医者たちは白亜を押すと考える
A: ",ハリーが医者たちは白亜を押すと考える,No,No,,0
5,jap-r-3-subordinate,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: ゴムは女優たちがマウスを押すと述べる
A: Yes

Q: Is this sentence grammatical? Yes or No: ジョン信じる教師が帽子を触るとは
A: No

Q: Is this sentence grammatical? Yes or No: トムは教授が新聞を打つと考える
A: Yes

Q: Is this sentence grammatical? Yes or No: リーラ章医者がはを読むと信じる
A: No

Q: Is this sentence grammatical? Yes or No: ゴムを女優がマウスは触ると考える
A: No

Q: Is this sentence grammatical? Yes or No: リーラと著者たちが手紙を読むは信じる
A: No

Q: Is this sentence grammatical? Yes or No: トムはをが帽子教授蹴ると言う
A: No

Q: Is this sentence grammatical? Yes or No: ハリーは女優たちが魚を食べると述べる
A: Yes

Q: Is this sentence grammatical? Yes or No: マリアは女の子がエスプレッソを飲むと言う
A: Yes

Q: Is this sentence grammatical? Yes or No: ゴムは猫がボトルを押すと提案する
A: Yes

Q: Is this sentence grammatical? Yes or No: リーラは教師がお茶を飲むと提案する
A: ",リーラは教師がお茶を飲むと提案する,No,Yes,,0
6,jap-r-3-subordinate,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: ゴムは女優たちがマウスを押すと述べる
A: Yes

Q: Is this sentence grammatical? Yes or No: ジョン信じる教師が帽子を触るとは
A: No

Q: Is this sentence grammatical? Yes or No: トム考える教授が新聞を打つとは
A: No

Q: Is this sentence grammatical? Yes or No: リーラ章医者がはを読むと信じる
A: No

Q: Is this sentence grammatical? Yes or No: ゴムは女優がマウスを触ると考える
A: Yes

Q: Is this sentence grammatical? Yes or No: リーラは著者たちが手紙を読むと信じる
A: Yes

Q: Is this sentence grammatical? Yes or No: トムは教授が帽子を蹴ると言う
A: Yes

Q: Is this sentence grammatical? Yes or No: ハリー食べる女優たちが魚をはと述べる
A: No

Q: Is this sentence grammatical? Yes or No: とは女の子がエスプレッソを飲むマリア言う
A: No

Q: Is this sentence grammatical? Yes or No: ゴムは猫がボトルを押すと提案する
A: Yes

Q: Is this sentence grammatical? Yes or No: 信じるは女の子たちが玩具を蹴るとジョン
A: ",信じるは女の子たちが玩具を蹴るとジョン,No,No,,0
7,jap-r-3-subordinate,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: ゴムは女優たちがマウスを押すと述べる
A: Yes

Q: Is this sentence grammatical? Yes or No: ジョンは教師が帽子を触ると信じる
A: Yes

Q: Is this sentence grammatical? Yes or No: トムは教授が新聞を打つと考える
A: Yes

Q: Is this sentence grammatical? Yes or No: リーラ章医者がはを読むと信じる
A: No

Q: Is this sentence grammatical? Yes or No: ゴムは女優がマウスを触ると考える
A: Yes

Q: Is this sentence grammatical? Yes or No: リーラと著者たちが手紙を読むは信じる
A: No

Q: Is this sentence grammatical? Yes or No: トムはをが帽子教授蹴ると言う
A: No

Q: Is this sentence grammatical? Yes or No: ハリーは女優たちが魚を食べると述べる
A: Yes

Q: Is this sentence grammatical? Yes or No: マリアは女の子がエスプレッソを飲むと言う
A: Yes

Q: Is this sentence grammatical? Yes or No: ゴムは猫がボトルを押すと提案する
A: Yes

Q: Is this sentence grammatical? Yes or No: ハリー女優たちはが帽子を蹴ると提案する
A: ",ハリー女優たちはが帽子を蹴ると提案する,No,No,,0
8,jap-r-3-subordinate,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: ゴムマウス女優たちがはを押すと述べる
A: No

Q: Is this sentence grammatical? Yes or No: ジョン信じる教師が帽子を触るとは
A: No

Q: Is this sentence grammatical? Yes or No: トムは教授が新聞を打つと考える
A: Yes

Q: Is this sentence grammatical? Yes or No: リーラ章医者がはを読むと信じる
A: No

Q: Is this sentence grammatical? Yes or No: ゴムを女優がマウスは触ると考える
A: No

Q: Is this sentence grammatical? Yes or No: リーラと著者たちが手紙を読むは信じる
A: No

Q: Is this sentence grammatical? Yes or No: トムはをが帽子教授蹴ると言う
A: No

Q: Is this sentence grammatical? Yes or No: ハリー食べる女優たちが魚をはと述べる
A: No

Q: Is this sentence grammatical? Yes or No: マリアは女の子がエスプレッソを飲むと言う
A: Yes

Q: Is this sentence grammatical? Yes or No: をは猫がボトルゴム押すと提案する
A: No

Q: Is this sentence grammatical? Yes or No: シーラは女性たちが新聞を蹴ると信じる
A: ",シーラは女性たちが新聞を蹴ると信じる,No,Yes,,0
9,jap-r-3-subordinate,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: ゴムは女優たちがマウスを押すと述べる
A: Yes

Q: Is this sentence grammatical? Yes or No: ジョンは教師が帽子を触ると信じる
A: Yes

Q: Is this sentence grammatical? Yes or No: トムは教授が新聞を打つと考える
A: Yes

Q: Is this sentence grammatical? Yes or No: リーラ章医者がはを読むと信じる
A: No

Q: Is this sentence grammatical? Yes or No: ゴムを女優がマウスは触ると考える
A: No

Q: Is this sentence grammatical? Yes or No: リーラは著者たちが手紙を読むと信じる
A: Yes

Q: Is this sentence grammatical? Yes or No: トムは教授が帽子を蹴ると言う
A: Yes

Q: Is this sentence grammatical? Yes or No: ハリー食べる女優たちが魚をはと述べる
A: No

Q: Is this sentence grammatical? Yes or No: マリアは女の子がエスプレッソを飲むと言う
A: Yes

Q: Is this sentence grammatical? Yes or No: ゴムは猫がボトルを押すと提案する
A: Yes

Q: Is this sentence grammatical? Yes or No: トムは弁護士たちが帽子を触ると信じる
A: ",トムは弁護士たちが帽子を触ると信じる,Yes,Yes,,0
