,type,prompt,q,prediction,gold,surprisal,int-grad
0,it,"Q: Is this sentence grammatical? Yes or No: kons dogs eat kar banana
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats bring bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: kons men climb kon roof
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers eat banana kar
A: No

Q: Is this sentence grammatical? Yes or No: kons boys eat kon meal
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman takes kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers read book kon
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers take mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kons cats take kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats climb mountain kar
A: No

",kon dog takes bottle kar,Yes,No,"[('kon', 0), ('dog', 22.61406135559082), ('takes', 19.2431640625), ('bottle', 12.738926887512207), ('kar', 16.709291458129883), ('Yes', 15.66356086730957)]",0
1,it,"Q: Is this sentence grammatical? Yes or No: kons men take cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kons cats bring chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher carries cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kons boys climb kar tree
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman brings newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher brings fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kar girl brings cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls bring kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men eat pear kar
A: No

Q: Is this sentence grammatical? Yes or No: kons cats eat kar pizza
A: Yes

",kons boys bring newspaper kon,No,No,"[('kons', 4.0653834730619565e-05), ('kons', 4.0653834730619565e-05), ('boys', 0.0004865485825575888), ('bring', 3.229173444196931e-07), ('newspaper', 9.775842045200989e-05), ('kon', 4.4869439079775475e-06)]",0
2,it,"Q: Is this sentence grammatical? Yes or No: kons boys bring box kar
A: No

Q: Is this sentence grammatical? Yes or No: kars women carry kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men bring newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kons cats hold kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman takes kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers take kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy climbs roof kon
A: No

Q: Is this sentence grammatical? Yes or No: kon cat takes kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys take kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl brings kon mouse
A: Yes

",kar girl climbs kon roof,No,Yes,"[('kar', 0), ('girl', 5.736998218708322e-07), ('climbs', 4.821670103183351e-06), ('climbs', 4.821670103183351e-06), ('kon', 0.47437241673469543), ('roof', 7.310753062483855e-06)]",0
3,it,"Q: Is this sentence grammatical? Yes or No: kon boy carries kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs take fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kon cat climbs kon roof
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys read kon book
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women bring kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman brings box kar
A: No

Q: Is this sentence grammatical? Yes or No: kars girls carry kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man holds kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman eats fruit kar
A: No

Q: Is this sentence grammatical? Yes or No: kars women carry kar bottle
A: Yes

",kons teachers climb kar mountain,Yes,Yes,"[('kons', 4.0653834730619565e-05), ('kons', 4.0653834730619565e-05), ('teachers', 0.0004865485825575888), ('climb', 3.2795359317105977e-08), ('kar', 8.878085282049142e-06), ('mountain', 0.00011190798250027001)]",0
4,it,"Q: Is this sentence grammatical? Yes or No: kons teachers hold cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kon man holds bottle kar
A: No

Q: Is this sentence grammatical? Yes or No: kon dog carries kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher eats kon meal
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers bring fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kons boys carry cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kars girls hold chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls take bulb kar
A: No

Q: Is this sentence grammatical? Yes or No: kar woman climbs roof kon
A: No

Q: Is this sentence grammatical? Yes or No: kon cat takes kar cup
A: Yes

",kon teacher takes chalk kon,Yes,No,"[('kon', 0), ('teacher', 1.5577229817154148e-07), ('takes', 4.4727917725140287e-07), ('chalk', 0.0006098611047491431), ('chalk', 0.0006098611047491431), ('kon', 0.02513235993683338)]",0
5,it,"Q: Is this sentence grammatical? Yes or No: kons teachers take chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kons men climb mountain kar
A: No

Q: Is this sentence grammatical? Yes or No: kar woman takes kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy climbs kar mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers hold kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher reads chapter kon
A: No

Q: Is this sentence grammatical? Yes or No: kar girl holds kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kon speaker reads kon book
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women carry box kar
A: No

Q: Is this sentence grammatical? Yes or No: kars girls bring kon fish
A: Yes

",kon man brings kar cup,Yes,Yes,"[('kon', 0), ('man', 1.5577199974359246e-07), ('brings', 7.881894816819113e-06), ('kar', 8.074470679275692e-05), ('cup', 3.5934546758653596e-05), ('Yes', 4.562056346912868e-06)]",0
6,it,"Q: Is this sentence grammatical? Yes or No: kon man takes kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men carry kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl carries mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls hold fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher holds kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs bring cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kons men hold chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kars women hold cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kon boy takes kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man holds bottle kar
A: No

",kar girl carries kon toy,Yes,Yes,"[('kar', 0), ('girl', 5.736987418458739e-07), ('carries', 2.646318932875147e-07), ('kon', 2.565543763921596e-05), ('toy', 1.0521954209252726e-05), ('Yes', 3.771234696614556e-05)]",0
7,it,"Q: Is this sentence grammatical? Yes or No: kars women eat kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat takes newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kon man carries kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys eat meal kon
A: No

Q: Is this sentence grammatical? Yes or No: kon cat holds kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy reads book kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs take kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man takes kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers carry kar bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men take newspaper kon
A: No

",kons cats hold bottle kar,Yes,No,"[('kons', 4.0653834730619565e-05), ('kons', 4.0653834730619565e-05), ('cats', 0.0004865485825575888), ('hold', 2.2150457823499892e-07), ('bottle', 5.270377732813358e-05), ('kar', 0.00012007153418380767)]",0
8,it,"Q: Is this sentence grammatical? Yes or No: kons cats carry kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women bring toy kon
A: No

Q: Is this sentence grammatical? Yes or No: kon boy eats fruit kar
A: No

Q: Is this sentence grammatical? Yes or No: kon dog eats kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women eat fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kon man eats fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kon speaker reads book kon
A: No

Q: Is this sentence grammatical? Yes or No: kar girl eats kar pear
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog holds newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls read kar poem
A: Yes

",kon man takes kon fish,No,Yes,"[('kon', 0), ('man', 1.5577199974359246e-07), ('takes', 7.881894816819113e-06), ('kon', 0.00013761989248450845), ('fish', 0.00017806196410674602), ('No', 7.133269537007436e-05)]",0
9,it,"Q: Is this sentence grammatical? Yes or No: kars women bring kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys bring fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kar girl eats kar fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: kon speaker reads book kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls bring kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man holds kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers climb roof kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls hold fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kons boys hold cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kon cat carries cap kon
A: No

",kar woman climbs kar tree,Yes,Yes,"[('kar', 0), ('woman', 5.736998218708322e-07), ('climbs', 2.8702149748482952e-05), ('climbs', 2.8702149748482952e-05), ('kar', 0.6705020666122437), ('tree', 0.00023743213387206197)]",0
10,it,"Q: Is this sentence grammatical? Yes or No: kons cats eat kar pear
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women hold mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kar woman eats kar fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog carries bottle kar
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs take chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kons boys carry mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kon cat climbs roof kon
A: No

Q: Is this sentence grammatical? Yes or No: kons cats eat kar pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl brings kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man eats banana kar
A: No

",kars girls take mouse kon,No,No,"[('kars', 4.0653834730619565e-05), ('kars', 4.0653834730619565e-05), ('girls', 0.0002739972260314971), ('take', 3.611701515637833e-07), ('mouse', 0.0006070088711567223), ('kon', 3.605687652452616e-06)]",0
11,it,"Q: Is this sentence grammatical? Yes or No: kons dogs carry kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women take mouse kon
A: No

Q: Is this sentence grammatical? Yes or No: kar girl eats fruit kar
A: No

Q: Is this sentence grammatical? Yes or No: kon cat takes newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs bring kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl brings kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog holds cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kon boy carries cup kar
A: No

Q: Is this sentence grammatical? Yes or No: kon man eats kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy brings kon fish
A: Yes

",kons men hold fish kon,No,No,"[('kons', 4.0653834730619565e-05), ('kons', 4.0653834730619565e-05), ('men', 0.0004865485825575888), ('hold', 4.957676082995022e-07), ('fish', 1.1531610653037205e-05), ('kon', 0.00016391232202295214)]",0
12,it,"Q: Is this sentence grammatical? Yes or No: kar woman takes box kar
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs bring toy kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls carry cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher eats kar fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman eats fruit kar
A: No

Q: Is this sentence grammatical? Yes or No: kons boys climb tree kar
A: No

Q: Is this sentence grammatical? Yes or No: kar woman brings kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys hold kar bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats climb tree kar
A: No

Q: Is this sentence grammatical? Yes or No: kons cats eat pear kar
A: No

",kons teachers eat cucumber kon,Yes,No,"[('kons', 4.0653834730619565e-05), ('kons', 4.0653834730619565e-05), ('teachers', 0.0004865485825575888), ('eat', 3.2795359317105977e-08), ('cuc', 0.0020897134818369523), ('cucumber', 0.14799617674725596)]",0
