,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-u-2-invert,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソ女性は
A: No

Q: Is this sentence grammatical? Yes or No: 触るをマウスは建築家たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べるを胡瓜女性たちは
A: No

Q: Is this sentence grammatical? Yes or No: 飲むをレモネードは作家たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るを電球は教師
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るを玩具女優は
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るをボトル少年は
A: No

Q: Is this sentence grammatical? Yes or No: 押すを玩具女性は
A: No

Q: Is this sentence grammatical? Yes or No: 読むを詩は教授
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むを小説は演説家たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをミルクセーキ医者は
A:",飲むをミルクセーキ医者は,No,No,,0
1,jap-u-2-invert,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 打つを玩具建築家は
A: No

Q: Is this sentence grammatical? Yes or No: 押すを帽子は作家たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るをコップ教師たちは
A: No

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソは医者たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すをボトル犬は
A: No

Q: Is this sentence grammatical? Yes or No: 食べるをビスケットは作家
A: Yes

Q: Is this sentence grammatical? Yes or No: 蹴るをマウス医者たちは
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るをマウス料理人は
A: No

Q: Is this sentence grammatical? Yes or No: 飲むを水は教師たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るを新聞は犬たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むを詩は作家たち
A:",読むを詩は作家たち,Yes,Yes,,0
2,jap-u-2-invert,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 押すを新聞医者は
A: No

Q: Is this sentence grammatical? Yes or No: 触るを玩具教師は
A: No

Q: Is this sentence grammatical? Yes or No: 打つを帽子は女性たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むを章医者たちは
A: No

Q: Is this sentence grammatical? Yes or No: 打つを玩具は料理人たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べるを食事は料理人
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すを新聞女の子は
A: No

Q: Is this sentence grammatical? Yes or No: 飲むをレモネードは女性たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 打つを帽子女の子は
A: No

Q: Is this sentence grammatical? Yes or No: 触るをマウスは女の子
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをジュースは男性
A:",飲むをジュースは男性,Yes,No,,0
3,jap-u-2-invert,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 読むを手紙著者たちは
A: No

Q: Is this sentence grammatical? Yes or No: 読むを小説演説家たちは
A: No

Q: Is this sentence grammatical? Yes or No: 押すを電球は教師
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むを飲み物弁護士たちは
A: No

Q: Is this sentence grammatical? Yes or No: 触るを新聞少年たちは
A: No

Q: Is this sentence grammatical? Yes or No: 打つを白亜は作家
A: Yes

Q: Is this sentence grammatical? Yes or No: 蹴るを箱は犬たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 打つを電球教師たちは
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るを白亜は建築家たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べるをバナナは猫たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すを魚医者たちは
A:",押すを魚医者たちは,No,No,,0
4,jap-u-2-invert,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 飲むを飲み物は女の子
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べるを食事は医者たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをレモネードは弁護士
A: Yes

Q: Is this sentence grammatical? Yes or No: 打つを玩具建築家は
A: No

Q: Is this sentence grammatical? Yes or No: 打つを新聞は男性
A: No

Q: Is this sentence grammatical? Yes or No: 押すをコップ猫は
A: No

Q: Is this sentence grammatical? Yes or No: 読むをガイドは少年
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すを白亜は教師
A: Yes

Q: Is this sentence grammatical? Yes or No: 蹴るを新聞女の子は
A: No

Q: Is this sentence grammatical? Yes or No: 食べるを胡瓜女性たちは
A: No

Q: Is this sentence grammatical? Yes or No: 押すを白亜は医者たち
A:",押すを白亜は医者たち,Yes,Yes,,0
5,jap-u-2-invert,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 飲むをジュース少年たちは
A: No

Q: Is this sentence grammatical? Yes or No: 押すを新聞犬たちは
A: No

Q: Is this sentence grammatical? Yes or No: 食べるを魚医者たちは
A: No

Q: Is this sentence grammatical? Yes or No: 触るをコップは猫たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すを白亜は女優たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すを帽子は建築家たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るをマウス女優は
A: No

Q: Is this sentence grammatical? Yes or No: 打つを電球教師たちは
A: No

Q: Is this sentence grammatical? Yes or No: 食べるをビスケットは医者たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すを白亜は弁護士たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをお茶は教師
A:",飲むをお茶は教師,No,Yes,,0
6,jap-u-2-invert,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 蹴るを白亜は作家
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むを飲み物は医者たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むを章は作家たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すを電球犬たちは
A: No

Q: Is this sentence grammatical? Yes or No: 飲むをスムージー医者は
A: No

Q: Is this sentence grammatical? Yes or No: 飲むを水教師たちは
A: No

Q: Is this sentence grammatical? Yes or No: 押すを新聞医者は
A: No

Q: Is this sentence grammatical? Yes or No: 飲むをジュース猫たちは
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るを電球は男性
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るを玩具は教師たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 蹴るを玩具は女の子たち
A:",蹴るを玩具は女の子たち,Yes,Yes,,0
7,jap-u-2-invert,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソ教師たちは
A: No

Q: Is this sentence grammatical? Yes or No: 読むを章は建築家
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むをガイドは著者たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るをマウス料理人たちは
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るを電球犬は
A: No

Q: Is this sentence grammatical? Yes or No: 打つを魚は建築家
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るを電球は男
A: Yes

Q: Is this sentence grammatical? Yes or No: 蹴るを玩具女優は
A: No

Q: Is this sentence grammatical? Yes or No: 触るを白亜建築家は
A: No

Q: Is this sentence grammatical? Yes or No: 飲むをミルクセーキは弁護士
A: Yes

Q: Is this sentence grammatical? Yes or No: 蹴るを帽子は女優たち
A:",蹴るを帽子は女優たち,No,Yes,,0
8,jap-u-2-invert,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 触るを新聞女の子たちは
A: No

Q: Is this sentence grammatical? Yes or No: 触るを新聞弁護士たちは
A: No

Q: Is this sentence grammatical? Yes or No: 押すを帽子は料理人
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べるをバナナ教師たちは
A: No

Q: Is this sentence grammatical? Yes or No: 押すを魚は女性
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むを雑誌は著者
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すを新聞は料理人たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むを章女の子は
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るを魚は弁護士たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すを新聞女の子は
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るを新聞女性たちは
A:",蹴るを新聞女性たちは,Yes,No,,0
9,jap-u-2-invert,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 食べるを梨は男
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べるを魚建築家たちは
A: No

Q: Is this sentence grammatical? Yes or No: 打つを帽子作家は
A: No

Q: Is this sentence grammatical? Yes or No: 食べるを食事女の子は
A: No

Q: Is this sentence grammatical? Yes or No: 触るを魚は料理人
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るを新聞は弁護士たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをミルクセーキ建築家たちは
A: No

Q: Is this sentence grammatical? Yes or No: 飲むをエスプレッソ女性は
A: No

Q: Is this sentence grammatical? Yes or No: 食べるを魚は女優
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べるをバナナは猫たち
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るを帽子は弁護士たち
A:",触るを帽子は弁護士たち,No,Yes,,0
