,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 飲むをたエスプレッソ女性は
A: No

Q: Is this sentence grammatical? Yes or No: 建築家たちはマウスをた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 胡瓜女性たち食べるをたは
A: No

Q: Is this sentence grammatical? Yes or No: 作家たちはレモネードをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は電球をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 玩具触る女優をたは
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るはボトルをた少年
A: No

Q: Is this sentence grammatical? Yes or No: は玩具をた押す女性
A: No

Q: Is this sentence grammatical? Yes or No: 教授は詩をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 演説家たちは小説をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むミルクセーキをたは医者
A:",飲むミルクセーキをたは医者,Yes,No,"[('<0xE9>', 6.243182182312012), ('<0xE9><0xA3>', 19.925107955932617)]",0
1,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: は打つ玩具をた建築家
A: No

Q: Is this sentence grammatical? Yes or No: 作家たちは帽子をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るはコップ教師たちをた
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちはエスプレッソをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬をたは押すボトル
A: No

Q: Is this sentence grammatical? Yes or No: 作家はビスケットをた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 蹴る医者たちマウスはをた
A: No

Q: Is this sentence grammatical? Yes or No: をたは料理人蹴るマウス
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは水をた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬たちは新聞をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たちは詩をた読む
A:",作家たちは詩をた読む,Yes,Yes,"[('作', 0.01319012138992548), ('作家', 0.013242758865089854)]",0
2,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: は新聞をた医者押す
A: No

Q: Is this sentence grammatical? Yes or No: 玩具は触る教師をた
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちは帽子をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: をた医者たち読むは章
A: No

Q: Is this sentence grammatical? Yes or No: 料理人たちは玩具をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人は食事をた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: をた新聞は女の子押す
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちはレモネードをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子帽子打つをたは
A: No

Q: Is this sentence grammatical? Yes or No: 女の子はマウスをた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むをた男性はジュース
A:",飲むをた男性はジュース,No,No,"[('<0xE9>', 0.013190235011279583), ('<0xE9><0xA3>', 0.013266027919598855)]",0
3,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 著者たちはをた手紙読む
A: No

Q: Is this sentence grammatical? Yes or No: をたは読む小説演説家たち
A: No

Q: Is this sentence grammatical? Yes or No: 教師は電球をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: はをた飲み物弁護士たち飲む
A: No

Q: Is this sentence grammatical? Yes or No: をたは少年たち触る新聞
A: No

Q: Is this sentence grammatical? Yes or No: 作家は白亜をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬たちは箱をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: をた教師たち打つは電球
A: No

Q: Is this sentence grammatical? Yes or No: 建築家たちは白亜をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫たちはバナナをた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すは医者たちをた魚
A:",押すは医者たちをた魚,No,No,"[('<0xE6>', 0.013201246038079262), ('<0xE6><0x8A>', 0.013373389578191563)]",0
4,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 女の子は飲み物をた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちは食事をた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士はレモネードをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: は打つ玩具をた建築家
A: No

Q: Is this sentence grammatical? Yes or No: をたは新聞男性打つ
A: No

Q: Is this sentence grammatical? Yes or No: コップ押すをたは猫
A: No

Q: Is this sentence grammatical? Yes or No: 少年はガイドをた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は白亜をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子をたは新聞蹴る
A: No

Q: Is this sentence grammatical? Yes or No: 胡瓜女性たち食べるをたは
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちは白亜をた押す
A:",医者たちは白亜をた押す,Yes,Yes,"[('医', 0.013201246038079262), ('医者', 0.013203234559114208)]",0
5,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: はジュース飲むをた少年たち
A: No

Q: Is this sentence grammatical? Yes or No: 押すは犬たちをた新聞
A: No

Q: Is this sentence grammatical? Yes or No: 医者たち食べるをたは魚
A: No

Q: Is this sentence grammatical? Yes or No: 猫たちはコップをた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは白亜をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 建築家たちは帽子をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: マウスをたは触る女優
A: No

Q: Is this sentence grammatical? Yes or No: をた教師たち打つは電球
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちはビスケットをた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは白亜をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師はお茶をた飲む
A:",教師はお茶をた飲む,Yes,Yes,"[('教', 0.01319012138992548), ('教師', 0.013197217324432131)]",0
6,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 作家は白亜をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちは飲み物をた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たちは章をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬たち押すはをた電球
A: No

Q: Is this sentence grammatical? Yes or No: をた医者飲むスムージーは
A: No

Q: Is this sentence grammatical? Yes or No: は飲むをた水教師たち
A: No

Q: Is this sentence grammatical? Yes or No: は新聞をた医者押す
A: No

Q: Is this sentence grammatical? Yes or No: はをたジュース飲む猫たち
A: No

Q: Is this sentence grammatical? Yes or No: 男性は電球をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは玩具をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子たちは玩具をた蹴る
A:",女の子たちは玩具をた蹴る,Yes,Yes,"[('女', 0.013201246038079262), ('女の', 0.013204398956759178)]",0
7,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 飲むエスプレッソは教師たちをた
A: No

Q: Is this sentence grammatical? Yes or No: 建築家は章をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちはガイドをた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: はマウス料理人たち触るをた
A: No

Q: Is this sentence grammatical? Yes or No: 蹴る犬はをた電球
A: No

Q: Is this sentence grammatical? Yes or No: 建築家は魚をた打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 男は電球をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: をた玩具蹴るは女優
A: No

Q: Is this sentence grammatical? Yes or No: 建築家はをた触る白亜
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士はミルクセーキをた飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは帽子をた蹴る
A:",女優たちは帽子をた蹴る,No,Yes,"[('女', 0.013201246038079262), ('女優', 0.013204398956759178)]",0
8,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 新聞をた女の子たち触るは
A: No

Q: Is this sentence grammatical? Yes or No: 触る新聞弁護士たちをたは
A: No

Q: Is this sentence grammatical? Yes or No: 料理人は帽子をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: はをた教師たち食べるバナナ
A: No

Q: Is this sentence grammatical? Yes or No: 女性は魚をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者は雑誌をた読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人たちは新聞をた押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子をたは章読む
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士たちは魚をた蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: をた新聞は女の子押す
A: No

Q: Is this sentence grammatical? Yes or No: 女性たち蹴るはをた新聞
A:",女性たち蹴るはをた新聞,No,No,"[('女', 0.013201246038079262), ('女性', 0.013204398956759178)]",0
9,jap-u-3-past-tense,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 男は梨をた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚建築家たち食べるをたは
A: No

Q: Is this sentence grammatical? Yes or No: 作家をた打つは帽子
A: No

Q: Is this sentence grammatical? Yes or No: 食事食べるは女の子をた
A: No

Q: Is this sentence grammatical? Yes or No: 料理人は魚をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは新聞をた触る
A: Yes

Q: Is this sentence grammatical? Yes or No: はをた飲む建築家たちミルクセーキ
A: No

Q: Is this sentence grammatical? Yes or No: 飲むをたエスプレッソ女性は
A: No

Q: Is this sentence grammatical? Yes or No: 女優は魚をた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫たちはバナナをた食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは帽子をた触る
A:",弁護士たちは帽子をた触る,No,Yes,"[('<0xE5>', 0.013201246038079262), ('<0xE5><0xBC>', 0.013309815600223374)]",0
