,type,prompt,q,prediction,gold,surprisal,int-grad
0,en_S-u-3-wh,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did a wug ungos the snorfle what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the blincos stoffle a who pelunko?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the wugen snugo the gunzle who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the arcuplos ungo a what blorft?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a hurple stoffles a what prundle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the frindle stoffles a fugfug which?
A: No

Q: Is this sentence grammatical? Yes or No: Did a kingle chuskos a woggle who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the wug chunges a fugfug why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a knurkle gurdles a which skerpo?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the porpols gurdle a which froble?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the glump ungos the forp when?
A:",Did the glump ungos the forp when?,No,No,"[('Did', 0), ('the', 11.107858657836914), ('glump', 17.776432514190674), ('glump', 17.776432514190674), ('ungos', 27.09031867980957), ('ungos', 27.09031867980957), ('the', 17.97092056274414), ('forp', 18.92072105407715)]",0
1,en_S-u-3-wh,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the blinco hufkos a fugfug who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the arcuplos chunge a when sturple?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the hurples stoffle the wompel when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the glumps ungo a when snorfle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the pundle chunges the woggle when?
A: No

Q: Is this sentence grammatical? Yes or No: Did a arcuplo snugos the what plonkle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the glumps chusko a pelunko when?
A: No

Q: Is this sentence grammatical? Yes or No: Did a fuzzle chuskos a pelunko why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the hurples ungo a who gluggle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the pundles stoffle the why gongle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the arcuplos gurdle the skerpo when?
A:",Did the arcuplos gurdle the skerpo when?,Yes,No,"[('Did', 0), ('the', 0.00045348977437242866), ('arcu', 0.014357261345139705), ('arcupl', 0.014510066001093946), ('arcuplos', 0.014815086135058664), ('arcuplos', 0.014815086135058664), ('gurd', 0.001695080689387396), ('gurdle', 0.0019836721767205745)]",0
2,en_S-u-3-wh,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did a glump chunges a gongle why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the hurple stoffles the fugfug who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the wugen hufko the who sturple?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the glumps gurdle a wrindle why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the fuzzles hufko the who fugfug?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the fuzzle snugos a what kergum?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a miffle chunges a gongle when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the wugen ungo the which blorft?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a miffle hufkos a sturple what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the miffle stoffles a who pelunko?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the grumblen ungo a gorp when?
A:",Did the grumblen ungo a gorp when?,Yes,No,"[('Did', 0), ('the', 0.0004531076119747013), ('grum', 0.01443186282995157), ('grumbl', 0.02197530699777417), ('grumblen', 0.9459780736069661), ('grumblen', 0.9459780736069661), ('ungo', 0.0001231939604622312), ('ungo', 0.0001231939604622312)]",0
3,en_S-u-3-wh,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the quozzles gurdle a strumble when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the porpols gurdle a froble which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the hurple chunges the what prundle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the progs ungo a droczle who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the kingles stoffle the gongle which?
A: No

Q: Is this sentence grammatical? Yes or No: Did a arcuplo hufkos a who zibble?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the pundles chusko a when tromple?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the hurples hufko the prundle when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the blincos chusko the which zibble?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the priffles snugo the who twizzle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the glumps chunge a yurump who?
A:",Did the glumps chunge a yurump who?,No,No,"[('Did', 0), ('the', 0.0004531076119747013), ('glumps', 0.014562820375431329), ('glumps', 0.014562820375431329), ('chunge', 0.0002597558514025877), ('chunge', 0.0002597558514025877), ('a', 1.3514722013496794e-05), ('yur', 0.024146045092493296)]",0
4,en_S-u-3-wh,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the miffle ungos a when droczle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the glumps snugo the why kergum?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the prog ungos the when blorft?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the blinco hufkos a fugfug who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the grumblen hufko the gongle who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the priffle chunges a wompel what?
A: No

Q: Is this sentence grammatical? Yes or No: Did a kingle gurdles a who shuggle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a hurple chunges a who zibble?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a miffle chuskos a gongle which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the wugen snugo the gunzle who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the glumps chunge the zibble why?
A:",Did the glumps chunge the zibble why?,No,No,"[('Did', 0), ('the', 0.0004531076119747013), ('glumps', 0.014562820375431329), ('glumps', 0.014562820375431329), ('chunge', 0.0002597558514025877), ('chunge', 0.0002597558514025877), ('the', 1.3514722013496794e-05), ('zib', 0.09756740799639374)]",0
5,en_S-u-3-wh,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the kingles ungo the gorp what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the pundles chunge a gongle which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the glumps snugo a yurump when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the priffles stoffle a who wompel?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the frindles chunge the who zibble?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the blincos chunge the why sturple?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the frindle stoffles a pelunko when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the hurples hufko the prundle when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the glumps snugo a what plonkle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the progs chunge a why zibble?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the hurple ungos a ginso why?
A:",Did the hurple ungos a ginso why?,No,No,"[('Did', 0), ('the', 0.0004531076119747013), ('hurple', 0.014338419583509676), ('hurple', 0.014338419583509676), ('ungos', 0.00038840675702545013), ('ungos', 0.00038840675702545013), ('a', 3.79384687221318e-06), ('gin', 0.010762970661744475)]",0
6,en_S-u-3-wh,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the arcuplo chuskos the who zibble?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the glumps ungo the what droczle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the arcuplos gurdle a which wrindle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the pundles chunge a prundle which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the glump ungos the skung who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the hurples ungo a gluggle who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a glump chunges a gongle why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the priffles ungo a gorp what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the grumblen chusko a why prundle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the hurples stoffle a who fugfug?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the miffles chusko a fugfug who?
A:",Did the miffles chusko a fugfug who?,Yes,No,"[('Did', 0), ('the', 0.00045348977437242866), ('miff', 0.015437622554600239), ('miffles', 0.01572648691944778), ('miffles', 0.01572648691944778), ('chus', 0.000645491061732173), ('chusko', 0.0007356251808232628), ('chusko', 0.0007356251808232628)]",0
7,en_S-u-3-wh,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the hurples ungo the snorfle which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the blinco gurdles a what wrindle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the quozzles gurdle the which shuggle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the fuzzles stoffle the pelunko why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a pundle chuskos a prundle when?
A: No

Q: Is this sentence grammatical? Yes or No: Did a blinco hufkos the why yurump?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the grumble stoffles the when prundle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the frindle chuskos a fugfug who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a blinco stoffles a zibble when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the prog ungos a what forp?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the frindles chusko the sturple what?
A:",Did the frindles chusko the sturple what?,Yes,No,"[('Did', 0), ('the', 0.0004531115118879825), ('frind', 0.014431637653615326), ('frindles', 0.014716902311192825), ('frindles', 0.014716902311192825), ('chus', 0.0015842711582081392), ('chusko', 0.0017059966048691422), ('chusko', 0.0017059966048691422)]",0
8,en_S-u-3-wh,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the miffles stoffle a gongle why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the progs stoffle the gongle when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the fuzzle chunges the what sturple?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the hurples snugo the twizzle who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a wug chunges the when yurump?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the quozzle gurdles the who hergo?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the fuzzles chunge a when gongle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the miffle gurdles the wrindle what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the progs chusko a which yurump?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a miffle chunges a gongle when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the wugen chusko a gongle which?
A:",Did the wugen chusko a gongle which?,Yes,No,"[('Did', 0), ('the', 0.0004531115118879825), ('wug', 0.01501588273094967), ('wugen', 0.01502640461512783), ('wugen', 0.01502640461512783), ('chus', 0.001183235042844899), ('chusko', 0.0020984520815545693), ('chusko', 0.0020984520815545693)]",0
9,en_S-u-3-wh,"Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did a grumble snugos a who glumpo?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the blincos snugo the yurump why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a arcuplo hufkos a sturple what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the miffle snugos the kergum why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a fuzzle stoffles the why yurump?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the progs stoffle the when gongle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the blincos ungo a forp who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a wug ungos the snorfle what?
A: No

Q: Is this sentence grammatical? Yes or No: Did a frindle snugos a which yurump?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the priffles snugo the who twizzle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the progs stoffle a sturple what?
A:",Did the progs stoffle a sturple what?,No,No,"[('Did', 0), ('the', 0.0004531076119747013), ('progs', 0.014881652605254203), ('progs', 0.014881652605254203), ('stoff', 0.0005853319744346663), ('stoffle', 0.0005884976590095903), ('stoffle', 0.0005884976590095903), ('a', 0.05912560597062111)]",0
