prompt,q,gold
"

Q: Is this sentence grammatical? Yes or No: D A C A B
A: No

Q: Is this sentence grammatical? Yes or No: H A G F E
A: Yes

Q: Is this sentence grammatical? Yes or No: H A J A I
A: No

Q: Is this sentence grammatical? Yes or No: M E L E K
A: No

Q: Is this sentence grammatical? Yes or No: P E O A N
A: No

Q: Is this sentence grammatical? Yes or No: S A R Q A
A: Yes

Q: Is this sentence grammatical? Yes or No: T A O N A
A: Yes

Q: Is this sentence grammatical? Yes or No: S A V U A
A: Yes

Q: Is this sentence grammatical? Yes or No: Y A X W A
A: Yes

Q: Is this sentence grammatical? Yes or No: AA A X A Z
A: No

Q: Is this sentence grammatical? Yes or No: M E C A Z
A: ",M E C A Z,No
"

Q: Is this sentence grammatical? Yes or No: S A J Q A
A: Yes

Q: Is this sentence grammatical? Yes or No: AC A V A AB
A: No

Q: Is this sentence grammatical? Yes or No: M E G E AD
A: No

Q: Is this sentence grammatical? Yes or No: AG A AF AE E
A: Yes

Q: Is this sentence grammatical? Yes or No: AI A AH Q A
A: Yes

Q: Is this sentence grammatical? Yes or No: H E C AJ A
A: Yes

Q: Is this sentence grammatical? Yes or No: AA E R A N
A: No

Q: Is this sentence grammatical? Yes or No: Y A L AE A
A: Yes

Q: Is this sentence grammatical? Yes or No: AI E L E AD
A: No

Q: Is this sentence grammatical? Yes or No: P A AF A Z
A: No

Q: Is this sentence grammatical? Yes or No: Y A V Q A
A: ",Y A V Q A,Yes
"

Q: Is this sentence grammatical? Yes or No: S E X AD A
A: Yes

Q: Is this sentence grammatical? Yes or No: AL E O A AK
A: No

Q: Is this sentence grammatical? Yes or No: AA E L Z E
A: Yes

Q: Is this sentence grammatical? Yes or No: S E R A AM
A: No

Q: Is this sentence grammatical? Yes or No: H A X K E
A: Yes

Q: Is this sentence grammatical? Yes or No: AC E AN K E
A: Yes

Q: Is this sentence grammatical? Yes or No: AC E G A AO
A: No

Q: Is this sentence grammatical? Yes or No: AG A O A AJ
A: No

Q: Is this sentence grammatical? Yes or No: S E R AJ A
A: Yes

Q: Is this sentence grammatical? Yes or No: AG E O A AP
A: No

Q: Is this sentence grammatical? Yes or No: AG A AN A AJ
A: ",AG A AN A AJ,No
"

Q: Is this sentence grammatical? Yes or No: AR A L A AQ
A: No

Q: Is this sentence grammatical? Yes or No: AT A O AS A
A: Yes

Q: Is this sentence grammatical? Yes or No: M E L AE A
A: Yes

Q: Is this sentence grammatical? Yes or No: M A AH A AU
A: No

Q: Is this sentence grammatical? Yes or No: AV A G AD A
A: Yes

Q: Is this sentence grammatical? Yes or No: AV A R A AM
A: No

Q: Is this sentence grammatical? Yes or No: AV A R A AU
A: No

Q: Is this sentence grammatical? Yes or No: M A R A AP
A: No

Q: Is this sentence grammatical? Yes or No: S E X AE E
A: Yes

Q: Is this sentence grammatical? Yes or No: S A V AW A
A: Yes

Q: Is this sentence grammatical? Yes or No: AR A G A AQ
A: ",AR A G A AQ,No
"

Q: Is this sentence grammatical? Yes or No: Y E AN A AE
A: No

Q: Is this sentence grammatical? Yes or No: AC E V A B
A: No

Q: Is this sentence grammatical? Yes or No: AR A AH Q A
A: Yes

Q: Is this sentence grammatical? Yes or No: AV E G E W
A: No

Q: Is this sentence grammatical? Yes or No: AR A X AQ A
A: Yes

Q: Is this sentence grammatical? Yes or No: AI A R A Q
A: No

Q: Is this sentence grammatical? Yes or No: H A AN AX A
A: Yes

Q: Is this sentence grammatical? Yes or No: S A AN F E
A: Yes

Q: Is this sentence grammatical? Yes or No: BA E AZ AY E
A: Yes

Q: Is this sentence grammatical? Yes or No: AV E V A BB
A: No

Q: Is this sentence grammatical? Yes or No: AC E R A B
A: ",AC E R A B,No
"

Q: Is this sentence grammatical? Yes or No: AA A G E AD
A: No

Q: Is this sentence grammatical? Yes or No: BE A BD BC A
A: Yes

Q: Is this sentence grammatical? Yes or No: AV A AH A B
A: No

Q: Is this sentence grammatical? Yes or No: AV E AN AX A
A: Yes

Q: Is this sentence grammatical? Yes or No: AC A AN BF E
A: Yes

Q: Is this sentence grammatical? Yes or No: BG E AZ E W
A: No

Q: Is this sentence grammatical? Yes or No: BH E AZ Z A
A: Yes

Q: Is this sentence grammatical? Yes or No: S E X E F
A: No

Q: Is this sentence grammatical? Yes or No: D E C AB A
A: Yes

Q: Is this sentence grammatical? Yes or No: BJ A BI E F
A: No

Q: Is this sentence grammatical? Yes or No: S E X Z A
A: ",S E X Z A,Yes
"

Q: Is this sentence grammatical? Yes or No: AV E G E W
A: No

Q: Is this sentence grammatical? Yes or No: S A G A AE
A: No

Q: Is this sentence grammatical? Yes or No: Y E J A AB
A: No

Q: Is this sentence grammatical? Yes or No: S E AH A U
A: No

Q: Is this sentence grammatical? Yes or No: AA A AN BK A
A: Yes

Q: Is this sentence grammatical? Yes or No: AA A R AM A
A: Yes

Q: Is this sentence grammatical? Yes or No: M E V A AP
A: No

Q: Is this sentence grammatical? Yes or No: Y E L AD A
A: Yes

Q: Is this sentence grammatical? Yes or No: BL E BD N A
A: Yes

Q: Is this sentence grammatical? Yes or No: M E L AD A
A: Yes

Q: Is this sentence grammatical? Yes or No: S A BD E W
A: ",S A BD E W,No
"

Q: Is this sentence grammatical? Yes or No: BE E BD A BM
A: No

Q: Is this sentence grammatical? Yes or No: BH A BD BN A
A: Yes

Q: Is this sentence grammatical? Yes or No: AC E L A AE
A: No

Q: Is this sentence grammatical? Yes or No: BO E AZ AO A
A: Yes

Q: Is this sentence grammatical? Yes or No: BO E AZ K E
A: Yes

Q: Is this sentence grammatical? Yes or No: AV E AH A AW
A: No

Q: Is this sentence grammatical? Yes or No: Y E J A AM
A: No

Q: Is this sentence grammatical? Yes or No: AA A R A AM
A: No

Q: Is this sentence grammatical? Yes or No: AL E AF BP E
A: Yes

Q: Is this sentence grammatical? Yes or No: AC E G AE E
A: Yes

Q: Is this sentence grammatical? Yes or No: BO E L A AM
A: ",BO E L A AM,No
"

Q: Is this sentence grammatical? Yes or No: H A AH AM A
A: Yes

Q: Is this sentence grammatical? Yes or No: AV A R AP A
A: Yes

Q: Is this sentence grammatical? Yes or No: Y E G A AE
A: No

Q: Is this sentence grammatical? Yes or No: BQ A C AK A
A: Yes

Q: Is this sentence grammatical? Yes or No: BR A C A U
A: No

Q: Is this sentence grammatical? Yes or No: P E O A AM
A: No

Q: Is this sentence grammatical? Yes or No: AC A X A F
A: No

Q: Is this sentence grammatical? Yes or No: BL E BD N A
A: Yes

Q: Is this sentence grammatical? Yes or No: AV E V AS A
A: Yes

Q: Is this sentence grammatical? Yes or No: S E X A AQ
A: No

Q: Is this sentence grammatical? Yes or No: BL E G A AM
A: ",BL E G A AM,No
"

Q: Is this sentence grammatical? Yes or No: BS A AF AD A
A: Yes

Q: Is this sentence grammatical? Yes or No: BA A BD A N
A: No

Q: Is this sentence grammatical? Yes or No: M E R A AJ
A: No

Q: Is this sentence grammatical? Yes or No: AV A AN F E
A: Yes

Q: Is this sentence grammatical? Yes or No: AC E AN A BT
A: No

Q: Is this sentence grammatical? Yes or No: H A BI A BU
A: No

Q: Is this sentence grammatical? Yes or No: BV A L AD E
A: Yes

Q: Is this sentence grammatical? Yes or No: AA A J AM A
A: Yes

Q: Is this sentence grammatical? Yes or No: H A BI E AD
A: No

Q: Is this sentence grammatical? Yes or No: AC E L W E
A: Yes

Q: Is this sentence grammatical? Yes or No: M E L AD A
A: ",M E L AD A,Yes
