,type,prompt,q,prediction,gold,surprisal,int-grad
0,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kars women eat kars fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat carries fish kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs carry kons box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man takes cap kon
A: No

Q: Is this sentence grammatical? Yes or No: kons men hold kons newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat brings kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats carry kons cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl carries cap kar
A: No

Q: Is this sentence grammatical? Yes or No: kar girl reads kar poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers bring kons chalk
A: Yes

",kon teacher climbs mountain kon,No,No,"[('kon', 0), ('teacher', 20.552101135253906), ('climbs', 39.41368865966797), ('climbs', 39.41368865966797), ('mountain', 3.069298028945923), ('kon', 4.632871150970459)]",0
1,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon teacher eats kon banana
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl carries chalk kar
A: No

Q: Is this sentence grammatical? Yes or No: kon cat climbs staircase kon
A: No

Q: Is this sentence grammatical? Yes or No: kons cats eat meal kons
A: No

Q: Is this sentence grammatical? Yes or No: kons men eat kons pear
A: Yes

Q: Is this sentence grammatical? Yes or No: kon poet reads kon chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys carry toy kons
A: No

Q: Is this sentence grammatical? Yes or No: kon dog eats meal kon
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers bring mouse kons
A: No

Q: Is this sentence grammatical? Yes or No: kons men climb staircase kons
A: No

",kon teacher takes kon bulb,Yes,Yes,"[('kon', 0), ('teacher', 6.504305929411203e-07), ('takes', 2.4518041641385935e-07), ('kon', 0.00016974304162431508), ('bulb', 0.000704213380231522), ('bulb', 0.000704213380231522)]",0
2,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kar girl brings cap kar
A: No

Q: Is this sentence grammatical? Yes or No: kon man holds kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy carries kon box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats climb hill kons
A: No

Q: Is this sentence grammatical? Yes or No: kons cats eat biscuit kons
A: No

Q: Is this sentence grammatical? Yes or No: kon teacher reads poem kon
A: No

Q: Is this sentence grammatical? Yes or No: kons cats hold newspaper kons
A: No

Q: Is this sentence grammatical? Yes or No: kars girls bring kars mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl climbs rock kar
A: No

Q: Is this sentence grammatical? Yes or No: kar girl takes bottle kar
A: No

",kars girls bring kars newspaper,Yes,Yes,"[('kars', 0.0001996252394746989), ('kars', 0.0001996252394746989), ('girls', 0.0001713908277451992), ('bring', 5.685354335582815e-05), ('kars', 0.0016354981089534704), ('kars', 0.0016354981089534704)]",0
3,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon boy reads kon story
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog carries newspaper kon
A: No

Q: Is this sentence grammatical? Yes or No: kon dog holds kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man brings kon bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy eats banana kon
A: No

Q: Is this sentence grammatical? Yes or No: kar woman takes kar chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs carry box kons
A: No

Q: Is this sentence grammatical? Yes or No: kar girl brings kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man takes bottle kon
A: No

Q: Is this sentence grammatical? Yes or No: kons men take chalk kons
A: No

",kons boys carry kons chalk,No,Yes,"[('kons', 0.0001996252394746989), ('kons', 0.0001996252394746989), ('boys', 0.00034085134393535554), ('carry', 5.142261016999328e-08), ('kons', 0.004978646175004542), ('kons', 0.004978646175004542)]",0
4,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kon poet reads kon story
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls take kars bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls eat kars pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man carries kon box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher reads book kon
A: No

Q: Is this sentence grammatical? Yes or No: kon boy climbs tree kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls carry kars newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat carries kon cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs take cup kons
A: No

Q: Is this sentence grammatical? Yes or No: kons cats carry kons cap
A: Yes

",kon dog climbs kon rock,Yes,Yes,"[('kon', 0), ('dog', 6.504305929411203e-07), ('climbs', 3.476358642728883e-05), ('climbs', 3.476358642728883e-05), ('kon', 0.05023669824004173), ('rock', 4.7032841393956915e-05)]",0
5,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons cats climb rock kons
A: No

Q: Is this sentence grammatical? Yes or No: kon boy reads story kon
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers take chalk kons
A: No

Q: Is this sentence grammatical? Yes or No: kon dog holds chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kon dog climbs kon roof
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy brings chalk kon
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs hold newspaper kons
A: No

Q: Is this sentence grammatical? Yes or No: kons men take bottle kons
A: No

Q: Is this sentence grammatical? Yes or No: kons boys take box kons
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers hold cap kons
A: No

",kars women climb mountain kars,No,No,"[('kars', 0.0001996252394746989), ('kars', 0.0001996252394746989), ('women', 0.0001713908277451992), ('climb', 5.105107379677065e-05), ('climb', 5.105107379677065e-05), ('mountain', 0.3887748122215271)]",0
6,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons dogs hold kons fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl carries bottle kar
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers read kons story
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman eats fruit kar
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs take kons mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls carry kars mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy takes bottle kon
A: No

Q: Is this sentence grammatical? Yes or No: kons teachers eat fish kons
A: No

Q: Is this sentence grammatical? Yes or No: kars women bring kars toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats eat kons pizza
A: Yes

",kar girl carries kar newspaper,No,Yes,"[('kar', 0), ('girl', 1.4543612678608042e-06), ('carries', 0.0006536770126785996), ('carries', 0.0006536770126785996), ('kar', 0.038784757256507874), ('newspaper', 0.0006128926761448383)]",0
7,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons men bring bulb kons
A: No

Q: Is this sentence grammatical? Yes or No: kons men carry toy kons
A: No

Q: Is this sentence grammatical? Yes or No: kon boy reads kon chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women eat kars fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys eat kons pear
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man climbs kon hill
A: Yes

Q: Is this sentence grammatical? Yes or No: kon teacher reads kon book
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat climbs kon staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman holds cap kar
A: No

Q: Is this sentence grammatical? Yes or No: kars women eat kars banana
A: Yes

",kon teacher eats kon pear,Yes,Yes,"[('kon', 0), ('teacher', 6.504305929411203e-07), ('eats', 0.0009799148053559747), ('eats', 0.0009799148053559747), ('kon', 0.010107730515301228), ('pear', 0.015124726574867964)]",0
8,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons men take kons cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls take kars cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kons teachers read kons poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl climbs tree kar
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs bring kons box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys climb kons mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man holds kon cap
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl carries toy kar
A: No

Q: Is this sentence grammatical? Yes or No: kars women climb rock kars
A: No

Q: Is this sentence grammatical? Yes or No: kar girl takes mouse kar
A: No

",kon dog carries kon bottle,Yes,Yes,"[('kon', 0), ('dog', 6.504305929411203e-07), ('carries', 0.0007290224525604572), ('carries', 0.0007290224525604572), ('kon', 0.02571837231516838), ('bottle', 0.0003683239847305231)]",0
9,it-u-3-gender,"Q: Is this sentence grammatical? Yes or No: kons teachers take kons bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl holds toy kar
A: No

Q: Is this sentence grammatical? Yes or No: kons cats climb kons hill
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl takes kar bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kon speaker reads chapter kon
A: No

Q: Is this sentence grammatical? Yes or No: kars girls hold toy kars
A: No

Q: Is this sentence grammatical? Yes or No: kon man eats biscuit kon
A: No

Q: Is this sentence grammatical? Yes or No: kons boys take bottle kons
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs hold fish kons
A: No

Q: Is this sentence grammatical? Yes or No: kon dog brings kon cap
A: Yes

",kons boys hold kons chalk,No,Yes,"[('kons', 0.0001996252394746989), ('kons', 0.0001996252394746989), ('boys', 0.00034085134393535554), ('hold', 5.142261016999328e-08), ('kons', 0.002888675924623385), ('kons', 0.002888675924623385)]",0
