,type,prompt,q,prediction,gold,surprisal,int-grad
0,en_S-u-3-wh,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the miffles chusko the sturple when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the hurple gurdles a which wrindle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the hurple ungos a blorft which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the hurple ungos a what komple?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a kingle gurdles a what skerpo?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a hurple hufkos a tromple who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a blinco stoffles the fugfug which?
A: No

Q: Is this sentence grammatical? Yes or No: Did a blinco hufkos a zibble which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the prog chunges the which gongle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the prog ungos the why skung?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the miffles stoffle the which yurump?
A:",Did the miffles stoffle the which yurump?,No,Yes,,0
1,en_S-u-3-wh,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the wugen hufko the sturple who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a arcuplo hufkos the which pelunko?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a prog stoffles the sturple what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the grumble ungos a which komple?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the hurples stoffle the pelunko why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a arcuplo snugos a which kergum?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the kingles stoffle a wompel which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the hurple chunges a gongle what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the progs ungo a who droczle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a hurple hufkos a which gongle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the progs hufko a what fugfug?
A:",Did the progs hufko a what fugfug?,No,Yes,,0
2,en_S-u-3-wh,"</s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the blinco hufkos a sturple when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the pundles chunge a woggle when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the knurkles chusko the why pelunko?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the progs snugo the plonkle when?
A: No

Q: Is this sentence grammatical? Yes or No: Did a frindle ungos a when snorfle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a hurple hufkos a what yurump?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the krunkos gurdle the strumble what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the frindles hufko the what zibble?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the blincos chusko the zibble which?
A: No

Q: Is this sentence grammatical? Yes or No: Did a kingle hufkos a who woggle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the progs snugo a why gunzle?
A:",Did the progs snugo a why gunzle?,No,Yes,,0
3,en_S-u-3-wh,"</s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the miffles chusko a fugfug who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the prog ungos the skung why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a fuzzle snugos the which plonkle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a knurkle chuskos a gongle why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a arcuplo hufkos a sturple what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the hurple hufkos a why zibble?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the miffles snugo the which yurump?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the glump chuskos a fugfug what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the prog hufkos a why gongle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a frindle snugos the what kergum?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the glumps snugo a when yurump?
A:",Did the glumps snugo a when yurump?,No,Yes,,0
4,en_S-u-3-wh,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the grumblen chunge the when wompel?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the grumble chuskos the who woggle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the priffles ungo the which komple?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the wugen hufko the sturple who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the wugen stoffle a zibble when?
A: No

Q: Is this sentence grammatical? Yes or No: Did a prog stoffles a pelunko which?
A: No

Q: Is this sentence grammatical? Yes or No: Did a arcuplo gurdles a who hergo?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the priffle chunges a what wompel?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a grumble snugos the twizzle who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the hurple ungos a blorft which?
A: No

Q: Is this sentence grammatical? Yes or No: Did a kingle snugos the who wungo?
A:",Did a kingle snugos the who wungo?,No,Yes,,0
5,en_S-u-3-wh,"</s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the hurple hufkos a fugfug when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the progs chusko a yurump which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the miffles hufko a pelunko when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the pundles stoffle the which tromple?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the kingles snugo a who blogle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the hurples gurdle a why frundo?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the frindles stoffle the fugfug who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the glump chuskos a fugfug what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the miffle chunges a why pelunko?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a knurkle stoffles the who sturple?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a hurple snugos the when yurump?
A:",Did a hurple snugos the when yurump?,No,Yes,,0
6,en_S-u-3-wh,"</s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did a miffle snugos a who plonkle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a grumble ungos a why gluggle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the arcuplos gurdle the when skerpo?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the blinco snugos the kergum why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the priffles hufko a tromple why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the progs ungo a droczle who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the blinco hufkos a sturple when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the miffles gurdle the dringle who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the porpols gurdle the who hergo?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a priffle hufkos a who woggle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the krunkos gurdle the when hergo?
A:",Did the krunkos gurdle the when hergo?,No,Yes,,0
7,en_S-u-3-wh,"</s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the kingle ungos the skrump when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the pundles ungo the what gorp?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the glumps ungo a what blorft?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the hurples stoffle the wompel when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the grumblen chunge the tromple when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the blincos snugo the why yurump?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a miffle chuskos a who yurump?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the priffle chuskos a tromple when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the arcuplos chunge a pelunko who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a frindle chunges a which pelunko?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the quozzle gurdles a who jimto?
A:",Did the quozzle gurdles a who jimto?,No,Yes,,0
8,en_S-u-3-wh,"</s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the miffles chusko the yurump what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the priffles chusko a tromple which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the pundles chunge a which gongle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the fuzzles chunge the zibble who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a kingle gurdles a which froble?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the arcuplos gurdle a what dringle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the glumps stoffle a what gongle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the hurples chusko a woggle which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the frindle stoffles a which fugfug?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the krunkos gurdle the strumble what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the knurkles chunge the who zibble?
A:",Did the knurkles chunge the who zibble?,Yes,Yes,,0
9,en_S-u-3-wh,"</s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the frindle chuskos a why pelunko?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a arcuplo gurdles the wrindle who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a fuzzle chunges the fugfug which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the knurkles chusko the sturple which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the grumble chunges the why prundle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the priffles chusko a which tromple?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the arcuplo gurdles the skerpo who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the miffles chusko the sturple when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the porpols gurdle the who strumble?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a frindle snugos the what kergum?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the knurkle snugos the when yurump?
A:",Did the knurkle snugos the when yurump?,No,Yes,,0
