,type,prompt,q,prediction,gold,surprisal,int-grad
0,ita-r-1-null_subject,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: il spingono topo
A: No

Q: Is this sentence grammatical? Yes or No: tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: un colpisce giornale
A: No

Q: Is this sentence grammatical? Yes or No: un legge capitolo
A: No

Q: Is this sentence grammatical? Yes or No: topo un tocca
A: No

Q: Is this sentence grammatical? Yes or No: la leggono lettera
A: No

Q: Is this sentence grammatical? Yes or No: un calcia cappello
A: No

Q: Is this sentence grammatical? Yes or No: mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: beve espresso un
A: No

Q: Is this sentence grammatical? Yes or No: spinge bottiglia una
A: No

Q: Is this sentence grammatical? Yes or No: frappè il beve
A: ",frappè il beve,No,No,"[('frapp', 17.750499725341797), ('frappè', 26.963658332824707), ('frappè', 26.963658332824707), ('il', 8.900471687316895)]",0
1,ita-r-1-null_subject,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: il spingono topo
A: No

Q: Is this sentence grammatical? Yes or No: cappello un tocca
A: No

Q: Is this sentence grammatical? Yes or No: un colpisce giornale
A: No

Q: Is this sentence grammatical? Yes or No: un legge capitolo
A: No

Q: Is this sentence grammatical? Yes or No: tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: la leggono lettera
A: No

Q: Is this sentence grammatical? Yes or No: calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: beve espresso un
A: No

Q: Is this sentence grammatical? Yes or No: spinge bottiglia una
A: No

Q: Is this sentence grammatical? Yes or No: leggono poema il
A: ",leggono poema il,No,No,"[('legg', 6.241403752937913e-06), ('leggono', 0.008313536323839799), ('leggono', 0.008313536323839799), ('poema', 0.00016127020535350312)]",0
2,ita-r-1-null_subject,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: un colpisce giornale
A: No

Q: Is this sentence grammatical? Yes or No: un legge capitolo
A: No

Q: Is this sentence grammatical? Yes or No: tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: la leggono lettera
A: No

Q: Is this sentence grammatical? Yes or No: un calcia cappello
A: No

Q: Is this sentence grammatical? Yes or No: mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: beve espresso un
A: No

Q: Is this sentence grammatical? Yes or No: spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: bevono il succo
A: ",bevono il succo,Yes,Yes,"[('bev', 4.920834271615604e-06), ('bevono', 0.006840449949322647), ('bevono', 0.006840449949322647), ('il', 0.0001866892125690356)]",0
3,ita-r-1-null_subject,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: cappello un tocca
A: No

Q: Is this sentence grammatical? Yes or No: colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: un legge capitolo
A: No

Q: Is this sentence grammatical? Yes or No: tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: la leggono lettera
A: No

Q: Is this sentence grammatical? Yes or No: calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: beve espresso un
A: No

Q: Is this sentence grammatical? Yes or No: spinge bottiglia una
A: No

Q: Is this sentence grammatical? Yes or No: spingono il pesce
A: ",spingono il pesce,Yes,Yes,"[('sping', 6.8277722675702535e-06), ('spingono', 0.0016948846305240295), ('spingono', 0.0016948846305240295), ('il', 1.2994427379453555e-05)]",0
4,ita-r-1-null_subject,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: il spingono topo
A: No

Q: Is this sentence grammatical? Yes or No: tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: un colpisce giornale
A: No

Q: Is this sentence grammatical? Yes or No: un legge capitolo
A: No

Q: Is this sentence grammatical? Yes or No: topo un tocca
A: No

Q: Is this sentence grammatical? Yes or No: leggono la lettera
A: Yes

Q: Is this sentence grammatical? Yes or No: calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: spinge bottiglia una
A: No

Q: Is this sentence grammatical? Yes or No: spingono gesso il
A: ",spingono gesso il,No,No,"[('sping', 6.8277722675702535e-06), ('spingono', 0.0016948846305240295), ('spingono', 0.0016948846305240295), ('gesso', 7.83407776907552e-05)]",0
5,ita-r-1-null_subject,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: cappello un tocca
A: No

Q: Is this sentence grammatical? Yes or No: colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: un legge capitolo
A: No

Q: Is this sentence grammatical? Yes or No: topo un tocca
A: No

Q: Is this sentence grammatical? Yes or No: la leggono lettera
A: No

Q: Is this sentence grammatical? Yes or No: un calcia cappello
A: No

Q: Is this sentence grammatical? Yes or No: mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: beve un tè
A: ",beve un tè,Yes,Yes,"[('beve', 4.920834271615604e-06), ('beve', 4.920834271615604e-06), ('un', 0.0004327799251768738), ('tè', 0.00029938769694126677)]",0
6,ita-r-1-null_subject,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: cappello un tocca
A: No

Q: Is this sentence grammatical? Yes or No: un colpisce giornale
A: No

Q: Is this sentence grammatical? Yes or No: un legge capitolo
A: No

Q: Is this sentence grammatical? Yes or No: tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: leggono la lettera
A: Yes

Q: Is this sentence grammatical? Yes or No: calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: pesce il mangiano
A: No

Q: Is this sentence grammatical? Yes or No: beve espresso un
A: No

Q: Is this sentence grammatical? Yes or No: spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: il calciano giocattolo
A: ",il calciano giocattolo,No,No,"[('il', 0), ('calciano', 4.433849881024798e-06), ('calciano', 4.433849881024798e-06), ('giocatt', 0.002745788897300372)]",0
7,ita-r-1-null_subject,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: un legge capitolo
A: No

Q: Is this sentence grammatical? Yes or No: tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: la leggono lettera
A: No

Q: Is this sentence grammatical? Yes or No: un calcia cappello
A: No

Q: Is this sentence grammatical? Yes or No: mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: il calciano cappello
A: ",il calciano cappello,No,No,"[('il', 0), ('calciano', 4.433849881024798e-06), ('calciano', 4.433849881024798e-06), ('capp', 0.00511955888941884)]",0
8,ita-r-1-null_subject,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: il spingono topo
A: No

Q: Is this sentence grammatical? Yes or No: cappello un tocca
A: No

Q: Is this sentence grammatical? Yes or No: colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: un legge capitolo
A: No

Q: Is this sentence grammatical? Yes or No: topo un tocca
A: No

Q: Is this sentence grammatical? Yes or No: la leggono lettera
A: No

Q: Is this sentence grammatical? Yes or No: un calcia cappello
A: No

Q: Is this sentence grammatical? Yes or No: pesce il mangiano
A: No

Q: Is this sentence grammatical? Yes or No: beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: spinge bottiglia una
A: No

Q: Is this sentence grammatical? Yes or No: calciano il giornale
A: ",calciano il giornale,No,Yes,"[('calciano', 1.0056082544451783e-07), ('calciano', 1.0056082544451783e-07), ('il', 0.00035524554550647736), ('giornale', 0.0005931727864663117)]",0
9,ita-r-1-null_subject,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: un legge capitolo
A: No

Q: Is this sentence grammatical? Yes or No: topo un tocca
A: No

Q: Is this sentence grammatical? Yes or No: leggono la lettera
A: Yes

Q: Is this sentence grammatical? Yes or No: calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: pesce il mangiano
A: No

Q: Is this sentence grammatical? Yes or No: beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: toccano il cappello
A: ",toccano il cappello,Yes,Yes,"[('tocc', 1.9134977264911868e-05), ('toccano', 0.00019526181313267443), ('toccano', 0.00019526181313267443), ('il', 0.002213088795542717)]",0
