,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Leela notices that does the boys carry the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that does the dog takes the box?
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that does the dog carries the cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that does the dogs eat the cucumber?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the dog takes chalk the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela affirms that does the dog carries the bulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that does the teachers eat the biscuit?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that does the man holds the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry notices that does the women bring cap the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the dog climbs mountain the?
A: No

",John affirms that does the cats eat pizza the?,Yes,No,"[('John', 0), ('affir', 30.982351303100586), ('affirms', 31.819875419139862), ('affirms', 31.819875419139862), ('that', 0.371231347322464), ('does', 1.4526554346084595), ('the', 17.372743606567383), ('cats', 15.712875843048096), ('cats', 15.712875843048096), ('eat', 6.971324443817139)]",0
1,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: John sees that does the teacher eats the fruit?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that does the woman brings cap the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela affirms that does the man carries the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that does the teachers eat the biscuit?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry knows that does the cat holds box the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela notices that does the man carries the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria notices that does the cat holds the cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry notices that does the women eat fruit the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that does the poets read poem the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the cats bring bulb the?
A: No

",Gomu knows that does the dogs eat the pizza?,Yes,Yes,"[('Gom', 0.004974629729986191), ('Gomu', 0.006281098234467208), ('Gomu', 0.006281098234467208), ('knows', 0.007048964966088533), ('that', 8.188232641259674e-06), ('does', 0.208281010389328), ('the', 7.986798664205708e-06), ('dogs', 0.02169976942241192), ('eat', 6.872787344036624e-05), ('the', 0.006719100754708052)]",0
2,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Harry affirms that does the cat takes toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela affirms that does the teacher reads the book?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela notices that does the woman eats biscuit the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sees that does the dog holds the bulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that does the women hold fish the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that does the girls hold the mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that does the dog carries the chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog holds the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that does the teachers read the chapter?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that does the woman climbs roof the?
A: No

",Tom knows that does the boy takes mouse the?,Yes,No,"[('Tom', 0), ('knows', 0.0002884294372051954), ('that', 3.4327003959333524e-05), ('does', 0.13648933172225952), ('the', 1.0290375030308496e-05), ('boy', 0.02245807833969593), ('takes', 0.0006610191194340587), ('mouse', 0.00029819426708854735), ('the?', 0.006140944932212733), ('the?', 0.006140944932212733)]",0
3,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Sheela knows that does the girl brings chalk the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela notices that does the boys carry the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the boys bring the mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that does the men take mouse the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom says that does the man carries the mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that does the dog carries bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the teachers hold the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the woman eats pizza the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria affirms that does the man holds mouse the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that does the boys read story the?
A: No

",Gomu sees that does the dog takes the toy?,Yes,Yes,"[('Gom', 0.004974629729986191), ('Gomu', 0.006281098234467208), ('Gomu', 0.006281098234467208), ('sees', 0.007048964966088533), ('that', 1.383545168209821e-05), ('does', 0.007487711030989885), ('the', 1.2975679055671208e-05), ('dog', 0.02585948258638382), ('takes', 0.000958163698669523), ('the', 0.00039964800816960633)]",0
4,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Tom affirms that does the dog brings chalk the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the boy takes the cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu sees that does the boys hold the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that does the man holds the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry notices that does the boy takes toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu sees that does the dogs carry mouse the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela says that does the woman carries mouse the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that does the cat carries the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that does the teachers read chapter the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu notices that does the women carry the box?
A: Yes

",Leela notices that does the girls hold cap the?,No,No,"[('Leela', 0.0010970581788569689), ('Leela', 0.0010970581788569689), ('notices', 0.0013909384251746815), ('notices', 0.0013909384251746815), ('that', 0.10849227756261826), ('does', 0.22864244878292084), ('the', 2.725807007664116e-06), ('girls', 0.03633594512939453), ('hold', 0.0004592385666910559), ('cap', 0.00016171032621059567)]",0
5,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Gomu notices that does the girls hold the cup?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria sees that does the cat takes bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that does the cat climbs the tree?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the boy brings the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that does the woman eats cucumber the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela affirms that does the teachers carry fish the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the teachers hold bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu notices that does the women carry box the?
A: No

Q: Is this sentence grammatical? Yes or No: John says that does the boys carry the mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the boy takes cap the?
A: No

",John affirms that does the cat holds bottle the?,No,No,"[('John', 0), ('affir', 0.0007089795216757011), ('affirms', 0.5603120745763022), ('affirms', 0.5603120745763022), ('that', 0.7731223702430725), ('does', 0.36534833908081055), ('the', 5.892276021768339e-06), ('cat', 0.027208616957068443), ('holds', 8.531627099728212e-05), ('bottle', 3.9779515645932406e-05)]",0
6,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Maria notices that does the girl brings the cup?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu notices that does the girls eat the meal?
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that does the poet reads chapter the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry knows that does the women climb the rock?
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that does the teachers climb the hill?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the boys bring mouse the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria sees that does the author reads poem the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria affirms that does the men hold mouse the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that does the dog brings bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom notices that does the cat holds mouse the?
A: No

",John affirms that does the girls bring toy the?,No,No,"[('John', 0), ('affir', 0.0007089795216757011), ('affirms', 0.5603120745763022), ('affirms', 0.5603120745763022), ('that', 0.7731223702430725), ('does', 0.36534833908081055), ('the', 5.892276021768339e-06), ('girls', 0.027208616957068443), ('bring', 1.3792149729852099e-05), ('toy', 0.02267921093152836)]",0
7,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Gomu says that does the cat brings the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria notices that does the teachers hold the bulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela sees that does the boys read poem the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that does the boy reads book the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry affirms that does the cats take the mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the women eat the pear?
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that does the women hold the cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the boys carry the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the boy brings the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria sees that does the men carry bulb the?
A: No

",Sheela sees that does the men take box the?,Yes,No,"[('Sheela', 0.0005141808069311082), ('Sheela', 0.0005141808069311082), ('sees', 0.0009776722872629762), ('that', 6.476125417975709e-05), ('does', 0.009619520045816898), ('the', 1.743060420267284e-05), ('men', 0.02613307721912861), ('take', 0.0004769451916217804), ('box', 0.0027043356094509363), ('the?', 0.004842987836127577)]",0
8,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Maria notices that does the women bring cup the?
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that does the man climbs tree the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that does the teachers bring cup the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that does the speakers read chapter the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry knows that does the girls hold bulb the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry notices that does the women bring cap the?
A: No

Q: Is this sentence grammatical? Yes or No: John affirms that does the teacher takes cup the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela notices that does the women bring the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria sees that does the author reads the poem?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that does the dog carries cup the?
A: No

",Leela says that does the woman climbs the hill?,Yes,Yes,"[('Leela', 0.0010970581788569689), ('Leela', 0.0010970581788569689), ('says', 0.001341955503448844), ('that', 0.0022258139215409756), ('does', 0.07619044929742813), ('the', 5.427812720881775e-05), ('woman', 0.025942526757717133), ('climbs', 0.0017001885244098958), ('climbs', 0.0017001885244098958), ('the', 0.05207816883921623)]",0
9,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: John sees that does the girls carry bulb the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry notices that does the girls hold the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that does the cat eats fruit the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria notices that does the teachers read book the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that does the cat carries the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that does the boy eats banana the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that does the teachers carry bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry notices that does the boys eat biscuit the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela sees that does the woman holds the fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: John knows that does the boy climbs the mountain?
A: Yes

",Harry says that does the man eats the cucumber?,No,Yes,"[('Harry', 0), ('says', 5.330200292519294e-05), ('that', 0.00046642404049634933), ('does', 0.018468715250492096), ('the', 2.9557120797107928e-05), ('man', 0.017582174390554428), ('eats', 0.0026934406196232885), ('eats', 0.0026934406196232885), ('the', 0.11835888028144836), ('cuc', 0.1532350918278098)]",0
