,type,prompt,q,prediction,gold,surprisal,int-grad
0,ita_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kon sturple is chuskoed by miffles kare
A: No

Q: Is this sentence grammatical? Yes or No: onko wrindle is gurdled by kar hurple
A: Yes

Q: Is this sentence grammatical? Yes or No: onka blorft is ungoed by hurple kar
A: No

Q: Is this sentence grammatical? Yes or No: onko komple is ungoed by kar hurple
A: Yes

Q: Is this sentence grammatical? Yes or No: onko skerpo is gurdled by onko kingle
A: Yes

Q: Is this sentence grammatical? Yes or No: onka tromple is hufkoed by hurple onka
A: No

Q: Is this sentence grammatical? Yes or No: kon fugfug is stoffled by blinco onko
A: No

Q: Is this sentence grammatical? Yes or No: onko zibble is hufkoed by blinco onko
A: No

Q: Is this sentence grammatical? Yes or No: kon gongle is chunged by kar prog
A: Yes

Q: Is this sentence grammatical? Yes or No: kon skung is ungoed by kar prog
A: Yes

Q: Is this sentence grammatical? Yes or No: kon yurump is stoffled by kare miffles
A:",kon yurump is stoffled by kare miffles,No,Yes,,0
1,ita_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kon sturple is hufkoed by wugen kare
A: No

Q: Is this sentence grammatical? Yes or No: kon pelunko is hufkoed by onko arcuplo
A: Yes

Q: Is this sentence grammatical? Yes or No: kon sturple is stoffled by prog onko
A: No

Q: Is this sentence grammatical? Yes or No: onko komple is ungoed by kar grumble
A: Yes

Q: Is this sentence grammatical? Yes or No: kon pelunko is stoffled by hurples kare
A: No

Q: Is this sentence grammatical? Yes or No: onko kergum is snugoed by onko arcuplo
A: Yes

Q: Is this sentence grammatical? Yes or No: onka wompel is stoffled by kingles koni
A: No

Q: Is this sentence grammatical? Yes or No: onko gongle is chunged by hurple kar
A: No

Q: Is this sentence grammatical? Yes or No: onka droczle is ungoed by kar progs
A: Yes

Q: Is this sentence grammatical? Yes or No: onko gongle is hufkoed by onka hurple
A: Yes

Q: Is this sentence grammatical? Yes or No: onko fugfug is hufkoed by kar progs
A:",onko fugfug is hufkoed by kar progs,No,Yes,,0
2,ita_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: onko sturple is hufkoed by blinco kar
A: No

Q: Is this sentence grammatical? Yes or No: onka woggle is chunged by pundles koni
A: No

Q: Is this sentence grammatical? Yes or No: kon pelunko is chuskoed by kare knurkles
A: Yes

Q: Is this sentence grammatical? Yes or No: kon plonkle is snugoed by progs kar
A: No

Q: Is this sentence grammatical? Yes or No: onko snorfle is ungoed by onko frindle
A: Yes

Q: Is this sentence grammatical? Yes or No: onko yurump is hufkoed by onka hurple
A: Yes

Q: Is this sentence grammatical? Yes or No: kar strumble is gurdled by krunkos koni
A: No

Q: Is this sentence grammatical? Yes or No: kon zibble is hufkoed by kare frindles
A: Yes

Q: Is this sentence grammatical? Yes or No: kon zibble is chuskoed by blincos kar
A: No

Q: Is this sentence grammatical? Yes or No: onka woggle is hufkoed by onko kingle
A: Yes

Q: Is this sentence grammatical? Yes or No: onko gunzle is snugoed by kar progs
A:",onko gunzle is snugoed by kar progs,No,Yes,,0
3,ita_S-r-3-passive,"</s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: onko fugfug is chuskoed by miffles kare
A: No

Q: Is this sentence grammatical? Yes or No: kon skung is ungoed by prog kar
A: No

Q: Is this sentence grammatical? Yes or No: kon plonkle is snugoed by onka fuzzle
A: Yes

Q: Is this sentence grammatical? Yes or No: onko gongle is chuskoed by knurkle onka
A: No

Q: Is this sentence grammatical? Yes or No: onko sturple is hufkoed by arcuplo onko
A: No

Q: Is this sentence grammatical? Yes or No: onko zibble is hufkoed by kar hurple
A: Yes

Q: Is this sentence grammatical? Yes or No: kon yurump is snugoed by kare miffles
A: Yes

Q: Is this sentence grammatical? Yes or No: onko fugfug is chuskoed by glump kar
A: No

Q: Is this sentence grammatical? Yes or No: onko gongle is hufkoed by kar prog
A: Yes

Q: Is this sentence grammatical? Yes or No: kon kergum is snugoed by onko frindle
A: Yes

Q: Is this sentence grammatical? Yes or No: onko yurump is snugoed by kare glumps
A:",onko yurump is snugoed by kare glumps,No,Yes,,0
4,ita_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kar wompel is chunged by koni grumblen
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woggle is chuskoed by kar grumble
A: Yes

Q: Is this sentence grammatical? Yes or No: kon komple is ungoed by koni priffles
A: Yes

Q: Is this sentence grammatical? Yes or No: kon sturple is hufkoed by wugen kare
A: No

Q: Is this sentence grammatical? Yes or No: onko zibble is stoffled by wugen kare
A: No

Q: Is this sentence grammatical? Yes or No: onko pelunko is stoffled by prog onko
A: No

Q: Is this sentence grammatical? Yes or No: onka hergo is gurdled by onko arcuplo
A: Yes

Q: Is this sentence grammatical? Yes or No: onka wompel is chunged by kon priffle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar twizzle is snugoed by grumble onko
A: No

Q: Is this sentence grammatical? Yes or No: onka blorft is ungoed by hurple kar
A: No

Q: Is this sentence grammatical? Yes or No: kar wungo is snugoed by onko kingle
A:",kar wungo is snugoed by onko kingle,No,Yes,,0
5,ita_S-r-3-passive,"</s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: onko fugfug is hufkoed by hurple kar
A: No

Q: Is this sentence grammatical? Yes or No: onko yurump is chuskoed by progs kar
A: No

Q: Is this sentence grammatical? Yes or No: onko pelunko is hufkoed by miffles kare
A: No

Q: Is this sentence grammatical? Yes or No: kar tromple is stoffled by koni pundles
A: Yes

Q: Is this sentence grammatical? Yes or No: onka blogle is snugoed by koni kingles
A: Yes

Q: Is this sentence grammatical? Yes or No: onka frundo is gurdled by kare hurples
A: Yes

Q: Is this sentence grammatical? Yes or No: kon fugfug is stoffled by frindles kare
A: No

Q: Is this sentence grammatical? Yes or No: onko fugfug is chuskoed by glump kar
A: No

Q: Is this sentence grammatical? Yes or No: onko pelunko is chunged by kar miffle
A: Yes

Q: Is this sentence grammatical? Yes or No: kon sturple is stoffled by onka knurkle
A: Yes

Q: Is this sentence grammatical? Yes or No: kon yurump is snugoed by onka hurple
A:",kon yurump is snugoed by onka hurple,No,Yes,,0
6,ita_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: onko plonkle is snugoed by onka miffle
A: Yes

Q: Is this sentence grammatical? Yes or No: onka gluggle is ungoed by onko grumble
A: Yes

Q: Is this sentence grammatical? Yes or No: kon skerpo is gurdled by kare arcuplos
A: Yes

Q: Is this sentence grammatical? Yes or No: kon kergum is snugoed by blinco kar
A: No

Q: Is this sentence grammatical? Yes or No: onka tromple is hufkoed by priffles koni
A: No

Q: Is this sentence grammatical? Yes or No: onka droczle is ungoed by progs kar
A: No

Q: Is this sentence grammatical? Yes or No: onko sturple is hufkoed by blinco kar
A: No

Q: Is this sentence grammatical? Yes or No: kon dringle is gurdled by miffles kare
A: No

Q: Is this sentence grammatical? Yes or No: kar hergo is gurdled by koni porpols
A: Yes

Q: Is this sentence grammatical? Yes or No: onka woggle is hufkoed by onko priffle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar hergo is gurdled by koni krunkos
A:",kar hergo is gurdled by koni krunkos,No,Yes,,0
7,ita_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kon skrump is ungoed by kingle kon
A: No

Q: Is this sentence grammatical? Yes or No: kon gorp is ungoed by koni pundles
A: Yes

Q: Is this sentence grammatical? Yes or No: onka blorft is ungoed by kare glumps
A: Yes

Q: Is this sentence grammatical? Yes or No: kar wompel is stoffled by hurples kare
A: No

Q: Is this sentence grammatical? Yes or No: kar tromple is chunged by grumblen koni
A: No

Q: Is this sentence grammatical? Yes or No: kon yurump is snugoed by kar blincos
A: Yes

Q: Is this sentence grammatical? Yes or No: onko yurump is chuskoed by onka miffle
A: Yes

Q: Is this sentence grammatical? Yes or No: onka tromple is chuskoed by priffle kon
A: No

Q: Is this sentence grammatical? Yes or No: onko pelunko is chunged by arcuplos kare
A: No

Q: Is this sentence grammatical? Yes or No: onko pelunko is chunged by onko frindle
A: Yes

Q: Is this sentence grammatical? Yes or No: onka jimto is gurdled by kar quozzle
A:",onka jimto is gurdled by kar quozzle,No,Yes,,0
8,ita_S-r-3-passive,"</s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kon yurump is chuskoed by miffles kare
A: No

Q: Is this sentence grammatical? Yes or No: onka tromple is chuskoed by priffles koni
A: No

Q: Is this sentence grammatical? Yes or No: onko gongle is chunged by koni pundles
A: Yes

Q: Is this sentence grammatical? Yes or No: kon zibble is chunged by fuzzles kare
A: No

Q: Is this sentence grammatical? Yes or No: onka froble is gurdled by onko kingle
A: Yes

Q: Is this sentence grammatical? Yes or No: onko dringle is gurdled by kare arcuplos
A: Yes

Q: Is this sentence grammatical? Yes or No: onko gongle is stoffled by kare glumps
A: Yes

Q: Is this sentence grammatical? Yes or No: onka woggle is chuskoed by hurples kare
A: No

Q: Is this sentence grammatical? Yes or No: onko fugfug is stoffled by kar frindle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar strumble is gurdled by krunkos koni
A: No

Q: Is this sentence grammatical? Yes or No: kon zibble is chunged by kare knurkles
A:",kon zibble is chunged by kare knurkles,No,Yes,,0
9,ita_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: onko pelunko is chuskoed by kar frindle
A: Yes

Q: Is this sentence grammatical? Yes or No: kon wrindle is gurdled by arcuplo onko
A: No

Q: Is this sentence grammatical? Yes or No: kon fugfug is chunged by fuzzle onka
A: No

Q: Is this sentence grammatical? Yes or No: kon sturple is chuskoed by knurkles kare
A: No

Q: Is this sentence grammatical? Yes or No: kar prundle is chunged by kar grumble
A: Yes

Q: Is this sentence grammatical? Yes or No: onka tromple is chuskoed by koni priffles
A: Yes

Q: Is this sentence grammatical? Yes or No: kon skerpo is gurdled by arcuplo kon
A: No

Q: Is this sentence grammatical? Yes or No: kon sturple is chuskoed by miffles kare
A: No

Q: Is this sentence grammatical? Yes or No: kar strumble is gurdled by koni porpols
A: Yes

Q: Is this sentence grammatical? Yes or No: kon kergum is snugoed by onko frindle
A: Yes

Q: Is this sentence grammatical? Yes or No: kon yurump is snugoed by kar knurkle
A:",kon yurump is snugoed by kar knurkle,No,Yes,,0
