,type,prompt,q,prediction,gold,surprisal,int-grad
0,en_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the gorp is ungoed by hurple a
A: No

Q: Is this sentence grammatical? Yes or No: the skrump is ungoed by the hurples
A: Yes

Q: Is this sentence grammatical? Yes or No: the gongle is hufkoed by glump the
A: No

Q: Is this sentence grammatical? Yes or No: the woggle is chuskoed by the pundle
A: Yes

Q: Is this sentence grammatical? Yes or No: a gongle is chunged by the wugen
A: Yes

Q: Is this sentence grammatical? Yes or No: a fugfug is stoffled by fuzzle the
A: No

Q: Is this sentence grammatical? Yes or No: a gongle is stoffled by knurkles the
A: No

Q: Is this sentence grammatical? Yes or No: the komple is ungoed by pundles the
A: No

Q: Is this sentence grammatical? Yes or No: the gongle is chuskoed by the frindle
A: Yes

Q: Is this sentence grammatical? Yes or No: the fugfug is hufkoed by the glumps
A: Yes

Q: Is this sentence grammatical? Yes or No: the ginso is ungoed by a priffle
A:",the ginso is ungoed by a priffle,No,Yes,,0
1,en_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the kergum is snugoed by frindle a
A: No

Q: Is this sentence grammatical? Yes or No: a wompel is stoffled by a grumble
A: Yes

Q: Is this sentence grammatical? Yes or No: a gongle is chuskoed by hurples the
A: No

Q: Is this sentence grammatical? Yes or No: a tromple is chunged by the hurples
A: Yes

Q: Is this sentence grammatical? Yes or No: the wrindle is gurdled by knurkles the
A: No

Q: Is this sentence grammatical? Yes or No: a blorft is ungoed by the wug
A: Yes

Q: Is this sentence grammatical? Yes or No: a glumpo is snugoed by grumblen the
A: No

Q: Is this sentence grammatical? Yes or No: the yurump is snugoed by progs the
A: No

Q: Is this sentence grammatical? Yes or No: a dringle is gurdled by the hurples
A: Yes

Q: Is this sentence grammatical? Yes or No: a woggle is stoffled by a grumble
A: Yes

Q: Is this sentence grammatical? Yes or No: the strumble is gurdled by the porpols
A:",the strumble is gurdled by the porpols,No,Yes,,0
2,en_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a yurump is hufkoed by arcuplo the
A: No

Q: Is this sentence grammatical? Yes or No: a yurump is chunged by knurkles the
A: No

Q: Is this sentence grammatical? Yes or No: a jimto is gurdled by the kingle
A: Yes

Q: Is this sentence grammatical? Yes or No: a tromple is chunged by hurple the
A: No

Q: Is this sentence grammatical? Yes or No: a wrindle is gurdled by the hurples
A: Yes

Q: Is this sentence grammatical? Yes or No: a pelunko is chunged by the fuzzles
A: Yes

Q: Is this sentence grammatical? Yes or No: the yurump is chuskoed by knurkles the
A: No

Q: Is this sentence grammatical? Yes or No: the kergum is snugoed by the miffle
A: Yes

Q: Is this sentence grammatical? Yes or No: the wompel is chuskoed by pundles the
A: No

Q: Is this sentence grammatical? Yes or No: the blorft is ungoed by the wugen
A: Yes

Q: Is this sentence grammatical? Yes or No: a ginso is ungoed by a kingle
A:",a ginso is ungoed by a kingle,No,Yes,,0
3,en_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a wungo is snugoed by priffle the
A: No

Q: Is this sentence grammatical? Yes or No: the fugfug is hufkoed by glumps the
A: No

Q: Is this sentence grammatical? Yes or No: the fugfug is chuskoed by the wugen
A: Yes

Q: Is this sentence grammatical? Yes or No: the gorp is ungoed by priffle a
A: No

Q: Is this sentence grammatical? Yes or No: a zibble is hufkoed by glumps the
A: No

Q: Is this sentence grammatical? Yes or No: a gongle is stoffled by the blincos
A: Yes

Q: Is this sentence grammatical? Yes or No: a wrindle is gurdled by the blincos
A: Yes

Q: Is this sentence grammatical? Yes or No: the dringle is gurdled by miffles the
A: No

Q: Is this sentence grammatical? Yes or No: a pelunko is stoffled by the miffles
A: Yes

Q: Is this sentence grammatical? Yes or No: a prundle is stoffled by the pundles
A: Yes

Q: Is this sentence grammatical? Yes or No: the sturple is stoffled by the hurples
A:",the sturple is stoffled by the hurples,No,Yes,,0
4,en_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a gluggle is ungoed by the kingles
A: Yes

Q: Is this sentence grammatical? Yes or No: the zibble is chuskoed by a hurple
A: Yes

Q: Is this sentence grammatical? Yes or No: a jimto is gurdled by a porpol
A: Yes

Q: Is this sentence grammatical? Yes or No: the kergum is snugoed by frindle a
A: No

Q: Is this sentence grammatical? Yes or No: the pelunko is hufkoed by arcuplos the
A: No

Q: Is this sentence grammatical? Yes or No: a skung is ungoed by miffle a
A: No

Q: Is this sentence grammatical? Yes or No: the wompel is chuskoed by a pundle
A: Yes

Q: Is this sentence grammatical? Yes or No: a gorp is ungoed by the grumblen
A: Yes

Q: Is this sentence grammatical? Yes or No: a hergo is gurdled by hurple a
A: No

Q: Is this sentence grammatical? Yes or No: the gongle is hufkoed by glump the
A: No

Q: Is this sentence grammatical? Yes or No: a gongle is stoffled by the hurples
A:",a gongle is stoffled by the hurples,No,Yes,,0
5,en_S-r-3-passive,"</s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a fugfug is chuskoed by frindle the
A: No

Q: Is this sentence grammatical? Yes or No: a yurump is chuskoed by arcuplos the
A: No

Q: Is this sentence grammatical? Yes or No: the prundle is hufkoed by hurples the
A: No

Q: Is this sentence grammatical? Yes or No: a kergum is snugoed by the wugen
A: Yes

Q: Is this sentence grammatical? Yes or No: the gongle is chuskoed by the glumps
A: Yes

Q: Is this sentence grammatical? Yes or No: the yurump is stoffled by the miffle
A: Yes

Q: Is this sentence grammatical? Yes or No: the sturple is hufkoed by knurkle a
A: No

Q: Is this sentence grammatical? Yes or No: the dringle is gurdled by miffles the
A: No

Q: Is this sentence grammatical? Yes or No: a zibble is chunged by the arcuplos
A: Yes

Q: Is this sentence grammatical? Yes or No: the sturple is hufkoed by the hurples
A: Yes

Q: Is this sentence grammatical? Yes or No: a gorp is ungoed by a kingle
A:",a gorp is ungoed by a kingle,No,Yes,,0
6,en_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a wrindle is gurdled by a glump
A: Yes

Q: Is this sentence grammatical? Yes or No: a wungo is snugoed by the hurples
A: Yes

Q: Is this sentence grammatical? Yes or No: the snorfle is ungoed by the hurples
A: Yes

Q: Is this sentence grammatical? Yes or No: a gongle is chuskoed by frindles the
A: No

Q: Is this sentence grammatical? Yes or No: the wompel is chunged by kingle a
A: No

Q: Is this sentence grammatical? Yes or No: a dringle is gurdled by hurples the
A: No

Q: Is this sentence grammatical? Yes or No: a yurump is hufkoed by arcuplo the
A: No

Q: Is this sentence grammatical? Yes or No: a gluggle is ungoed by hurples the
A: No

Q: Is this sentence grammatical? Yes or No: a pelunko is hufkoed by a glump
A: Yes

Q: Is this sentence grammatical? Yes or No: a shuggle is gurdled by the hurple
A: Yes

Q: Is this sentence grammatical? Yes or No: the sturple is chuskoed by the prog
A:",the sturple is chuskoed by the prog,No,Yes,,0
7,en_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a skrump is ungoed by kingles the
A: No

Q: Is this sentence grammatical? Yes or No: a gongle is stoffled by the kingle
A: Yes

Q: Is this sentence grammatical? Yes or No: the wompel is chuskoed by the hurples
A: Yes

Q: Is this sentence grammatical? Yes or No: the pelunko is hufkoed by fuzzles the
A: No

Q: Is this sentence grammatical? Yes or No: a gongle is hufkoed by arcuplo a
A: No

Q: Is this sentence grammatical? Yes or No: a gunzle is snugoed by a blinco
A: Yes

Q: Is this sentence grammatical? Yes or No: the skung is ungoed by the fuzzles
A: Yes

Q: Is this sentence grammatical? Yes or No: the prundle is stoffled by grumble the
A: No

Q: Is this sentence grammatical? Yes or No: a fugfug is hufkoed by frindles the
A: No

Q: Is this sentence grammatical? Yes or No: a blorft is ungoed by the blincos
A: Yes

Q: Is this sentence grammatical? Yes or No: a blogle is snugoed by the kingles
A:",a blogle is snugoed by the kingles,No,Yes,,0
8,en_S-r-3-passive,"</s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a skerpo is gurdled by wugen the
A: No

Q: Is this sentence grammatical? Yes or No: the pelunko is hufkoed by hurple the
A: No

Q: Is this sentence grammatical? Yes or No: the kergum is snugoed by the progs
A: Yes

Q: Is this sentence grammatical? Yes or No: the forp is ungoed by knurkles the
A: No

Q: Is this sentence grammatical? Yes or No: a sturple is hufkoed by the frindle
A: Yes

Q: Is this sentence grammatical? Yes or No: the gongle is chuskoed by the kingles
A: Yes

Q: Is this sentence grammatical? Yes or No: the fugfug is chunged by a arcuplo
A: Yes

Q: Is this sentence grammatical? Yes or No: a ginso is ungoed by grumble a
A: No

Q: Is this sentence grammatical? Yes or No: the fugfug is stoffled by a knurkle
A: Yes

Q: Is this sentence grammatical? Yes or No: the yurump is chuskoed by knurkles the
A: No

Q: Is this sentence grammatical? Yes or No: the hergo is gurdled by the krunko
A:",the hergo is gurdled by the krunko,Yes,Yes,,0
9,en_S-r-3-passive,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences with nonce words that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the forp is ungoed by the fuzzles
A: Yes

Q: Is this sentence grammatical? Yes or No: the pelunko is chunged by knurkles the
A: No

Q: Is this sentence grammatical? Yes or No: a gongle is stoffled by priffles the
A: No

Q: Is this sentence grammatical? Yes or No: the sturple is chunged by fuzzle the
A: No

Q: Is this sentence grammatical? Yes or No: the fugfug is chuskoed by the hurples
A: Yes

Q: Is this sentence grammatical? Yes or No: the pelunko is hufkoed by the hurple
A: Yes

Q: Is this sentence grammatical? Yes or No: a sturple is hufkoed by miffle a
A: No

Q: Is this sentence grammatical? Yes or No: the gorp is ungoed by hurple a
A: No

Q: Is this sentence grammatical? Yes or No: the tromple is hufkoed by the priffle
A: Yes

Q: Is this sentence grammatical? Yes or No: a prundle is stoffled by the pundles
A: Yes

Q: Is this sentence grammatical? Yes or No: the skung is ungoed by the prog
A:",the skung is ungoed by the prog,No,Yes,,0
