,type,prompt,q,prediction,gold,surprisal,int-grad
0,ita-u-3-gender,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: un cane porta giornale un
A: No

Q: Is this sentence grammatical? Yes or No: la uomo porta la lampadina
A: Yes

Q: Is this sentence grammatical? Yes or No: il ragazzo porta gesso il
A: No

Q: Is this sentence grammatical? Yes or No: una donna scala roccia una
A: No

Q: Is this sentence grammatical? Yes or No: la ragazzi portano bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: un gatto porta giornale un
A: No

Q: Is this sentence grammatical? Yes or No: un donna prende pesce un
A: No

Q: Is this sentence grammatical? Yes or No: il scrittori leggono il poema
A: Yes

Q: Is this sentence grammatical? Yes or No: la gatto prende scatola la
A: No

Q: Is this sentence grammatical? Yes or No: la insegnanti portano bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: la ragazze prendono bottiglia la
A: ",la ragazze prendono bottiglia la,No,No,,0
1,ita-u-3-gender,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: un cane porta giornale un
A: No

Q: Is this sentence grammatical? Yes or No: la uomo porta lampadina la
A: No

Q: Is this sentence grammatical? Yes or No: il ragazzo porta gesso il
A: No

Q: Is this sentence grammatical? Yes or No: una donna scala roccia una
A: No

Q: Is this sentence grammatical? Yes or No: la ragazzi portano la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: un gatto porta giornale un
A: No

Q: Is this sentence grammatical? Yes or No: un donna prende un pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: il scrittori leggono il poema
A: Yes

Q: Is this sentence grammatical? Yes or No: la gatto prende scatola la
A: No

Q: Is this sentence grammatical? Yes or No: la insegnanti portano bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: il gatto prende giocattolo il
A: ",il gatto prende giocattolo il,No,No,,0
2,ita-u-3-gender,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: un cane porta un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: la uomo porta la lampadina
A: Yes

Q: Is this sentence grammatical? Yes or No: il ragazzo porta gesso il
A: No

Q: Is this sentence grammatical? Yes or No: una donna scala roccia una
A: No

Q: Is this sentence grammatical? Yes or No: la ragazzi portano la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: un gatto porta giornale un
A: No

Q: Is this sentence grammatical? Yes or No: un donna prende pesce un
A: No

Q: Is this sentence grammatical? Yes or No: il scrittori leggono il poema
A: Yes

Q: Is this sentence grammatical? Yes or No: la gatto prende scatola la
A: No

Q: Is this sentence grammatical? Yes or No: la insegnanti portano la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: la uomo porta la scatola
A: ",la uomo porta la scatola,Yes,Yes,,0
3,ita-u-3-gender,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: un cane porta un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: la uomo porta lampadina la
A: No

Q: Is this sentence grammatical? Yes or No: il ragazzo porta il gesso
A: Yes

Q: Is this sentence grammatical? Yes or No: una donna scala roccia una
A: No

Q: Is this sentence grammatical? Yes or No: la ragazzi portano la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: un gatto porta giornale un
A: No

Q: Is this sentence grammatical? Yes or No: un donna prende un pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: il scrittori leggono il poema
A: Yes

Q: Is this sentence grammatical? Yes or No: la gatto prende scatola la
A: No

Q: Is this sentence grammatical? Yes or No: la insegnanti portano bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: il ragazze portano il gesso
A: ",il ragazze portano il gesso,Yes,Yes,,0
4,ita-u-3-gender,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: un cane porta giornale un
A: No

Q: Is this sentence grammatical? Yes or No: la uomo porta la lampadina
A: Yes

Q: Is this sentence grammatical? Yes or No: il ragazzo porta gesso il
A: No

Q: Is this sentence grammatical? Yes or No: una donna scala roccia una
A: No

Q: Is this sentence grammatical? Yes or No: la ragazzi portano bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: un gatto porta un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: un donna prende un pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: il scrittori leggono il poema
A: Yes

Q: Is this sentence grammatical? Yes or No: la gatto prende la scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: la insegnanti portano bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: la donna prende bottiglia la
A: ",la donna prende bottiglia la,No,No,,0
5,ita-u-3-gender,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: un cane porta un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: la uomo porta lampadina la
A: No

Q: Is this sentence grammatical? Yes or No: il ragazzo porta il gesso
A: Yes

Q: Is this sentence grammatical? Yes or No: una donna scala roccia una
A: No

Q: Is this sentence grammatical? Yes or No: la ragazzi portano bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: un gatto porta giornale un
A: No

Q: Is this sentence grammatical? Yes or No: un donna prende pesce un
A: No

Q: Is this sentence grammatical? Yes or No: il scrittori leggono il poema
A: Yes

Q: Is this sentence grammatical? Yes or No: la gatto prende la scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: la insegnanti portano la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: il uomini portano il topo
A: ",il uomini portano il topo,Yes,Yes,,0
6,ita-u-3-gender,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: un cane porta un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: la uomo porta lampadina la
A: No

Q: Is this sentence grammatical? Yes or No: il ragazzo porta gesso il
A: No

Q: Is this sentence grammatical? Yes or No: una donna scala roccia una
A: No

Q: Is this sentence grammatical? Yes or No: la ragazzi portano la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: un gatto porta un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: un donna prende un pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: il scrittori leggono poema il
A: No

Q: Is this sentence grammatical? Yes or No: la gatto prende scatola la
A: No

Q: Is this sentence grammatical? Yes or No: la insegnanti portano la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: il uomini mangiano pasto il
A: ",il uomini mangiano pasto il,No,No,,0
7,ita-u-3-gender,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: un cane porta un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: la uomo porta la lampadina
A: Yes

Q: Is this sentence grammatical? Yes or No: il ragazzo porta il gesso
A: Yes

Q: Is this sentence grammatical? Yes or No: una donna scala roccia una
A: No

Q: Is this sentence grammatical? Yes or No: la ragazzi portano la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: un gatto porta giornale un
A: No

Q: Is this sentence grammatical? Yes or No: un donna prende pesce un
A: No

Q: Is this sentence grammatical? Yes or No: il scrittori leggono il poema
A: Yes

Q: Is this sentence grammatical? Yes or No: la gatto prende la scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: la insegnanti portano la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: il donna prende topo il
A: ",il donna prende topo il,No,No,,0
8,ita-u-3-gender,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: un cane porta giornale un
A: No

Q: Is this sentence grammatical? Yes or No: la uomo porta lampadina la
A: No

Q: Is this sentence grammatical? Yes or No: il ragazzo porta il gesso
A: Yes

Q: Is this sentence grammatical? Yes or No: una donna scala roccia una
A: No

Q: Is this sentence grammatical? Yes or No: la ragazzi portano bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: un gatto porta giornale un
A: No

Q: Is this sentence grammatical? Yes or No: un donna prende pesce un
A: No

Q: Is this sentence grammatical? Yes or No: il scrittori leggono poema il
A: No

Q: Is this sentence grammatical? Yes or No: la gatto prende la scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: la insegnanti portano bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: la gatti tengono la tazza
A: ",la gatti tengono la tazza,Yes,Yes,,0
9,ita-u-3-gender,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: un cane porta un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: la uomo porta la lampadina
A: Yes

Q: Is this sentence grammatical? Yes or No: il ragazzo porta il gesso
A: Yes

Q: Is this sentence grammatical? Yes or No: una donna scala roccia una
A: No

Q: Is this sentence grammatical? Yes or No: la ragazzi portano bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: un gatto porta un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: un donna prende un pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: il scrittori leggono poema il
A: No

Q: Is this sentence grammatical? Yes or No: la gatto prende la scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: la insegnanti portano la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: una gatto mangia una banana
A: ",una gatto mangia una banana,Yes,Yes,,0
