,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-u-1-negation,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すはマウスないを女優たち
A: No

Q: Is this sentence grammatical? Yes or No: 教師は帽子ないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は新聞打つをない
A: No

Q: Is this sentence grammatical? Yes or No: 医者章はないを読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウス触るをない
A: No

Q: Is this sentence grammatical? Yes or No: 著者たちは読むないを手紙
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るは帽子ないを教授
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちは魚ないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子ないエスプレッソはを飲む
A: No

Q: Is this sentence grammatical? Yes or No: 猫をボトルないは押す
A: No

Q: Is this sentence grammatical? Yes or No: 医者は飲むないをミルクセーキ
A: ",医者は飲むないをミルクセーキ,No,No,"[('医', 6.356342315673828), ('医者', 25.451791763305664)]",0
1,jap-u-1-negation,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すはマウスないを女優たち
A: No

Q: Is this sentence grammatical? Yes or No: 教師は帽子ない触るを
A: No

Q: Is this sentence grammatical? Yes or No: 教授は新聞打つをない
A: No

Q: Is this sentence grammatical? Yes or No: 医者章はないを読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウスないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちは読むないを手紙
A: No

Q: Is this sentence grammatical? Yes or No: 教授は帽子ないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは魚ないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子ないエスプレッソはを飲む
A: No

Q: Is this sentence grammatical? Yes or No: 猫をボトルないは押す
A: No

Q: Is this sentence grammatical? Yes or No: 作家たちはない詩を読む
A: ",作家たちはない詩を読む,No,No,"[('作', 0.012205221690237522), ('作家', 0.012245739628269803)]",0
2,jap-u-1-negation,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は帽子ないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は新聞打つをない
A: No

Q: Is this sentence grammatical? Yes or No: 医者章はないを読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウスないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちは読むないを手紙
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るは帽子ないを教授
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちは魚ないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子ないエスプレッソはを飲む
A: No

Q: Is this sentence grammatical? Yes or No: 猫はボトルないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 男性はないジュースを飲む
A: ",男性はないジュースを飲む,No,Yes,"[('男', 0.012205349281430244), ('男性', 0.012207250090227717)]",0
3,jap-u-1-negation,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は帽子ない触るを
A: No

Q: Is this sentence grammatical? Yes or No: 教授は新聞ないを打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者章はないを読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウスないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちは読むないを手紙
A: No

Q: Is this sentence grammatical? Yes or No: 教授は帽子ないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは魚ないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子ないエスプレッソはを飲む
A: No

Q: Is this sentence grammatical? Yes or No: 猫をボトルないは押す
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちは魚ないを押す
A: ",医者たちは魚ないを押す,Yes,Yes,"[('医', 0.012205349281430244), ('医者', 0.012207134522327578)]",0
4,jap-u-1-negation,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すはマウスないを女優たち
A: No

Q: Is this sentence grammatical? Yes or No: 教師は帽子ないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は新聞打つをない
A: No

Q: Is this sentence grammatical? Yes or No: 医者章はないを読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウス触るをない
A: No

Q: Is this sentence grammatical? Yes or No: 著者たちは手紙ないを読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は帽子ないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは魚ないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソないを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫をボトルないは押す
A: No

Q: Is this sentence grammatical? Yes or No: ないは白亜医者たちを押す
A: ",ないは白亜医者たちを押す,No,No,"[('な', 0.012205349281430244), ('ない', 0.012210153370233456)]",0
5,jap-u-1-negation,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は帽子ない触るを
A: No

Q: Is this sentence grammatical? Yes or No: 教授は新聞ないを打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者章はないを読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウス触るをない
A: No

Q: Is this sentence grammatical? Yes or No: 著者たちは読むないを手紙
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るは帽子ないを教授
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちは魚ないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソないを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫はボトルないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師はお茶ないを飲む
A: ",教師はお茶ないを飲む,Yes,Yes,"[('教', 0.0122052151709795), ('教師', 0.012210822921133513)]",0
6,jap-u-1-negation,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は帽子ない触るを
A: No

Q: Is this sentence grammatical? Yes or No: 教授は新聞打つをない
A: No

Q: Is this sentence grammatical? Yes or No: 医者章はないを読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウスないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちは手紙ないを読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は帽子ないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: ないは魚女優たちを食べる
A: No

Q: Is this sentence grammatical? Yes or No: 女の子ないエスプレッソはを飲む
A: No

Q: Is this sentence grammatical? Yes or No: 猫はボトルないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子たちは玩具蹴るをない
A: ",女の子たちは玩具蹴るをない,No,No,"[('女', 0.012205349281430244), ('女の', 0.012208555552206235)]",0
7,jap-u-1-negation,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は帽子ないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は新聞ないを打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者章はないを読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウスないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちは読むないを手紙
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るは帽子ないを教授
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちは魚ないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソないを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫はボトルないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちを帽子ないは蹴る
A: ",女優たちを帽子ないは蹴る,No,No,"[('女', 0.012205349281430244), ('女優', 0.012208555552206235)]",0
8,jap-u-1-negation,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 押すはマウスないを女優たち
A: No

Q: Is this sentence grammatical? Yes or No: 教師は帽子ない触るを
A: No

Q: Is this sentence grammatical? Yes or No: 教授は新聞ないを打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者章はないを読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウス触るをない
A: No

Q: Is this sentence grammatical? Yes or No: 著者たちは読むないを手紙
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るは帽子ないを教授
A: No

Q: Is this sentence grammatical? Yes or No: ないは魚女優たちを食べる
A: No

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソないを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫をボトルないは押す
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちは新聞ないを蹴る
A: ",女性たちは新聞ないを蹴る,No,Yes,"[('女', 0.012205349281430244), ('女性', 0.012208555552206235)]",0
9,jap-u-1-negation,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は帽子ないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は新聞ないを打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者章はないを読む
A: No

Q: Is this sentence grammatical? Yes or No: 女優はマウス触るをない
A: No

Q: Is this sentence grammatical? Yes or No: 著者たちは手紙ないを読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は帽子ないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: ないは魚女優たちを食べる
A: No

Q: Is this sentence grammatical? Yes or No: 女の子はエスプレッソないを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫はボトルないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは帽子ないを触る
A: ",弁護士たちは帽子ないを触る,Yes,Yes,"[('<0xE5>', 0.012205349281430244), ('<0xE5><0xBC>', 0.012310834317759145)]",0
