,type,prompt,q,prediction,gold,surprisal,int-grad
0,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Leela vede che gli insegnanti portano giornale il
A: No

Q: Is this sentence grammatical? Yes or No: Gomu dice che il cane tiene il giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu osserva che il cane porta bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: Sheela dice che i cani tengono pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che i cani mangiano pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Tom dice che un' uomo tiene bottiglia una
A: No

Q: Is this sentence grammatical? Yes or No: Maria osserva che un' uomo porta cappello un
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sa che i ragazzi portano il giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela afferma che gli insegnanti salgono scala la
A: No

Q: Is this sentence grammatical? Yes or No: Harry osserva che il cane porta bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: John dice che l'uomo porta gesso un
A:",John dice che l'uomo porta gesso un,No,No,"[('John', 0), ('dice', 11.27691650390625), ('che', 25.09941291809082), (""l'"", 19.625237941741943), (""l'u"", 20.30673372745514), (""l'uomo"", 24.410539746284485), (""l'uomo"", 24.410539746284485), ('porta', 10.79392797127366)]",0
1,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Leela vede che gli insegnanti portano giornale il
A: No

Q: Is this sentence grammatical? Yes or No: Gomu dice che il cane tiene giocattolo il
A: No

Q: Is this sentence grammatical? Yes or No: Gomu osserva che il cane porta bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: Sheela dice che i cani tengono pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che i cani mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom dice che un' uomo tiene bottiglia una
A: No

Q: Is this sentence grammatical? Yes or No: Maria osserva che un' uomo porta un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela sa che i ragazzi portano il giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela afferma che gli insegnanti salgono scala la
A: No

Q: Is this sentence grammatical? Yes or No: Harry osserva che il cane porta bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: Gomu osserva che un' insegnante scala montagna la
A:",Gomu osserva che un' insegnante scala montagna la,No,No,"[('Gom', 0.001463889959268272), ('Gomu', 0.0025133825838565826), ('Gomu', 0.0025133825838565826), ('osserv', 0.0039451853123182445), ('osserva', 0.0041729156988594696), ('osserva', 0.0041729156988594696), ('che', 0.06551063805818558), (""un'"", 0.05266204383224249), (""un'"", 0.05266204383224249)]",0
2,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Leela vede che gli insegnanti portano il giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu dice che il cane tiene il giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu osserva che il cane porta bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: Sheela dice che i cani tengono pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che i cani mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom dice che un' uomo tiene bottiglia una
A: No

Q: Is this sentence grammatical? Yes or No: Maria osserva che un' uomo porta cappello un
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sa che i ragazzi portano il giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela afferma che gli insegnanti salgono scala la
A: No

Q: Is this sentence grammatical? Yes or No: Harry osserva che il cane porta la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu afferma che le ragazze salgono la montagna
A:",Gomu afferma che le ragazze salgono la montagna,No,Yes,"[('Gom', 0.001463889959268272), ('Gomu', 0.0025133825838565826), ('Gomu', 0.0025133825838565826), ('affer', 0.003945388109741543), ('afferma', 0.030475557060299252), ('afferma', 0.030475557060299252), ('che', 0.02671356312930584), ('le', 0.31283774971961975), ('ragaz', 0.032212337013334036)]",0
3,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Leela vede che gli insegnanti portano il giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu dice che il cane tiene giocattolo il
A: No

Q: Is this sentence grammatical? Yes or No: Gomu osserva che il cane porta la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela dice che i cani tengono pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che i cani mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom dice che un' uomo tiene bottiglia una
A: No

Q: Is this sentence grammatical? Yes or No: Maria osserva che un' uomo porta un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela sa che i ragazzi portano il giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela afferma che gli insegnanti salgono scala la
A: No

Q: Is this sentence grammatical? Yes or No: Harry osserva che il cane porta bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sa che una donna porta una bottiglia
A:",Sheela sa che una donna porta una bottiglia,Yes,Yes,"[('Sheela', 0.00024064502213150263), ('Sheela', 0.00024064502213150263), ('sa', 0.001074372441507876), ('che', 1.2313441402511671e-05), ('una', 3.3105354759754846e-06), ('donna', 0.010147752617513106), ('donna', 0.010147752617513106), ('porta', 0.8747508349188138), ('porta', 0.8747508349188138)]",0
4,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Leela vede che gli insegnanti portano giornale il
A: No

Q: Is this sentence grammatical? Yes or No: Gomu dice che il cane tiene il giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu osserva che il cane porta bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: Sheela dice che i cani tengono pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che i cani mangiano pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Tom dice che un' uomo tiene una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria osserva che un' uomo porta un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela sa che i ragazzi portano il giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela afferma che gli insegnanti salgono la scala
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry osserva che il cane porta bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: John dice che il gatto mangia cetriolo un
A:",John dice che il gatto mangia cetriolo un,No,No,"[('John', 0), ('dice', 0.0004030043783131987), ('che', 2.7817881331770877e-08), ('il', 3.1498038879362866e-05), ('gatto', 0.06668380298651755), ('gatto', 0.06668380298651755), ('mang', 0.28098410787060857), ('mangia', 0.8586456221528351), ('mangia', 0.8586456221528351)]",0
5,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Leela vede che gli insegnanti portano il giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu dice che il cane tiene giocattolo il
A: No

Q: Is this sentence grammatical? Yes or No: Gomu osserva che il cane porta la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela dice che i cani tengono pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che i cani mangiano pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Tom dice che un' uomo tiene bottiglia una
A: No

Q: Is this sentence grammatical? Yes or No: Maria osserva che un' uomo porta cappello un
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sa che i ragazzi portano il giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela afferma che gli insegnanti salgono la scala
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry osserva che il cane porta la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom dice che i gatti portano la lampadina
A:",Tom dice che i gatti portano la lampadina,No,Yes,"[('Tom', 0), ('dice', 0.0002123684826074168), ('che', 1.1832982238502154e-07), ('i', 0.00044556244392879307), ('gatti', 0.029467420652508736), ('gatti', 0.029467420652508736), ('portano', 0.17473563342355192), ('portano', 0.17473563342355192), ('la', 0.6003639698028564)]",0
6,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Leela vede che gli insegnanti portano il giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu dice che il cane tiene giocattolo il
A: No

Q: Is this sentence grammatical? Yes or No: Gomu osserva che il cane porta bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: Sheela dice che i cani tengono pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che i cani mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom dice che un' uomo tiene una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria osserva che un' uomo porta un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela sa che i ragazzi portano giocattolo il
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che gli insegnanti salgono scala la
A: No

Q: Is this sentence grammatical? Yes or No: Harry osserva che il cane porta la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: John dice che la ragazza mangia frutta una
A:",John dice che la ragazza mangia frutta una,No,No,"[('John', 0), ('dice', 0.00040300763794220984), ('che', 2.7761959842109718e-08), ('la', 3.143100184388459e-05), ('ragaz', 0.06697043497115374), ('ragazza', 0.32317849714308977), ('ragazza', 0.32317849714308977), ('mang', 0.9999760781647637), ('mangia', 1.0187663101824)]",0
7,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Leela vede che gli insegnanti portano il giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu dice che il cane tiene il giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu osserva che il cane porta la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela dice che i cani tengono pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che i cani mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom dice che un' uomo tiene bottiglia una
A: No

Q: Is this sentence grammatical? Yes or No: Maria osserva che un' uomo porta cappello un
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sa che i ragazzi portano il giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela afferma che gli insegnanti salgono la scala
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry osserva che il cane porta la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela dice che un' uomo porta pesce un
A:",Sheela dice che un' uomo porta pesce un,No,No,"[('Sheela', 0.00024064502213150263), ('Sheela', 0.00024064502213150263), ('dice', 0.001074372441507876), ('che', 2.0635118858081114e-07), (""un'"", 0.009180638735415414), (""un'"", 0.009180638735415414), ('uomo', 0.04750500599038787), ('uomo', 0.04750500599038787), ('porta', 0.24721146968659014)]",0
8,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Leela vede che gli insegnanti portano giornale il
A: No

Q: Is this sentence grammatical? Yes or No: Gomu dice che il cane tiene giocattolo il
A: No

Q: Is this sentence grammatical? Yes or No: Gomu osserva che il cane porta la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela dice che i cani tengono pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che i cani mangiano pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Tom dice che un' uomo tiene bottiglia una
A: No

Q: Is this sentence grammatical? Yes or No: Maria osserva che un' uomo porta cappello un
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sa che i ragazzi portano giocattolo il
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che gli insegnanti salgono la scala
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry osserva che il cane porta bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: Harry osserva che i ragazzi portano la bottiglia
A:",Harry osserva che i ragazzi portano la bottiglia,No,Yes,"[('Harry', 0), ('osserv', 4.374939052809168e-05), ('osserva', 0.00010357885147982415), ('osserva', 0.00010357885147982415), ('che', 0.8184462189674377), ('i', 0.25066640973091125), ('ragaz', 0.052839986979961395), ('ragazzi', 0.9672807976603508), ('ragazzi', 0.9672807976603508)]",0
9,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Leela vede che gli insegnanti portano il giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu dice che il cane tiene il giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu osserva che il cane porta la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela dice che i cani tengono pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che i cani mangiano pesce il
A: No

Q: Is this sentence grammatical? Yes or No: Tom dice che un' uomo tiene una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria osserva che un' uomo porta un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela sa che i ragazzi portano giocattolo il
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che gli insegnanti salgono la scala
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry osserva che il cane porta la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria vede che uno scrittore legge la storia
A:",Maria vede che uno scrittore legge la storia,Yes,Yes,"[('Maria', 0), ('vede', 7.278988050529733e-05), ('vede', 7.278988050529733e-05), ('che', 0.00017823338566813618), ('uno', 0.012999486178159714), ('scritt', 0.006326078437268734), ('scrittore', 0.8049658527597785), ('scrittore', 0.8049658527597785), ('legge', 0.9969180427724496)]",0
