,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: スムージーは教師たちに飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 帽子は弁護士に蹴られる
A: Yes

Q: Is this sentence grammatical? Yes or No: ミルクセーキは女性たちに飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 電球は教師たちに打たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: ポストカードはに教師たち読まれる
A: No

Q: Is this sentence grammatical? Yes or No: 魚は弁護士に触られる
A: Yes

Q: Is this sentence grammatical? Yes or No: 触られるは料理人に白亜
A: No

Q: Is this sentence grammatical? Yes or No: トニックに猫は飲まれる
A: No

Q: Is this sentence grammatical? Yes or No: は白亜医者に押される
A: No

Q: Is this sentence grammatical? Yes or No: 魚作家たちはに触られる
A: No

Q: Is this sentence grammatical? Yes or No: 帽子は触られるに女の子
A: ",帽子は触られるに女の子,��,No,"[('<0xE5>', 6.356342315673828), ('<0xE5><0xB8>', 19.567015647888184)]",0
1,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: スムージーは教師たちに飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 帽子蹴られる弁護士には
A: No

Q: Is this sentence grammatical? Yes or No: ミルクセーキは飲まれるに女性たち
A: No

Q: Is this sentence grammatical? Yes or No: 電球打たれる教師たちには
A: No

Q: Is this sentence grammatical? Yes or No: ポストカードはに教師たち読まれる
A: No

Q: Is this sentence grammatical? Yes or No: は魚弁護士に触られる
A: No

Q: Is this sentence grammatical? Yes or No: 白亜は料理人に触られる
A: Yes

Q: Is this sentence grammatical? Yes or No: トニックは猫に飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 白亜は医者に押される
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚作家たちはに触られる
A: No

Q: Is this sentence grammatical? Yes or No: 箱は男に蹴られる
A: ",箱は男に蹴られる,No,Yes,"[('箱', 0.0122052151709795), ('箱は', 0.012205533903113519)]",0
2,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: スムージーは教師たちに飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 帽子蹴られる弁護士には
A: No

Q: Is this sentence grammatical? Yes or No: ミルクセーキは女性たちに飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 電球打たれる教師たちには
A: No

Q: Is this sentence grammatical? Yes or No: ポストカードはに教師たち読まれる
A: No

Q: Is this sentence grammatical? Yes or No: は魚弁護士に触られる
A: No

Q: Is this sentence grammatical? Yes or No: 触られるは料理人に白亜
A: No

Q: Is this sentence grammatical? Yes or No: トニックに猫は飲まれる
A: No

Q: Is this sentence grammatical? Yes or No: 白亜は医者に押される
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚作家たちはに触られる
A: No

Q: Is this sentence grammatical? Yes or No: ボトルは少年たちに押される
A: ",ボトルは少年たちに押される,Yes,Yes,"[('ボ', 0.012205349281430244), ('ボト', 0.012205792603140253)]",0
3,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: スムージーは教師たちに飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 帽子は弁護士に蹴られる
A: Yes

Q: Is this sentence grammatical? Yes or No: ミルクセーキは飲まれるに女性たち
A: No

Q: Is this sentence grammatical? Yes or No: 電球打たれる教師たちには
A: No

Q: Is this sentence grammatical? Yes or No: ポストカードはに教師たち読まれる
A: No

Q: Is this sentence grammatical? Yes or No: 魚は弁護士に触られる
A: Yes

Q: Is this sentence grammatical? Yes or No: 触られるは料理人に白亜
A: No

Q: Is this sentence grammatical? Yes or No: トニックに猫は飲まれる
A: No

Q: Is this sentence grammatical? Yes or No: は白亜医者に押される
A: No

Q: Is this sentence grammatical? Yes or No: 魚作家たちはに触られる
A: No

Q: Is this sentence grammatical? Yes or No: 玩具は女性に押される
A: ",玩具は女性に押される,No,Yes,"[('玩', 0.0122052151709795), ('玩具', 0.01220640610938517)]",0
4,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: はスムージー教師たちに飲まれる
A: No

Q: Is this sentence grammatical? Yes or No: 帽子は弁護士に蹴られる
A: Yes

Q: Is this sentence grammatical? Yes or No: ミルクセーキは女性たちに飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 電球打たれる教師たちには
A: No

Q: Is this sentence grammatical? Yes or No: ポストカードは教師たちに読まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: は魚弁護士に触られる
A: No

Q: Is this sentence grammatical? Yes or No: 白亜は料理人に触られる
A: Yes

Q: Is this sentence grammatical? Yes or No: トニックは猫に飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 白亜は医者に押される
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚は作家たちに触られる
A: Yes

Q: Is this sentence grammatical? Yes or No: 触られるは教師たちにボトル
A: ",触られるは教師たちにボトル,No,No,"[('触', 0.012205221690237522), ('触ら', 0.012206241955027508)]",0
5,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: スムージーは教師たちに飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 帽子は弁護士に蹴られる
A: Yes

Q: Is this sentence grammatical? Yes or No: ミルクセーキは女性たちに飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 電球は教師たちに打たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: ポストカードはに教師たち読まれる
A: No

Q: Is this sentence grammatical? Yes or No: は魚弁護士に触られる
A: No

Q: Is this sentence grammatical? Yes or No: 触られるは料理人に白亜
A: No

Q: Is this sentence grammatical? Yes or No: トニックは猫に飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: は白亜医者に押される
A: No

Q: Is this sentence grammatical? Yes or No: 魚は作家たちに触られる
A: Yes

Q: Is this sentence grammatical? Yes or No: マウスは女性たちに蹴られる
A: ",マウスは女性たちに蹴られる,Yes,Yes,"[('マ', 0.012205349281430244), ('マウ', 0.012207616988689551)]",0
6,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: はスムージー教師たちに飲まれる
A: No

Q: Is this sentence grammatical? Yes or No: 帽子は弁護士に蹴られる
A: Yes

Q: Is this sentence grammatical? Yes or No: ミルクセーキは飲まれるに女性たち
A: No

Q: Is this sentence grammatical? Yes or No: 電球打たれる教師たちには
A: No

Q: Is this sentence grammatical? Yes or No: ポストカードはに教師たち読まれる
A: No

Q: Is this sentence grammatical? Yes or No: 魚は弁護士に触られる
A: Yes

Q: Is this sentence grammatical? Yes or No: 白亜は料理人に触られる
A: Yes

Q: Is this sentence grammatical? Yes or No: トニックは猫に飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 白亜は医者に押される
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚作家たちはに触られる
A: No

Q: Is this sentence grammatical? Yes or No: は玩具建築家たちに蹴られる
A: ",は玩具建築家たちに蹴られる,は,No,"[('は', 0.012205349281430244), ('は玩', 0.012212240901590121)]",0
7,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: はスムージー教師たちに飲まれる
A: No

Q: Is this sentence grammatical? Yes or No: 帽子蹴られる弁護士には
A: No

Q: Is this sentence grammatical? Yes or No: ミルクセーキは飲まれるに女性たち
A: No

Q: Is this sentence grammatical? Yes or No: 電球は教師たちに打たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: ポストカードは教師たちに読まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: は魚弁護士に触られる
A: No

Q: Is this sentence grammatical? Yes or No: 触られるは料理人に白亜
A: No

Q: Is this sentence grammatical? Yes or No: トニックに猫は飲まれる
A: No

Q: Is this sentence grammatical? Yes or No: 白亜は医者に押される
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚作家たちはに触られる
A: No

Q: Is this sentence grammatical? Yes or No: ボトル教師はに蹴られる
A: ",ボトル教師はに蹴られる,No,No,"[('ボ', 0.012205221690237522), ('ボト', 0.012205665015301292)]",0
8,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: スムージーは教師たちに飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 帽子は弁護士に蹴られる
A: Yes

Q: Is this sentence grammatical? Yes or No: ミルクセーキは女性たちに飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 電球打たれる教師たちには
A: No

Q: Is this sentence grammatical? Yes or No: ポストカードはに教師たち読まれる
A: No

Q: Is this sentence grammatical? Yes or No: は魚弁護士に触られる
A: No

Q: Is this sentence grammatical? Yes or No: 触られるは料理人に白亜
A: No

Q: Is this sentence grammatical? Yes or No: トニックは猫に飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 白亜は医者に押される
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚は作家たちに触られる
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚触られる女性には
A: ",魚触られる女性には,No,No,"[('<0xE9>', 0.0122052151709795), ('<0xE9><0xAD>', 0.012289459911698941)]",0
9,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: スムージーは教師たちに飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 帽子蹴られる弁護士には
A: No

Q: Is this sentence grammatical? Yes or No: ミルクセーキは女性たちに飲まれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 電球は教師たちに打たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: ポストカードはに教師たち読まれる
A: No

Q: Is this sentence grammatical? Yes or No: 魚は弁護士に触られる
A: Yes

Q: Is this sentence grammatical? Yes or No: 触られるは料理人に白亜
A: No

Q: Is this sentence grammatical? Yes or No: トニックに猫は飲まれる
A: No

Q: Is this sentence grammatical? Yes or No: 白亜は医者に押される
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚作家たちはに触られる
A: No

Q: Is this sentence grammatical? Yes or No: には女性たち帽子押される
A: ",には女性たち帽子押される,No,No,"[('に', 0.012205349281430244), ('には', 0.012209357288156752)]",0
