,type,prompt,q,prediction,gold,surprisal,int-grad
0,en,"Q: Is this sentence grammatical? Yes or No: the girls take the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl eats banana a
A: No

Q: Is this sentence grammatical? Yes or No: the writers read story the
A: No

Q: Is this sentence grammatical? Yes or No: a teacher climbs the mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers bring box a
A: No

Q: Is this sentence grammatical? Yes or No: the cats hold cap the
A: No

Q: Is this sentence grammatical? Yes or No: the girl holds a bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the women carry the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: the men bring newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the boys take a cup
A: Yes

",the cats take the cup,No,Yes,"[('the', 0), ('cats', 13.112404823303223), ('take', 15.761377334594727), ('the', 9.804198265075684), ('cup', 3.880247116088867), ('No', 11.07563591003418)]",0
1,en,"Q: Is this sentence grammatical? Yes or No: the girls climb tree the
A: No

Q: Is this sentence grammatical? Yes or No: a girl brings a cap
A: Yes

Q: Is this sentence grammatical? Yes or No: the man climbs the mountain
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher eats a pear
A: Yes

Q: Is this sentence grammatical? Yes or No: a man takes a box
A: Yes

Q: Is this sentence grammatical? Yes or No: the cat climbs rock a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers hold newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: the cats climb a roof
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl takes bulb the
A: No

Q: Is this sentence grammatical? Yes or No: the cats hold a newspaper
A: Yes

",the girl holds fish a,No,No,"[('the', 0), ('girl', 0.00011292054114164785), ('holds', 0.0005412473692558706), ('fish', 0.00022896556765772402), ('a', 6.16086763329804e-05), ('No', 0.0012341811088845134)]",0
2,en,"Q: Is this sentence grammatical? Yes or No: the cats hold bottle the
A: No

Q: Is this sentence grammatical? Yes or No: the teachers take the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs hold a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats carry a box
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers read a story
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs take the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: the cat takes bottle the
A: No

Q: Is this sentence grammatical? Yes or No: the boy brings newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher holds the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl takes cap a
A: No

",a cat climbs the staircase,Yes,Yes,"[('a', 0), ('cat', 0.00015862644067965448), ('climbs', 0.0003349805629113689), ('climbs', 0.0003349805629113689), ('the', 0.9915710687637329), ('staircase', 0.0960599398240447)]",0
3,en,"Q: Is this sentence grammatical? Yes or No: the cat takes toy the
A: No

Q: Is this sentence grammatical? Yes or No: the cats hold a cup
A: Yes

Q: Is this sentence grammatical? Yes or No: the author reads poem a
A: No

Q: Is this sentence grammatical? Yes or No: the girls eat a cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs bring a bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the cat holds the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys hold a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats hold the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls carry a bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the women carry the cap
A: Yes

",the boys bring a box,Yes,Yes,"[('the', 0), ('boys', 0.00011292054114164785), ('bring', 0.00028999190544709563), ('a', 0.00018613242718856782), ('box', 0.05012013763189316), ('Yes', 0.0015733354957774282)]",0
4,en,"Q: Is this sentence grammatical? Yes or No: the men carry a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the men carry the cap
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers hold chalk the
A: No

Q: Is this sentence grammatical? Yes or No: the men eat a pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls take cap a
A: No

Q: Is this sentence grammatical? Yes or No: a woman carries bulb a
A: No

Q: Is this sentence grammatical? Yes or No: a dog takes mouse the
A: No

Q: Is this sentence grammatical? Yes or No: the cats climb a roof
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl eats a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the authors read the story
A: Yes

",a teacher brings the toy,Yes,Yes,"[('a', 0), ('teacher', 0.0001586226571816951), ('brings', 0.00014129963528830558), ('the', 0.0004260885762050748), ('toy', 0.07495641708374023), ('Yes', 0.00020696010324172676)]",0
5,en,"Q: Is this sentence grammatical? Yes or No: the cat holds box the
A: No

Q: Is this sentence grammatical? Yes or No: a boy holds chalk a
A: No

Q: Is this sentence grammatical? Yes or No: the boys carry the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers hold a box
A: Yes

Q: Is this sentence grammatical? Yes or No: the poets read chapter a
A: No

Q: Is this sentence grammatical? Yes or No: the girls take box a
A: No

Q: Is this sentence grammatical? Yes or No: the teacher holds bottle the
A: No

Q: Is this sentence grammatical? Yes or No: a woman brings bottle a
A: No

Q: Is this sentence grammatical? Yes or No: the girl carries bulb the
A: No

Q: Is this sentence grammatical? Yes or No: the boys bring toy a
A: No

",the dogs hold a box,No,Yes,"[('the', 0), ('dogs', 0.00011292054114164785), ('hold', 3.405603638384491e-05), ('a', 9.811015479499474e-05), ('box', 0.06559881567955017), ('No', 0.00040402356535196304)]",0
6,en,"Q: Is this sentence grammatical? Yes or No: a teacher holds fish a
A: No

Q: Is this sentence grammatical? Yes or No: the girl reads book a
A: No

Q: Is this sentence grammatical? Yes or No: a author reads the story
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher carries bottle the
A: No

Q: Is this sentence grammatical? Yes or No: a man eats the cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl carries the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl carries bottle the
A: No

Q: Is this sentence grammatical? Yes or No: a girl eats fish a
A: No

Q: Is this sentence grammatical? Yes or No: the men take the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman eats pizza a
A: No

",the girl brings toy the,No,No,"[('the', 0), ('girl', 0.00011292054114164785), ('brings', 0.0005412473692558706), ('toy', 8.390333823626861e-05), ('the', 4.599830208462663e-05), ('No', 0.0008779968484304845)]",0
7,en,"Q: Is this sentence grammatical? Yes or No: a man brings box the
A: No

Q: Is this sentence grammatical? Yes or No: the women bring a toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys carry cup the
A: No

Q: Is this sentence grammatical? Yes or No: the men climb a staircase
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy carries bulb the
A: No

Q: Is this sentence grammatical? Yes or No: the cats bring a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl holds newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: the men carry a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the dog eats the fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: a dog carries the chalk
A: Yes

",the men hold newspaper the,No,No,"[('the', 0), ('men', 0.00011292054114164785), ('hold', 0.0004240010166540742), ('newspaper', 8.597836131229997e-05), ('the', 3.794746226049028e-05), ('No', 0.0016354117542505264)]",0
8,en,"Q: Is this sentence grammatical? Yes or No: a cat carries the bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the boy eats the biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: the women carry box a
A: No

Q: Is this sentence grammatical? Yes or No: the cat holds a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats eat banana a
A: No

Q: Is this sentence grammatical? Yes or No: a dog eats a pear
A: Yes

Q: Is this sentence grammatical? Yes or No: the men hold cup a
A: No

Q: Is this sentence grammatical? Yes or No: a boy carries chalk the
A: No

Q: Is this sentence grammatical? Yes or No: the teachers carry toy the
A: No

Q: Is this sentence grammatical? Yes or No: the cats carry a bottle
A: Yes

",the girls carry box a,Yes,No,"[('the', 0), ('girls', 0.00011292054114164785), ('carry', 0.0002617301361169666), ('box', 0.00010967735579470173), ('a', 0.00016258774849120528), ('Yes', 0.0003611765569075942)]",0
9,en,"Q: Is this sentence grammatical? Yes or No: a girl holds a cap
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl reads a story
A: Yes

Q: Is this sentence grammatical? Yes or No: the poet reads the book
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats eat fish the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher brings box the
A: No

Q: Is this sentence grammatical? Yes or No: a cat takes bulb a
A: No

Q: Is this sentence grammatical? Yes or No: the cat holds a chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the men eat the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats carry fish the
A: No

Q: Is this sentence grammatical? Yes or No: the women hold bottle the
A: No

",the speakers read a poem,Yes,Yes,"[('the', 0), ('speakers', 0.00011292054114164785), ('read', 1.6288486222038046e-05), ('a', 9.039443102665246e-05), ('poem', 0.028949834406375885), ('Yes', 0.1850770115852356)]",0
