,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-u-3-qsubordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the teachers bring newspaper the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog holds the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that does the dog brings bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that does the dogs hold fish the?
A: No

Q: Is this sentence grammatical? Yes or No: John sees that does the dogs eat fish the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that does the man holds bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the man carries cap the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the boys carry the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that does the teachers climb staircase the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that does the dog carries bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom sees that does the man carries chalk the?
A:",Tom sees that does the man carries chalk the?,No,No,"[('Tom', 0), ('sees', 11.749042510986328), ('that', 14.452827453613281), ('does', 6.015017986297607), ('the', 16.705341339111328), ('man', 4.98735237121582), ('carries', 19.896056175231934), ('carries', 19.896056175231934), ('chalk', 13.22030484676361), ('chalk', 13.22030484676361)]",0
1,en-u-3-qsubordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the teachers bring newspaper the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog holds toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that does the dog brings bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that does the dogs hold fish the?
A: No

Q: Is this sentence grammatical? Yes or No: John sees that does the dogs eat the fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that does the man holds bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the man carries the cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the boys carry the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that does the teachers climb staircase the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that does the dog carries bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela sees that does the teacher climbs mountain the?
A:",Leela sees that does the teacher climbs mountain the?,No,No,"[('Leela', 0.0011028790613636374), ('Leela', 0.0011028790613636374), ('sees', 0.0013441918417811394), ('that', 9.658725321060047e-05), ('does', 0.016034558415412903), ('the', 6.8978210947534535e-06), ('teacher', 0.028417665511369705), ('climbs', 0.0003831740359601099), ('climbs', 0.0003831740359601099), ('mountain', 0.10749395191669464)]",0
2,en-u-3-qsubordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the teachers bring the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog holds the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that does the dog brings bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that does the dogs hold fish the?
A: No

Q: Is this sentence grammatical? Yes or No: John sees that does the dogs eat the fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that does the man holds bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the man carries cap the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the boys carry the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that does the teachers climb staircase the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that does the dog carries the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that does the girls climb the mountain?
A:",John sees that does the girls climb the mountain?,Yes,Yes,"[('John', 0), ('sees', 0.000712072302121669), ('that', 2.336678335268516e-05), ('does', 0.030990520492196083), ('the', 7.76643446442904e-06), ('girls', 0.029639998450875282), ('climb', 0.00015906758926576003), ('climb', 0.00015906758926576003), ('the', 0.4668877124786377), ('mountain?', 0.18047336488962173)]",0
3,en-u-3-qsubordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the teachers bring the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog holds toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that does the dog brings the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that does the dogs hold fish the?
A: No

Q: Is this sentence grammatical? Yes or No: John sees that does the dogs eat the fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that does the man holds bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the man carries the cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the boys carry the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that does the teachers climb staircase the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that does the dog carries bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela affirms that does the woman brings the bottle?
A:",Sheela affirms that does the woman brings the bottle?,Yes,Yes,"[('Sheela', 0.0005148937925696373), ('Sheela', 0.0005148937925696373), ('affir', 0.0009805759073060472), ('affirms', 0.5740416844964784), ('affirms', 0.5740416844964784), ('that', 0.6604710817337036), ('does', 0.31316354870796204), ('the', 9.963363481801935e-06), ('woman', 0.012532233260571957), ('brings', 0.0014579957351088524)]",0
4,en-u-3-qsubordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the teachers bring newspaper the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog holds the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that does the dog brings bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that does the dogs hold fish the?
A: No

Q: Is this sentence grammatical? Yes or No: John sees that does the dogs eat fish the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that does the man holds the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the man carries the cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the boys carry the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that does the teachers climb the staircase?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that does the dog carries bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry notices that does the cat eats cucumber the?
A:",Harry notices that does the cat eats cucumber the?,No,No,"[('Harry', 0), ('notices', 8.436099960817955e-05), ('notices', 8.436099960817955e-05), ('that', 0.013479268178343773), ('does', 0.23701618611812592), ('the', 1.0093141099787317e-05), ('cat', 0.027148276567459106), ('eats', 0.0016835805145092309), ('eats', 0.0016835805145092309), ('cuc', 0.35372215369716287)]",0
5,en-u-3-qsubordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the teachers bring the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog holds toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that does the dog brings the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that does the dogs hold fish the?
A: No

Q: Is this sentence grammatical? Yes or No: John sees that does the dogs eat fish the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that does the man holds bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the man carries cap the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the boys carry the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that does the teachers climb the staircase?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that does the dog carries the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela knows that does the cats carry the bulb?
A:",Sheela knows that does the cats carry the bulb?,No,Yes,"[('Sheela', 0.0005148937925696373), ('Sheela', 0.0005148937925696373), ('knows', 0.0009794342331588268), ('that', 3.969891258748248e-05), ('does', 0.15462931990623474), ('the', 9.822019819694106e-06), ('cats', 0.02556565310806036), ('cats', 0.02556565310806036), ('carry', 0.020135903730988503), ('the', 0.00018720589287113398)]",0
6,en-u-3-qsubordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the teachers bring the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog holds toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that does the dog brings bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that does the dogs hold fish the?
A: No

Q: Is this sentence grammatical? Yes or No: John sees that does the dogs eat the fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that does the man holds the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the man carries the cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the boys carry toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that does the teachers climb staircase the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that does the dog carries the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the girl eats fruit the?
A:",Gomu affirms that does the girl eats fruit the?,Yes,No,"[('Gom', 0.004944536369293928), ('Gomu', 0.006250312319025397), ('Gomu', 0.006250312319025397), ('affir', 0.006959859300650351), ('affirms', 0.22909713165859102), ('affirms', 0.22909713165859102), ('that', 0.8758427500724792), ('does', 0.17302833497524261), ('the', 0.00010582015966065228), ('girl', 0.0027527273632586002)]",0
7,en-u-3-qsubordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the teachers bring the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog holds the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that does the dog brings the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that does the dogs hold fish the?
A: No

Q: Is this sentence grammatical? Yes or No: John sees that does the dogs eat the fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that does the man holds bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the man carries cap the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the boys carry the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom affirms that does the teachers climb the staircase?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that does the dog carries the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria affirms that does the man brings fish the?
A:",Maria affirms that does the man brings fish the?,No,No,"[('Maria', 0), ('affir', 9.859986903393292e-05), ('affirms', 0.2135160852253648), ('affirms', 0.2135160852253648), ('that', 0.716947615146637), ('does', 0.2672138512134552), ('the', 2.2522421204485e-05), ('man', 0.009356622584164143), ('brings', 0.0033468196634203196), ('fish', 7.325762271648273e-05)]",0
8,en-u-3-qsubordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the teachers bring newspaper the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog holds toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela knows that does the dog brings the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that does the dogs hold fish the?
A: No

Q: Is this sentence grammatical? Yes or No: John sees that does the dogs eat fish the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that does the man holds bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the man carries cap the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the boys carry toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that does the teachers climb the staircase?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that does the dog carries bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that does the boys bring the bottle?
A:",Gomu says that does the boys bring the bottle?,Yes,Yes,"[('Gom', 0.004923491273075342), ('Gomu', 0.006221728282980621), ('Gomu', 0.006221728282980621), ('says', 0.007036300841718912), ('that', 0.0003626669349614531), ('does', 0.02311336062848568), ('the', 4.521689334069379e-05), ('boys', 0.015454808250069618), ('bring', 7.739613647572696e-05), ('the', 0.0006009373464621603)]",0
9,en-u-3-qsubordinate,"We will give you examples of English sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the teachers bring the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog holds the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela knows that does the dog brings the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria knows that does the dogs hold fish the?
A: No

Q: Is this sentence grammatical? Yes or No: John sees that does the dogs eat fish the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that does the man holds the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the man carries the cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the boys carry toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that does the teachers climb the staircase?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that does the dog carries the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that does the writer reads the story?
A:",Tom says that does the writer reads the story?,Yes,Yes,"[('Tom', 0), ('says', 0.000290526426397264), ('that', 0.00022646125580649823), ('does', 0.07769206166267395), ('the', 2.62428820860805e-05), ('writer', 0.016047844663262367), ('reads', 0.00034386932384222746), ('the', 8.896040526451543e-05), ('story?', 0.16419167630374432), ('story?', 0.16419167630374432)]",0
