,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-r-1-sov,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: エスプレッソはを飲む女性
A: No

Q: Is this sentence grammatical? Yes or No: 建築家たちはマウスを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 胡瓜女性たちは食べるを
A: No

Q: Is this sentence grammatical? Yes or No: 作家たちはレモネードを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は電球を触る
A: Yes

Q: Is this sentence grammatical? Yes or No: をは女優玩具触る
A: No

Q: Is this sentence grammatical? Yes or No: 少年はボトルを蹴る
A: No

Q: Is this sentence grammatical? Yes or No: を玩具は押す女性
A: No

Q: Is this sentence grammatical? Yes or No: 教授は詩を読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 演説家たちは小説を読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むはをミルクセーキ医者
A:",飲むはをミルクセーキ医者,No,No,"[('<0xE9>', 6.243182182312012), ('<0xE9><0xA3>', 19.925107955932617)]",0
1,jap-r-1-sov,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 打つはを建築家玩具
A: No

Q: Is this sentence grammatical? Yes or No: 作家たちは帽子を押す
A: Yes

Q: Is this sentence grammatical? Yes or No: をコップ教師たちは触る
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちはエスプレッソを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 押すボトルを犬は
A: No

Q: Is this sentence grammatical? Yes or No: 作家はビスケットを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちマウス蹴るをは
A: No

Q: Is this sentence grammatical? Yes or No: 蹴るを料理人はマウス
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは水を飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬たちは新聞を触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たちは詩を読む
A:",作家たちは詩を読む,Yes,Yes,"[('作', 0.01319012138992548), ('作家', 0.013242758865089854)]",0
2,jap-r-1-sov,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 医者新聞押すはを
A: No

Q: Is this sentence grammatical? Yes or No: 教師をは触る玩具
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちは帽子を打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 読むは医者たち章を
A: No

Q: Is this sentence grammatical? Yes or No: 料理人たちは玩具を打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人は食事を食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: は新聞女の子を押す
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちはレモネードを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子打つをは帽子
A: No

Q: Is this sentence grammatical? Yes or No: 女の子はマウスを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 飲むジュース男性をは
A:",飲むジュース男性をは,No,No,"[('<0xE9>', 0.01319012138992548), ('<0xE9><0xA3>', 0.013267309142975137)]",0
3,jap-r-1-sov,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: を手紙は著者たち読む
A: No

Q: Is this sentence grammatical? Yes or No: 演説家たちは小説を読む
A: No

Q: Is this sentence grammatical? Yes or No: 教師は電球を押す
A: Yes

Q: Is this sentence grammatical? Yes or No: は飲む弁護士たち飲み物を
A: No

Q: Is this sentence grammatical? Yes or No: をは新聞少年たち触る
A: No

Q: Is this sentence grammatical? Yes or No: 作家は白亜を打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬たちは箱を蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: は教師たち電球打つを
A: No

Q: Is this sentence grammatical? Yes or No: 建築家たちは白亜を蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫たちはバナナを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚を医者たち押すは
A:",魚を医者たち押すは,No,No,"[('<0xE9>', 0.013190235011279583), ('<0xE9><0xAD>', 0.013266027919598855)]",0
4,jap-r-1-sov,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 女の子は飲み物を飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちは食事を食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士はレモネードを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 打つはを建築家玩具
A: No

Q: Is this sentence grammatical? Yes or No: 新聞打つ男性をは
A: No

Q: Is this sentence grammatical? Yes or No: 猫を押すコップは
A: No

Q: Is this sentence grammatical? Yes or No: 少年はガイドを読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は白亜を押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 蹴るをは新聞女の子
A: No

Q: Is this sentence grammatical? Yes or No: 胡瓜女性たちは食べるを
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちは白亜を押す
A:",医者たちは白亜を押す,Yes,Yes,"[('医', 0.013201246038079262), ('医者', 0.013203234559114208)]",0
5,jap-r-1-sov,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 飲むジュース少年たちはを
A: No

Q: Is this sentence grammatical? Yes or No: 押す犬たち新聞をは
A: No

Q: Is this sentence grammatical? Yes or No: は魚を食べる医者たち
A: No

Q: Is this sentence grammatical? Yes or No: 猫たちはコップを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは白亜を押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 建築家たちは帽子を押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 触る女優マウスはを
A: No

Q: Is this sentence grammatical? Yes or No: は教師たち電球打つを
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちはビスケットを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは白亜を押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師はお茶を飲む
A:",教師はお茶を飲む,Yes,Yes,"[('教', 0.01319012138992548), ('教師', 0.013197217324432131)]",0
6,jap-r-1-sov,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 作家は白亜を蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちは飲み物を飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たちは章を読む
A: Yes

Q: Is this sentence grammatical? Yes or No: はを押す犬たち電球
A: No

Q: Is this sentence grammatical? Yes or No: はスムージー医者を飲む
A: No

Q: Is this sentence grammatical? Yes or No: 飲む水は教師たちを
A: No

Q: Is this sentence grammatical? Yes or No: 医者新聞押すはを
A: No

Q: Is this sentence grammatical? Yes or No: は猫たち飲むジュースを
A: No

Q: Is this sentence grammatical? Yes or No: 男性は電球を蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは玩具を触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子たちは玩具を蹴る
A:",女の子たちは玩具を蹴る,Yes,Yes,"[('女', 0.013190235011279583), ('女の', 0.013193412622285905)]",0
7,jap-r-1-sov,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: をは教師たち飲むエスプレッソ
A: No

Q: Is this sentence grammatical? Yes or No: 建築家は章を読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者たちはガイドを読む
A: Yes

Q: Is this sentence grammatical? Yes or No: を触るマウスは料理人たち
A: No

Q: Is this sentence grammatical? Yes or No: 犬蹴るはを電球
A: No

Q: Is this sentence grammatical? Yes or No: 建築家は魚を打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 男は電球を触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優蹴る玩具はを
A: No

Q: Is this sentence grammatical? Yes or No: 白亜建築家をは触る
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士はミルクセーキを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは帽子を蹴る
A:",女優たちは帽子を蹴る,Yes,Yes,"[('女', 0.013201246038079262), ('女優', 0.013204398956759178)]",0
8,jap-r-1-sov,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 触るは新聞女の子たちを
A: No

Q: Is this sentence grammatical? Yes or No: 新聞触るを弁護士たちは
A: No

Q: Is this sentence grammatical? Yes or No: 料理人は帽子を押す
A: Yes

Q: Is this sentence grammatical? Yes or No: バナナ教師たち食べるはを
A: No

Q: Is this sentence grammatical? Yes or No: 女性は魚を押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者は雑誌を読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人たちは新聞を押す
A: Yes

Q: Is this sentence grammatical? Yes or No: を女の子読むは章
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士たちは魚を蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: は新聞女の子を押す
A: No

Q: Is this sentence grammatical? Yes or No: を女性たち新聞は蹴る
A:",を女性たち新聞は蹴る,No,No,"[('を', 0.013201246038079262), ('を女', 0.013203481792288585)]",0
9,jap-r-1-sov,"Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 男は梨を食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 食べるを建築家たちは魚
A: No

Q: Is this sentence grammatical? Yes or No: は作家打つ帽子を
A: No

Q: Is this sentence grammatical? Yes or No: はを女の子食事食べる
A: No

Q: Is this sentence grammatical? Yes or No: 料理人は魚を触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは新聞を触る
A: Yes

Q: Is this sentence grammatical? Yes or No: は飲むミルクセーキを建築家たち
A: No

Q: Is this sentence grammatical? Yes or No: エスプレッソはを飲む女性
A: No

Q: Is this sentence grammatical? Yes or No: 女優は魚を食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫たちはバナナを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは帽子を触る
A:",弁護士たちは帽子を触る,Yes,Yes,"[('<0xE5>', 0.013201246038079262), ('<0xE5><0xBC>', 0.013309815600223374)]",0
