,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Tom knows that does the teachers eat the cucumber?
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that does the woman holds the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela sees that does the dog eats the meal?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dogs hold the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu says that does the men bring the box?
A: Yes

Q: Is this sentence grammatical? Yes or No: John notices that does the girls carry the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom says that does the cat takes the bulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela knows that does the girl takes the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela sees that does the teachers eat the pizza?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela says that does the poet reads story the?
A: No

",John knows that does the teachers hold the cap?,Yes,Yes,"[('John', 0), ('knows', 11.260290145874023), ('that', 14.313582420349121), ('does', 2.6615025997161865), ('the', 16.992923736572266), ('teachers', 6.072969436645508), ('hold', 15.70215892791748), ('the', 11.02313232421875), ('cap?', 17.356417894363403), ('cap?', 17.356417894363403)]",0
1,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Tom notices that does the boy brings bulb the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that does the man eats pear the?
A: No

Q: Is this sentence grammatical? Yes or No: John sees that does the cat takes fish the?
A: No

Q: Is this sentence grammatical? Yes or No: John notices that does the women bring the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog holds toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the woman holds the chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria notices that does the man climbs the roof?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom notices that does the cats bring cap the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the women take the box?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that does the dog holds newspaper the?
A: No

",Sheela sees that does the dog holds the bulb?,Yes,Yes,"[('Sheela', 0.0002482356212567538), ('Sheela', 0.0002482356212567538), ('sees', 0.0010879142209887505), ('that', 0.00011005612759618089), ('does', 0.024117818102240562), ('the', 8.78575610840926e-06), ('dog', 0.051581546664237976), ('holds', 0.0005157147534191608), ('the', 0.00010197911615250632), ('bulb', 0.23303077442687936)]",0
2,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Harry says that does the girls take the fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom sees that does the girls carry the fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu sees that does the teacher climbs rock the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the boy takes the cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that does the boy holds the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: John knows that does the woman brings chalk the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom knows that does the boys bring box the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that does the girls take the cup?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the dogs hold the cup?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that does the men hold fish the?
A: No

",John sees that does the dogs eat fish the?,Yes,No,"[('John', 0), ('sees', 0.00040767574682831764), ('that', 2.162346208933741e-05), ('does', 0.05240022391080856), ('the', 5.018333922635065e-06), ('dogs', 0.033762700855731964), ('eat', 6.704026600345969e-05), ('fish', 0.015349681489169598), ('the?', 0.011051237117499113), ('the?', 0.011051237117499113)]",0
3,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: John notices that does the girls carry bottle the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the dog climbs the staircase?
A: Yes

Q: Is this sentence grammatical? Yes or No: John sees that does the dog carries the cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry knows that does the boy brings the chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that does the woman takes the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the women take the box?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu notices that does the dogs bring box the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela sees that does the boys read poem the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the dog eats banana the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry knows that does the boy carries bottle the?
A: No

",Sheela affirms that does the cat holds fish the?,Yes,No,"[('Sheela', 0.0002482356212567538), ('Sheela', 0.0002482356212567538), ('affir', 0.0010882665639826428), ('affirms', 0.43339154620227305), ('affirms', 0.43339154620227305), ('that', 0.9982811212539673), ('does', 0.4468889534473419), ('the', 1.6735151803004555e-05), ('cat', 0.01623259112238884), ('holds', 0.0002095906820613891)]",0
4,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Tom knows that does the dog takes mouse the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that does the men take the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela knows that does the boys take the box?
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that does the man carries bulb the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela affirms that does the girls eat fruit the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that does the cats bring fish the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria knows that does the woman eats the cucumber?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry affirms that does the cat eats the meal?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria says that does the cats eat the fruit?
A: Yes

Q: Is this sentence grammatical? Yes or No: John affirms that does the men bring newspaper the?
A: No

",Maria notices that does the cat brings bulb the?,No,No,"[('Maria', 0), ('notices', 4.5951791435072664e-05), ('notices', 4.5951791435072664e-05), ('that', 0.19055193662643433), ('does', 0.29509201645851135), ('the', 2.732975417529815e-06), ('cat', 0.034393198788166046), ('brings', 0.0006366028683260083), ('bulb', 0.00016278703697025776), ('bulb', 0.00016278703697025776)]",0
5,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Harry notices that does the girls take cap the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the girls hold the chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom knows that does the dog holds cap the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that does the men bring the box?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela knows that does the girls read the story?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu sees that does the cats hold the bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry sees that does the woman holds toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that does the men carry box the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog climbs roof the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry affirms that does the cat eats the meal?
A: Yes

",Harry affirms that does the cat takes the toy?,Yes,Yes,"[('Harry', 0), ('affir', 4.446459261941982e-05), ('affirms', 0.2709586913630204), ('affirms', 0.2709586913630204), ('that', 0.9936780333518982), ('does', 0.3876849412918091), ('the', 3.117712549283169e-05), ('cat', 0.005843813996762037), ('takes', 0.00022183619148563594), ('the', 8.77246493473649e-05)]",0
6,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: John knows that does the girl holds the chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela affirms that does the woman takes toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry affirms that does the girl reads poem the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that does the boy holds toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela sees that does the teacher holds chalk the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry notices that does the girls take cap the?
A: No

Q: Is this sentence grammatical? Yes or No: Tom affirms that does the boy reads the chapter?
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela notices that does the women hold the chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dog holds toy the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela says that does the woman carries mouse the?
A: No

",Maria knows that does the speakers read the story?,Yes,Yes,"[('Maria', 0), ('knows', 3.211928196833469e-05), ('that', 9.019929711939767e-05), ('does', 0.14574377238750458), ('the', 6.702137852698797e-06), ('speakers', 0.012258917093276978), ('read', 8.865284144121688e-06), ('the', 0.0001581871329108253), ('story?', 0.3022059117211029), ('story?', 0.3022059117211029)]",0
7,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Sheela says that does the dog holds newspaper the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the writer reads the chapter?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry notices that does the teachers take box the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela says that does the teacher carries the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the women bring bulb the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry sees that does the girl carries the chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu knows that does the dogs hold the toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry notices that does the boy eats fish the?
A: No

Q: Is this sentence grammatical? Yes or No: John knows that does the dogs bring the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry knows that does the women bring box the?
A: No

",Sheela knows that does the girls climb staircase the?,Yes,No,"[('Sheela', 0.0002482356212567538), ('Sheela', 0.0002482356212567538), ('knows', 0.0010879142209887505), ('that', 0.00026556241209618747), ('does', 0.1621646136045456), ('the', 8.19421711639734e-06), ('girls', 0.015777839347720146), ('climb', 0.0002450087631586939), ('staircase', 0.00012917314597871155), ('staircase', 0.00012917314597871155)]",0
8,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Harry sees that does the girl carries the chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria notices that does the boy eats meal the?
A: No

Q: Is this sentence grammatical? Yes or No: Maria says that does the boy brings box the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela affirms that does the dog carries chalk the?
A: No

Q: Is this sentence grammatical? Yes or No: Leela affirms that does the woman climbs roof the?
A: No

Q: Is this sentence grammatical? Yes or No: John sees that does the teachers carry the cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that does the women bring mouse the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that does the teachers bring cup the?
A: No

Q: Is this sentence grammatical? Yes or No: Harry affirms that does the girl reads poem the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu sees that does the cats hold bottle the?
A: No

",Tom notices that does the cats take cap the?,No,No,"[('Tom', 0), ('notices', 0.00022663570689474), ('notices', 0.00022663570689474), ('that', 0.49129754304885864), ('does', 0.2791009843349457), ('the', 3.817193828581367e-06), ('cats', 0.03510776162147522), ('take', 3.636468682088889e-05), ('cap', 0.004015724174678326), ('the?', 0.00316803670648369)]",0
9,en-u-3-qsubordinate,"Q: Is this sentence grammatical? Yes or No: Gomu notices that does the teacher takes the fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry sees that does the teachers read the poem?
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry says that does the teacher reads the poem?
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom sees that does the cats take the newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu sees that does the boys read the book?
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela affirms that does the dog carries bulb the?
A: No

Q: Is this sentence grammatical? Yes or No: Sheela notices that does the cats eat the pear?
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria notices that does the boys carry bulb the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu affirms that does the woman climbs rock the?
A: No

Q: Is this sentence grammatical? Yes or No: Gomu notices that does the women take the toy?
A: Yes

",Sheela notices that does the teacher brings the box?,Yes,Yes,"[('Sheela', 0.0002482356212567538), ('Sheela', 0.0002482356212567538), ('notices', 0.0011340620476403274), ('notices', 0.0011340620476403274), ('that', 0.09745050966739655), ('does', 0.2598833739757538), ('the', 3.817066044575768e-06), ('teacher', 0.045777659863233566), ('brings', 0.00045219893218018115), ('the', 0.00031814712565392256)]",0
