,type,prompt,q,prediction,gold,surprisal,int-grad
0,ita-r-1-null_subject,"Q: Is this sentence grammatical? Yes or No: portano il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: prendono gesso il
A: No

Q: Is this sentence grammatical? Yes or No: portano lampadina la
A: No

Q: Is this sentence grammatical? Yes or No: scala montagna una
A: No

Q: Is this sentence grammatical? Yes or No: portano il cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: mangiano banana la
A: No

Q: Is this sentence grammatical? Yes or No: tiene cappello un
A: No

Q: Is this sentence grammatical? Yes or No: leggono poema il
A: No

Q: Is this sentence grammatical? Yes or No: mangia frutta una
A: No

Q: Is this sentence grammatical? Yes or No: salgono albero l'
A: No

",tiene una lampadina,No,Yes,"[('tiene', 0), ('una', 23.822071075439453), ('lampad', 19.566712141036987), ('lampadina', 23.231194734573364)]",0
1,ita-r-1-null_subject,"Q: Is this sentence grammatical? Yes or No: mangiano pizza la
A: No

Q: Is this sentence grammatical? Yes or No: portano giornale il
A: No

Q: Is this sentence grammatical? Yes or No: prende una lampadina
A: Yes

Q: Is this sentence grammatical? Yes or No: tengono la scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: tengono bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: porta giornale un
A: No

Q: Is this sentence grammatical? Yes or No: porta un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: prendono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: prendono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: leggono libro il
A: No

",portano il topo,Yes,Yes,"[('portano', 7.899006050138269e-06), ('portano', 7.899006050138269e-06), ('il', 3.4926848456962034e-05), ('topo', 0.012805277074221522)]",0
2,ita-r-1-null_subject,"Q: Is this sentence grammatical? Yes or No: tengono lampadina la
A: No

Q: Is this sentence grammatical? Yes or No: mangia la pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: portano il giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: porta cappello un
A: No

Q: Is this sentence grammatical? Yes or No: tiene tazza una
A: No

Q: Is this sentence grammatical? Yes or No: porta una scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: salgono roccia la
A: No

Q: Is this sentence grammatical? Yes or No: porta gesso il
A: No

Q: Is this sentence grammatical? Yes or No: tengono la scatola
A: Yes

Q: Is this sentence grammatical? Yes or No: mangiano la banana
A: Yes

",scala collina una,No,No,"[('scala', 0), ('collina', 2.9858468167276442e-05), ('collina', 2.9858468167276442e-05), ('una', 0.0007196786464191973)]",0
3,ita-r-1-null_subject,"Q: Is this sentence grammatical? Yes or No: l'albero scala
A: No

Q: Is this sentence grammatical? Yes or No: porta un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: prende bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: porta giocattolo un
A: No

Q: Is this sentence grammatical? Yes or No: portano la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: portano giornale il
A: No

Q: Is this sentence grammatical? Yes or No: mangia il biscotto
A: Yes

Q: Is this sentence grammatical? Yes or No: tengono il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: porta il giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: mangiano la frutta
A: Yes

",tengono il giornale,Yes,Yes,"[('tengono', 0.00019031178089790046), ('tengono', 0.00019031178089790046), ('il', 7.651530609109614e-07), ('giorn', 0.031758807599544525)]",0
4,ita-r-1-null_subject,"Q: Is this sentence grammatical? Yes or No: tiene un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: porta lampadina una
A: No

Q: Is this sentence grammatical? Yes or No: prende lampadina la
A: No

Q: Is this sentence grammatical? Yes or No: mangia un cetriolo
A: Yes

Q: Is this sentence grammatical? Yes or No: legge il libro
A: Yes

Q: Is this sentence grammatical? Yes or No: prendono la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: tengono la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: porta un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: tiene il cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: prendono il topo
A: Yes

",porta bottiglia una,No,No,"[('porta', 0), ('bottiglia', 0.00032662468937516564), ('bottiglia', 0.00032662468937516564), ('una', 0.41132503747940063)]",0
5,ita-r-1-null_subject,"Q: Is this sentence grammatical? Yes or No: prendono scatola la
A: No

Q: Is this sentence grammatical? Yes or No: portano pesce il
A: No

Q: Is this sentence grammatical? Yes or No: legge il capitolo
A: Yes

Q: Is this sentence grammatical? Yes or No: portano giocattolo il
A: No

Q: Is this sentence grammatical? Yes or No: prendono cappello il
A: No

Q: Is this sentence grammatical? Yes or No: tengono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: leggono capitolo il
A: No

Q: Is this sentence grammatical? Yes or No: tiene una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: legge una storia
A: Yes

Q: Is this sentence grammatical? Yes or No: porta giornale il
A: No

",portano il giocattolo,No,Yes,"[('portano', 7.912849468993954e-06), ('portano', 7.912849468993954e-06), ('il', 3.467597343842499e-05), ('giocatt', 0.012840966068324633)]",0
6,ita-r-1-null_subject,"Q: Is this sentence grammatical? Yes or No: scala l'albero
A: Yes

Q: Is this sentence grammatical? Yes or No: leggono il poema
A: Yes

Q: Is this sentence grammatical? Yes or No: prende un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: prende bottiglia una
A: No

Q: Is this sentence grammatical? Yes or No: portano la bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: prendono pesce il
A: No

Q: Is this sentence grammatical? Yes or No: prende un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: tengono scatola la
A: No

Q: Is this sentence grammatical? Yes or No: mangiano la pera
A: Yes

Q: Is this sentence grammatical? Yes or No: portano giornale il
A: No

",tiene la scatola,Yes,Yes,"[('tiene', 0), ('la', 6.742828162487058e-08), ('scat', 0.06718524633470224), ('scatola', 0.13202563761296915)]",0
7,ita-r-1-null_subject,"Q: Is this sentence grammatical? Yes or No: mangia banana la
A: No

Q: Is this sentence grammatical? Yes or No: mangia il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: tiene una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: prendono bottiglia la
A: No

Q: Is this sentence grammatical? Yes or No: porta il cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: prende scatola una
A: No

Q: Is this sentence grammatical? Yes or No: porta il gesso
A: Yes

Q: Is this sentence grammatical? Yes or No: mangiano la pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: porta giornale un
A: No

Q: Is this sentence grammatical? Yes or No: prende la scatola
A: Yes

",porta un cappello,Yes,Yes,"[('porta', 0), ('un', 3.902449563497612e-08), ('capp', 0.010677103768102825), ('cappello', 0.6437255189521238)]",0
8,ita-r-1-null_subject,"Q: Is this sentence grammatical? Yes or No: prende un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: portano gesso il
A: No

Q: Is this sentence grammatical? Yes or No: scala una scala
A: Yes

Q: Is this sentence grammatical? Yes or No: tiene topo il
A: No

Q: Is this sentence grammatical? Yes or No: l'albero scala
A: No

Q: Is this sentence grammatical? Yes or No: portano tazza la
A: No

Q: Is this sentence grammatical? Yes or No: salgono la scala
A: Yes

Q: Is this sentence grammatical? Yes or No: portano la tazza
A: Yes

Q: Is this sentence grammatical? Yes or No: portano scatola la
A: No

Q: Is this sentence grammatical? Yes or No: porta scatola una
A: No

",tiene il topo,No,Yes,"[('tiene', 0), ('il', 6.742828162487058e-08), ('topo', 0.0006468400824815035), ('topo', 0.0006468400824815035)]",0
9,ita-r-1-null_subject,"Q: Is this sentence grammatical? Yes or No: mangiano banana la
A: No

Q: Is this sentence grammatical? Yes or No: porta il giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: scala un' albero
A: Yes

Q: Is this sentence grammatical? Yes or No: mangia una pera
A: Yes

Q: Is this sentence grammatical? Yes or No: tiene un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: scala scala la
A: No

Q: Is this sentence grammatical? Yes or No: porta un giocattolo
A: Yes

Q: Is this sentence grammatical? Yes or No: prende una lampadina
A: Yes

Q: Is this sentence grammatical? Yes or No: salgono tetto il
A: No

Q: Is this sentence grammatical? Yes or No: porta topo il
A: No

",prendono la tazza,Yes,Yes,"[('prendono', 3.738474418923943e-08), ('prendono', 3.738474418923943e-08), ('la', 0.00017958109674509615), ('taz', 0.07034655567258596)]",0
