,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: 新聞 は 先生 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 玩具 は 犬 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 食べられる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 男 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 帽子 は 男 運ばれる に
A: No

Q: Is this sentence grammatical? Yes or No: 玩具 は 男の子 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 階段 は 先生 のぼられる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 運ばれる に
A: No

Q: Is this sentence grammatical? Yes or No: 白亜 は 男 運ばれる に
A:",白亜 は 男 運ばれる に,No,No,"[('白', 4.149014949798584), ('白<0xE4>', 20.74219846725464), ('白<0xE4><0xBA>', 25.958137035369873), ('白<0xE4><0xBA><0x9C>', 29.766186475753784), ('白<0xE4><0xBA><0x9C>', 33.05827808380127), ('白<0xE4><0xBA><0x9C>は', 36.96483302116394)]",0
1,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: 新聞 は 先生 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 玩具 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 に 食べられる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 男 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 帽子 は 男 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 玩具 は 男の子 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 階段 は 先生 のぼられる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 運ばれる に
A: No

Q: Is this sentence grammatical? Yes or No: 山 は 先生 のぼられる に
A:",山 は 先生 のぼられる に,No,No,"[('山', 0.05636662244796753), ('山', 0.05636662244796753), ('は', 0.0023009220931271557), ('は', 0.0023009220931271557), ('先', 0.43531419336795807), ('先生', 0.4359719005296938)]",0
2,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: 新聞 は 先生 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 玩具 は 犬 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 に 食べられる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 男 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 帽子 は 男 運ばれる に
A: No

Q: Is this sentence grammatical? Yes or No: 玩具 は 男の子 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 階段 は 先生 のぼられる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 山 は 女の子 に のぼられる
A:",山 は 女の子 に のぼられる,Yes,Yes,"[('山', 0.05636662244796753), ('山', 0.05636662244796753), ('は', 0.0023009220931271557), ('は', 0.0023009220931271557), ('女', 0.43531419336795807), ('女の', 0.43661202129442245)]",0
3,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: 新聞 は 先生 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 玩具 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 に 食べられる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 男 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 帽子 は 男 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 玩具 は 男の子 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 階段 は 先生 のぼられる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 運ばれる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 女 に 持たれる
A:",ボトル は 女 に 持たれる,Yes,Yes,"[('ボ', 0.05636662244796753), ('ボト', 0.05637292740448174), ('ボトル', 0.07080957097514329), ('ボトル', 0.07080957097514329), ('は', 0.7839942909777164), ('は', 0.7839942909777164)]",0
4,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: 新聞 は 先生 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 玩具 は 犬 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 食べられる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 男 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 帽子 は 男 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 玩具 は 男の子 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 階段 は 先生 に のぼられる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 運ばれる に
A: No

Q: Is this sentence grammatical? Yes or No: 胡瓜 は 猫 食べられる に
A:",胡瓜 は 猫 食べられる に,No,No,"[('<0xE8>', 0.05636662244796753), ('<0xE8><0x83>', 0.05696607904974371), ('<0xE8><0x83><0xA1>', 0.08115115168038756), ('<0xE8><0x83><0xA1><0xE7>', 0.4744053721660748), ('<0xE8><0x83><0xA1><0xE7><0x93>', 0.5315160133177415), ('<0xE8><0x83><0xA1><0xE7><0x93><0x9C>', 0.5659452393883839)]",0
5,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: 新聞 は 先生 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 玩具 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 食べられる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 男 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 帽子 は 男 運ばれる に
A: No

Q: Is this sentence grammatical? Yes or No: 玩具 は 男の子 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 階段 は 先生 に のぼられる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 電球 は 猫 に 運ばれる
A:",電球 は 猫 に 運ばれる,Yes,Yes,"[('電', 0.05636662244796753), ('電球', 0.05638336408082978), ('電球', 0.05638336408082978), ('は', 0.06657967626233585), ('は', 0.06657967626233585), ('<0xE7>', 0.36231893999502063)]",0
6,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: 新聞 は 先生 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 玩具 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 に 食べられる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 男 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 帽子 は 男 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 玩具 は 男の子 運ばれる に
A: No

Q: Is this sentence grammatical? Yes or No: 階段 は 先生 のぼられる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 果物 は 女の子 食べられる に
A:",果物 は 女の子 食べられる に,No,No,"[('果', 0.05636662244796753), ('果物', 0.056368717908981125), ('果物', 0.056368717908981125), ('は', 0.02472412958741188), ('は', 0.02472412958741188), ('女', 0.41818665200844407)]",0
7,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: 新聞 は 先生 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 玩具 は 犬 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 に 食べられる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 男 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 帽子 は 男 運ばれる に
A: No

Q: Is this sentence grammatical? Yes or No: 玩具 は 男の子 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 階段 は 先生 に のぼられる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚 は 男 持たれる に
A:",魚 は 男 持たれる に,No,No,"[('<0xE9>', 0.05636662244796753), ('<0xE9><0xAD>', 0.056727381772361696), ('<0xE9><0xAD><0x9A>', 0.0716603830223903), ('<0xE9><0xAD><0x9A>', 0.3455268278485164), ('<0xE9><0xAD><0x9A>は', 0.36045901046600193), ('<0xE9><0xAD><0x9A>は', 0.37210009002592415)]",0
8,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: 新聞 は 先生 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 玩具 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 食べられる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 男 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 帽子 は 男 運ばれる に
A: No

Q: Is this sentence grammatical? Yes or No: 玩具 は 男の子 運ばれる に
A: No

Q: Is this sentence grammatical? Yes or No: 階段 は 先生 に のぼられる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 運ばれる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 男の子 に 持たれる
A:",ボトル は 男の子 に 持たれる,No,Yes,"[('ボ', 0.05636662244796753), ('ボト', 0.05637292740448174), ('ボトル', 0.07080957097514329), ('ボトル', 0.07080957097514329), ('は', 0.7839942909777164), ('は', 0.7839942909777164)]",0
9,jap-r-2-passive,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.Q: Is this sentence grammatical? Yes or No: 新聞 は 先生 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 玩具 は 犬 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 持たれる に
A: No

Q: Is this sentence grammatical? Yes or No: 魚 は 犬 食べられる に
A: No

Q: Is this sentence grammatical? Yes or No: ボトル は 男 に 持たれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 帽子 は 男 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 玩具 は 男の子 運ばれる に
A: No

Q: Is this sentence grammatical? Yes or No: 階段 は 先生 に のぼられる
A: Yes

Q: Is this sentence grammatical? Yes or No: ボトル は 犬 に 運ばれる
A: Yes

Q: Is this sentence grammatical? Yes or No: 小説 は 著者 に 読まれる
A:",小説 は 著者 に 読まれる,Yes,Yes,"[('小', 0.05636662244796753), ('小<0xE8>', 0.05644020200998057), ('小<0xE8><0xAA>', 0.10272094742686022), ('小<0xE8><0xAA><0xAC>', 0.410517842930858), ('小<0xE8><0xAA><0xAC>', 1.2906868173304247), ('小<0xE8><0xAA><0xAC>は', 1.5085281892243074)]",0
