,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the teacher touches a why chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a lawyer touches a toy who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the teacher kicks a when lightbulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a lawyer drinks a which beverage?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the architects touch the fish what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the girls drink the milkshake why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cooks hit the when hat?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the lawyers kick the when toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the boys hit the cup who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the teacher kicks the mouse which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the doctor drinks the milkshake when?
A:",Did the doctor drinks the milkshake when?,No,No,"[('Did', 0), ('the', 11.107858657836914), ('doctor', 6.13286828994751), ('drinks', 10.651710510253906), ('the', 19.814990997314453), ('milkshake', 10.86525821685791), ('milkshake', 10.86525821685791), ('when?', 11.012552976608276)]",0
1,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the lawyer hits a mouse who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a architect hits a which newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cats drink the who water?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the actresses hit the why fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the dogs eat the which banana?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the boys push a when bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cats kick the cup what?
A: No

Q: Is this sentence grammatical? Yes or No: Did a writer hits the toy who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cats touch the lightbulb why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the men kick a lightbulb why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the writers read the when poem?
A:",Did the writers read the when poem?,Yes,Yes,"[('Did', 0), ('the', 0.0004531076119747013), ('writers', 0.014250257052481174), ('read', 0.0007498008199036121), ('the', 0.0009860439458861947), ('when', 0.39739057421684265), ('poem?', 1.4130735053186072e-05), ('poem?', 1.4130735053186072e-05)]",0
2,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the girls hit a when mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a writer pushes a hat who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the lawyers kick the when toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cats kick a what newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a doctor kicks a why mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the lawyers push the mouse when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the dogs kick the cup who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a cook kicks a newspaper why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the boys drink a who coffee?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teachers touch the fish what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the men drink a juice when?
A:",Did the men drink a juice when?,Yes,No,"[('Did', 0), ('the', 0.0004531076119747013), ('men', 0.014250257052481174), ('drink', 0.0004442422650754452), ('a', 0.00022884702775627375), ('juice', 0.034551024436950684), ('when?', 0.002620399318402633), ('when?', 0.002620399318402633)]",0
3,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did a girl hits a what hat?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a boy eats the banana which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cooks hit the toy who?
A: No

Q: Is this sentence grammatical? Yes or No: Did a lawyer touches a who toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the actresses push the hat who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the boys push a when box?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the actresses push the who chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cats kick a what bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teacher drinks a smoothie which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the lawyer eats a cucumber why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the doctors push a who fish?
A:",Did the doctors push a who fish?,Yes,Yes,"[('Did', 0), ('the', 0.0004531076119747013), ('doctors', 0.014250257052481174), ('push', 0.0003017656854353845), ('a', 0.0005194845725782216), ('who', 0.029271742329001427), ('fish?', 2.6114488719031215e-05), ('fish?', 2.6114488719031215e-05)]",0
4,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did a writer eats the biscuit what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the actress kicks a hat which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the professors kick a newspaper why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the actresses push a toy what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the girls drink a which beverage?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girls read the what poem?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a woman touches the what chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a boy kicks a lightbulb what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the teachers hit a when toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a teacher touches a what lightbulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the doctors push the why chalk?
A:",Did the doctors push the why chalk?,No,Yes,"[('Did', 0), ('the', 0.0004531076119747013), ('doctors', 0.014250257052481174), ('push', 0.0003017656854353845), ('the', 0.0005194845725782216), ('why', 0.1185174360871315), ('chalk', 6.806298824812984e-05), ('chalk?', 0.012993859199013968)]",0
5,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the lawyer touches the who newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the boys push a when box?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the boys hit a bottle which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the professors eat the which biscuit?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a man drinks a coffee who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the doctors hit the fish which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the teachers touch a chalk when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the dogs hit the box what?
A: No

Q: Is this sentence grammatical? Yes or No: Did a orator reads a what letter?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the lawyers drink the what milkshake?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teacher drinks a why tea?
A:",Did the teacher drinks a why tea?,No,Yes,"[('Did', 0), ('the', 0.0004531076119747013), ('teacher', 0.014250257052481174), ('drinks', 0.00027476076502352953), ('a', 5.46738237972022e-06), ('why', 0.024867409840226173), ('tea?', 0.001887345267391538), ('tea?', 0.001887345267391538)]",0
6,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the teacher drinks the which milkshake?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the dog hits the which cup?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a doctor pushes a why newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teachers read the novella why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the dogs drink the tea which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the actresses hit the fish why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cook reads a when chapter?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teacher touches the toy who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the actress hits the toy what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the professors hit the who chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girls kick a who toy?
A:",Did the girls kick a who toy?,No,Yes,"[('Did', 0), ('the', 0.0004531076119747013), ('girls', 0.014250257052481174), ('kick', 0.00021398390526883304), ('a', 0.0008650548406876624), ('who', 0.018424440175294876), ('toy?', 7.907988310762448e-05), ('toy?', 7.907988310762448e-05)]",0
7,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the architects read a chapter why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cats touch a cup who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cats hit the newspaper why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the boys eat a fruit what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the poets read the what letter?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the lawyers push the when hat?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a cook eats a when cucumber?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girls read the what poem?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the orators read the what postcard?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girls kick the newspaper when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the actresses kick the what hat?
A:",Did the actresses kick the what hat?,Yes,Yes,"[('Did', 0), ('the', 0.0004531076119747013), ('actresses', 0.014507364627206698), ('actresses', 0.014507364627206698), ('kick', 0.021800344809889793), ('the', 0.0002112655492965132), ('what', 0.07173681259155273), ('hat?', 0.00014490041030512657)]",0
8,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the teacher pushes a who mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girl reads the chapter what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the teacher drinks a when coffee?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a teacher pushes a when newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cook touches the why chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the doctors push a who toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a girl touches a hat who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the teachers hit the box what?
A: No

Q: Is this sentence grammatical? Yes or No: Did a actress touches a newspaper who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cook kicks a toy who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the women kick a which newspaper?
A:",Did the women kick a which newspaper?,No,Yes,"[('Did', 0), ('the', 0.0004531076119747013), ('women', 0.014250257052481174), ('kick', 0.000304132467135787), ('a', 5.5524720664834604e-05), ('which', 0.012253494001924992), ('newspaper?', 1.6258749610642553e-05), ('newspaper?', 1.6258749610642553e-05)]",0
9,en-u-3-wh,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Did the dogs eat the which banana?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the writer pushes a when newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the dogs kick a when box?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a writer eats the biscuit what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the actress kicks a fish why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a girl eats a biscuit who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cook drinks the why smoothie?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a cook kicks a newspaper why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the doctors eat a when fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the woman reads a book who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the lawyers touch a hat what?
A:",Did the lawyers touch a hat what?,No,No,"[('Did', 0), ('the', 0.0004531076119747013), ('lawyers', 0.014250257052481174), ('touch', 0.00010327395284548402), ('a', 2.5444840503041632e-05), ('hat', 0.037174299359321594), ('what?', 4.979392178938724e-05), ('what?', 4.979392178938724e-05)]",0
