,type,prompt,q,prediction,gold,surprisal,int-grad
0,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: fish kon carry cats kons
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon eats kon boy
A: No

Q: Is this sentence grammatical? Yes or No: book kon reads kar girl
A: No

Q: Is this sentence grammatical? Yes or No: mouse kon takes boy kon
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk kon carry kons boys
A: No

Q: Is this sentence grammatical? Yes or No: fruit kar eats teacher kon
A: Yes

Q: Is this sentence grammatical? Yes or No: cap kon carry kars women
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar carries kon boy
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon take kars women
A: No

Q: Is this sentence grammatical? Yes or No: mountain kar climbs kon boy
A: No

",chalk kon takes cat kon,No,Yes,"[('chalk', 15.917885780334473), ('chalk', 15.917885780334473), ('kon', 7.295465469360352), ('takes', 21.556640625), ('cat', 15.436015129089355), ('kon', 15.539270401000977)]",0
1,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: fish kon take dogs kons
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon take kons boys
A: No

Q: Is this sentence grammatical? Yes or No: mouse kon bring girls kars
A: Yes

Q: Is this sentence grammatical? Yes or No: hill kar climb men kons
A: Yes

Q: Is this sentence grammatical? Yes or No: pizza kar eat girls kars
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon take kons men
A: No

Q: Is this sentence grammatical? Yes or No: pear kar eats boy kon
A: Yes

Q: Is this sentence grammatical? Yes or No: box kar hold kons men
A: No

Q: Is this sentence grammatical? Yes or No: mouse kon holds cat kon
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon eat boys kons
A: Yes

",roof kon climb boys kons,Yes,Yes,"[('roof', 0), ('kon', 1.0569221586820277e-07), ('climb', 1.0273239468006068e-06), ('boys', 1.119294211093802e-06), ('kons', 0.0022312424389383523), ('kons', 0.0022312424389383523)]",0
2,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: pear kar eats teacher kon
A: Yes

Q: Is this sentence grammatical? Yes or No: box kar take kars women
A: No

Q: Is this sentence grammatical? Yes or No: mountain kar climbs kon man
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar hold kons cats
A: No

Q: Is this sentence grammatical? Yes or No: fish kon eats kon teacher
A: No

Q: Is this sentence grammatical? Yes or No: toy kon holds cat kon
A: Yes

Q: Is this sentence grammatical? Yes or No: bulb kar carries woman kar
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk kon carry cats kons
A: Yes

Q: Is this sentence grammatical? Yes or No: cup kar take boys kons
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk kon holds kon cat
A: No

",cup kar carry kons boys,No,No,"[('cup', 0), ('kar', 3.421796463953797e-07), ('carry', 1.4091932598603307e-06), ('kons', 0.01734901099189301), ('kons', 0.01734901099189301), ('boys', 2.4297309209941886e-05)]",0
3,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: roof kon climb women kars
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon carries kon cat
A: No

Q: Is this sentence grammatical? Yes or No: toy kon carry kons boys
A: No

Q: Is this sentence grammatical? Yes or No: box kar holds kon teacher
A: No

Q: Is this sentence grammatical? Yes or No: mountain kar climb kons boys
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar carry kons teachers
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar hold women kars
A: Yes

Q: Is this sentence grammatical? Yes or No: bottle kar takes cat kon
A: Yes

Q: Is this sentence grammatical? Yes or No: bottle kar hold kons boys
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar hold teachers kons
A: Yes

",cup kar carries girl kar,Yes,Yes,"[('cup', 0), ('kar', 3.4218064115520974e-07), ('carries', 1.4303122952696867e-06), ('girl', 2.2170906959217973e-06), ('kar', 3.9671853301115334e-05), ('Yes', 0.0003217905177734792)]",0
4,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: bottle kar hold teachers kons
A: Yes

Q: Is this sentence grammatical? Yes or No: poem kar reads poet kon
A: Yes

Q: Is this sentence grammatical? Yes or No: story kar reads author kon
A: Yes

Q: Is this sentence grammatical? Yes or No: biscuit kon eat women kars
A: Yes

Q: Is this sentence grammatical? Yes or No: bottle kar bring kons men
A: No

Q: Is this sentence grammatical? Yes or No: toy kon holds kar woman
A: No

Q: Is this sentence grammatical? Yes or No: chapter kon read kars girls
A: No

Q: Is this sentence grammatical? Yes or No: cap kon bring women kars
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk kon take men kons
A: Yes

Q: Is this sentence grammatical? Yes or No: roof kon climb men kons
A: Yes

",pizza kar eats kon man,Yes,No,"[('pizza', 0), ('kar', 3.2651010428708105e-07), ('eats', 1.7256463706871727e-05), ('eats', 1.7256463706871727e-05), ('kon', 0.08686920255422592), ('man', 1.7677208234090358e-05)]",0
5,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: chapter kon read kons speakers
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar bring kons dogs
A: No

Q: Is this sentence grammatical? Yes or No: mountain kar climbs teacher kon
A: Yes

Q: Is this sentence grammatical? Yes or No: box kar hold boys kons
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk kon carry teachers kons
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon holds man kon
A: Yes

Q: Is this sentence grammatical? Yes or No: story kar read girls kars
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk kon bring kars women
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon holds kar girl
A: No

Q: Is this sentence grammatical? Yes or No: book kon reads girl kar
A: Yes

",biscuit kon eats kon dog,Yes,No,"[('bisc', 3.303589153347275e-07), ('biscuit', 0.27306187406199456), ('biscuit', 0.27306187406199456), ('kon', 0.7658353447914124), ('eats', 7.487788866455958e-05), ('eats', 7.487788866455958e-05)]",0
6,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: newspaper kon hold kars girls
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon take kons cats
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar take kons men
A: No

Q: Is this sentence grammatical? Yes or No: box kar holds kon teacher
A: No

Q: Is this sentence grammatical? Yes or No: fish kon eats kon teacher
A: No

Q: Is this sentence grammatical? Yes or No: mouse kon brings cat kon
A: Yes

Q: Is this sentence grammatical? Yes or No: toy kon takes kar woman
A: No

Q: Is this sentence grammatical? Yes or No: fish kon bring kars girls
A: No

Q: Is this sentence grammatical? Yes or No: chalk kon hold kars girls
A: No

Q: Is this sentence grammatical? Yes or No: toy kon holds kar woman
A: No

",story kar reads kon poet,No,No,"[('story', 0), ('kar', 1.3065986195215373e-06), ('reads', 8.207250061786908e-07), ('kon', 7.330891662604699e-07), ('poet', 3.364237500136369e-06), ('No', 3.137472958769649e-05)]",0
7,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: box kar brings teacher kon
A: Yes

Q: Is this sentence grammatical? Yes or No: cup kar takes boy kon
A: Yes

Q: Is this sentence grammatical? Yes or No: mouse kon bring kars girls
A: No

Q: Is this sentence grammatical? Yes or No: fish kon hold kons men
A: No

Q: Is this sentence grammatical? Yes or No: mountain kar climb kons dogs
A: No

Q: Is this sentence grammatical? Yes or No: bulb kar take girls kars
A: Yes

Q: Is this sentence grammatical? Yes or No: roof kon climbs teacher kon
A: Yes

Q: Is this sentence grammatical? Yes or No: cup kar carry kars women
A: No

Q: Is this sentence grammatical? Yes or No: chapter kon reads kon poet
A: No

Q: Is this sentence grammatical? Yes or No: rock kon climbs kon man
A: No

",mouse kon carries kon teacher,No,No,"[('mouse', 0), ('kon', 3.326259161440248e-07), ('carries', 2.9192424335633405e-06), ('kon', 2.0819277324335417e-06), ('teacher', 0.00014904842828400433), ('No', 5.251360107649816e-06)]",0
8,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: mouse kon take cats kons
A: Yes

Q: Is this sentence grammatical? Yes or No: mouse kon brings dog kon
A: Yes

Q: Is this sentence grammatical? Yes or No: rock kon climbs kon dog
A: No

Q: Is this sentence grammatical? Yes or No: cap kon takes girl kar
A: Yes

Q: Is this sentence grammatical? Yes or No: meal kon eats boy kon
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon take kons men
A: No

Q: Is this sentence grammatical? Yes or No: fish kon bring kars girls
A: No

Q: Is this sentence grammatical? Yes or No: chalk kon holds girl kar
A: Yes

Q: Is this sentence grammatical? Yes or No: chalk kon bring men kons
A: Yes

Q: Is this sentence grammatical? Yes or No: story kar reads kon teacher
A: No

",cap kon take kons boys,Yes,No,"[('cap', 0), ('kon', 7.722441637270094e-07), ('take', 1.346308522442996e-07), ('kons', 0.0029399770386362434), ('kons', 0.0029399770386362434), ('boys', 0.001392537378706038)]",0
9,it-u-2-invert,"Q: Is this sentence grammatical? Yes or No: bulb kar carry kons men
A: No

Q: Is this sentence grammatical? Yes or No: hill kar climb dogs kons
A: Yes

Q: Is this sentence grammatical? Yes or No: toy kon carry kons dogs
A: No

Q: Is this sentence grammatical? Yes or No: bottle kar bring teachers kons
A: Yes

Q: Is this sentence grammatical? Yes or No: fish kon eats girl kar
A: Yes

Q: Is this sentence grammatical? Yes or No: cap kon hold men kons
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper kon bring kons boys
A: No

Q: Is this sentence grammatical? Yes or No: chalk kon carry teachers kons
A: Yes

Q: Is this sentence grammatical? Yes or No: newspaper kon holds kar girl
A: No

Q: Is this sentence grammatical? Yes or No: newspaper kon carry kons men
A: No

",chalk kon hold kons dogs,Yes,No,"[('chalk', 1.6152467651409097e-05), ('chalk', 1.6152467651409097e-05), ('kon', 0.006365698296576738), ('hold', 3.2419356443824654e-07), ('kons', 0.0024945907521214394), ('kons', 0.0024945907521214394)]",0
