,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 料理人たちは玩具を蹴るない
A: No

Q: Is this sentence grammatical? Yes or No: 建築家は新聞を打つない
A: No

Q: Is this sentence grammatical? Yes or No: 著者たちはポストカードないを読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスを押すない
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちはガイドを読むない
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは新聞を触るない
A: No

Q: Is this sentence grammatical? Yes or No: 猫はジュースないを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちはコップないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家は食事ないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは帽子ないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者はミルクセーキないを飲む
A:",医者はミルクセーキないを飲む,Yes,Yes,,0
1,jap-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 少年たちは雑誌を読むない
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは電球ないを打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちは新聞を蹴るない
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士たちは帽子ないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 女性は白亜ないを打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子はビスケットないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子は胡瓜を食べるない
A: No

Q: Is this sentence grammatical? Yes or No: 猫たちはコップないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 男はコップを蹴るない
A: No

Q: Is this sentence grammatical? Yes or No: 料理人は玩具を押すない
A: No

Q: Is this sentence grammatical? Yes or No: 作家たちは詩を読むない
A:",作家たちは詩を読むない,Yes,No,,0
2,jap-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 女優はビスケットを食べるない
A: No

Q: Is this sentence grammatical? Yes or No: 作家たちは玩具を押すない
A: No

Q: Is this sentence grammatical? Yes or No: 教師は電球ないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬はコップを打つない
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちはレモネードないを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 男は梨を食べるない
A: No

Q: Is this sentence grammatical? Yes or No: 男性はないトニックを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちはビスケットを食べるない
A: No

Q: Is this sentence grammatical? Yes or No: 少年はポストカードないを読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬たちはコップないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 男性はジュースを飲むない
A:",男性はジュースを飲むない,No,No,,0
3,jap-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 作家は手紙を読むない
A: No

Q: Is this sentence grammatical? Yes or No: 作家たちは食事を食べるない
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士は白亜ないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女性はエスプレッソを飲むない
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは詩を読むない
A: No

Q: Is this sentence grammatical? Yes or No: 演説家はページを読むない
A: No

Q: Is this sentence grammatical? Yes or No: 猫たちは梨ないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優は新聞ないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちはマウスないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 少年たちは水ないを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者たちは魚ないを押す
A:",医者たちは魚ないを押す,Yes,Yes,,0
4,jap-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 女の子は玩具を押すない
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちはマウスを触るない
A: No

Q: Is this sentence grammatical? Yes or No: 女の子は飲み物を飲むない
A: No

Q: Is this sentence grammatical? Yes or No: 作家たちは胡瓜ないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師はコップないを打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちはエスプレッソないを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは水を飲むない
A: No

Q: Is this sentence grammatical? Yes or No: 女の子は新聞ないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たちはポストカードないを読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 男性は箱を押すない
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちは白亜を押すない
A:",医者たちは白亜を押すない,No,No,,0
5,jap-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 女性は帽子を押すない
A: No

Q: Is this sentence grammatical? Yes or No: 女性は食事を食べるない
A: No

Q: Is this sentence grammatical? Yes or No: 女の子たちは詩を読むない
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちはレモネードないを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 著者は中編小説を読むない
A: No

Q: Is this sentence grammatical? Yes or No: 少年たちは果物ないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師はボトルないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは魚ないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫たちは新聞ないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬たちは新聞を押すない
A: No

Q: Is this sentence grammatical? Yes or No: 教師はお茶を飲むない
A:",教師はお茶を飲むない,Yes,No,,0
6,jap-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 猫たちは新聞を蹴るない
A: No

Q: Is this sentence grammatical? Yes or No: 教師は白亜を触るない
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちは帽子ないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師は新聞ないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 男は電球を打つない
A: No

Q: Is this sentence grammatical? Yes or No: 猫はジュースないを飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人はエスプレッソを飲むない
A: No

Q: Is this sentence grammatical? Yes or No: 料理人は食事ないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子たちはマウスないを打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは魚を触るない
A: No

Q: Is this sentence grammatical? Yes or No: 女の子たちは玩具を蹴るない
A:",女の子たちは玩具を蹴るない,No,No,,0
7,jap-u-1-negation,"</s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 猫たちはボトルないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは胡瓜を食べるない
A: No

Q: Is this sentence grammatical? Yes or No: 女優はスムージーを飲むない
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士たちは魚ないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士は魚を蹴るない
A: No

Q: Is this sentence grammatical? Yes or No: 料理人たちは白亜ないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人たちはスムージーを飲むない
A: No

Q: Is this sentence grammatical? Yes or No: 教師は新聞ないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 女の子たちは飲み物を飲むない
A: No

Q: Is this sentence grammatical? Yes or No: 女の子は新聞ないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女優たちは帽子ないを蹴る
A:",女優たちは帽子ないを蹴る,No,Yes,,0
8,jap-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 医者は玩具ないを触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師はビスケットを食べるない
A: No

Q: Is this sentence grammatical? Yes or No: 作家はポストカードないを読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは電球を打つない
A: No

Q: Is this sentence grammatical? Yes or No: 少年は箱ないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 少年たちはページないを読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士はマウスを打つない
A: No

Q: Is this sentence grammatical? Yes or No: 建築家は新聞を押すない
A: No

Q: Is this sentence grammatical? Yes or No: 詩人はガイドを読むない
A: No

Q: Is this sentence grammatical? Yes or No: 建築家はマウスないを蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女性たちは新聞を蹴るない
A:",女性たちは新聞を蹴るない,No,No,,0
9,jap-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Japanese sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: 料理人たちは胡瓜を食べるない
A: No

Q: Is this sentence grammatical? Yes or No: 教師は中編小説ないを読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は魚を押すない
A: No

Q: Is this sentence grammatical? Yes or No: 女優たちは帽子を押すない
A: No

Q: Is this sentence grammatical? Yes or No: 犬たちは新聞ないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 教授は詩ないを読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者はスムージーを飲むない
A: No

Q: Is this sentence grammatical? Yes or No: 医者たちは新聞ないを押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 犬たちは電球を蹴るない
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちは魚ないを食べる
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士たちは帽子ないを触る
A:",弁護士たちは帽子ないを触る,No,Yes,,0
