,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a girls hold the doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a boys take the doesn't toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy holds the cap doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a women carry the toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a cats bring a doesn't cap
A: Yes

Q: Is this sentence grammatical? Yes or No: the boy brings the doesn't mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: a teachers climb a staircase doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girls bring a cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the boy carries a doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a dogs hold the cap doesn't
A: No

",a men eat a doesn't meal,Yes,Yes,"[('a', 0), ('men', 12.622088432312012), ('eat', 15.098877906799316), ('a', 18.480422973632812), (""doesn'"", 23.6287784576416), (""doesn't"", 24.9880291223526), (""doesn't"", 24.9880291223526)]",0
1,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: the woman takes a fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girl eats a doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a dogs bring a doesn't mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman eats a doesn't fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: the man takes a doesn't newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a boys hold a doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl holds a box doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a cats take the doesn't newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a girls eat the doesn't banana
A: Yes

Q: Is this sentence grammatical? Yes or No: a poet reads a doesn't poem
A: Yes

",a men hold the doesn't fish,Yes,Yes,"[('a', 0), ('men', 0.0001586253783898428), ('hold', 2.849605334631633e-05), ('the', 3.4860775031120284e-06), (""doesn'"", 0.06547290415642237), (""doesn't"", 0.5545103880870101), (""doesn't"", 0.5545103880870101)]",0
2,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a dogs take the mouse doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the man eats a banana doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the boy carries the doesn't toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the cat climbs the doesn't tree
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats eat the fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the man takes the doesn't bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl takes the toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a dogs eat a doesn't pizza
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats carry a bottle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boy climbs a doesn't mountain
A: Yes

",the girl takes the doesn't fish,No,Yes,"[('the', 0), ('girl', 0.00011336444731568918), ('takes', 0.0005391748272813857), ('the', 0.0007889076950959861), (""doesn'"", 0.1580339011515548), (""doesn't"", 0.4881171521510055), (""doesn't"", 0.4881171521510055)]",0
3,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a dogs climb a doesn't hill
A: Yes

Q: Is this sentence grammatical? Yes or No: a teachers hold the doesn't cap
A: Yes

Q: Is this sentence grammatical? Yes or No: a girls bring a cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the cat brings the chalk doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girl eats a doesn't banana
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl takes the mouse doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boys bring a doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman carries the newspaper doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boys take the bulb doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the boy eats the doesn't biscuit
A: Yes

",a girls read the doesn't poem,No,Yes,"[('a', 0), ('girls', 0.0001586253783898428), ('read', 6.986668722674949e-06), ('the', 4.661318598664366e-05), (""doesn'"", 0.014840541941566698), (""doesn't"", 0.29942753778163933), (""doesn't"", 0.29942753778163933)]",0
4,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a men take the doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a girls bring the fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the girl brings the doesn't toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats take the doesn't newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats bring the toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girl climbs a mountain doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a man holds a doesn't newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a men climb a doesn't rock
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher brings the cap doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the dog eats a doesn't biscuit
A: Yes

",the girl carries the bottle doesn't,No,No,"[('the', 0), ('girl', 0.00011336444731568918), ('carries', 0.0005391748272813857), ('the', 7.43899799999781e-05), ('bottle', 0.20570328831672668), (""doesn'"", 0.0027457915512059117), (""doesn't"", 0.2642007611957524)]",0
5,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a cat eats a banana doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girls carry a box doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a teacher eats the pizza doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boy holds a chalk doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the cat takes a doesn't cap
A: Yes

Q: Is this sentence grammatical? Yes or No: a women hold the doesn't cap
A: Yes

Q: Is this sentence grammatical? Yes or No: a teachers take a doesn't bulb
A: Yes

Q: Is this sentence grammatical? Yes or No: a teachers read a doesn't book
A: Yes

Q: Is this sentence grammatical? Yes or No: a dogs take the doesn't toy
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats eat a banana doesn't
A: No

",a girl brings a cap doesn't,No,No,"[('a', 0), ('girl', 0.0001586253783898428), ('brings', 0.00021304094116203487), ('a', 0.0001824111823225394), ('cap', 0.2138337343931198), (""doesn'"", 0.00010338990341551835), (""doesn't"", 0.3032042738641394)]",0
6,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a boys hold the cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a cats eat a fruit doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a men carry a doesn't bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: a girls bring the fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the boy brings a bottle doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girl brings a mouse doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a teachers bring a cup doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a men carry a fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a women bring the mouse doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boys bring a doesn't toy
A: Yes

",a women hold a box doesn't,No,No,"[('a', 0), ('women', 0.0001586253783898428), ('hold', 3.756725345738232e-05), ('a', 0.00042911438504233956), ('box', 0.3705405294895172), (""doesn'"", 0.002554120559580042), (""doesn't"", 0.3858894427012274)]",0
7,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: the boy takes the doesn't cup
A: Yes

Q: Is this sentence grammatical? Yes or No: the man eats the biscuit doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a boys take a doesn't chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy climbs a roof doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the cat carries a doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher climbs the mountain doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the girl eats a doesn't fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: the woman eats a pear doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the writer reads the book doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a women carry the newspaper doesn't
A: No

",a girls carry a doesn't cup,Yes,Yes,"[('a', 0), ('girls', 0.0001586253783898428), ('carry', 6.986668722674949e-06), ('a', 1.1936235750908963e-05), (""doesn'"", 0.11739631478013735), (""doesn't"", 0.45651470605554323), (""doesn't"", 0.45651470605554323)]",0
8,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: a boy brings a doesn't cap
A: Yes

Q: Is this sentence grammatical? Yes or No: the man takes a newspaper doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the girl holds a doesn't bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: a teachers bring a toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the boy holds the toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the man holds a fish doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the teacher takes a doesn't newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a women carry the toy doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girls hold the doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl eats a fish doesn't
A: No

",a woman takes the doesn't chalk,No,Yes,"[('a', 0), ('woman', 0.0001586253783898428), ('takes', 0.00046170278801582754), ('the', 0.0036197707522660494), (""doesn'"", 0.07450161674319133), (""doesn't"", 0.4133086333542906), (""doesn't"", 0.4133086333542906)]",0
9,en-u-1-negation,"Q: Is this sentence grammatical? Yes or No: the cat climbs a doesn't roof
A: Yes

Q: Is this sentence grammatical? Yes or No: a writer reads the story doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a girl carries a cap doesn't
A: No

Q: Is this sentence grammatical? Yes or No: a teacher takes a doesn't box
A: Yes

Q: Is this sentence grammatical? Yes or No: a boys read a doesn't chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: a men carry a doesn't fish
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats eat a doesn't banana
A: Yes

Q: Is this sentence grammatical? Yes or No: a cats take a chalk doesn't
A: No

Q: Is this sentence grammatical? Yes or No: the boy eats the doesn't biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: a teachers take a doesn't bulb
A: Yes

",the boy holds the doesn't cup,Yes,Yes,"[('the', 0), ('boy', 0.00011336444731568918), ('holds', 0.0006440486176870763), ('the', 0.00042544541065581143), (""doesn'"", 0.19677916596424438), (""doesn't"", 0.5002341313172565), (""doesn't"", 0.5002341313172565)]",0
