,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-r-2-subordinate,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Sheela states that the teacher touches the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria thinks that the lawyer touches toy the
A: No

Q: Is this sentence grammatical? Yes or No: Leela says that the teacher kicks the lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu believes that the lawyer drinks the beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela thinks that the architects touch fish the
A: No

Q: Is this sentence grammatical? Yes or No: Tom thinks that the girls drink milkshake the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the cooks hit the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela suggests that the lawyers kick the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela suggests that the boys hit cup the
A: No

Q: Is this sentence grammatical? Yes or No: Maria believes that the teacher kicks mouse the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu states that the doctor drinks milkshake the
A:",Gomu states that the doctor drinks milkshake the,Yes,No,"[('Gom', 9.411564826965332), ('Gomu', 19.31113338470459), ('Gomu', 19.31113338470459), ('states', 7.9619340896606445), ('that', 15.854850769042969), ('the', 1.3169902563095093), ('doctor', 2.597874164581299), ('drinks', 11.830886840820312), ('milkshake', 22.841328144073486)]",0
1,en-r-2-subordinate,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Sheela believes that the lawyer hits mouse the
A: No

Q: Is this sentence grammatical? Yes or No: Leela believes that the architect hits the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria suggests that the cats drink the water
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu says that the actresses hit the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry states that the dogs eat the banana
A: Yes

Q: Is this sentence grammatical? Yes or No: John suggests that the boys push the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela believes that the cats kick cup the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu suggests that the writer hits toy the
A: No

Q: Is this sentence grammatical? Yes or No: John believes that the cats touch lightbulb the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu believes that the men kick lightbulb the
A: No

Q: Is this sentence grammatical? Yes or No: Tom thinks that the writers read the poem
A:",Tom thinks that the writers read the poem,Yes,Yes,"[('Tom', 0), ('thinks', 0.00021236727479845285), ('that', 2.496009437891189e-05), ('the', 0.13500525057315826), ('writers', 0.1465613692998886), ('read', 0.0002622718457132578), ('the', 0.0001484638050897047), ('poem', 0.19641532003879547), ('Yes', 5.5076285207178444e-05)]",0
2,en-r-2-subordinate,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Gomu believes that the girls hit the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu thinks that the writer pushes hat the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela suggests that the lawyers kick the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela believes that the cats kick the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela thinks that the doctor kicks the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela thinks that the lawyers push mouse the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu suggests that the dogs kick cup the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela suggests that the cook kicks newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela believes that the boys drink the coffee
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela believes that the teachers touch fish the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu suggests that the men drink juice the
A:",Gomu suggests that the men drink juice the,No,No,"[('Gom', 0.0014683740446344018), ('Gomu', 0.002515340456739068), ('Gomu', 0.002515340456739068), ('suggests', 0.004010689444839954), ('that', 7.760415428492706e-06), ('the', 0.3049076795578003), ('men', 0.1361166089773178), ('drink', 0.0006267150165513158), ('juice', 0.0025729730259627104)]",0
3,en-r-2-subordinate,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Sheela states that the girl hits the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom believes that the boy eats banana the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela states that the cooks hit toy the
A: No

Q: Is this sentence grammatical? Yes or No: Maria thinks that the lawyer touches the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela believes that the actresses push hat the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the boys push the box
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that the actresses push the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that the cats kick the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry thinks that the teacher drinks smoothie the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu believes that the lawyer eats cucumber the
A: No

Q: Is this sentence grammatical? Yes or No: Leela states that the doctors push the fish
A:",Leela states that the doctors push the fish,Yes,Yes,"[('Leela', 0.00025022978661581874), ('Leela', 0.00025022978661581874), ('states', 0.002149702049791813), ('that', 8.559519301343244e-06), ('the', 0.5884308218955994), ('doctors', 0.1137591004371643), ('push', 0.0010486377868801355), ('the', 6.570708137587644e-06), ('fish', 0.1357957124710083)]",0
4,en-r-2-subordinate,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Sheela believes that the writer eats biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: Tom thinks that the actress kicks hat the
A: No

Q: Is this sentence grammatical? Yes or No: Harry believes that the professors kick newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu suggests that the actresses push toy the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu believes that the girls drink the beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu states that the girls read the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu suggests that the woman touches the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu believes that the boy kicks lightbulb the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu believes that the teachers hit the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that the teacher touches the lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry thinks that the doctors push the chalk
A:",Harry thinks that the doctors push the chalk,Yes,Yes,"[('Harry', 0), ('thinks', 4.331389209255576e-05), ('that', 5.581960067502223e-05), ('the', 0.12796349823474884), ('doctors', 0.11936452984809875), ('push', 0.0003241146041546017), ('the', 1.1707064913935028e-05), ('chalk', 0.1054208715504501), ('chalk', 0.1054208715504501)]",0
5,en-r-2-subordinate,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Maria thinks that the lawyer touches the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that the boys push the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom believes that the boys hit bottle the
A: No

Q: Is this sentence grammatical? Yes or No: John thinks that the professors eat the biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela states that the man drinks coffee the
A: No

Q: Is this sentence grammatical? Yes or No: Leela states that the doctors hit fish the
A: No

Q: Is this sentence grammatical? Yes or No: Tom thinks that the teachers touch chalk the
A: No

Q: Is this sentence grammatical? Yes or No: Leela believes that the dogs hit box the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela thinks that the orator reads the letter
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria suggests that the lawyers drink the milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela suggests that the teacher drinks the tea
A:",Leela suggests that the teacher drinks the tea,Yes,Yes,"[('Leela', 0.00025022978661581874), ('Leela', 0.00025022978661581874), ('suggests', 0.002149702049791813), ('that', 1.4355509847518988e-05), ('the', 0.30600377917289734), ('teacher', 0.10645905882120132), ('drinks', 0.000333108298946172), ('the', 0.00012887017510365695), ('tea', 0.16171757876873016)]",0
6,en-r-2-subordinate,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Tom suggests that the teacher drinks the milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry states that the dog hits the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry states that the doctor pushes the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: John says that the teachers read novella the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela believes that the dogs drink tea the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu says that the actresses hit fish the
A: No

Q: Is this sentence grammatical? Yes or No: Gomu thinks that the cook reads the chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela says that the teacher touches toy the
A: No

Q: Is this sentence grammatical? Yes or No: Tom believes that the actress hits toy the
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that the professors hit the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: John believes that the girls kick the toy
A:",John believes that the girls kick the toy,Yes,Yes,"[('John', 0), ('believes', 0.00040300225373357534), ('that', 7.190470932982862e-05), ('the', 0.4346999526023865), ('girls', 0.16282062232494354), ('kick', 1.2948903531651013e-05), ('the', 3.599319825298153e-05), ('toy', 0.06518888473510742), ('Yes', 0.00016485135711263865)]",0
7,en-r-2-subordinate,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Gomu suggests that the architects read chapter the
A: No

Q: Is this sentence grammatical? Yes or No: Maria thinks that the cats touch cup the
A: No

Q: Is this sentence grammatical? Yes or No: Leela believes that the cats hit newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela suggests that the boys eat fruit the
A: No

Q: Is this sentence grammatical? Yes or No: Harry states that the poets read the letter
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela thinks that the lawyers push the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria thinks that the cook eats the cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu states that the girls read the poem
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela says that the orators read the postcard
A: Yes

Q: Is this sentence grammatical? Yes or No: John thinks that the girls kick newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Harry suggests that the actresses kick the hat
A:",Harry suggests that the actresses kick the hat,Yes,Yes,"[('Harry', 0), ('suggests', 4.331389209255576e-05), ('that', 5.669016445608577e-06), ('the', 0.3313378095626831), ('actresses', 0.13121991326624993), ('actresses', 0.13121991326624993), ('kick', 0.03787149861454964), ('the', 7.150617602746934e-05), ('hat', 0.059446923434734344)]",0
8,en-r-2-subordinate,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Gomu thinks that the teacher pushes the mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: John suggests that the girl reads chapter the
A: No

Q: Is this sentence grammatical? Yes or No: John suggests that the teacher drinks the coffee
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry thinks that the teacher pushes the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela thinks that the cook touches the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela thinks that the doctors push the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela believes that the girl touches hat the
A: No

Q: Is this sentence grammatical? Yes or No: Leela believes that the teachers hit box the
A: No

Q: Is this sentence grammatical? Yes or No: John suggests that the actress touches newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela thinks that the cook kicks toy the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela believes that the women kick the newspaper
A:",Sheela believes that the women kick the newspaper,Yes,Yes,"[('Sheela', 0.00024064365425147116), ('Sheela', 0.00024064365425147116), ('believes', 0.0010743673192337155), ('that', 0.00014216334966477007), ('the', 0.4198910892009735), ('women', 0.12435691058635712), ('kick', 0.0006597699248231947), ('the', 5.854810751770856e-07), ('newspaper', 0.04264819622039795)]",0
9,en-r-2-subordinate,"Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: Harry states that the dogs eat the banana
A: Yes

Q: Is this sentence grammatical? Yes or No: John states that the writer pushes the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom believes that the dogs kick the box
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela believes that the writer eats biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: Harry says that the actress kicks fish the
A: No

Q: Is this sentence grammatical? Yes or No: Sheela believes that the girl eats biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: Leela suggests that the cook drinks the smoothie
A: Yes

Q: Is this sentence grammatical? Yes or No: Sheela suggests that the cook kicks newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: John says that the doctors eat the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu states that the woman reads book the
A: No

Q: Is this sentence grammatical? Yes or No: Tom believes that the lawyers touch hat the
A:",Tom believes that the lawyers touch hat the,No,No,"[('Tom', 0), ('believes', 0.00021236727479845285), ('that', 2.3677943318034522e-05), ('the', 0.4280827045440674), ('lawyers', 0.16375109553337097), ('touch', 0.00018963149341288954), ('hat', 6.36754657534766e-06), ('the', 2.2047063907848496e-07), ('No', 0.03778887912631035)]",0
