,type,prompt,q,prediction,gold,surprisal,int-grad
0,ita_S-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kare miffles chusko kon sturple no
A: No

Q: Is this sentence grammatical? Yes or No: kar hurple gurdles onko no wrindle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar hurple ungos onka blorft no
A: No

Q: Is this sentence grammatical? Yes or No: kar hurple ungos onko no komple
A: Yes

Q: Is this sentence grammatical? Yes or No: onko kingle gurdles onko no skerpo
A: Yes

Q: Is this sentence grammatical? Yes or No: onka hurple hufkos onka tromple no
A: No

Q: Is this sentence grammatical? Yes or No: onko blinco stoffles kon fugfug no
A: No

Q: Is this sentence grammatical? Yes or No: onko blinco hufkos onko zibble no
A: No

Q: Is this sentence grammatical? Yes or No: kar prog chunges kon no gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar prog ungos kon no skung
A: Yes

Q: Is this sentence grammatical? Yes or No: kare miffles stoffle kon no yurump
A:",kare miffles stoffle kon no yurump,No,Yes,,0
1,ita_S-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kare wugen hufko kon sturple no
A: No

Q: Is this sentence grammatical? Yes or No: onko arcuplo hufkos kon no pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: onko prog stoffles kon sturple no
A: No

Q: Is this sentence grammatical? Yes or No: kar grumble ungos onko no komple
A: Yes

Q: Is this sentence grammatical? Yes or No: kare hurples stoffle kon pelunko no
A: No

Q: Is this sentence grammatical? Yes or No: onko arcuplo snugos onko no kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: koni kingles stoffle onka wompel no
A: No

Q: Is this sentence grammatical? Yes or No: kar hurple chunges onko gongle no
A: No

Q: Is this sentence grammatical? Yes or No: kar progs ungo onka no droczle
A: Yes

Q: Is this sentence grammatical? Yes or No: onka hurple hufkos onko no gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar progs hufko onko no fugfug
A:",kar progs hufko onko no fugfug,No,Yes,,0
2,ita_S-u-1-negation,"</s></s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kar blinco hufkos onko sturple no
A: No

Q: Is this sentence grammatical? Yes or No: koni pundles chunge onka woggle no
A: No

Q: Is this sentence grammatical? Yes or No: kare knurkles chusko kon no pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: kar progs snugo kon plonkle no
A: No

Q: Is this sentence grammatical? Yes or No: onko frindle ungos onko no snorfle
A: Yes

Q: Is this sentence grammatical? Yes or No: onka hurple hufkos onko no yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: koni krunkos gurdle kar strumble no
A: No

Q: Is this sentence grammatical? Yes or No: kare frindles hufko kon no zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: kar blincos chusko kon zibble no
A: No

Q: Is this sentence grammatical? Yes or No: onko kingle hufkos onka no woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar progs snugo onko no gunzle
A:",kar progs snugo onko no gunzle,No,Yes,,0
3,ita_S-u-1-negation,"</s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kare miffles chusko onko fugfug no
A: No

Q: Is this sentence grammatical? Yes or No: kar prog ungos kon skung no
A: No

Q: Is this sentence grammatical? Yes or No: onka fuzzle snugos kon no plonkle
A: Yes

Q: Is this sentence grammatical? Yes or No: onka knurkle chuskos onko gongle no
A: No

Q: Is this sentence grammatical? Yes or No: onko arcuplo hufkos onko sturple no
A: No

Q: Is this sentence grammatical? Yes or No: kar hurple hufkos onko no zibble
A: Yes

Q: Is this sentence grammatical? Yes or No: kare miffles snugo kon no yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: kar glump chuskos onko fugfug no
A: No

Q: Is this sentence grammatical? Yes or No: kar prog hufkos onko no gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: onko frindle snugos kon no kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: kare glumps snugo onko no yurump
A:",kare glumps snugo onko no yurump,No,Yes,,0
4,ita_S-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: koni grumblen chunge kar no wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: kar grumble chuskos kar no woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: koni priffles ungo kon no komple
A: Yes

Q: Is this sentence grammatical? Yes or No: kare wugen hufko kon sturple no
A: No

Q: Is this sentence grammatical? Yes or No: kare wugen stoffle onko zibble no
A: No

Q: Is this sentence grammatical? Yes or No: onko prog stoffles onko pelunko no
A: No

Q: Is this sentence grammatical? Yes or No: onko arcuplo gurdles onka no hergo
A: Yes

Q: Is this sentence grammatical? Yes or No: kon priffle chunges onka no wompel
A: Yes

Q: Is this sentence grammatical? Yes or No: onko grumble snugos kar twizzle no
A: No

Q: Is this sentence grammatical? Yes or No: kar hurple ungos onka blorft no
A: No

Q: Is this sentence grammatical? Yes or No: onko kingle snugos kar no wungo
A:",onko kingle snugos kar no wungo,No,Yes,,0
5,ita_S-u-1-negation,"</s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kar hurple hufkos onko fugfug no
A: No

Q: Is this sentence grammatical? Yes or No: kar progs chusko onko yurump no
A: No

Q: Is this sentence grammatical? Yes or No: kare miffles hufko onko pelunko no
A: No

Q: Is this sentence grammatical? Yes or No: koni pundles stoffle kar no tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: koni kingles snugo onka no blogle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare hurples gurdle onka no frundo
A: Yes

Q: Is this sentence grammatical? Yes or No: kare frindles stoffle kon fugfug no
A: No

Q: Is this sentence grammatical? Yes or No: kar glump chuskos onko fugfug no
A: No

Q: Is this sentence grammatical? Yes or No: kar miffle chunges onko no pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: onka knurkle stoffles kon no sturple
A: Yes

Q: Is this sentence grammatical? Yes or No: onka hurple snugos kon no yurump
A:",onka hurple snugos kon no yurump,No,Yes,,0
6,ita_S-u-1-negation,"</s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: onka miffle snugos onko no plonkle
A: Yes

Q: Is this sentence grammatical? Yes or No: onko grumble ungos onka no gluggle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare arcuplos gurdle kon no skerpo
A: Yes

Q: Is this sentence grammatical? Yes or No: kar blinco snugos kon kergum no
A: No

Q: Is this sentence grammatical? Yes or No: koni priffles hufko onka tromple no
A: No

Q: Is this sentence grammatical? Yes or No: kar progs ungo onka droczle no
A: No

Q: Is this sentence grammatical? Yes or No: kar blinco hufkos onko sturple no
A: No

Q: Is this sentence grammatical? Yes or No: kare miffles gurdle kon dringle no
A: No

Q: Is this sentence grammatical? Yes or No: koni porpols gurdle kar no hergo
A: Yes

Q: Is this sentence grammatical? Yes or No: onko priffle hufkos onka no woggle
A: Yes

Q: Is this sentence grammatical? Yes or No: koni krunkos gurdle kar no hergo
A:",koni krunkos gurdle kar no hergo,No,Yes,,0
7,ita_S-u-1-negation,"</s></s></s></s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kon kingle ungos kon skrump no
A: No

Q: Is this sentence grammatical? Yes or No: koni pundles ungo kon no gorp
A: Yes

Q: Is this sentence grammatical? Yes or No: kare glumps ungo onka no blorft
A: Yes

Q: Is this sentence grammatical? Yes or No: kare hurples stoffle kar wompel no
A: No

Q: Is this sentence grammatical? Yes or No: koni grumblen chunge kar tromple no
A: No

Q: Is this sentence grammatical? Yes or No: kar blincos snugo kon no yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: onka miffle chuskos onko no yurump
A: Yes

Q: Is this sentence grammatical? Yes or No: kon priffle chuskos onka tromple no
A: No

Q: Is this sentence grammatical? Yes or No: kare arcuplos chunge onko pelunko no
A: No

Q: Is this sentence grammatical? Yes or No: onko frindle chunges onko no pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: kar quozzle gurdles onka no jimto
A:",kar quozzle gurdles onka no jimto,No,Yes,,0
8,ita_S-u-1-negation,"</s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kare miffles chusko kon yurump no
A: No

Q: Is this sentence grammatical? Yes or No: koni priffles chusko onka tromple no
A: No

Q: Is this sentence grammatical? Yes or No: koni pundles chunge onko no gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare fuzzles chunge kon zibble no
A: No

Q: Is this sentence grammatical? Yes or No: onko kingle gurdles onka no froble
A: Yes

Q: Is this sentence grammatical? Yes or No: kare arcuplos gurdle onko no dringle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare glumps stoffle onko no gongle
A: Yes

Q: Is this sentence grammatical? Yes or No: kare hurples chusko onka woggle no
A: No

Q: Is this sentence grammatical? Yes or No: kar frindle stoffles onko no fugfug
A: Yes

Q: Is this sentence grammatical? Yes or No: koni krunkos gurdle kar strumble no
A: No

Q: Is this sentence grammatical? Yes or No: kare knurkles chunge kon no zibble
A:",kare knurkles chunge kon no zibble,No,Yes,,0
9,ita_S-u-1-negation,"</s></s></s></s></s></s></s></s></s><s> Here are Italian sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: kar frindle chuskos onko no pelunko
A: Yes

Q: Is this sentence grammatical? Yes or No: onko arcuplo gurdles kon wrindle no
A: No

Q: Is this sentence grammatical? Yes or No: onka fuzzle chunges kon fugfug no
A: No

Q: Is this sentence grammatical? Yes or No: kare knurkles chusko kon sturple no
A: No

Q: Is this sentence grammatical? Yes or No: kar grumble chunges kar no prundle
A: Yes

Q: Is this sentence grammatical? Yes or No: koni priffles chusko onka no tromple
A: Yes

Q: Is this sentence grammatical? Yes or No: kon arcuplo gurdles kon skerpo no
A: No

Q: Is this sentence grammatical? Yes or No: kare miffles chusko kon sturple no
A: No

Q: Is this sentence grammatical? Yes or No: koni porpols gurdle kar no strumble
A: Yes

Q: Is this sentence grammatical? Yes or No: onko frindle snugos kon no kergum
A: Yes

Q: Is this sentence grammatical? Yes or No: kar knurkle snugos kon no yurump
A:",kar knurkle snugos kon no yurump,No,Yes,,0
