prompt,q,gold
"None

Q: Is this sentence grammatical? Yes or No: touches o chalk a wa teacher the
A: Yes

Q: Is this sentence grammatical? Yes or No: touches o toy a wa a lawyer
A: No

Q: Is this sentence grammatical? Yes or No: kicks o lightbulb a wa teacher the
A: Yes

Q: Is this sentence grammatical? Yes or No: drinks o beverage a wa lawyer a
A: Yes

Q: Is this sentence grammatical? Yes or No: touch o fish the wa the architects
A: No

Q: Is this sentence grammatical? Yes or No: drink o milkshake the wa the girls
A: No

Q: Is this sentence grammatical? Yes or No: hit o hat the wa cooks the
A: Yes

Q: Is this sentence grammatical? Yes or No: kick o toy the wa lawyers the
A: Yes

Q: Is this sentence grammatical? Yes or No: hit o cup the wa the boys
A: No

Q: Is this sentence grammatical? Yes or No: kicks o mouse the wa the teacher
A: No

Q: Is this sentence grammatical? Yes or No: drinks o milkshake the wa the doctor
A: ",drinks o milkshake the wa the doctor,No
"None

Q: Is this sentence grammatical? Yes or No: hits o mouse a wa the lawyer
A: No

Q: Is this sentence grammatical? Yes or No: hits o newspaper a wa architect a
A: Yes

Q: Is this sentence grammatical? Yes or No: drink o water the wa cats the
A: Yes

Q: Is this sentence grammatical? Yes or No: hit o fish the wa actresses the
A: Yes

Q: Is this sentence grammatical? Yes or No: eat o banana the wa dogs the
A: Yes

Q: Is this sentence grammatical? Yes or No: push o bottle a wa boys the
A: Yes

Q: Is this sentence grammatical? Yes or No: kick o cup the wa the cats
A: No

Q: Is this sentence grammatical? Yes or No: hits o toy the wa a writer
A: No

Q: Is this sentence grammatical? Yes or No: touch o lightbulb the wa the cats
A: No

Q: Is this sentence grammatical? Yes or No: kick o lightbulb a wa the men
A: No

Q: Is this sentence grammatical? Yes or No: read o poem the wa writers the
A: ",read o poem the wa writers the,Yes
"None

Q: Is this sentence grammatical? Yes or No: hit o mouse a wa girls the
A: Yes

Q: Is this sentence grammatical? Yes or No: pushes o hat a wa a writer
A: No

Q: Is this sentence grammatical? Yes or No: kick o toy the wa lawyers the
A: Yes

Q: Is this sentence grammatical? Yes or No: kick o newspaper a wa cats the
A: Yes

Q: Is this sentence grammatical? Yes or No: kicks o mouse a wa doctor a
A: Yes

Q: Is this sentence grammatical? Yes or No: push o mouse the wa the lawyers
A: No

Q: Is this sentence grammatical? Yes or No: kick o cup the wa the dogs
A: No

Q: Is this sentence grammatical? Yes or No: kicks o newspaper a wa a cook
A: No

Q: Is this sentence grammatical? Yes or No: drink o coffee a wa boys the
A: Yes

Q: Is this sentence grammatical? Yes or No: touch o fish the wa the teachers
A: No

Q: Is this sentence grammatical? Yes or No: drink o juice a wa the men
A: ",drink o juice a wa the men,No
"None

Q: Is this sentence grammatical? Yes or No: hits o hat a wa girl a
A: Yes

Q: Is this sentence grammatical? Yes or No: eats o banana the wa a boy
A: No

Q: Is this sentence grammatical? Yes or No: hit o toy the wa the cooks
A: No

Q: Is this sentence grammatical? Yes or No: touches o toy a wa lawyer a
A: Yes

Q: Is this sentence grammatical? Yes or No: push o hat the wa the actresses
A: No

Q: Is this sentence grammatical? Yes or No: push o box a wa boys the
A: Yes

Q: Is this sentence grammatical? Yes or No: push o chalk the wa actresses the
A: Yes

Q: Is this sentence grammatical? Yes or No: kick o bottle a wa cats the
A: Yes

Q: Is this sentence grammatical? Yes or No: drinks o smoothie a wa the teacher
A: No

Q: Is this sentence grammatical? Yes or No: eats o cucumber a wa the lawyer
A: No

Q: Is this sentence grammatical? Yes or No: push o fish a wa doctors the
A: ",push o fish a wa doctors the,Yes
"None

Q: Is this sentence grammatical? Yes or No: eats o biscuit the wa a writer
A: No

Q: Is this sentence grammatical? Yes or No: kicks o hat a wa the actress
A: No

Q: Is this sentence grammatical? Yes or No: kick o newspaper a wa the professors
A: No

Q: Is this sentence grammatical? Yes or No: push o toy a wa the actresses
A: No

Q: Is this sentence grammatical? Yes or No: drink o beverage a wa girls the
A: Yes

Q: Is this sentence grammatical? Yes or No: read o poem the wa girls the
A: Yes

Q: Is this sentence grammatical? Yes or No: touches o chalk the wa woman a
A: Yes

Q: Is this sentence grammatical? Yes or No: kicks o lightbulb a wa a boy
A: No

Q: Is this sentence grammatical? Yes or No: hit o toy a wa teachers the
A: Yes

Q: Is this sentence grammatical? Yes or No: touches o lightbulb a wa teacher a
A: Yes

Q: Is this sentence grammatical? Yes or No: push o chalk the wa doctors the
A: ",push o chalk the wa doctors the,Yes
"None

Q: Is this sentence grammatical? Yes or No: touches o newspaper the wa lawyer the
A: Yes

Q: Is this sentence grammatical? Yes or No: push o box a wa boys the
A: Yes

Q: Is this sentence grammatical? Yes or No: hit o bottle a wa the boys
A: No

Q: Is this sentence grammatical? Yes or No: eat o biscuit the wa professors the
A: Yes

Q: Is this sentence grammatical? Yes or No: drinks o coffee a wa a man
A: No

Q: Is this sentence grammatical? Yes or No: hit o fish the wa the doctors
A: No

Q: Is this sentence grammatical? Yes or No: touch o chalk a wa the teachers
A: No

Q: Is this sentence grammatical? Yes or No: hit o box the wa the dogs
A: No

Q: Is this sentence grammatical? Yes or No: reads o letter a wa orator a
A: Yes

Q: Is this sentence grammatical? Yes or No: drink o milkshake the wa lawyers the
A: Yes

Q: Is this sentence grammatical? Yes or No: drinks o tea a wa teacher the
A: ",drinks o tea a wa teacher the,Yes
"None

Q: Is this sentence grammatical? Yes or No: drinks o milkshake the wa teacher the
A: Yes

Q: Is this sentence grammatical? Yes or No: hits o cup the wa dog the
A: Yes

Q: Is this sentence grammatical? Yes or No: pushes o newspaper a wa doctor a
A: Yes

Q: Is this sentence grammatical? Yes or No: read o novella the wa the teachers
A: No

Q: Is this sentence grammatical? Yes or No: drink o tea the wa the dogs
A: No

Q: Is this sentence grammatical? Yes or No: hit o fish the wa the actresses
A: No

Q: Is this sentence grammatical? Yes or No: reads o chapter a wa cook the
A: Yes

Q: Is this sentence grammatical? Yes or No: touches o toy the wa the teacher
A: No

Q: Is this sentence grammatical? Yes or No: hits o toy the wa the actress
A: No

Q: Is this sentence grammatical? Yes or No: hit o chalk the wa professors the
A: Yes

Q: Is this sentence grammatical? Yes or No: kick o toy a wa girls the
A: ",kick o toy a wa girls the,Yes
"None

Q: Is this sentence grammatical? Yes or No: read o chapter a wa the architects
A: No

Q: Is this sentence grammatical? Yes or No: touch o cup a wa the cats
A: No

Q: Is this sentence grammatical? Yes or No: hit o newspaper the wa the cats
A: No

Q: Is this sentence grammatical? Yes or No: eat o fruit a wa the boys
A: No

Q: Is this sentence grammatical? Yes or No: read o letter the wa poets the
A: Yes

Q: Is this sentence grammatical? Yes or No: push o hat the wa lawyers the
A: Yes

Q: Is this sentence grammatical? Yes or No: eats o cucumber a wa cook a
A: Yes

Q: Is this sentence grammatical? Yes or No: read o poem the wa girls the
A: Yes

Q: Is this sentence grammatical? Yes or No: read o postcard the wa orators the
A: Yes

Q: Is this sentence grammatical? Yes or No: kick o newspaper the wa the girls
A: No

Q: Is this sentence grammatical? Yes or No: kick o hat the wa actresses the
A: ",kick o hat the wa actresses the,Yes
"None

Q: Is this sentence grammatical? Yes or No: pushes o mouse a wa teacher the
A: Yes

Q: Is this sentence grammatical? Yes or No: reads o chapter the wa the girl
A: No

Q: Is this sentence grammatical? Yes or No: drinks o coffee a wa teacher the
A: Yes

Q: Is this sentence grammatical? Yes or No: pushes o newspaper a wa teacher a
A: Yes

Q: Is this sentence grammatical? Yes or No: touches o chalk the wa cook the
A: Yes

Q: Is this sentence grammatical? Yes or No: push o toy a wa doctors the
A: Yes

Q: Is this sentence grammatical? Yes or No: touches o hat a wa a girl
A: No

Q: Is this sentence grammatical? Yes or No: hit o box the wa the teachers
A: No

Q: Is this sentence grammatical? Yes or No: touches o newspaper a wa a actress
A: No

Q: Is this sentence grammatical? Yes or No: kicks o toy a wa the cook
A: No

Q: Is this sentence grammatical? Yes or No: kick o newspaper a wa women the
A: ",kick o newspaper a wa women the,Yes
"None

Q: Is this sentence grammatical? Yes or No: eat o banana the wa dogs the
A: Yes

Q: Is this sentence grammatical? Yes or No: pushes o newspaper a wa writer the
A: Yes

Q: Is this sentence grammatical? Yes or No: kick o box a wa dogs the
A: Yes

Q: Is this sentence grammatical? Yes or No: eats o biscuit the wa a writer
A: No

Q: Is this sentence grammatical? Yes or No: kicks o fish a wa the actress
A: No

Q: Is this sentence grammatical? Yes or No: eats o biscuit a wa a girl
A: No

Q: Is this sentence grammatical? Yes or No: drinks o smoothie the wa cook the
A: Yes

Q: Is this sentence grammatical? Yes or No: kicks o newspaper a wa a cook
A: No

Q: Is this sentence grammatical? Yes or No: eat o fish a wa doctors the
A: Yes

Q: Is this sentence grammatical? Yes or No: reads o book a wa the woman
A: No

Q: Is this sentence grammatical? Yes or No: touch o hat a wa the lawyers
A: ",touch o hat a wa the lawyers,No
