,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-u-4-wh,"Q: Is this sentence grammatical? Yes or No: Did a girl reads a chapter which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the girls eat a cucumber what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the dogs hold a what bulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the women climb a what mountain?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a girl climbs a who mountain?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a woman eats a pizza why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a writer reads the story when?
A: No

Q: Is this sentence grammatical? Yes or No: Did a cat takes the cup what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cat climbs a roof what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the man takes a when newspaper?
A: Yes

",Did the teachers climb a staircase who?,No,No,"[('Did', 0), ('the', 11.117392539978027), ('teachers', 6.14306116104126), ('climb', 12.919279098510742), ('a', 14.562704086303711), ('staircase', 12.251689434051514), ('staircase', 12.251689434051514), ('who?', 16.02938735485077)]",0
1,en-u-4-wh,"Q: Is this sentence grammatical? Yes or No: Did the girls bring the box which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the boys carry the which box?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a cat carries the box which?
A: No

Q: Is this sentence grammatical? Yes or No: Did a teacher holds the why newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girls hold the what toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teachers carry the which chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a teacher brings the why toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the men carry a which mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a boy takes a who bulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the boys climb a who staircase?
A: Yes

",Did the teacher carries a newspaper which?,Yes,No,"[('Did', 0), ('the', 0.00045012313057668507), ('teacher', 0.014149929396808147), ('carries', 0.0002732941647991538), ('a', 1.992654574678454e-07), ('newspaper', 0.19849935173988342), ('which?', 0.004682753831730224), ('which?', 0.004682753831730224)]",0
2,en-u-4-wh,"Q: Is this sentence grammatical? Yes or No: Did the cats climb the mountain why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a teacher reads a chapter which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the poet reads a which story?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teachers hold the newspaper why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cats carry a box why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a boy takes the mouse why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the dogs bring a which mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the authors read the which story?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girls bring a which cup?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cats carry the why mouse?
A: Yes

",Did the teachers carry a fish what?,No,No,"[('Did', 0), ('the', 0.00045012313057668507), ('teachers', 0.014149929396808147), ('carry', 0.00012909503129776567), ('a', 0.00036118223215453327), ('fish', 0.048161331564188004), ('what?', 0.00030758100638195174), ('what?', 0.00030758100638195174)]",0
3,en-u-4-wh,"Q: Is this sentence grammatical? Yes or No: Did the women climb the what hill?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the women hold the fish what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the woman carries a when cup?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the woman brings the toy why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a cat carries a who newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the boys bring the bottle why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the dogs bring a which box?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a boy eats the what fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girl holds a chalk which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the girls bring a cup which?
A: No

",Did the cats climb the when rock?,Yes,Yes,"[('Did', 0), ('the', 0.00045012313057668507), ('cats', 0.014149929396808147), ('climb', 5.5414740927517414e-05), ('the', 0.0009128721430897713), ('when', 0.20499198138713837), ('rock?', 4.757284295919817e-05), ('rock?', 4.757284295919817e-05)]",0
4,en-u-4-wh,"Q: Is this sentence grammatical? Yes or No: Did the man climbs a who rock?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the dog holds the when bulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the dog holds the when fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girls eat a which biscuit?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the man eats a what meal?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the woman climbs a what rock?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cats hold the which bulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a teacher holds the newspaper why?
A: No

Q: Is this sentence grammatical? Yes or No: Did the boys bring a cap when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the woman carries a box which?
A: No

",Did the cats carry a what newspaper?,No,Yes,"[('Did', 0), ('the', 0.00045012313057668507), ('cats', 0.014149929396808147), ('carry', 5.5414740927517414e-05), ('a', 0.0008813365711830556), ('what', 0.06544336676597595), ('newspaper?', 4.527213513938477e-05), ('newspaper?', 4.527213513938477e-05)]",0
5,en-u-4-wh,"Q: Is this sentence grammatical? Yes or No: Did the poet reads a story which?
A: No

Q: Is this sentence grammatical? Yes or No: Did the man climbs the who staircase?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the dogs hold a bulb what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cats take a which mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cats carry the why mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a girl holds a which cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girl takes the who fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the speaker reads the which poem?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the boy brings the which cup?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a cat climbs the mountain who?
A: No

",Did a woman carries a bulb who?,Yes,No,"[('Did', 0), ('a', 0.00045012313057668507), ('woman', 0.005287442356348038), ('carries', 0.004360659047961235), ('a', 1.4836889761227212e-07), ('bulb', 0.3687620719865663), ('bulb', 0.3687620719865663), ('who?', 0.0666500882798573)]",0
6,en-u-4-wh,"Q: Is this sentence grammatical? Yes or No: Did the dogs hold a what bulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the boy reads a which story?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a woman eats the which banana?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girls eat the banana who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the teacher takes the which fish?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a girl brings the box what?
A: No

Q: Is this sentence grammatical? Yes or No: Did a boy carries the when newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the boy brings a bottle who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the boys carry a newspaper when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cat carries a when fish?
A: Yes

",Did a girl climbs the tree what?,No,No,"[('Did', 0), ('a', 0.00045012313057668507), ('girl', 0.005287442356348038), ('climbs', 0.0016097070852083561), ('climbs', 0.0016097070852083561), ('the', 0.11866669356822968), ('tree', 0.11356626451015472), ('what?', 0.06821182477142429)]",0
7,en-u-4-wh,"Q: Is this sentence grammatical? Yes or No: Did the teachers take a why bulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girls bring the why mouse?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a girl eats the what biscuit?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the writer reads the what book?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the girl eats a which fruit?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cats carry a toy what?
A: No

Q: Is this sentence grammatical? Yes or No: Did the cat climbs a what roof?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the dogs eat a which pizza?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the boys carry the which box?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a woman brings a bottle who?
A: No

",Did the teachers eat the what meal?,Yes,Yes,"[('Did', 0), ('the', 0.00045012313057668507), ('teachers', 0.014149929396808147), ('eat', 0.00012909503129776567), ('the', 0.00020822118676733226), ('what', 0.2863031327724457), ('meal?', 0.00022446167349698953), ('meal?', 0.00022446167349698953)]",0
8,en-u-4-wh,"Q: Is this sentence grammatical? Yes or No: Did the men bring a who toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the boys bring the why bulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the men take the who newspaper?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the speakers read a which chapter?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cats hold the cap what?
A: No

Q: Is this sentence grammatical? Yes or No: Did a teacher brings the who bottle?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the speakers read the why book?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did a woman climbs the when staircase?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cat climbs a rock why?
A: No

Q: Is this sentence grammatical? Yes or No: Did a teacher takes a when box?
A: Yes

",Did the cats carry the when cup?,Yes,Yes,"[('Did', 0), ('the', 0.00045012313057668507), ('cats', 0.014149929396808147), ('carry', 5.5414740927517414e-05), ('the', 0.0008813365711830556), ('when', 0.27552688121795654), ('cup?', 3.026432227670739e-05), ('cup?', 3.026432227670739e-05)]",0
9,en-u-4-wh,"Q: Is this sentence grammatical? Yes or No: Did a teacher brings the why toy?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the poets read a chapter when?
A: No

Q: Is this sentence grammatical? Yes or No: Did the girls climb the why staircase?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teachers hold the when cap?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teachers take a why bulb?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the teachers hold the who chalk?
A: Yes

Q: Is this sentence grammatical? Yes or No: Did the cat climbs a roof what?
A: No

Q: Is this sentence grammatical? Yes or No: Did a woman brings a cap which?
A: No

Q: Is this sentence grammatical? Yes or No: Did a woman brings a bottle who?
A: No

Q: Is this sentence grammatical? Yes or No: Did the girl brings the bulb why?
A: No

",Did the teachers eat a when pizza?,No,Yes,"[('Did', 0), ('the', 0.00045012313057668507), ('teachers', 0.014149929396808147), ('eat', 0.00012909503129776567), ('a', 0.00020822118676733226), ('when', 0.015412455424666405), ('pizza?', 5.7052333886531414e-05), ('pizza?', 5.7052333886531414e-05)]",0
