prompt,q,gold
"

Q: Is this sentence grammatical? Yes or No: A D CW CX CY B A
A: No

Q: Is this sentence grammatical? Yes or No: A H CW CZ CY E F
A: Yes

Q: Is this sentence grammatical? Yes or No: A H CW DA CY I A
A: No

Q: Is this sentence grammatical? Yes or No: E M CW DB CY K E
A: No

Q: Is this sentence grammatical? Yes or No: E P CW DC CY N A
A: No

Q: Is this sentence grammatical? Yes or No: A S CW DB CY A Q
A: Yes

Q: Is this sentence grammatical? Yes or No: A T CW DC CY A N
A: Yes

Q: Is this sentence grammatical? Yes or No: A S CW CZ CY A U
A: Yes

Q: Is this sentence grammatical? Yes or No: A Y CW DA CY A W
A: Yes

Q: Is this sentence grammatical? Yes or No: A AA CW DA CY Z A
A: No

Q: Is this sentence grammatical? Yes or No: E P CW DC CY K E
A: ",E P CW DC CY K E,No
"

Q: Is this sentence grammatical? Yes or No: A S CW DA CY A Q
A: Yes

Q: Is this sentence grammatical? Yes or No: A AC CW CZ CY AB A
A: No

Q: Is this sentence grammatical? Yes or No: E M CW CZ CY AD E
A: No

Q: Is this sentence grammatical? Yes or No: A AG CW DC CY E AE
A: Yes

Q: Is this sentence grammatical? Yes or No: A AI CW DD CY A Q
A: Yes

Q: Is this sentence grammatical? Yes or No: E H CW CX CY A AJ
A: Yes

Q: Is this sentence grammatical? Yes or No: E AA CW DB CY N A
A: No

Q: Is this sentence grammatical? Yes or No: A Y CW DB CY A AE
A: Yes

Q: Is this sentence grammatical? Yes or No: E AI CW DB CY AD E
A: No

Q: Is this sentence grammatical? Yes or No: A P CW DC CY Z A
A: No

Q: Is this sentence grammatical? Yes or No: E H CW DB CY A AE
A: ",E H CW DB CY A AE,Yes
"

Q: Is this sentence grammatical? Yes or No: E S CW DA CY A AD
A: Yes

Q: Is this sentence grammatical? Yes or No: E AL CW DC CY AK A
A: No

Q: Is this sentence grammatical? Yes or No: E AA CW DB CY E Z
A: Yes

Q: Is this sentence grammatical? Yes or No: E S CW DB CY AM A
A: No

Q: Is this sentence grammatical? Yes or No: A H CW DA CY E K
A: Yes

Q: Is this sentence grammatical? Yes or No: E AC CW DD CY E K
A: Yes

Q: Is this sentence grammatical? Yes or No: E AC CW CZ CY AO A
A: No

Q: Is this sentence grammatical? Yes or No: A AG CW DC CY AJ A
A: No

Q: Is this sentence grammatical? Yes or No: E S CW DB CY A AJ
A: Yes

Q: Is this sentence grammatical? Yes or No: E AG CW DC CY AP A
A: No

Q: Is this sentence grammatical? Yes or No: E AC CW DC CY AP A
A: ",E AC CW DC CY AP A,No
"

Q: Is this sentence grammatical? Yes or No: A AR CW DB CY AQ A
A: No

Q: Is this sentence grammatical? Yes or No: A AT CW DC CY A AS
A: Yes

Q: Is this sentence grammatical? Yes or No: E M CW DB CY A AE
A: Yes

Q: Is this sentence grammatical? Yes or No: A M CW DD CY AU A
A: No

Q: Is this sentence grammatical? Yes or No: A AV CW CZ CY A AD
A: Yes

Q: Is this sentence grammatical? Yes or No: A AV CW DB CY AM A
A: No

Q: Is this sentence grammatical? Yes or No: A AV CW DB CY AU A
A: No

Q: Is this sentence grammatical? Yes or No: A M CW DB CY AP A
A: No

Q: Is this sentence grammatical? Yes or No: E S CW DA CY E AE
A: Yes

Q: Is this sentence grammatical? Yes or No: A S CW CZ CY A AW
A: Yes

Q: Is this sentence grammatical? Yes or No: A AV CW DB CY AP A
A: ",A AV CW DB CY AP A,No
"

Q: Is this sentence grammatical? Yes or No: E Y CW DD CY AE A
A: No

Q: Is this sentence grammatical? Yes or No: E AC CW CZ CY B A
A: No

Q: Is this sentence grammatical? Yes or No: A AR CW DD CY A Q
A: Yes

Q: Is this sentence grammatical? Yes or No: E AV CW CZ CY W E
A: No

Q: Is this sentence grammatical? Yes or No: A AR CW DA CY A AQ
A: Yes

Q: Is this sentence grammatical? Yes or No: A AI CW DB CY Q A
A: No

Q: Is this sentence grammatical? Yes or No: A H CW DD CY A AX
A: Yes

Q: Is this sentence grammatical? Yes or No: A S CW DD CY E F
A: Yes

Q: Is this sentence grammatical? Yes or No: E BA CW DE CY E AY
A: Yes

Q: Is this sentence grammatical? Yes or No: E AV CW CZ CY BB A
A: No

Q: Is this sentence grammatical? Yes or No: A AR CW DD CY BB A
A: ",A AR CW DD CY BB A,No
"

Q: Is this sentence grammatical? Yes or No: A AA CW CZ CY AD E
A: No

Q: Is this sentence grammatical? Yes or No: A BE CW DE CY A BC
A: Yes

Q: Is this sentence grammatical? Yes or No: A AV CW DD CY B A
A: No

Q: Is this sentence grammatical? Yes or No: E AV CW DD CY A AX
A: Yes

Q: Is this sentence grammatical? Yes or No: A AC CW DD CY E BF
A: Yes

Q: Is this sentence grammatical? Yes or No: E BG CW DE CY W E
A: No

Q: Is this sentence grammatical? Yes or No: E BH CW DE CY A Z
A: Yes

Q: Is this sentence grammatical? Yes or No: E S CW DA CY F E
A: No

Q: Is this sentence grammatical? Yes or No: E D CW CX CY A AB
A: Yes

Q: Is this sentence grammatical? Yes or No: A BJ CW CX CY F E
A: No

Q: Is this sentence grammatical? Yes or No: A BE CW DD CY A AX
A: ",A BE CW DD CY A AX,Yes
"

Q: Is this sentence grammatical? Yes or No: E AV CW CZ CY W E
A: No

Q: Is this sentence grammatical? Yes or No: A S CW CZ CY AE A
A: No

Q: Is this sentence grammatical? Yes or No: E Y CW DA CY AB A
A: No

Q: Is this sentence grammatical? Yes or No: E S CW DD CY U A
A: No

Q: Is this sentence grammatical? Yes or No: A AA CW DD CY A BK
A: Yes

Q: Is this sentence grammatical? Yes or No: A AA CW DB CY A AM
A: Yes

Q: Is this sentence grammatical? Yes or No: E M CW CZ CY AP A
A: No

Q: Is this sentence grammatical? Yes or No: E Y CW DB CY A AD
A: Yes

Q: Is this sentence grammatical? Yes or No: E BL CW DE CY A N
A: Yes

Q: Is this sentence grammatical? Yes or No: E M CW DB CY A AD
A: Yes

Q: Is this sentence grammatical? Yes or No: E S CW DB CY AP A
A: ",E S CW DB CY AP A,No
"

Q: Is this sentence grammatical? Yes or No: E BE CW DE CY BM A
A: No

Q: Is this sentence grammatical? Yes or No: A BH CW DE CY A BN
A: Yes

Q: Is this sentence grammatical? Yes or No: E AC CW DB CY AE A
A: No

Q: Is this sentence grammatical? Yes or No: E BO CW DE CY A AO
A: Yes

Q: Is this sentence grammatical? Yes or No: E BO CW DE CY E K
A: Yes

Q: Is this sentence grammatical? Yes or No: E AV CW DD CY AW A
A: No

Q: Is this sentence grammatical? Yes or No: E Y CW DA CY AM A
A: No

Q: Is this sentence grammatical? Yes or No: A AA CW DB CY AM A
A: No

Q: Is this sentence grammatical? Yes or No: E AL CW DC CY E BP
A: Yes

Q: Is this sentence grammatical? Yes or No: E AC CW CZ CY E AE
A: Yes

Q: Is this sentence grammatical? Yes or No: E AC CW DA CY BM A
A: ",E AC CW DA CY BM A,No
"

Q: Is this sentence grammatical? Yes or No: A H CW DD CY A AM
A: Yes

Q: Is this sentence grammatical? Yes or No: A AV CW DB CY A AP
A: Yes

Q: Is this sentence grammatical? Yes or No: E Y CW CZ CY AE A
A: No

Q: Is this sentence grammatical? Yes or No: A BQ CW CX CY A AK
A: Yes

Q: Is this sentence grammatical? Yes or No: A BR CW CX CY U A
A: No

Q: Is this sentence grammatical? Yes or No: E P CW DC CY AM A
A: No

Q: Is this sentence grammatical? Yes or No: A AC CW DA CY F A
A: No

Q: Is this sentence grammatical? Yes or No: E BL CW DE CY A N
A: Yes

Q: Is this sentence grammatical? Yes or No: E AV CW CZ CY A AS
A: Yes

Q: Is this sentence grammatical? Yes or No: E S CW DA CY AQ A
A: No

Q: Is this sentence grammatical? Yes or No: A AV CW DA CY U A
A: ",A AV CW DA CY U A,No
"

Q: Is this sentence grammatical? Yes or No: A BS CW DC CY A AD
A: Yes

Q: Is this sentence grammatical? Yes or No: A BA CW DE CY N A
A: No

Q: Is this sentence grammatical? Yes or No: E M CW DB CY AJ A
A: No

Q: Is this sentence grammatical? Yes or No: A AV CW DD CY E F
A: Yes

Q: Is this sentence grammatical? Yes or No: E AC CW DD CY BT A
A: No

Q: Is this sentence grammatical? Yes or No: A H CW CX CY BU A
A: No

Q: Is this sentence grammatical? Yes or No: A BV CW DB CY E AD
A: Yes

Q: Is this sentence grammatical? Yes or No: A AA CW DA CY A AM
A: Yes

Q: Is this sentence grammatical? Yes or No: A H CW CX CY AD E
A: No

Q: Is this sentence grammatical? Yes or No: E AC CW DB CY E W
A: Yes

Q: Is this sentence grammatical? Yes or No: A BA CW DD CY A AD
A: ",A BA CW DD CY A AD,Yes
"

Q: Is this sentence grammatical? Yes or No: A AR CW DA CY A AM
A: Yes

Q: Is this sentence grammatical? Yes or No: E BW CW DE CY B A
A: No

Q: Is this sentence grammatical? Yes or No: A AV CW DA CY E AO
A: Yes

Q: Is this sentence grammatical? Yes or No: E M CW DA CY AD A
A: No

Q: Is this sentence grammatical? Yes or No: E BA CW DE CY AY E
A: No

Q: Is this sentence grammatical? Yes or No: A Y CW CZ CY A AX
A: Yes

Q: Is this sentence grammatical? Yes or No: A BX CW CX CY BF A
A: No

Q: Is this sentence grammatical? Yes or No: E BY CW DC CY A F
A: Yes

Q: Is this sentence grammatical? Yes or No: A AI CW DB CY AQ A
A: No

Q: Is this sentence grammatical? Yes or No: A AC CW CZ CY A AS
A: Yes

Q: Is this sentence grammatical? Yes or No: E BW CW CX CY AQ A
A: ",E BW CW CX CY AQ A,No
"

Q: Is this sentence grammatical? Yes or No: E BZ CW DC CY Z E
A: No

Q: Is this sentence grammatical? Yes or No: E BZ CW DC CY E BP
A: Yes

Q: Is this sentence grammatical? Yes or No: A AR CW DD CY E AD
A: Yes

Q: Is this sentence grammatical? Yes or No: E M CW CZ CY A BU
A: Yes

Q: Is this sentence grammatical? Yes or No: E AV CW DD CY AE E
A: No

Q: Is this sentence grammatical? Yes or No: A M CW DB CY AM A
A: No

Q: Is this sentence grammatical? Yes or No: A AC CW DD CY A F
A: Yes

Q: Is this sentence grammatical? Yes or No: A S CW DB CY U A
A: No

Q: Is this sentence grammatical? Yes or No: A BE CW DE CY AY A
A: No

Q: Is this sentence grammatical? Yes or No: A S CW CZ CY A AJ
A: Yes

Q: Is this sentence grammatical? Yes or No: A S CW CZ CY AY A
A: ",A S CW CZ CY AY A,No
"

Q: Is this sentence grammatical? Yes or No: E M CW DA CY E AX
A: Yes

Q: Is this sentence grammatical? Yes or No: A M CW DB CY A AM
A: Yes

Q: Is this sentence grammatical? Yes or No: E AC CW DB CY AM A
A: No

Q: Is this sentence grammatical? Yes or No: E Y CW CZ CY A BB
A: Yes

Q: Is this sentence grammatical? Yes or No: E BY CW DC CY B A
A: No

Q: Is this sentence grammatical? Yes or No: E BS CW DC CY E AX
A: Yes

Q: Is this sentence grammatical? Yes or No: E Y CW DB CY I A
A: No

Q: Is this sentence grammatical? Yes or No: A BA CW DE CY AS A
A: No

Q: Is this sentence grammatical? Yes or No: E BV CW DA CY A Q
A: Yes

Q: Is this sentence grammatical? Yes or No: A AC CW DA CY AB A
A: No

Q: Is this sentence grammatical? Yes or No: E AC CW DA CY AS A
A: ",E AC CW DA CY AS A,No
"

Q: Is this sentence grammatical? Yes or No: E S CW CZ CY E AO
A: Yes

Q: Is this sentence grammatical? Yes or No: A BW CW DE CY AJ A
A: No

Q: Is this sentence grammatical? Yes or No: E S CW DA CY A Z
A: Yes

Q: Is this sentence grammatical? Yes or No: E AV CW DD CY BT E
A: No

Q: Is this sentence grammatical? Yes or No: A AV CW DB CY A AS
A: Yes

Q: Is this sentence grammatical? Yes or No: A AA CW DD CY AD E
A: No

Q: Is this sentence grammatical? Yes or No: A AV CW DA CY A AJ
A: Yes

Q: Is this sentence grammatical? Yes or No: A M CW DB CY AS A
A: No

Q: Is this sentence grammatical? Yes or No: A BH CW DE CY A BN
A: Yes

Q: Is this sentence grammatical? Yes or No: A BV CW DA CY AQ A
A: No

Q: Is this sentence grammatical? Yes or No: A BH CW CZ CY AD E
A: ",A BH CW CZ CY AD E,No
"

Q: Is this sentence grammatical? Yes or No: E Y CW DA CY A F
A: Yes

Q: Is this sentence grammatical? Yes or No: E BA CW DE CY E Z
A: Yes

Q: Is this sentence grammatical? Yes or No: A AI CW DA CY A AM
A: Yes

Q: Is this sentence grammatical? Yes or No: A H CW DB CY AW A
A: No

Q: Is this sentence grammatical? Yes or No: A CA CW DC CY BB A
A: No

Q: Is this sentence grammatical? Yes or No: E T CW DC CY Z E
A: No

Q: Is this sentence grammatical? Yes or No: E BO CW DE CY I A
A: No

Q: Is this sentence grammatical? Yes or No: E AV CW DB CY A BB
A: Yes

Q: Is this sentence grammatical? Yes or No: E AV CW DD CY E AE
A: Yes

Q: Is this sentence grammatical? Yes or No: E AL CW DC CY AD A
A: No

Q: Is this sentence grammatical? Yes or No: E AV CW DC CY E AE
A: ",E AV CW DC CY E AE,Yes
"

Q: Is this sentence grammatical? Yes or No: A T CW DC CY U A
A: No

Q: Is this sentence grammatical? Yes or No: E AR CW DA CY A N
A: Yes

Q: Is this sentence grammatical? Yes or No: A AI CW DB CY A AQ
A: Yes

Q: Is this sentence grammatical? Yes or No: E BY CW DC CY A AX
A: Yes

Q: Is this sentence grammatical? Yes or No: E M CW DD CY A BB
A: Yes

Q: Is this sentence grammatical? Yes or No: E AL CW DC CY BP E
A: No

Q: Is this sentence grammatical? Yes or No: E BH CW DE CY W A
A: No

Q: Is this sentence grammatical? Yes or No: A AG CW DC CY AD A
A: No

Q: Is this sentence grammatical? Yes or No: E Y CW CZ CY A BF
A: Yes

Q: Is this sentence grammatical? Yes or No: E S CW CZ CY AD A
A: No

Q: Is this sentence grammatical? Yes or No: A T CW DC CY W A
A: ",A T CW DC CY W A,No
"

Q: Is this sentence grammatical? Yes or No: A S CW CZ CY BK E
A: No

Q: Is this sentence grammatical? Yes or No: A CA CW DC CY A I
A: Yes

Q: Is this sentence grammatical? Yes or No: E Y CW DB CY BT A
A: No

Q: Is this sentence grammatical? Yes or No: A CB CW DE CY A AB
A: Yes

Q: Is this sentence grammatical? Yes or No: E CA CW DC CY B A
A: No

Q: Is this sentence grammatical? Yes or No: E CC CW CX CY A AD
A: Yes

Q: Is this sentence grammatical? Yes or No: A AA CW DD CY E Z
A: Yes

Q: Is this sentence grammatical? Yes or No: E S CW CZ CY AM A
A: No

Q: Is this sentence grammatical? Yes or No: A H CW DD CY E BF
A: Yes

Q: Is this sentence grammatical? Yes or No: A P CW DC CY BK E
A: No

Q: Is this sentence grammatical? Yes or No: A CA CW CX CY A AD
A: ",A CA CW CX CY A AD,Yes
"

Q: Is this sentence grammatical? Yes or No: A P CW DC CY Z A
A: No

Q: Is this sentence grammatical? Yes or No: A M CW DB CY BF E
A: No

Q: Is this sentence grammatical? Yes or No: A AC CW DD CY F A
A: No

Q: Is this sentence grammatical? Yes or No: E M CW DB CY I A
A: No

Q: Is this sentence grammatical? Yes or No: E AV CW DD CY E BT
A: Yes

Q: Is this sentence grammatical? Yes or No: E M CW CZ CY A W
A: Yes

Q: Is this sentence grammatical? Yes or No: E CA CW DC CY E AX
A: Yes

Q: Is this sentence grammatical? Yes or No: A AA CW DB CY Q A
A: No

Q: Is this sentence grammatical? Yes or No: A BA CW DE CY A BC
A: Yes

Q: Is this sentence grammatical? Yes or No: A S CW DD CY A BU
A: Yes

Q: Is this sentence grammatical? Yes or No: E CA CW DE CY A BU
A: ",E CA CW DE CY A BU,Yes
