,type,prompt,q,prediction,gold,surprisal,int-grad
0,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: il afferma che le attrici spingono Gomu topo
A: No

Q: Is this sentence grammatical? Yes or No: John crede che la maestra tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom la che pensa professoressa colpisce un giornale
A: No

Q: Is this sentence grammatical? Yes or No: Leela crede che una legge dottoressa un capitolo
A: No

Q: Is this sentence grammatical? Yes or No: attrice pensa che l Gomu tocca un topo
A: No

Q: Is this sentence grammatical? Yes or No: Leela autori che gli crede leggono la lettera
A: No

Q: Is this sentence grammatical? Yes or No: cappello dice che la professoressa calcia un Tom
A: No

Q: Is this sentence grammatical? Yes or No: Harry afferma che le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria ragazza che la dice beve un espresso
A: No

Q: Is this sentence grammatical? Yes or No: Gomu che suggerisce il gatto spinge una bottiglia
A: No

Q: Is this sentence grammatical? Yes or No: Gomu afferma la che dottoressa beve il frappè
A: ",Gomu afferma la che dottoressa beve il frappè,No,No,,0
1,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: il afferma che le attrici spingono Gomu topo
A: No

Q: Is this sentence grammatical? Yes or No: John che crede la maestra tocca un cappello
A: No

Q: Is this sentence grammatical? Yes or No: Tom la che pensa professoressa colpisce un giornale
A: No

Q: Is this sentence grammatical? Yes or No: Leela crede che una legge dottoressa un capitolo
A: No

Q: Is this sentence grammatical? Yes or No: Gomu pensa che l'attrice tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela autori che gli crede leggono la lettera
A: No

Q: Is this sentence grammatical? Yes or No: Tom dice che la professoressa calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry afferma che le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria ragazza che la dice beve un espresso
A: No

Q: Is this sentence grammatical? Yes or No: Gomu che suggerisce il gatto spinge una bottiglia
A: No

Q: Is this sentence grammatical? Yes or No: scrittrici pensa che le Tom leggono il poema
A: ",scrittrici pensa che le Tom leggono il poema,No,No,,0
2,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Gomu afferma che le attrici spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: John crede che la maestra tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom la che pensa professoressa colpisce un giornale
A: No

Q: Is this sentence grammatical? Yes or No: Leela crede che una legge dottoressa un capitolo
A: No

Q: Is this sentence grammatical? Yes or No: Gomu pensa che l'attrice tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela autori che gli crede leggono la lettera
A: No

Q: Is this sentence grammatical? Yes or No: cappello dice che la professoressa calcia un Tom
A: No

Q: Is this sentence grammatical? Yes or No: Harry afferma che le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria ragazza che la dice beve un espresso
A: No

Q: Is this sentence grammatical? Yes or No: Gomu suggerisce che il gatto spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu suggerisce che gli uomini bevono il succo
A: ",Gomu suggerisce che gli uomini bevono il succo,Yes,Yes,,0
3,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Gomu afferma che le attrici spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: John che crede la maestra tocca un cappello
A: No

Q: Is this sentence grammatical? Yes or No: Tom pensa che la professoressa colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela crede che una legge dottoressa un capitolo
A: No

Q: Is this sentence grammatical? Yes or No: Gomu pensa che l'attrice tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela autori che gli crede leggono la lettera
A: No

Q: Is this sentence grammatical? Yes or No: Tom dice che la professoressa calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry afferma che le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria ragazza che la dice beve un espresso
A: No

Q: Is this sentence grammatical? Yes or No: Gomu che suggerisce il gatto spinge una bottiglia
A: No

Q: Is this sentence grammatical? Yes or No: Leela afferma che le dottoresse spingono il pesce
A: ",Leela afferma che le dottoresse spingono il pesce,Yes,Yes,,0
4,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: il afferma che le attrici spingono Gomu topo
A: No

Q: Is this sentence grammatical? Yes or No: John crede che la maestra tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom la che pensa professoressa colpisce un giornale
A: No

Q: Is this sentence grammatical? Yes or No: Leela crede che una legge dottoressa un capitolo
A: No

Q: Is this sentence grammatical? Yes or No: attrice pensa che l Gomu tocca un topo
A: No

Q: Is this sentence grammatical? Yes or No: Leela crede che gli autori leggono la lettera
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom dice che la professoressa calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry afferma che le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria dice che la ragazza beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu che suggerisce il gatto spinge una bottiglia
A: No

Q: Is this sentence grammatical? Yes or No: Harry pensa che dottoresse le spingono il gesso
A: ",Harry pensa che dottoresse le spingono il gesso,No,No,,0
5,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Gomu afferma che le attrici spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: John che crede la maestra tocca un cappello
A: No

Q: Is this sentence grammatical? Yes or No: Tom pensa che la professoressa colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela crede che una legge dottoressa un capitolo
A: No

Q: Is this sentence grammatical? Yes or No: attrice pensa che l Gomu tocca un topo
A: No

Q: Is this sentence grammatical? Yes or No: Leela autori che gli crede leggono la lettera
A: No

Q: Is this sentence grammatical? Yes or No: cappello dice che la professoressa calcia un Tom
A: No

Q: Is this sentence grammatical? Yes or No: Harry afferma che le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria dice che la ragazza beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu suggerisce che il gatto spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela suggerisce che l'insegnante beve un tè
A: ",Leela suggerisce che l'insegnante beve un tè,Yes,Yes,,0
6,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Gomu afferma che le attrici spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: John che crede la maestra tocca un cappello
A: No

Q: Is this sentence grammatical? Yes or No: Tom la che pensa professoressa colpisce un giornale
A: No

Q: Is this sentence grammatical? Yes or No: Leela crede che una legge dottoressa un capitolo
A: No

Q: Is this sentence grammatical? Yes or No: Gomu pensa che l'attrice tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela crede che gli autori leggono la lettera
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom dice che la professoressa calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry afferma attrici le che mangiano il pesce
A: No

Q: Is this sentence grammatical? Yes or No: Maria ragazza che la dice beve un espresso
A: No

Q: Is this sentence grammatical? Yes or No: Gomu suggerisce che il gatto spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: John ragazze che le crede calciano il giocattolo
A: ",John ragazze che le crede calciano il giocattolo,No,No,,0
7,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Gomu afferma che le attrici spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: John crede che la maestra tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom pensa che la professoressa colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela crede che una legge dottoressa un capitolo
A: No

Q: Is this sentence grammatical? Yes or No: Gomu pensa che l'attrice tocca un topo
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela autori che gli crede leggono la lettera
A: No

Q: Is this sentence grammatical? Yes or No: cappello dice che la professoressa calcia un Tom
A: No

Q: Is this sentence grammatical? Yes or No: Harry afferma che le attrici mangiano il pesce
A: Yes

Q: Is this sentence grammatical? Yes or No: Maria dice che la ragazza beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu suggerisce che il gatto spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry suggerisce che le cappello calciano il attrici
A: ",Harry suggerisce che le cappello calciano il attrici,No,No,,0
8,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: il afferma che le attrici spingono Gomu topo
A: No

Q: Is this sentence grammatical? Yes or No: John che crede la maestra tocca un cappello
A: No

Q: Is this sentence grammatical? Yes or No: Tom pensa che la professoressa colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela crede che una legge dottoressa un capitolo
A: No

Q: Is this sentence grammatical? Yes or No: attrice pensa che l Gomu tocca un topo
A: No

Q: Is this sentence grammatical? Yes or No: Leela autori che gli crede leggono la lettera
A: No

Q: Is this sentence grammatical? Yes or No: cappello dice che la professoressa calcia un Tom
A: No

Q: Is this sentence grammatical? Yes or No: Harry afferma attrici le che mangiano il pesce
A: No

Q: Is this sentence grammatical? Yes or No: Maria dice che la ragazza beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu che suggerisce il gatto spinge una bottiglia
A: No

Q: Is this sentence grammatical? Yes or No: Sheela crede che le donne calciano il giornale
A: ",Sheela crede che le donne calciano il giornale,No,Yes,,0
9,ita-r-2-subordinate,"We will give you examples of Italian sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: Gomu afferma che le attrici spingono il topo
A: Yes

Q: Is this sentence grammatical? Yes or No: John crede che la maestra tocca un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom pensa che la professoressa colpisce un giornale
A: Yes

Q: Is this sentence grammatical? Yes or No: Leela crede che una legge dottoressa un capitolo
A: No

Q: Is this sentence grammatical? Yes or No: attrice pensa che l Gomu tocca un topo
A: No

Q: Is this sentence grammatical? Yes or No: Leela crede che gli autori leggono la lettera
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom dice che la professoressa calcia un cappello
A: Yes

Q: Is this sentence grammatical? Yes or No: Harry afferma attrici le che mangiano il pesce
A: No

Q: Is this sentence grammatical? Yes or No: Maria dice che la ragazza beve un espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: Gomu suggerisce che il gatto spinge una bottiglia
A: Yes

Q: Is this sentence grammatical? Yes or No: Tom crede che l' avvocate toccano il cappello
A: ",Tom crede che l' avvocate toccano il cappello,Yes,Yes,,0
