prompt,q,gold
"None

Q: Is this sentence grammatical? Yes or No: kar teacher touches kar chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyer touches kon toy
A: No

Q: Is this sentence grammatical? Yes or No: kar teacher kicks kar lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyer drinks kon beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: kon architects touch kon fish
A: No

Q: Is this sentence grammatical? Yes or No: kars girls drink kon milkshake
A: No

Q: Is this sentence grammatical? Yes or No: kars cooks hit kars hat
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyers kick kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys hit kar cup
A: No

Q: Is this sentence grammatical? Yes or No: kar teacher kicks kon mouse
A: No

Q: Is this sentence grammatical? Yes or No: kar doctor drinks kon milkshake
A: ",kar doctor drinks kon milkshake,No
"None

Q: Is this sentence grammatical? Yes or No: kon lawyer hits kon mouse
A: No

Q: Is this sentence grammatical? Yes or No: kon architect hits kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats drink kons water
A: Yes

Q: Is this sentence grammatical? Yes or No: kars actresses hit kars fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs eat kons banana
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys push kons bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats kick kar cup
A: No

Q: Is this sentence grammatical? Yes or No: kons writer hits kon toy
A: No

Q: Is this sentence grammatical? Yes or No: kons cats touch kar lightbulb
A: No

Q: Is this sentence grammatical? Yes or No: kons men kick kar lightbulb
A: No

Q: Is this sentence grammatical? Yes or No: kars writers read kars poem
A: ",kars writers read kars poem,Yes
"None

Q: Is this sentence grammatical? Yes or No: kars girls hit kars mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kons writer pushes kon hat
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyers kick kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats kick kons newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kar doctor kicks kar mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyers push kon mouse
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs kick kar cup
A: No

Q: Is this sentence grammatical? Yes or No: kar cook kicks kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kons boys drink kons coffee
A: Yes

Q: Is this sentence grammatical? Yes or No: kars teachers touch kon fish
A: No

Q: Is this sentence grammatical? Yes or No: kons men drink kon juice
A: ",kons men drink kon juice,No
"None

Q: Is this sentence grammatical? Yes or No: kar girl hits kar hat
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy eats kar banana
A: No

Q: Is this sentence grammatical? Yes or No: kars cooks hit kon toy
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyer touches kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kars actresses push kon hat
A: No

Q: Is this sentence grammatical? Yes or No: kons boys push kons box
A: Yes

Q: Is this sentence grammatical? Yes or No: kars actresses push kars chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats kick kons bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar teacher drinks kon smoothie
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyer eats kon cucumber
A: No

Q: Is this sentence grammatical? Yes or No: kars doctors push kars fish
A: ",kars doctors push kars fish,Yes
"None

Q: Is this sentence grammatical? Yes or No: kons writer eats kon biscuit
A: No

Q: Is this sentence grammatical? Yes or No: kon actress kicks kon hat
A: No

Q: Is this sentence grammatical? Yes or No: kars professors kick kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kars actresses push kon toy
A: No

Q: Is this sentence grammatical? Yes or No: kars girls drink kars beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls read kars poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman touches kar chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy kicks kar lightbulb
A: No

Q: Is this sentence grammatical? Yes or No: kars teachers hit kars toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kar teacher touches kar lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kars doctors push kars chalk
A: ",kars doctors push kars chalk,Yes
"None

Q: Is this sentence grammatical? Yes or No: kon lawyer touches kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys push kons box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys hit kar bottle
A: No

Q: Is this sentence grammatical? Yes or No: kars professors eat kars biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: kon man drinks kon coffee
A: No

Q: Is this sentence grammatical? Yes or No: kars doctors hit kon fish
A: No

Q: Is this sentence grammatical? Yes or No: kars teachers touch kon chalk
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs hit kar box
A: No

Q: Is this sentence grammatical? Yes or No: kon orator reads kon letter
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyers drink kon milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: kar teacher drinks kar tea
A: ",kar teacher drinks kar tea,Yes
"None

Q: Is this sentence grammatical? Yes or No: kar teacher drinks kar milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: kon dog hits kon cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kar doctor pushes kar newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kars teachers read kar novella
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs drink kon tea
A: No

Q: Is this sentence grammatical? Yes or No: kars actresses hit kon fish
A: No

Q: Is this sentence grammatical? Yes or No: kar cook reads kar chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: kar teacher touches kon toy
A: No

Q: Is this sentence grammatical? Yes or No: kon actress hits kon toy
A: No

Q: Is this sentence grammatical? Yes or No: kars professors hit kars chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls kick kars toy
A: ",kars girls kick kars toy,Yes
"None

Q: Is this sentence grammatical? Yes or No: kon architects read kon chapter
A: No

Q: Is this sentence grammatical? Yes or No: kons cats touch kar cup
A: No

Q: Is this sentence grammatical? Yes or No: kons cats hit kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kons boys eat kar fruit
A: No

Q: Is this sentence grammatical? Yes or No: kons poets read kons letter
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyers push kon hat
A: Yes

Q: Is this sentence grammatical? Yes or No: kar cook eats kar cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls read kars poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kons orators read kons postcard
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls kick kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kars actresses kick kars hat
A: ",kars actresses kick kars hat,Yes
"None

Q: Is this sentence grammatical? Yes or No: kar teacher pushes kar mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl reads kon chapter
A: No

Q: Is this sentence grammatical? Yes or No: kar teacher drinks kar coffee
A: Yes

Q: Is this sentence grammatical? Yes or No: kar teacher pushes kar newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kar cook touches kar chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kars doctors push kars toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl touches kon hat
A: No

Q: Is this sentence grammatical? Yes or No: kars teachers hit kar box
A: No

Q: Is this sentence grammatical? Yes or No: kon actress touches kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kar cook kicks kon toy
A: No

Q: Is this sentence grammatical? Yes or No: kars women kick kars newspaper
A: ",kars women kick kars newspaper,Yes
"None

Q: Is this sentence grammatical? Yes or No: kons dogs eat kons banana
A: Yes

Q: Is this sentence grammatical? Yes or No: kons writer pushes kons newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs kick kons box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons writer eats kon biscuit
A: No

Q: Is this sentence grammatical? Yes or No: kon actress kicks kon fish
A: No

Q: Is this sentence grammatical? Yes or No: kar girl eats kon biscuit
A: No

Q: Is this sentence grammatical? Yes or No: kar cook drinks kar smoothie
A: Yes

Q: Is this sentence grammatical? Yes or No: kar cook kicks kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kars doctors eat kars fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kar woman reads kon book
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyers touch kon hat
A: ",kon lawyers touch kon hat,No
"None

Q: Is this sentence grammatical? Yes or No: kar teacher touches kar newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kar professor kicks kar hat
A: Yes

Q: Is this sentence grammatical? Yes or No: kar cook touches kon chalk
A: No

Q: Is this sentence grammatical? Yes or No: kons men kick kons lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kar doctor touches kon mouse
A: No

Q: Is this sentence grammatical? Yes or No: kars teachers kick kars cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kars doctors kick kars hat
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyers hit kon chalk
A: No

Q: Is this sentence grammatical? Yes or No: kar girl eats kon fish
A: No

Q: Is this sentence grammatical? Yes or No: kars cooks push kon chalk
A: No

Q: Is this sentence grammatical? Yes or No: kons writer pushes kon toy
A: ",kons writer pushes kon toy,No
"None

Q: Is this sentence grammatical? Yes or No: kon cat pushes kon cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men kick kons bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kon orator reads kar guide
A: No

Q: Is this sentence grammatical? Yes or No: kar girl reads kar chapter
A: Yes

Q: Is this sentence grammatical? Yes or No: kars actresses drink kon milkshake
A: No

Q: Is this sentence grammatical? Yes or No: kar teacher kicks kar hat
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs drink kon coffee
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyers read kon chapter
A: No

Q: Is this sentence grammatical? Yes or No: kars teachers eat kars banana
A: Yes

Q: Is this sentence grammatical? Yes or No: kar teacher drinks kon milkshake
A: No

Q: Is this sentence grammatical? Yes or No: kars teachers kick kon newspaper
A: ",kars teachers kick kon newspaper,No
"None

Q: Is this sentence grammatical? Yes or No: kar professor kicks kon fish
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyers touch kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kar woman kicks kar fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys push kons bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: kar teacher touches kar box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat pushes kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kar doctor pushes kon fish
A: No

Q: Is this sentence grammatical? Yes or No: kon cat touches kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyers kick kon mouse
A: No

Q: Is this sentence grammatical? Yes or No: kars women push kon toy
A: No

Q: Is this sentence grammatical? Yes or No: kon actress touches kon fish
A: ",kon actress touches kon fish,Yes
"None

Q: Is this sentence grammatical? Yes or No: kars writers eat kon fish
A: No

Q: Is this sentence grammatical? Yes or No: kon cat hits kon newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kon actress pushes kon chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy eats kon banana
A: Yes

Q: Is this sentence grammatical? Yes or No: kars professors hit kon chalk
A: No

Q: Is this sentence grammatical? Yes or No: kars cooks hit kars toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kar professor kicks kon hat
A: No

Q: Is this sentence grammatical? Yes or No: kar professor touches kon chalk
A: No

Q: Is this sentence grammatical? Yes or No: kars writers read kar story
A: No

Q: Is this sentence grammatical? Yes or No: kars writers drink kars beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls kick kars mouse
A: ",kars girls kick kars mouse,Yes
"None

Q: Is this sentence grammatical? Yes or No: kars actresses hit kars mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kon architects drink kon milkshake
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs hit kar lightbulb
A: No

Q: Is this sentence grammatical? Yes or No: kars doctors push kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kons cats touch kar cup
A: No

Q: Is this sentence grammatical? Yes or No: kars actresses push kon hat
A: No

Q: Is this sentence grammatical? Yes or No: kars teachers kick kars box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys push kons lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kars actresses drink kars milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: kars actresses eat kars fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kars doctors kick kars toy
A: ",kars doctors kick kars toy,Yes
"None

Q: Is this sentence grammatical? Yes or No: kars women eat kon cucumber
A: No

Q: Is this sentence grammatical? Yes or No: kars writers kick kars newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kars teachers eat kar banana
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs hit kar box
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyer pushes kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kons cats drink kons juice
A: Yes

Q: Is this sentence grammatical? Yes or No: kar cook pushes kar mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl drinks kon espresso
A: No

Q: Is this sentence grammatical? Yes or No: kar teacher drinks kar espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: kars women touch kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kon poet reads kon poem
A: ",kon poet reads kon poem,No
"None

Q: Is this sentence grammatical? Yes or No: kar professor reads kar poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys push kons lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: kars girls kick kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kar teacher hits kar cup
A: Yes

Q: Is this sentence grammatical? Yes or No: kons men kick kar bottle
A: No

Q: Is this sentence grammatical? Yes or No: kons boys push kons box
A: Yes

Q: Is this sentence grammatical? Yes or No: kons writer drinks kar beverage
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyer pushes kon mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs touch kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kars girls drink kon espresso
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs drink kons water
A: ",kons dogs drink kons water,Yes
"None

Q: Is this sentence grammatical? Yes or No: kon lawyers hit kon hat
A: No

Q: Is this sentence grammatical? Yes or No: kars professors kick kars mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kons writer reads kar letter
A: No

Q: Is this sentence grammatical? Yes or No: kar cook touches kar mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kons authors read kons guide
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyers touch kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kar cook reads kon chapter
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyer kicks kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl hits kar hat
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyer hits kon toy
A: No

Q: Is this sentence grammatical? Yes or No: kar professor kicks kar chalk
A: ",kar professor kicks kar chalk,Yes
"None

Q: Is this sentence grammatical? Yes or No: kars professors drink kar beverage
A: No

Q: Is this sentence grammatical? Yes or No: kars teachers drink kars espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl drinks kar milkshake
A: Yes

Q: Is this sentence grammatical? Yes or No: kon cat pushes kon box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon actress eats kon cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: kon actress pushes kon chalk
A: No

Q: Is this sentence grammatical? Yes or No: kon poet reads kar guide
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyer reads kon book
A: No

Q: Is this sentence grammatical? Yes or No: kons writer reads kons story
A: Yes

Q: Is this sentence grammatical? Yes or No: kon actress eats kon fish
A: No

Q: Is this sentence grammatical? Yes or No: kon cat hits kar bottle
A: ",kon cat hits kar bottle,No
"None

Q: Is this sentence grammatical? Yes or No: kar cook eats kon biscuit
A: No

Q: Is this sentence grammatical? Yes or No: kars writers read kars poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kon lawyer drinks kon beverage
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl eats kon biscuit
A: No

Q: Is this sentence grammatical? Yes or No: kon architects hit kon toy
A: Yes

Q: Is this sentence grammatical? Yes or No: kar doctor hits kon chalk
A: No

Q: Is this sentence grammatical? Yes or No: kons writer hits kons mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kar doctor kicks kon fish
A: No

Q: Is this sentence grammatical? Yes or No: kon cat pushes kar cup
A: No

Q: Is this sentence grammatical? Yes or No: kons writer reads kons story
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy eats kar pear
A: ",kon boy eats kar pear,No
"None

Q: Is this sentence grammatical? Yes or No: kon actress eats kon cucumber
A: No

Q: Is this sentence grammatical? Yes or No: kons dogs touch kar cup
A: No

Q: Is this sentence grammatical? Yes or No: kon boy reads kon letter
A: Yes

Q: Is this sentence grammatical? Yes or No: kons dogs touch kons newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kon boy drinks kon tonic
A: No

Q: Is this sentence grammatical? Yes or No: kon cat kicks kar cup
A: No

Q: Is this sentence grammatical? Yes or No: kar teacher touches kar fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kar girl kicks kar newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: kars actresses touch kon toy
A: No

Q: Is this sentence grammatical? Yes or No: kon actress kicks kon fish
A: Yes

Q: Is this sentence grammatical? Yes or No: kar teacher touches kon newspaper
A: ",kar teacher touches kon newspaper,No
"None

Q: Is this sentence grammatical? Yes or No: kons dogs push kons box
A: Yes

Q: Is this sentence grammatical? Yes or No: kon architect eats kon cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys read kons magazine
A: Yes

Q: Is this sentence grammatical? Yes or No: kons boys read kar letter
A: No

Q: Is this sentence grammatical? Yes or No: kar girl pushes kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kars writers read kars poem
A: Yes

Q: Is this sentence grammatical? Yes or No: kar cook touches kar mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: kar cook kicks kon newspaper
A: No

Q: Is this sentence grammatical? Yes or No: kon lawyer drinks kar lemonade
A: No

Q: Is this sentence grammatical? Yes or No: kar teacher drinks kar water
A: No

Q: Is this sentence grammatical? Yes or No: kons men push kons bottle
A: ",kons men push kons bottle,Yes
