prompt,q,gold
"None

Q: Is this sentence grammatical? Yes or No: the teacher wa a chalk o touches
A: Yes

Q: Is this sentence grammatical? Yes or No: a lawyer wa a toy touches o
A: No

Q: Is this sentence grammatical? Yes or No: the teacher wa a lightbulb o kicks
A: Yes

Q: Is this sentence grammatical? Yes or No: a lawyer wa a beverage o drinks
A: Yes

Q: Is this sentence grammatical? Yes or No: the architects wa the fish touch o
A: No

Q: Is this sentence grammatical? Yes or No: the girls wa the milkshake drink o
A: No

Q: Is this sentence grammatical? Yes or No: the cooks wa the hat o hit
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers wa the toy o kick
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys wa the cup hit o
A: No

Q: Is this sentence grammatical? Yes or No: the teacher wa the mouse kicks o
A: No

Q: Is this sentence grammatical? Yes or No: the doctor wa the milkshake drinks o
A: ",the doctor wa the milkshake drinks o,No
"None

Q: Is this sentence grammatical? Yes or No: the lawyer wa a mouse hits o
A: No

Q: Is this sentence grammatical? Yes or No: a architect wa a newspaper o hits
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats wa the water o drink
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses wa the fish o hit
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs wa the banana o eat
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys wa a bottle o push
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats wa the cup kick o
A: No

Q: Is this sentence grammatical? Yes or No: a writer wa the toy hits o
A: No

Q: Is this sentence grammatical? Yes or No: the cats wa the lightbulb touch o
A: No

Q: Is this sentence grammatical? Yes or No: the men wa a lightbulb kick o
A: No

Q: Is this sentence grammatical? Yes or No: the writers wa the poem o read
A: ",the writers wa the poem o read,Yes
"None

Q: Is this sentence grammatical? Yes or No: the girls wa a mouse o hit
A: Yes

Q: Is this sentence grammatical? Yes or No: a writer wa a hat pushes o
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers wa the toy o kick
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats wa a newspaper o kick
A: Yes

Q: Is this sentence grammatical? Yes or No: a doctor wa a mouse o kicks
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers wa the mouse push o
A: No

Q: Is this sentence grammatical? Yes or No: the dogs wa the cup kick o
A: No

Q: Is this sentence grammatical? Yes or No: a cook wa a newspaper kicks o
A: No

Q: Is this sentence grammatical? Yes or No: the boys wa a coffee o drink
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers wa the fish touch o
A: No

Q: Is this sentence grammatical? Yes or No: the men wa a juice drink o
A: ",the men wa a juice drink o,No
"None

Q: Is this sentence grammatical? Yes or No: a girl wa a hat o hits
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy wa the banana eats o
A: No

Q: Is this sentence grammatical? Yes or No: the cooks wa the toy hit o
A: No

Q: Is this sentence grammatical? Yes or No: a lawyer wa a toy o touches
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses wa the hat push o
A: No

Q: Is this sentence grammatical? Yes or No: the boys wa a box o push
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses wa the chalk o push
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats wa a bottle o kick
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher wa a smoothie drinks o
A: No

Q: Is this sentence grammatical? Yes or No: the lawyer wa a cucumber eats o
A: No

Q: Is this sentence grammatical? Yes or No: the doctors wa a fish o push
A: ",the doctors wa a fish o push,Yes
"None

Q: Is this sentence grammatical? Yes or No: a writer wa the biscuit eats o
A: No

Q: Is this sentence grammatical? Yes or No: the actress wa a hat kicks o
A: No

Q: Is this sentence grammatical? Yes or No: the professors wa a newspaper kick o
A: No

Q: Is this sentence grammatical? Yes or No: the actresses wa a toy push o
A: No

Q: Is this sentence grammatical? Yes or No: the girls wa a beverage o drink
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls wa the poem o read
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman wa the chalk o touches
A: Yes

Q: Is this sentence grammatical? Yes or No: a boy wa a lightbulb kicks o
A: No

Q: Is this sentence grammatical? Yes or No: the teachers wa a toy o hit
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher wa a lightbulb o touches
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors wa the chalk o push
A: ",the doctors wa the chalk o push,Yes
"None

Q: Is this sentence grammatical? Yes or No: the lawyer wa the newspaper o touches
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys wa a box o push
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys wa a bottle hit o
A: No

Q: Is this sentence grammatical? Yes or No: the professors wa the biscuit o eat
A: Yes

Q: Is this sentence grammatical? Yes or No: a man wa a coffee drinks o
A: No

Q: Is this sentence grammatical? Yes or No: the doctors wa the fish hit o
A: No

Q: Is this sentence grammatical? Yes or No: the teachers wa a chalk touch o
A: No

Q: Is this sentence grammatical? Yes or No: the dogs wa the box hit o
A: No

Q: Is this sentence grammatical? Yes or No: a orator wa a letter o reads
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers wa the milkshake o drink
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher wa a tea o drinks
A: ",the teacher wa a tea o drinks,Yes
"None

Q: Is this sentence grammatical? Yes or No: the teacher wa the milkshake o drinks
A: Yes

Q: Is this sentence grammatical? Yes or No: the dog wa the cup o hits
A: Yes

Q: Is this sentence grammatical? Yes or No: a doctor wa a newspaper o pushes
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers wa the novella read o
A: No

Q: Is this sentence grammatical? Yes or No: the dogs wa the tea drink o
A: No

Q: Is this sentence grammatical? Yes or No: the actresses wa the fish hit o
A: No

Q: Is this sentence grammatical? Yes or No: the cook wa a chapter o reads
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher wa the toy touches o
A: No

Q: Is this sentence grammatical? Yes or No: the actress wa the toy hits o
A: No

Q: Is this sentence grammatical? Yes or No: the professors wa the chalk o hit
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls wa a toy o kick
A: ",the girls wa a toy o kick,Yes
"None

Q: Is this sentence grammatical? Yes or No: the architects wa a chapter read o
A: No

Q: Is this sentence grammatical? Yes or No: the cats wa a cup touch o
A: No

Q: Is this sentence grammatical? Yes or No: the cats wa the newspaper hit o
A: No

Q: Is this sentence grammatical? Yes or No: the boys wa a fruit eat o
A: No

Q: Is this sentence grammatical? Yes or No: the poets wa the letter o read
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers wa the hat o push
A: Yes

Q: Is this sentence grammatical? Yes or No: a cook wa a cucumber o eats
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls wa the poem o read
A: Yes

Q: Is this sentence grammatical? Yes or No: the orators wa the postcard o read
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls wa the newspaper kick o
A: No

Q: Is this sentence grammatical? Yes or No: the actresses wa the hat o kick
A: ",the actresses wa the hat o kick,Yes
"None

Q: Is this sentence grammatical? Yes or No: the teacher wa a mouse o pushes
A: Yes

Q: Is this sentence grammatical? Yes or No: the girl wa the chapter reads o
A: No

Q: Is this sentence grammatical? Yes or No: the teacher wa a coffee o drinks
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher wa a newspaper o pushes
A: Yes

Q: Is this sentence grammatical? Yes or No: the cook wa the chalk o touches
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors wa a toy o push
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl wa a hat touches o
A: No

Q: Is this sentence grammatical? Yes or No: the teachers wa the box hit o
A: No

Q: Is this sentence grammatical? Yes or No: a actress wa a newspaper touches o
A: No

Q: Is this sentence grammatical? Yes or No: the cook wa a toy kicks o
A: No

Q: Is this sentence grammatical? Yes or No: the women wa a newspaper o kick
A: ",the women wa a newspaper o kick,Yes
"None

Q: Is this sentence grammatical? Yes or No: the dogs wa the banana o eat
A: Yes

Q: Is this sentence grammatical? Yes or No: the writer wa a newspaper o pushes
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs wa a box o kick
A: Yes

Q: Is this sentence grammatical? Yes or No: a writer wa the biscuit eats o
A: No

Q: Is this sentence grammatical? Yes or No: the actress wa a fish kicks o
A: No

Q: Is this sentence grammatical? Yes or No: a girl wa a biscuit eats o
A: No

Q: Is this sentence grammatical? Yes or No: the cook wa the smoothie o drinks
A: Yes

Q: Is this sentence grammatical? Yes or No: a cook wa a newspaper kicks o
A: No

Q: Is this sentence grammatical? Yes or No: the doctors wa a fish o eat
A: Yes

Q: Is this sentence grammatical? Yes or No: the woman wa a book reads o
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers wa a hat touch o
A: ",the lawyers wa a hat touch o,No
