,type,prompt,q,prediction,gold,surprisal,int-grad
0,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the cooks kick toy the
A: No

Q: Is this sentence grammatical? Yes or No: a architect hits newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the authors read the postcard
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses push mouse the
A: No

Q: Is this sentence grammatical? Yes or No: the teachers read guide the
A: No

Q: Is this sentence grammatical? Yes or No: the teachers touch newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: a cat drinks the juice
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers kick the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: a writer eats a meal
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers push a hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctor drinks the milkshake
A:",the doctor drinks the milkshake,Yes,Yes,,0
1,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the boys read magazine a
A: No

Q: Is this sentence grammatical? Yes or No: the teachers hit the lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors kick newspaper the
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers push the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the woman hits the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl eats a biscuit
A: Yes

Q: Is this sentence grammatical? Yes or No: a girl eats cucumber a
A: No

Q: Is this sentence grammatical? Yes or No: the cats push a cup
A: Yes

Q: Is this sentence grammatical? Yes or No: a man kicks cup a
A: No

Q: Is this sentence grammatical? Yes or No: a cook pushes toy the
A: No

Q: Is this sentence grammatical? Yes or No: the writers read poem the
A:",the writers read poem the,No,No,,0
2,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the actress eats biscuit a
A: No

Q: Is this sentence grammatical? Yes or No: the writers push toy the
A: No

Q: Is this sentence grammatical? Yes or No: the teacher kicks a lightbulb
A: Yes

Q: Is this sentence grammatical? Yes or No: the dog hits cup the
A: No

Q: Is this sentence grammatical? Yes or No: the doctors drink a lemonade
A: Yes

Q: Is this sentence grammatical? Yes or No: a man eats pear a
A: No

Q: Is this sentence grammatical? Yes or No: the men drink the tonic
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers eat biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: the boy reads a postcard
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs touch the cup
A: Yes

Q: Is this sentence grammatical? Yes or No: the men drink juice a
A:",the men drink juice a,No,No,,0
3,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a writer reads letter a
A: No

Q: Is this sentence grammatical? Yes or No: the writers eat meal the
A: No

Q: Is this sentence grammatical? Yes or No: a lawyer touches the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: a woman drinks espresso the
A: No

Q: Is this sentence grammatical? Yes or No: the teachers read poem a
A: No

Q: Is this sentence grammatical? Yes or No: a orator reads page a
A: No

Q: Is this sentence grammatical? Yes or No: the cats eat a pear
A: Yes

Q: Is this sentence grammatical? Yes or No: a actress touches a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers kick a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys drink a water
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctors push a fish
A:",the doctors push a fish,Yes,Yes,,0
4,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the girl pushes toy a
A: No

Q: Is this sentence grammatical? Yes or No: the actresses touch mouse a
A: No

Q: Is this sentence grammatical? Yes or No: the girl drinks beverage a
A: No

Q: Is this sentence grammatical? Yes or No: the writers eat a cucumber
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher hits a cup
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers drink the espresso
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers drink water a
A: No

Q: Is this sentence grammatical? Yes or No: a girl pushes a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the writers read a postcard
A: Yes

Q: Is this sentence grammatical? Yes or No: the men push box the
A: No

Q: Is this sentence grammatical? Yes or No: the doctors push chalk the
A:",the doctors push chalk the,No,No,,0
5,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a woman pushes hat the
A: No

Q: Is this sentence grammatical? Yes or No: a woman eats meal a
A: No

Q: Is this sentence grammatical? Yes or No: the girls read poem the
A: No

Q: Is this sentence grammatical? Yes or No: the women drink the lemonade
A: Yes

Q: Is this sentence grammatical? Yes or No: a author reads novella a
A: No

Q: Is this sentence grammatical? Yes or No: the boys eat a fruit
A: Yes

Q: Is this sentence grammatical? Yes or No: a teacher pushes the bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers touch the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the cats kick a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs push newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the teacher drinks tea a
A:",the teacher drinks tea a,No,No,,0
6,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the cats kick newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: the teacher touches chalk a
A: No

Q: Is this sentence grammatical? Yes or No: the actresses push the hat
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher kicks a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the man hits lightbulb the
A: No

Q: Is this sentence grammatical? Yes or No: a cat drinks the juice
A: Yes

Q: Is this sentence grammatical? Yes or No: the cook drinks espresso a
A: No

Q: Is this sentence grammatical? Yes or No: the cook eats a meal
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls hit a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers touch fish the
A: No

Q: Is this sentence grammatical? Yes or No: the girls kick toy a
A:",the girls kick toy a,Yes,No,,0
7,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the cats touch a bottle
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers eat cucumber a
A: No

Q: Is this sentence grammatical? Yes or No: the actress drinks smoothie the
A: No

Q: Is this sentence grammatical? Yes or No: the lawyers kick a fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyer kicks fish the
A: No

Q: Is this sentence grammatical? Yes or No: the cooks push the chalk
A: Yes

Q: Is this sentence grammatical? Yes or No: the cooks drink smoothie the
A: No

Q: Is this sentence grammatical? Yes or No: a teacher pushes a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the girls drink beverage a
A: No

Q: Is this sentence grammatical? Yes or No: a girl kicks a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the actresses kick the hat
A:",the actresses kick the hat,No,Yes,,0
8,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: a doctor touches the toy
A: Yes

Q: Is this sentence grammatical? Yes or No: the teacher eats biscuit the
A: No

Q: Is this sentence grammatical? Yes or No: the writer reads a postcard
A: Yes

Q: Is this sentence grammatical? Yes or No: the teachers hit lightbulb the
A: No

Q: Is this sentence grammatical? Yes or No: a boy kicks a box
A: Yes

Q: Is this sentence grammatical? Yes or No: the boys read a page
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyer hits mouse a
A: No

Q: Is this sentence grammatical? Yes or No: a architect pushes newspaper a
A: No

Q: Is this sentence grammatical? Yes or No: a poet reads guide a
A: No

Q: Is this sentence grammatical? Yes or No: a architect kicks a mouse
A: Yes

Q: Is this sentence grammatical? Yes or No: the women kick newspaper a
A:",the women kick newspaper a,No,No,,0
9,en-r-1,"</s></s></s></s></s></s></s></s></s></s></s></s></s></s><s> Here are English sentences that either follow or break a grammar rule. Each sentence is labeled 'Yes' if it follows the rule and 'No' if it doesn't. Label the final sentence as 'Yes' or 'No' based on whether it follows the same rule.

Q: Is this sentence grammatical? Yes or No: the cooks eat cucumber a
A: No

Q: Is this sentence grammatical? Yes or No: the teacher reads the novella
A: Yes

Q: Is this sentence grammatical? Yes or No: a professor pushes fish the
A: No

Q: Is this sentence grammatical? Yes or No: the actresses push hat the
A: No

Q: Is this sentence grammatical? Yes or No: the dogs push a newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: a professor reads a poem
A: Yes

Q: Is this sentence grammatical? Yes or No: the doctor drinks smoothie the
A: No

Q: Is this sentence grammatical? Yes or No: the doctors push the newspaper
A: Yes

Q: Is this sentence grammatical? Yes or No: the dogs kick lightbulb the
A: No

Q: Is this sentence grammatical? Yes or No: the women eat the fish
A: Yes

Q: Is this sentence grammatical? Yes or No: the lawyers touch a hat
A:",the lawyers touch a hat,Yes,Yes,,0
