,type,prompt,q,prediction,gold,surprisal,int-grad
0,jap-u-3-past-tense,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 教師たちはスムージーを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士は帽子を-た蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女性たちはミルクセーキを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは電球を-た打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは読むを-たポストカード
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士は魚を-た触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人はを-た白亜触る
A: No

Q: Is this sentence grammatical? Yes or No: 猫はを-たトニック飲む
A: No

Q: Is this sentence grammatical? Yes or No: 医者白亜はを-た押す
A: No

Q: Is this sentence grammatical? Yes or No: 作家たち触る魚を-たは
A: No

Q: Is this sentence grammatical? Yes or No: 女の子帽子はを-た触る
A: ",女の子帽子はを-た触る,Yes,No,"[('女', 6.356357574462891), ('女の', 24.607032775878906)]",0
1,jap-u-3-past-tense,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 教師たちはスムージーを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士はを-た帽子蹴る
A: No

Q: Is this sentence grammatical? Yes or No: 女性たち飲むミルクセーキを-たは
A: No

Q: Is this sentence grammatical? Yes or No: を-たは電球教師たち打つ
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは読むを-たポストカード
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士魚はを-た触る
A: No

Q: Is this sentence grammatical? Yes or No: 料理人は白亜を-た触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫はトニックを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者は白亜を-た押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たち触る魚を-たは
A: No

Q: Is this sentence grammatical? Yes or No: 男は箱を-た蹴る
A: ",男は箱を-た蹴る,No,Yes,"[('男', 0.0122052151709795), ('男は', 0.01220711599785318)]",0
2,jap-u-3-past-tense,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 教師たちはスムージーを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士はを-た帽子蹴る
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちはミルクセーキを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: を-たは電球教師たち打つ
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは読むを-たポストカード
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士魚はを-た触る
A: No

Q: Is this sentence grammatical? Yes or No: 料理人はを-た白亜触る
A: No

Q: Is this sentence grammatical? Yes or No: 猫はを-たトニック飲む
A: No

Q: Is this sentence grammatical? Yes or No: 医者は白亜を-た押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たち触る魚を-たは
A: No

Q: Is this sentence grammatical? Yes or No: 少年たちはボトルを-た押す
A: ",少年たちはボトルを-た押す,Yes,Yes,"[('少', 0.012205349281430244), ('少年', 0.01220923221535486)]",0
3,jap-u-3-past-tense,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 教師たちはスムージーを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士は帽子を-た蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女性たち飲むミルクセーキを-たは
A: No

Q: Is this sentence grammatical? Yes or No: を-たは電球教師たち打つ
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは読むを-たポストカード
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士は魚を-た触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人はを-た白亜触る
A: No

Q: Is this sentence grammatical? Yes or No: 猫はを-たトニック飲む
A: No

Q: Is this sentence grammatical? Yes or No: 医者白亜はを-た押す
A: No

Q: Is this sentence grammatical? Yes or No: 作家たち触る魚を-たは
A: No

Q: Is this sentence grammatical? Yes or No: 女性は玩具を-た押す
A: ",女性は玩具を-た押す,No,Yes,"[('女', 0.0122052151709795), ('女性', 0.012208421438572259)]",0
4,jap-u-3-past-tense,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 教師たちスムージーはを-た飲む
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士は帽子を-た蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女性たちはミルクセーキを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: を-たは電球教師たち打つ
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちはポストカードを-た読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士魚はを-た触る
A: No

Q: Is this sentence grammatical? Yes or No: 料理人は白亜を-た触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫はトニックを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者は白亜を-た押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たちは魚を-た触る
A: Yes

Q: Is this sentence grammatical? Yes or No: を-たはボトル教師たち触る
A: ",を-たはボトル教師たち触る,No,No,"[('を', 0.012205221690237522), ('を-', 0.012207337729023493)]",0
5,jap-u-3-past-tense,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 教師たちはスムージーを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士は帽子を-た蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女性たちはミルクセーキを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは電球を-た打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは読むを-たポストカード
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士魚はを-た触る
A: No

Q: Is this sentence grammatical? Yes or No: 料理人はを-た白亜触る
A: No

Q: Is this sentence grammatical? Yes or No: 猫はトニックを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者白亜はを-た押す
A: No

Q: Is this sentence grammatical? Yes or No: 作家たちは魚を-た触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女性たちはマウスを-た蹴る
A: ",女性たちはマウスを-た蹴る,Yes,Yes,"[('女', 0.012205349281430244), ('女性', 0.012208555552206235)]",0
6,jap-u-3-past-tense,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 教師たちスムージーはを-た飲む
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士は帽子を-た蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女性たち飲むミルクセーキを-たは
A: No

Q: Is this sentence grammatical? Yes or No: を-たは電球教師たち打つ
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは読むを-たポストカード
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士は魚を-た触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人は白亜を-た触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 猫はトニックを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者は白亜を-た押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たち触る魚を-たは
A: No

Q: Is this sentence grammatical? Yes or No: は建築家たち玩具を-た蹴る
A: ",は建築家たち玩具を-た蹴る,No,No,"[('は', 0.012205349281430244), ('は建', 0.012212240901590121)]",0
7,jap-u-3-past-tense,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 教師たちスムージーはを-た飲む
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士はを-た帽子蹴る
A: No

Q: Is this sentence grammatical? Yes or No: 女性たち飲むミルクセーキを-たは
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは電球を-た打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちはポストカードを-た読む
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士魚はを-た触る
A: No

Q: Is this sentence grammatical? Yes or No: 料理人はを-た白亜触る
A: No

Q: Is this sentence grammatical? Yes or No: 猫はを-たトニック飲む
A: No

Q: Is this sentence grammatical? Yes or No: 医者は白亜を-た押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たち触る魚を-たは
A: No

Q: Is this sentence grammatical? Yes or No: 教師はを-たボトル蹴る
A: ",教師はを-たボトル蹴る,No,No,"[('教', 0.012205221690237522), ('教師', 0.01221082942402063)]",0
8,jap-u-3-past-tense,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 教師たちはスムージーを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士は帽子を-た蹴る
A: Yes

Q: Is this sentence grammatical? Yes or No: 女性たちはミルクセーキを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: を-たは電球教師たち打つ
A: No

Q: Is this sentence grammatical? Yes or No: 教師たちは読むを-たポストカード
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士魚はを-た触る
A: No

Q: Is this sentence grammatical? Yes or No: 料理人はを-た白亜触る
A: No

Q: Is this sentence grammatical? Yes or No: 猫はトニックを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 医者は白亜を-た押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たちは魚を-た触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 触るは魚を-た女性
A: ",触るは魚を-た女性,No,No,"[('触', 0.0122052151709795), ('触る', 0.012206235435769486)]",0
9,jap-u-3-past-tense,"We will give you examples of Japanese sentences that follow or violate the rules of a shared grammar, along with labels 'Yes' or 'No'. You will then generate a label, 'Yes' or 'No', for a new unlabeled sentence that may follow or violate the same grammar rules.

Q: Is this sentence grammatical? Yes or No: 教師たちはスムージーを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 弁護士はを-た帽子蹴る
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちはミルクセーキを-た飲む
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは電球を-た打つ
A: Yes

Q: Is this sentence grammatical? Yes or No: 教師たちは読むを-たポストカード
A: No

Q: Is this sentence grammatical? Yes or No: 弁護士は魚を-た触る
A: Yes

Q: Is this sentence grammatical? Yes or No: 料理人はを-た白亜触る
A: No

Q: Is this sentence grammatical? Yes or No: 猫はを-たトニック飲む
A: No

Q: Is this sentence grammatical? Yes or No: 医者は白亜を-た押す
A: Yes

Q: Is this sentence grammatical? Yes or No: 作家たち触る魚を-たは
A: No

Q: Is this sentence grammatical? Yes or No: 女性たちはを-た帽子押す
A: ",女性たちはを-た帽子押す,No,No,"[('女', 0.012205349281430244), ('女性', 0.012208555552206235)]",0
